Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,25.97,25.99,25.90,25.90,53600,25.90
2014-11-17,25.92,25.99,25.86,25.98,47300,25.98
2014-11-14,25.80,25.95,25.80,25.95,52200,25.95
2014-11-13,25.72,25.80,25.70,25.80,38100,25.80
2014-11-12,25.76,25.78,25.68,25.75,33500,25.75
2014-11-11,25.73,25.78,25.67,25.75,25700,25.75
2014-11-10,25.75,25.77,25.72,25.74,52000,25.74
2014-11-07,25.63,25.80,25.58,25.76,52200,25.76
2014-11-06,25.62,25.62,25.58,25.61,29500,25.61
2014-11-05,25.56,25.64,25.56,25.59,35600,25.59
2014-11-04,25.53,25.67,25.53,25.60,133700,25.60
2014-11-03,25.52,25.60,25.49,25.51,63500,25.51
2014-10-31,25.45,25.53,25.39,25.53,132400,25.53
2014-10-30,25.37,25.50,25.32,25.46,52700,25.46
2014-10-29,25.39,25.40,25.34,25.37,33600,25.37
2014-10-28,25.39,25.42,25.36,25.39,36400,25.39
2014-10-27,25.32,25.40,25.28,25.36,54400,25.36
2014-10-24,25.27,25.31,25.25,25.28,39300,25.28
2014-10-23,25.23,25.28,25.22,25.24,97000,25.24
2014-10-22,25.31,25.31,25.22,25.22,132100,25.22
2014-10-21,25.34,25.35,25.26,25.28,195100,25.28
2014-10-20,25.32,25.42,25.23,25.34,256800,25.34
2014-10-17,25.43,25.54,25.30,25.30,81900,25.30
2014-10-16,25.31,25.42,25.27,25.38,26500,25.38
2014-10-15,25.28,25.40,25.26,25.36,52100,25.36
2014-10-14,25.22,25.34,25.22,25.32,27700,25.32
2014-10-13,25.32,25.32,25.24,25.25,15800,25.25
2014-10-10,25.29,25.33,25.25,25.28,26500,25.28
2014-10-09,25.39,25.40,25.29,25.31,42500,25.31
2014-10-08,25.37,25.41,25.30,25.38,37900,25.38
2014-10-07,25.42,25.46,25.40,25.40,39500,25.40
2014-10-06,25.40,25.44,25.36,25.42,43400,25.42
2014-10-03,25.44,25.44,25.36,25.39,42100,25.39
2014-10-02,25.35,25.39,25.32,25.39,47100,25.39
2014-10-01,25.45,25.45,25.28,25.31,103300,25.31
2014-09-30,25.39,25.45,25.37,25.44,38200,25.44
2014-09-29,25.33,25.40,25.31,25.39,31800,25.39
2014-09-26,25.23,25.39,25.23,25.30,29500,25.30
2014-09-25,25.29,25.29,25.23,25.27,35500,25.27
2014-09-24,25.28,25.35,25.28,25.29,50500,25.29
2014-09-23,25.23,25.40,25.23,25.40,36900,25.40
2014-09-22,25.38,25.39,25.24,25.26,46000,25.26
2014-09-19,25.45,25.49,25.35,25.35,43500,25.35
2014-09-18,25.32,25.48,25.32,25.45,70300,25.45
2014-09-17,25.32,25.36,25.32,25.32,23900,25.32
2014-09-16,25.28,25.40,25.26,25.29,31400,25.29
2014-09-15,25.23,25.35,25.17,25.35,33300,25.35
2014-09-12,25.17,25.21,25.15,25.21,38200,25.21
2014-09-11,25.26,25.28,25.15,25.23,25900,25.23
2014-09-10,25.25,25.30,25.20,25.26,66600,25.26
2014-09-09,25.30,25.32,25.21,25.24,35400,25.24
2014-09-08,25.50,25.50,25.27,25.28,45000,25.28
2014-09-05,25.47,25.51,25.33,25.42,67200,25.42
2014-09-04,25.60,25.63,25.31,25.45,63200,25.45
2014-09-03,25.66,25.70,25.59,25.66,132700,25.66
2014-09-02,25.68,25.74,25.60,25.68,64100,25.68
2014-08-29,25.74,25.75,25.67,25.72,13700,25.72
2014-08-28,25.68,25.73,25.64,25.71,26100,25.71
2014-08-27,25.60,25.77,25.54,25.71,71700,25.71
2014-08-26,25.84,25.98,25.80,25.96,59900,25.56
2014-08-25,25.83,25.83,25.78,25.82,16300,25.42
2014-08-22,25.73,25.81,25.72,25.78,31300,25.38
2014-08-21,25.79,25.80,25.73,25.78,18100,25.38
2014-08-20,25.78,25.79,25.76,25.78,49600,25.38
2014-08-19,25.79,25.79,25.77,25.77,67200,25.37
2014-08-18,25.76,25.78,25.73,25.78,105000,25.38
2014-08-15,25.72,25.78,25.72,25.76,28300,25.37
2014-08-14,25.61,25.75,25.61,25.74,22000,25.35
2014-08-13,25.59,25.66,25.57,25.65,47700,25.26
2014-08-12,25.40,25.59,25.40,25.56,85000,25.17
2014-08-11,25.43,25.49,25.38,25.40,18700,25.01
2014-08-08,25.53,25.55,25.36,25.42,21200,25.03
2014-08-07,25.33,25.54,25.29,25.52,43400,25.13
2014-08-06,25.24,25.33,25.24,25.29,26000,24.90
2014-08-05,25.32,25.33,25.19,25.21,58200,24.82
2014-08-04,25.30,25.41,25.28,25.37,55500,24.98
2014-08-01,25.40,25.47,25.26,25.29,61400,24.90
2014-07-31,25.53,25.65,25.40,25.48,64500,25.09
2014-07-30,25.61,25.67,25.61,25.65,37600,25.26
2014-07-29,25.62,25.65,25.60,25.62,57200,25.23
2014-07-28,25.59,25.65,25.59,25.62,66900,25.23
2014-07-25,25.61,25.65,25.60,25.63,27000,25.24
2014-07-24,25.69,25.69,25.61,25.63,42400,25.24
2014-07-23,25.62,25.68,25.61,25.65,70400,25.26
2014-07-22,25.65,25.68,25.60,25.62,84000,25.23
2014-07-21,25.55,25.64,25.55,25.59,81700,25.20
2014-07-18,25.59,25.70,25.48,25.48,82600,25.09
2014-07-17,25.63,25.70,25.51,25.54,37700,25.15
2014-07-16,25.66,25.72,25.65,25.66,28200,25.27
2014-07-15,25.70,25.70,25.63,25.66,44800,25.27
2014-07-14,25.78,25.79,25.71,25.71,26100,25.32
2014-07-11,25.55,25.79,25.55,25.77,65400,25.37
2014-07-10,25.63,25.65,25.60,25.63,24300,25.24
2014-07-09,25.65,25.69,25.64,25.69,34900,25.30
2014-07-08,25.51,25.72,25.51,25.69,91200,25.30
2014-07-07,25.54,25.55,25.50,25.51,28600,25.12
2014-07-03,25.41,25.54,25.35,25.50,23400,25.11
2014-07-02,25.60,25.66,25.40,25.43,86000,25.04
2014-07-01,25.65,25.65,25.51,25.56,47900,25.17
2014-06-30,25.62,25.66,25.56,25.56,38100,25.17
2014-06-27,25.59,25.63,25.55,25.55,30600,25.16
2014-06-26,25.41,25.58,25.40,25.50,65600,25.11
2014-06-25,25.48,25.52,25.42,25.44,26100,25.05
2014-06-24,25.30,25.45,25.30,25.43,29600,25.04
2014-06-23,25.35,25.37,25.29,25.36,46000,24.97
2014-06-20,25.52,25.52,25.07,25.07,401400,24.69
2014-06-19,25.54,25.54,25.40,25.44,50900,25.05
2014-06-18,25.52,25.55,25.45,25.54,50900,25.15
2014-06-17,25.50,25.51,25.41,25.51,53500,25.12
2014-06-16,25.44,25.53,25.34,25.52,82100,25.13
2014-06-13,25.34,25.45,25.31,25.39,150400,25.00
2014-06-12,25.34,25.36,25.27,25.34,34500,24.95
2014-06-11,25.33,25.34,25.27,25.32,72900,24.93
2014-06-10,25.36,25.37,25.24,25.30,50500,24.91
2014-06-09,25.33,25.35,25.26,25.32,436700,24.93
2014-06-06,25.31,25.36,25.28,25.33,31500,24.94
2014-06-05,25.19,25.30,25.18,25.23,73900,24.84
2014-06-04,25.42,25.42,25.02,25.19,93500,24.80
2014-06-03,25.57,25.57,25.41,25.41,55000,25.02
2014-06-02,25.50,25.59,25.50,25.58,47900,25.19
2014-05-30,24.99,25.55,24.99,25.47,64000,25.08
2014-05-29,25.50,25.55,25.45,25.52,107500,25.13
2014-05-28,25.45,25.50,25.41,25.47,102300,25.08
2014-05-27,25.81,25.87,25.72,25.75,98300,24.96
2014-05-23,25.86,25.87,25.75,25.82,41200,25.03
2014-05-22,25.86,25.88,25.80,25.82,34400,25.03
2014-05-21,25.85,25.88,25.80,25.80,44100,25.01
2014-05-20,25.86,25.88,25.77,25.84,118400,25.05
2014-05-19,25.85,25.88,25.78,25.80,176500,25.01
2014-05-16,25.76,25.87,25.76,25.86,46000,25.07
2014-05-15,25.76,25.80,25.76,25.79,40600,25.00
2014-05-14,25.77,25.82,25.74,25.76,277400,24.97
2014-05-13,25.72,25.85,25.72,25.81,63300,25.02
2014-05-12,25.77,25.77,25.72,25.74,27900,24.95
2014-05-09,25.80,25.80,25.72,25.73,32400,24.94
2014-05-08,25.79,25.84,25.72,25.72,95900,24.93
2014-05-07,25.78,25.80,25.71,25.79,77500,25.00
2014-05-06,25.81,25.81,25.75,25.75,14000,24.96
2014-05-05,25.72,25.83,25.72,25.81,21400,25.02
2014-05-02,25.73,25.80,25.70,25.74,36700,24.95
2014-05-01,25.79,25.81,25.70,25.77,374600,24.98
2014-04-30,25.72,25.88,25.70,25.88,56400,25.09
2014-04-29,25.73,25.74,25.66,25.74,46600,24.95
2014-04-28,25.79,25.81,25.71,25.71,51600,24.92
2014-04-25,25.70,25.83,25.60,25.83,185700,25.04
2014-04-24,25.77,25.77,25.68,25.75,67600,24.96
2014-04-23,25.75,25.80,25.71,25.71,64000,24.92
2014-04-22,25.79,25.83,25.71,25.76,42200,24.97
2014-04-21,25.70,25.79,25.68,25.72,33900,24.93
2014-04-17,25.75,25.86,25.65,25.65,131400,24.87
2014-04-16,25.82,25.84,25.76,25.77,47700,24.98
2014-04-15,25.64,25.83,25.63,25.83,60900,25.04
2014-04-14,25.66,25.72,25.62,25.65,33600,24.87
2014-04-11,25.57,25.72,25.57,25.65,46900,24.87
2014-04-10,25.58,25.68,25.58,25.64,50400,24.86
2014-04-09,25.51,25.67,25.49,25.57,50500,24.79
2014-04-08,25.61,25.63,25.50,25.52,61500,24.74
2014-04-07,25.71,25.71,25.56,25.56,52100,24.78
2014-04-04,25.69,25.75,25.60,25.72,59000,24.93
2014-04-03,25.82,25.82,25.67,25.69,77300,24.91
2014-04-02,25.92,25.97,25.73,25.74,79700,24.95
2014-04-01,25.68,26.04,25.62,26.00,189400,25.21
2014-03-31,25.49,25.71,25.47,25.71,104700,24.92
2014-03-28,25.40,25.50,25.39,25.50,77900,24.72
2014-03-27,25.36,25.43,25.34,25.42,30800,24.64
2014-03-26,25.41,25.44,25.36,25.42,45300,24.64
2014-03-25,25.39,25.42,25.32,25.39,45100,24.61
2014-03-24,25.42,25.43,25.32,25.38,50800,24.60
2014-03-21,25.34,25.44,25.27,25.44,107800,24.66
2014-03-20,25.37,25.43,25.22,25.33,175100,24.56
2014-03-19,25.37,25.59,25.32,25.48,131700,24.70
2014-03-18,25.27,25.44,25.23,25.33,69200,24.56
2014-03-17,25.35,25.40,25.18,25.20,82700,24.43
2014-03-14,25.24,25.39,25.23,25.39,58600,24.61
2014-03-13,25.23,25.30,25.22,25.30,50200,24.53
2014-03-12,25.17,25.28,25.17,25.25,30200,24.48
2014-03-11,25.22,25.27,25.15,25.18,42400,24.41
