Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,13.26,13.73,13.20,13.70,3113700,13.70
2014-11-17,13.12,13.40,13.09,13.25,1765200,13.25
2014-11-14,13.10,13.28,12.79,13.13,2103900,13.13
2014-11-13,13.19,13.55,13.07,13.14,2145000,13.14
2014-11-12,13.24,13.24,13.02,13.18,1407800,13.18
2014-11-11,13.17,13.50,13.07,13.30,1899100,13.30
2014-11-10,13.05,13.35,12.89,13.22,2387000,13.22
2014-11-07,12.42,13.06,12.05,13.02,5520800,13.02
2014-11-06,12.91,13.33,12.91,13.21,2534500,13.21
2014-11-05,13.48,13.48,12.89,13.00,2915900,13.00
2014-11-04,13.10,13.83,12.97,13.41,7375100,13.41
2014-11-03,12.94,13.32,12.61,12.93,3018500,12.93
2014-10-31,13.57,13.61,12.60,12.94,8451200,12.94
2014-10-30,12.45,13.45,12.20,13.20,8212200,13.20
2014-10-29,12.05,12.68,12.00,12.39,5227000,12.39
2014-10-28,11.88,12.18,11.64,11.84,3277400,11.84
2014-10-27,11.88,12.80,11.52,11.85,6423200,11.85
2014-10-24,11.86,12.02,11.69,11.85,1979800,11.85
2014-10-23,11.80,12.10,11.71,11.90,3028000,11.90
2014-10-22,11.80,11.99,11.61,11.66,2551800,11.66
2014-10-21,11.67,12.36,11.49,11.79,3973900,11.79
2014-10-20,10.86,11.79,10.81,11.68,3472100,11.68
2014-10-17,11.28,11.35,10.85,10.92,3779900,10.92
2014-10-16,11.30,11.49,10.61,11.16,6273400,11.16
2014-10-15,11.57,11.90,11.25,11.52,6435500,11.52
2014-10-14,11.83,12.06,11.26,11.76,8245500,11.76
2014-10-13,11.50,12.39,11.31,11.78,5628500,11.78
2014-10-10,11.42,11.67,11.05,11.50,3728600,11.50
2014-10-09,11.70,11.99,11.41,11.52,2632700,11.52
2014-10-08,11.29,11.75,11.19,11.74,3107000,11.74
2014-10-07,11.61,11.61,11.26,11.47,5314700,11.47
2014-10-06,11.46,12.06,11.23,11.74,5186300,11.74
2014-10-03,11.81,11.85,11.19,11.39,5500200,11.39
2014-10-02,11.64,12.11,11.55,11.70,4032500,11.70
2014-10-01,11.89,11.97,11.38,11.71,3865800,11.71
2014-09-30,11.97,12.21,11.80,11.92,4658900,11.92
2014-09-29,11.48,12.07,11.44,11.95,4191400,11.95
2014-09-26,11.60,11.67,11.40,11.61,1842200,11.61
2014-09-25,11.60,11.81,11.33,11.49,3976900,11.49
2014-09-24,11.58,11.71,11.34,11.66,15702800,11.66
2014-09-23,10.50,11.36,10.45,11.31,8472000,11.31
2014-09-22,10.95,11.37,10.92,11.21,5351200,11.21
2014-09-19,11.69,11.90,10.55,11.04,14972300,11.04
2014-09-18,12.09,12.40,11.56,11.68,11177200,11.68
2014-09-17,11.82,13.00,11.62,12.49,14660000,12.49
2014-09-16,11.59,12.20,11.23,12.06,23586100,12.06
2014-09-15,9.35,13.09,9.32,12.49,88851000,12.49
2014-09-12,6.74,6.90,6.66,6.74,2728000,6.74
2014-09-11,6.74,6.98,6.61,6.72,5046200,6.72
2014-09-10,5.91,6.85,5.91,6.79,11119700,6.79
2014-09-09,6.08,6.14,5.85,5.93,2111700,5.93
2014-09-08,6.15,6.16,6.02,6.09,1313400,6.09
2014-09-05,6.09,6.17,5.97,6.17,2211100,6.17
2014-09-04,6.10,6.20,6.06,6.11,1709200,6.11
2014-09-03,6.11,6.20,6.10,6.13,1593300,6.13
2014-09-02,6.25,6.30,6.07,6.10,2031200,6.10
2014-08-29,6.03,6.22,5.97,6.22,1600700,6.22
2014-08-28,6.03,6.13,5.97,6.01,1928600,6.01
2014-08-27,6.12,6.23,5.95,6.05,2573400,6.05
2014-08-26,6.05,6.24,6.01,6.10,4886600,6.10
2014-08-25,5.87,6.07,5.86,6.06,3233400,6.06
2014-08-22,5.65,5.83,5.62,5.80,1083300,5.80
2014-08-21,5.74,5.78,5.62,5.66,920200,5.66
2014-08-20,5.79,5.79,5.62,5.73,1222400,5.73
2014-08-19,5.93,5.94,5.79,5.81,1505100,5.81
2014-08-18,5.62,5.99,5.57,5.87,3126000,5.87
2014-08-15,5.74,5.75,5.43,5.57,1768600,5.57
2014-08-14,5.65,5.72,5.60,5.69,1237600,5.69
2014-08-13,5.59,5.70,5.55,5.65,1766800,5.65
2014-08-12,5.49,5.65,5.45,5.58,1850900,5.58
2014-08-11,5.43,5.56,5.36,5.51,1642700,5.51
2014-08-08,5.42,5.43,5.22,5.41,1661500,5.41
2014-08-07,5.40,5.45,5.28,5.42,1657000,5.42
2014-08-06,5.21,5.40,5.08,5.39,1729900,5.39
2014-08-05,5.20,5.34,5.16,5.23,2020900,5.23
2014-08-04,5.28,5.40,5.17,5.24,2882100,5.24
2014-08-01,5.23,5.33,5.16,5.27,2807800,5.27
2014-07-31,5.31,5.44,5.21,5.21,2993300,5.21
2014-07-30,5.37,5.47,5.32,5.40,1787000,5.40
2014-07-29,5.24,5.42,5.22,5.34,1578000,5.34
2014-07-28,5.22,5.29,5.14,5.20,957600,5.20
2014-07-25,5.23,5.25,5.13,5.22,1356000,5.22
2014-07-24,5.36,5.44,5.26,5.27,953400,5.27
2014-07-23,5.32,5.46,5.30,5.36,1404000,5.36
2014-07-22,5.35,5.45,5.25,5.28,1596500,5.28
2014-07-21,5.41,5.44,5.28,5.32,1464100,5.32
2014-07-18,5.17,5.52,5.17,5.39,1522500,5.39
2014-07-17,5.32,5.45,5.16,5.18,1760800,5.18
2014-07-16,5.55,5.64,5.36,5.37,1667800,5.37
2014-07-15,5.85,5.85,5.45,5.47,2401800,5.47
2014-07-14,5.85,5.86,5.62,5.84,1698600,5.84
2014-07-11,5.62,5.80,5.56,5.76,1650800,5.76
2014-07-10,5.43,5.72,5.38,5.62,2013000,5.62
2014-07-09,5.35,5.57,5.32,5.55,1928000,5.55
2014-07-08,5.63,5.68,5.34,5.35,2530400,5.35
2014-07-07,5.84,5.93,5.65,5.67,1924000,5.67
2014-07-03,5.75,5.88,5.71,5.84,1338900,5.84
2014-07-02,5.68,5.78,5.67,5.73,1542100,5.73
2014-07-01,5.62,5.74,5.61,5.70,1743600,5.70
2014-06-30,5.55,5.64,5.49,5.64,2507300,5.64
2014-06-27,5.36,5.58,5.32,5.56,2850600,5.56
2014-06-26,5.38,5.48,5.35,5.40,1037200,5.40
2014-06-25,5.48,5.64,5.40,5.40,2151600,5.40
2014-06-24,5.31,5.65,5.28,5.57,3086100,5.57
2014-06-23,5.30,5.44,5.24,5.36,1580400,5.36
2014-06-20,5.45,5.46,5.27,5.28,3854900,5.28
2014-06-19,5.49,5.55,5.35,5.41,1223200,5.41
2014-06-18,5.50,5.55,5.30,5.48,1649200,5.48
2014-06-17,5.34,5.71,5.25,5.50,2073600,5.50
2014-06-16,5.69,5.89,5.41,5.57,3099400,5.57
2014-06-13,5.63,5.77,5.60,5.73,1647100,5.73
2014-06-12,5.68,5.68,5.54,5.63,1681400,5.63
2014-06-11,5.42,5.74,5.41,5.66,4323100,5.66
2014-06-10,5.58,5.59,5.33,5.47,3959900,5.47
2014-06-09,5.30,5.44,5.27,5.34,1925200,5.34
2014-06-06,5.23,5.38,5.20,5.28,1551400,5.28
2014-06-05,5.07,5.29,5.07,5.23,2189300,5.23
2014-06-04,5.06,5.15,5.02,5.07,1243400,5.07
2014-06-03,5.04,5.16,4.89,5.08,1533600,5.08
2014-06-02,5.31,5.32,5.03,5.04,1953100,5.04
2014-05-30,5.36,5.44,5.24,5.28,3719300,5.28
2014-05-29,5.23,5.43,5.17,5.39,2769400,5.39
2014-05-28,5.01,5.27,4.96,5.18,4104600,5.18
2014-05-27,4.82,5.09,4.80,5.04,3729000,5.04
2014-05-23,4.71,4.85,4.68,4.84,1050500,4.84
2014-05-22,4.58,4.87,4.58,4.74,2601100,4.74
2014-05-21,4.71,4.82,4.57,4.57,1790900,4.57
2014-05-20,4.86,4.89,4.65,4.70,1907900,4.70
2014-05-19,4.90,4.95,4.77,4.89,2011600,4.89
2014-05-16,4.98,5.00,4.81,4.92,2251800,4.92
2014-05-15,5.04,5.07,4.84,5.00,2897600,5.00
2014-05-14,4.76,5.22,4.71,5.05,6933100,5.05
2014-05-13,4.80,4.90,4.73,4.76,1639000,4.76
2014-05-12,4.90,5.04,4.79,4.80,4627000,4.80
2014-05-09,4.60,4.89,4.52,4.87,4466500,4.87
2014-05-08,4.42,4.83,4.31,4.59,16842500,4.59
2014-05-07,4.52,4.66,4.41,4.44,3337900,4.44
2014-05-06,4.70,4.82,4.59,4.76,3823300,4.76
2014-05-05,4.57,4.75,4.50,4.70,2878200,4.70
2014-05-02,4.74,4.80,4.38,4.63,4327100,4.63
2014-05-01,4.82,5.06,4.45,4.65,11674100,4.65
2014-04-30,3.38,5.15,3.27,4.98,14349000,4.98
2014-04-29,3.19,3.45,3.16,3.42,1325200,3.42
2014-04-28,3.27,3.46,3.07,3.18,1720900,3.18
2014-04-25,3.45,3.51,3.25,3.30,1175400,3.30
2014-04-24,3.51,3.56,3.32,3.49,1064100,3.49
2014-04-23,3.61,3.64,3.46,3.47,1248600,3.47
2014-04-22,3.50,3.67,3.50,3.60,1280600,3.60
2014-04-21,3.46,3.54,3.38,3.48,1232400,3.48
2014-04-17,3.40,3.63,3.34,3.46,1753500,3.46
2014-04-16,3.31,3.44,3.23,3.42,1526100,3.42
2014-04-15,3.20,3.33,3.02,3.29,2519100,3.29
2014-04-14,3.37,3.42,3.12,3.18,1718600,3.18
2014-04-11,3.56,3.69,3.28,3.29,2784100,3.29
2014-04-10,3.85,3.86,3.57,3.63,1930600,3.63
2014-04-09,3.59,3.87,3.59,3.87,1744800,3.87
2014-04-08,3.48,3.63,3.44,3.57,1902500,3.57
2014-04-07,3.44,3.54,3.31,3.46,2099900,3.46
2014-04-04,3.72,3.75,3.40,3.46,2463500,3.46
2014-04-03,3.88,3.90,3.60,3.66,1284600,3.66
2014-04-02,3.81,3.86,3.70,3.79,764900,3.79
2014-04-01,3.66,3.86,3.66,3.78,1492300,3.78
2014-03-31,3.59,3.70,3.50,3.67,1104100,3.67
2014-03-28,3.58,3.68,3.48,3.55,1380700,3.55
2014-03-27,3.60,3.74,3.45,3.60,1961000,3.60
2014-03-26,3.94,3.94,3.59,3.60,1822000,3.60
2014-03-25,3.75,3.88,3.68,3.75,1954200,3.75
2014-03-24,4.02,4.09,3.62,3.73,3692800,3.73
2014-03-21,4.20,4.27,3.97,3.98,8929900,3.98
2014-03-20,4.03,4.23,3.87,4.14,1815200,4.14
2014-03-19,4.11,4.15,3.95,4.01,1579500,4.01
2014-03-18,3.87,4.05,3.85,4.04,1416500,4.04
2014-03-17,3.87,4.02,3.80,3.87,1995100,3.87
2014-03-14,3.96,3.96,3.77,3.86,2597500,3.86
2014-03-13,4.09,4.15,3.92,3.96,2233600,3.96
2014-03-12,4.16,4.23,4.02,4.06,1999400,4.06
2014-03-11,4.25,4.40,4.18,4.19,2580600,4.19
2014-03-10,4.46,4.46,4.11,4.25,2457900,4.25
2014-03-07,4.45,4.57,4.25,4.47,2300800,4.47
2014-03-06,4.99,5.00,4.44,4.45,3709400,4.45
2014-03-05,4.29,5.08,4.22,5.00,7987400,5.00
2014-03-04,4.22,4.35,4.20,4.30,1817700,4.30
2014-03-03,4.12,4.22,4.01,4.16,2350400,4.16
2014-02-28,4.24,4.25,4.12,4.16,2232400,4.16
2014-02-27,4.30,4.32,4.15,4.22,2639900,4.22
2014-02-26,3.82,4.39,3.64,4.29,9730300,4.29
2014-02-25,3.90,3.99,3.78,3.84,1347400,3.84
2014-02-24,4.04,4.08,3.89,3.89,1842800,3.89
2014-02-21,4.09,4.09,3.98,4.00,1207400,4.00
2014-02-20,4.05,4.09,3.93,4.05,994500,4.05
2014-02-19,4.13,4.18,4.00,4.06,1731200,4.06
2014-02-18,4.08,4.24,4.04,4.14,1521700,4.14
2014-02-14,4.03,4.38,4.00,4.04,2237100,4.04
2014-02-13,3.86,4.04,3.82,4.01,1635100,4.01
2014-02-12,3.82,3.99,3.80,3.88,1434000,3.88
2014-02-11,3.82,3.86,3.75,3.84,1507600,3.84
2014-02-10,3.59,3.83,3.50,3.80,2018900,3.80
2014-02-07,3.45,3.63,3.43,3.59,1479400,3.59
2014-02-06,3.62,3.63,3.34,3.45,2059600,3.45
2014-02-05,3.55,3.61,3.39,3.56,1982600,3.56
2014-02-04,3.49,3.71,3.45,3.51,1904900,3.51
2014-02-03,3.77,3.86,3.44,3.47,2390300,3.47
2014-01-31,3.87,3.96,3.73,3.75,2260100,3.75
2014-01-30,3.53,4.09,3.52,3.95,3152600,3.95
2014-01-29,3.53,3.64,3.44,3.47,917200,3.47
2014-01-28,3.40,3.61,3.30,3.55,2214800,3.55
2014-01-27,3.45,3.50,3.20,3.36,2200600,3.36
2014-01-24,3.64,3.65,3.39,3.44,2030700,3.44
2014-01-23,3.71,3.71,3.55,3.68,1749100,3.68
2014-01-22,3.82,3.84,3.61,3.71,1600900,3.71
2014-01-21,3.80,3.90,3.71,3.84,1336400,3.84
2014-01-17,3.79,3.88,3.70,3.83,1616100,3.83
2014-01-16,3.77,3.81,3.64,3.80,1165900,3.80
2014-01-15,3.48,3.84,3.48,3.81,2623600,3.81
2014-01-14,3.56,3.65,3.46,3.60,1831000,3.60
2014-01-13,3.32,3.60,3.32,3.56,4230800,3.56
2014-01-10,3.15,3.25,3.08,3.24,1312700,3.24
2014-01-09,3.13,3.17,3.05,3.14,1765800,3.14
2014-01-08,3.28,3.31,3.12,3.17,2136200,3.17
2014-01-07,3.35,3.37,3.06,3.28,2486500,3.28
2014-01-06,3.33,3.40,3.23,3.33,1667700,3.33
2014-01-03,3.21,3.33,3.20,3.31,1312400,3.31
2014-01-02,3.33,3.33,3.17,3.21,2297900,3.21
2013-12-31,3.29,3.37,3.22,3.36,1867900,3.36
2013-12-30,3.20,3.42,3.18,3.29,1869500,3.29
2013-12-27,3.31,3.33,3.20,3.23,1052100,3.23
2013-12-26,3.33,3.33,3.27,3.29,1089200,3.29
2013-12-24,3.43,3.45,3.27,3.33,999700,3.33
2013-12-23,3.45,3.54,3.31,3.40,2876000,3.40
2013-12-20,2.95,3.44,2.94,3.44,12008100,3.44
2013-12-19,2.65,2.89,2.65,2.87,4402800,2.87
2013-12-18,2.67,2.74,2.62,2.65,3783500,2.65
2013-12-17,2.82,2.87,2.67,2.68,3418500,2.68
2013-12-16,2.88,3.00,2.81,2.82,3831800,2.82
2013-12-13,3.17,3.18,2.83,2.84,7428600,2.84
2013-12-12,3.10,3.44,3.10,3.15,7867300,3.15
2013-12-11,3.46,3.65,3.00,3.01,14281000,3.01
2013-12-10,4.38,4.39,4.18,4.29,2195500,4.29
2013-12-09,4.37,4.40,4.27,4.40,1363900,4.40
2013-12-06,4.22,4.36,4.12,4.34,1514500,4.34
2013-12-05,4.30,4.37,4.18,4.18,1162800,4.18
2013-12-04,4.53,4.60,4.27,4.31,1598700,4.31
2013-12-03,4.44,4.59,4.38,4.52,1412900,4.52
2013-12-02,4.45,4.52,4.42,4.46,1472100,4.46
2013-11-29,4.41,4.50,4.38,4.44,888700,4.44
2013-11-27,4.37,4.43,4.35,4.38,1193300,4.38
2013-11-26,4.25,4.41,4.19,4.35,2074500,4.35
2013-11-25,4.21,4.47,4.21,4.23,1508500,4.23
2013-11-22,4.31,4.41,4.24,4.33,1280600,4.33
2013-11-21,4.30,4.44,4.27,4.28,2197200,4.28
2013-11-20,4.17,4.37,4.17,4.27,1439300,4.27
2013-11-19,4.28,4.33,4.06,4.18,2973100,4.18
2013-11-18,4.63,4.71,4.28,4.29,1753200,4.29
2013-11-15,4.40,4.61,4.38,4.59,1701800,4.59
2013-11-14,4.47,4.49,4.34,4.40,888000,4.40
2013-11-13,4.29,4.48,4.19,4.46,1208300,4.46
2013-11-12,4.21,4.34,4.13,4.34,1061400,4.34
2013-11-11,4.13,4.25,4.08,4.22,1573400,4.22
2013-11-08,4.06,4.28,4.06,4.12,1303000,4.12
2013-11-07,4.15,4.17,4.00,4.07,1110100,4.07
2013-11-06,4.29,4.42,4.05,4.12,2682500,4.12
2013-11-05,4.22,4.27,4.15,4.17,1654500,4.17
2013-11-04,4.28,4.37,4.18,4.22,1219200,4.22
2013-11-01,4.07,4.29,4.01,4.28,2120700,4.28
2013-10-31,4.23,4.38,3.99,4.05,3396800,4.05
2013-10-30,4.76,4.81,4.25,4.25,3554500,4.25
2013-10-29,4.81,4.86,4.63,4.79,2173000,4.79
2013-10-28,4.92,5.04,4.79,4.82,1543800,4.82
2013-10-25,5.00,5.06,4.86,4.90,1316400,4.90
2013-10-24,4.75,5.07,4.75,4.96,3816900,4.96
2013-10-23,4.48,4.72,4.46,4.72,2665000,4.72
2013-10-22,4.50,4.54,4.36,4.50,1859700,4.50
2013-10-21,4.53,4.58,4.43,4.47,1926200,4.47
2013-10-18,4.52,4.55,4.42,4.51,1768900,4.51
2013-10-17,4.37,4.51,4.35,4.46,1559900,4.46
2013-10-16,4.50,4.62,4.33,4.37,2246600,4.37
2013-10-15,4.58,4.62,4.47,4.48,1632000,4.48
2013-10-14,4.51,4.63,4.38,4.58,1709900,4.58
2013-10-11,4.64,4.70,4.52,4.54,1987500,4.54
2013-10-10,4.64,4.74,4.64,4.67,1656400,4.67
2013-10-09,4.66,4.69,4.54,4.61,3140300,4.61
2013-10-08,4.56,4.69,4.51,4.66,3823000,4.66
2013-10-07,4.50,4.62,4.43,4.57,1998900,4.57
2013-10-04,4.36,4.60,4.36,4.56,1726000,4.56
2013-10-03,4.54,4.57,4.31,4.34,2108800,4.34
2013-10-02,4.31,4.58,4.31,4.53,2011800,4.53
2013-10-01,4.22,4.44,4.11,4.38,2096600,4.38
2013-09-30,4.25,4.28,4.16,4.23,1720800,4.23
2013-09-27,4.27,4.34,4.25,4.30,2144000,4.30
2013-09-26,4.33,4.33,4.25,4.30,3927700,4.30
2013-09-25,4.26,4.37,4.21,4.35,1954900,4.35
2013-09-24,4.26,4.34,4.21,4.29,1750700,4.29
2013-09-23,4.35,4.38,4.20,4.28,3741200,4.28
2013-09-20,4.33,4.44,4.28,4.35,7343100,4.35
2013-09-19,4.28,4.37,4.24,4.33,1934900,4.33
2013-09-18,4.30,4.36,4.15,4.27,2413700,4.27
2013-09-17,4.37,4.41,4.20,4.31,2613800,4.31
2013-09-16,4.53,4.60,4.08,4.38,5753500,4.38
2013-09-13,4.73,4.80,3.98,4.08,15089100,4.08
2013-09-12,4.74,5.17,4.69,4.99,6715700,4.99
2013-09-11,5.50,5.54,4.38,4.79,16595800,4.79
2013-09-10,5.92,5.94,5.51,5.53,3189700,5.53
2013-09-09,5.88,6.00,5.80,5.85,2905000,5.85
2013-09-06,5.76,5.97,5.56,5.84,3158500,5.84
2013-09-05,5.71,5.85,5.58,5.76,2790400,5.76
2013-09-04,5.41,5.75,5.34,5.66,3395100,5.66
2013-09-03,5.35,5.50,5.35,5.38,2795600,5.38
2013-08-30,5.28,5.32,5.09,5.10,1302000,5.10
2013-08-29,5.20,5.40,5.17,5.28,2848500,5.28
2013-08-28,4.93,5.28,4.88,5.16,2555300,5.16
2013-08-27,5.12,5.13,4.89,4.92,5638600,4.92
2013-08-26,5.39,5.40,5.11,5.19,6917100,5.19
2013-08-23,5.03,5.08,4.87,4.98,1251500,4.98
2013-08-22,5.07,5.27,5.01,5.03,2073400,5.03
2013-08-21,4.82,5.10,4.80,5.04,2397400,5.04
2013-08-20,4.79,4.91,4.78,4.85,1255400,4.85
2013-08-19,4.89,4.95,4.78,4.80,3368900,4.80
2013-08-16,4.83,4.92,4.71,4.89,1625900,4.89
2013-08-15,4.99,5.04,4.82,4.89,2205800,4.89
2013-08-14,4.85,5.21,4.75,5.05,6637300,5.05
2013-08-13,4.95,4.98,4.55,4.57,4610800,4.57
2013-08-12,4.37,4.51,4.33,4.50,2358100,4.50
2013-08-09,4.59,4.67,4.30,4.40,1924400,4.40
2013-08-08,4.67,4.68,4.44,4.59,1507700,4.59
2013-08-07,4.86,4.99,4.61,4.67,2734300,4.67
2013-08-06,4.94,4.97,4.73,4.79,1783700,4.79
