Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,359.32,362.78,356.06,357.81,7300,357.81
2014-11-17,360.93,366.72,357.00,358.00,7900,358.00
2014-11-14,363.69,369.80,362.00,362.26,8600,362.26
2014-11-13,364.98,367.90,360.03,362.42,4300,362.42
2014-11-12,356.48,363.64,356.48,362.78,3900,362.78
2014-11-11,359.99,360.59,355.01,359.20,5400,359.20
2014-11-10,348.84,358.89,348.32,358.89,5100,358.89
2014-11-07,351.10,352.98,347.23,348.38,5300,348.38
2014-11-06,348.10,354.00,346.12,350.21,4600,350.21
2014-11-05,345.00,350.40,345.00,348.19,3300,348.19
2014-11-04,342.31,348.35,338.36,342.45,4400,342.45
2014-11-03,350.60,351.00,342.08,343.60,5200,343.60
2014-10-31,350.25,354.38,347.00,349.16,9500,349.16
2014-10-30,338.60,347.58,312.00,347.46,7100,347.46
2014-10-29,339.43,342.00,334.45,338.64,4000,338.64
2014-10-28,326.70,339.00,326.03,337.99,8100,337.99
2014-10-27,326.69,330.02,325.51,326.38,6600,326.38
2014-10-24,327.83,329.99,325.02,329.81,6600,329.81
2014-10-23,326.82,336.62,325.20,327.89,6500,327.89
2014-10-22,330.78,330.78,321.85,325.03,5700,325.03
2014-10-21,330.18,330.25,326.04,330.00,4100,330.00
2014-10-20,328.50,333.80,321.15,330.25,12300,330.25
2014-10-17,335.71,336.80,325.87,327.96,8700,327.96
2014-10-16,319.37,334.39,318.90,331.11,5100,331.11
2014-10-15,325.83,327.70,320.02,322.08,11800,322.08
2014-10-14,321.82,332.00,320.50,330.74,7100,330.74
2014-10-13,325.57,327.95,320.67,320.95,6900,320.95
2014-10-10,323.61,329.98,321.87,323.18,7200,323.18
2014-10-09,331.04,331.56,323.70,324.35,9800,324.35
2014-10-08,329.00,334.89,327.67,332.55,8200,332.55
2014-10-07,331.12,338.41,327.70,328.96,14300,328.96
2014-10-06,338.50,339.98,334.21,334.26,8300,334.26
2014-10-03,339.30,339.98,335.00,337.02,12000,337.02
2014-10-02,333.72,339.35,329.00,336.10,10800,336.10
