Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,57.86,58.01,57.27,57.54,2454000,57.54
2014-11-17,58.52,58.52,57.73,58.19,1487700,58.19
2014-11-14,57.05,58.49,56.99,58.43,2461000,58.43
2014-11-13,57.84,58.24,57.46,57.63,1358300,57.63
2014-11-12,58.29,58.62,57.81,58.18,2164200,58.18
2014-11-11,58.61,59.01,58.38,58.97,2930800,58.97
2014-11-10,60.22,60.33,59.09,59.23,2830500,59.23
2014-11-07,59.52,60.30,59.36,59.88,3333900,59.88
2014-11-06,58.52,58.54,57.93,58.06,1664200,58.06
2014-11-05,58.63,58.81,58.03,58.32,2637400,58.32
2014-11-04,59.14,59.16,58.54,58.94,1873400,58.94
2014-11-03,59.45,59.46,58.42,58.70,1905800,58.70
2014-10-31,58.94,59.50,58.66,59.44,2090100,59.44
2014-10-30,58.30,59.10,58.13,58.79,2094500,58.79
2014-10-29,60.01,60.03,58.60,58.82,3009400,58.82
2014-10-28,59.46,59.68,59.15,59.63,1491500,59.63
2014-10-27,58.61,59.00,58.42,58.80,2015700,58.80
2014-10-24,58.86,59.30,58.86,59.14,1519900,59.14
2014-10-23,59.13,59.22,58.65,58.75,1857500,58.75
2014-10-22,59.20,59.48,58.80,58.99,2954000,58.99
2014-10-21,60.00,60.17,59.33,59.83,2143700,59.83
2014-10-20,58.83,59.34,58.75,59.32,1696100,59.32
2014-10-17,59.06,59.43,58.71,59.04,2322900,59.04
2014-10-16,57.39,59.42,57.10,58.72,3462800,58.72
2014-10-15,58.03,58.87,57.48,58.67,5152000,58.67
2014-10-14,58.15,58.98,58.07,58.36,3500700,58.36
2014-10-13,57.34,58.18,56.98,57.08,4186900,57.08
2014-10-10,56.00,56.55,55.59,55.73,3253100,55.73
2014-10-09,58.55,58.71,57.16,57.28,3893500,57.28
2014-10-08,57.29,58.48,56.71,58.36,3786400,58.36
2014-10-07,57.90,58.12,56.92,57.11,5034000,57.11
2014-10-06,58.40,59.09,57.35,57.96,7362700,57.96
2014-10-03,57.71,57.89,56.81,57.23,4960600,57.23
2014-10-02,58.67,58.94,57.78,58.78,4433200,58.78
2014-10-01,58.66,58.98,58.17,58.45,3606700,58.45
2014-09-30,58.88,59.33,58.57,58.88,2607900,58.88
2014-09-29,58.86,59.39,58.74,59.01,4152600,59.01
2014-09-26,60.04,60.22,59.60,59.83,2628300,59.83
2014-09-25,61.02,61.05,59.80,59.97,5198800,59.97
2014-09-24,62.40,62.59,61.67,62.20,2723100,62.20
2014-09-23,61.67,61.86,61.28,61.47,1817300,61.47
2014-09-22,62.19,62.20,60.90,61.28,4586600,61.28
2014-09-19,63.80,64.00,63.06,63.31,2074900,63.31
