Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,21.03,21.08,20.92,20.93,28800,20.93
2014-11-17,21.27,21.27,21.04,21.19,37700,21.19
2014-11-14,23.66,23.72,23.47,23.72,46800,23.72
2014-11-13,23.69,23.98,23.66,23.79,110400,23.79
2014-11-12,22.69,22.96,22.66,22.96,33200,22.96
2014-11-11,21.73,21.94,21.71,21.94,17600,21.94
2014-11-10,21.43,21.80,21.37,21.70,43300,21.70
2014-11-07,20.33,20.45,20.23,20.42,14500,20.42
2014-11-06,20.03,20.10,19.97,20.04,10500,20.04
2014-11-05,20.10,20.14,19.97,19.98,22700,19.98
2014-11-04,20.08,20.08,19.96,20.04,14500,20.04
2014-11-03,19.95,19.97,19.57,19.79,45900,19.79
2014-10-31,18.99,18.99,18.38,18.76,46800,18.76
2014-10-30,17.92,18.05,17.89,17.98,25900,17.98
2014-10-29,17.65,17.74,17.23,17.23,15200,17.23
2014-10-28,17.10,17.16,17.06,17.16,7400,17.16
2014-10-27,16.48,16.55,16.48,16.54,3500,16.54
2014-10-24,16.37,16.45,16.31,16.41,17200,16.41
2014-10-23,16.84,16.86,16.76,16.80,9300,16.80
2014-10-22,16.82,16.82,16.64,16.65,11700,16.65
2014-10-21,16.69,16.75,16.64,16.69,18100,16.69
2014-10-20,17.22,17.34,17.19,17.34,9100,17.34
2014-10-17,17.57,17.69,17.56,17.60,34600,17.60
2014-10-16,17.42,17.65,17.40,17.57,11000,17.57
2014-10-15,17.43,17.54,17.13,17.45,21600,17.45
2014-10-14,16.69,16.74,16.64,16.74,14100,16.74
2014-10-13,16.89,17.00,16.85,16.85,5500,16.85
2014-10-10,16.95,16.95,16.74,16.74,6600,16.74
2014-10-09,17.07,17.07,16.83,16.87,9400,16.87
2014-10-08,16.93,17.17,16.82,17.17,19100,17.17
2014-10-07,17.00,17.00,16.81,16.86,23800,16.86
2014-10-06,16.67,16.68,16.60,16.60,6600,16.60
2014-10-03,16.23,16.23,16.08,16.13,3400,16.13
2014-10-02,15.86,15.86,15.63,15.85,6400,15.85
2014-10-01,16.01,16.01,15.79,15.85,5700,15.85
2014-09-30,16.06,16.13,15.99,16.06,14600,16.06
2014-09-29,15.94,15.96,15.81,15.85,10200,15.85
2014-09-26,16.21,16.21,16.15,16.20,2500,16.20
2014-09-25,16.30,16.30,16.14,16.15,7200,16.15
2014-09-24,16.32,16.39,16.23,16.31,20700,16.31
2014-09-23,16.43,16.45,16.36,16.38,8300,16.38
2014-09-22,16.81,16.85,16.67,16.75,18100,16.75
2014-09-19,17.20,17.23,17.01,17.13,24400,17.13
2014-09-18,17.43,17.53,17.37,17.48,23800,17.48
2014-09-17,17.45,17.49,17.38,17.44,9300,17.44
2014-09-16,17.24,17.50,17.19,17.41,20200,17.41
2014-09-15,17.13,17.17,17.03,17.08,9800,17.08
2014-09-12,17.23,17.23,17.11,17.18,6600,17.18
2014-09-11,17.26,17.33,17.25,17.33,4200,17.33
2014-09-10,17.27,17.34,17.22,17.30,6200,17.30
2014-09-09,17.15,17.15,17.05,17.15,7000,17.15
2014-09-08,17.29,17.29,17.04,17.10,32500,17.10
2014-09-05,17.30,17.31,17.25,17.28,11100,17.28
2014-09-04,17.34,17.34,17.21,17.21,4900,17.21
2014-09-03,17.52,17.55,17.22,17.32,23300,17.32
2014-09-02,17.36,17.36,17.15,17.17,29400,17.17
2014-08-29,16.70,16.70,16.23,16.23,10800,16.23
2014-08-28,16.78,16.78,16.63,16.64,17200,16.64
2014-08-27,16.90,16.97,16.84,16.86,10700,16.86
2014-08-26,17.28,17.28,17.14,17.16,10300,17.16
2014-08-25,17.43,17.45,17.38,17.42,26900,17.42
2014-08-22,16.80,16.80,16.70,16.70,8600,16.70
2014-08-21,16.90,16.96,16.79,16.79,8600,16.79
2014-08-20,16.84,16.90,16.80,16.85,12400,16.85
2014-08-19,17.00,17.01,16.88,16.88,19400,16.88
2014-08-18,17.03,17.06,16.97,17.01,10700,17.01
2014-08-15,16.99,17.01,16.81,16.92,10000,16.92
2014-08-14,17.00,17.04,16.88,16.99,24900,16.99
2014-08-13,17.24,17.28,17.10,17.11,22700,17.11
2014-08-12,16.70,16.71,16.62,16.68,6200,16.68
2014-08-11,16.72,16.77,16.68,16.77,15800,16.77
2014-08-08,16.21,16.27,16.16,16.24,17000,16.24
2014-08-07,16.39,16.39,16.14,16.21,17700,16.21
2014-08-06,16.61,16.67,16.57,16.60,21600,16.60
2014-08-05,16.48,16.50,16.31,16.40,27100,16.40
2014-08-04,16.50,16.56,16.44,16.51,43800,16.51
2014-08-01,15.91,15.97,15.76,15.78,19300,15.78
2014-07-31,15.75,15.79,15.57,15.57,23700,15.57
2014-07-30,15.84,15.84,15.53,15.59,36700,15.59
2014-07-29,16.07,16.09,15.70,15.76,43400,15.76
2014-07-28,16.05,16.13,16.01,16.06,47000,16.06
2014-07-25,15.78,15.80,15.71,15.72,34800,15.72
2014-07-24,15.53,15.61,15.35,15.42,72800,15.42
2014-07-23,15.53,15.53,15.36,15.38,32000,15.38
2014-07-22,15.47,15.47,15.39,15.41,18400,15.41
2014-07-21,15.33,15.34,15.22,15.29,24300,15.29
2014-07-18,15.42,15.53,15.35,15.46,9100,15.46
2014-07-17,15.68,15.74,15.50,15.50,20700,15.50
2014-07-16,15.85,15.91,15.83,15.85,19000,15.85
2014-07-15,15.80,15.81,15.71,15.75,18000,15.75
2014-07-14,16.02,16.06,15.97,16.01,36700,16.01
2014-07-11,16.00,16.05,15.93,15.93,17400,15.93
2014-07-10,15.71,15.78,15.68,15.76,19400,15.76
2014-07-09,16.03,16.03,15.93,16.01,29100,16.01
2014-07-08,16.08,16.10,15.84,15.90,26400,15.90
2014-07-07,16.12,16.14,15.99,16.04,24700,16.04
2014-07-03,15.82,15.82,15.53,15.60,29900,15.60
2014-07-02,15.40,15.50,15.27,15.32,19700,15.32
2014-07-01,15.40,15.43,15.25,15.27,15900,15.27
2014-06-30,15.46,15.48,15.24,15.28,16700,15.28
2014-06-27,15.48,15.48,15.25,15.41,21000,15.41
2014-06-26,15.56,15.66,15.56,15.60,23100,15.60
2014-06-25,15.49,15.59,15.49,15.55,3300,15.55
2014-06-24,15.40,15.48,15.37,15.46,20900,15.46
2014-06-23,15.46,15.48,15.32,15.41,17600,15.41
2014-06-20,15.59,15.64,15.20,15.20,51300,15.20
2014-06-19,15.64,15.65,15.54,15.65,11000,15.65
2014-06-18,15.64,15.67,15.53,15.63,33800,15.63
2014-06-17,15.77,15.77,15.66,15.70,16600,15.70
2014-06-16,16.04,16.05,15.93,16.04,10400,16.04
2014-06-13,16.37,16.37,16.29,16.29,9100,16.29
2014-06-12,16.44,16.45,16.29,16.31,16800,16.31
2014-06-11,16.36,16.46,16.33,16.46,17000,16.46
2014-06-10,16.15,16.25,16.15,16.22,19200,16.22
2014-06-09,15.43,15.57,15.43,15.56,5700,15.56
2014-06-06,15.45,15.45,15.36,15.36,5500,15.36
2014-06-05,15.39,15.45,15.35,15.40,6100,15.40
2014-06-04,15.19,15.28,15.17,15.22,4100,15.22
2014-06-03,15.23,15.36,15.23,15.33,5700,15.33
2014-06-02,15.25,15.31,15.24,15.31,7000,15.31
2014-05-30,15.22,15.27,15.15,15.20,5600,15.20
2014-05-29,15.41,15.48,15.38,15.43,18000,15.43
2014-05-28,15.31,15.41,15.30,15.37,7600,15.37
2014-05-27,15.44,15.49,15.32,15.44,7200,15.44
2014-05-23,15.70,15.70,15.60,15.63,15000,15.63
2014-05-22,15.62,15.62,15.52,15.55,8200,15.55
2014-05-21,15.79,15.83,15.72,15.75,11300,15.75
2014-05-20,15.46,15.53,15.38,15.42,4400,15.42
2014-05-19,15.43,15.45,15.36,15.44,7700,15.44
2014-05-16,15.66,15.66,15.48,15.50,12300,15.50
2014-05-15,15.72,15.75,15.61,15.62,9000,15.62
2014-05-14,15.64,15.69,15.55,15.57,13100,15.57
2014-05-13,15.01,15.10,14.99,15.08,9900,15.08
2014-05-12,14.94,14.97,14.90,14.96,6000,14.96
2014-05-09,14.93,14.95,14.85,14.91,6400,14.91
2014-05-08,15.03,15.08,14.97,15.00,12700,15.00
2014-05-07,15.06,15.10,15.02,15.09,7700,15.09
2014-05-06,15.10,15.16,15.10,15.11,9700,15.11
2014-05-05,15.11,15.21,15.07,15.21,27000,15.21
2014-05-02,15.25,15.45,15.15,15.43,19900,15.43
2014-05-01,15.43,15.55,15.43,15.48,12000,15.48
2014-04-30,15.43,15.43,15.34,15.40,9900,15.40
2014-04-29,15.18,15.28,15.18,15.28,6600,15.28
2014-04-28,15.01,15.10,15.01,15.05,13500,15.05
2014-04-25,15.16,15.28,15.16,15.26,8200,15.26
2014-04-24,15.46,15.47,15.23,15.34,28200,15.34
2014-04-23,15.75,16.01,15.60,15.72,25700,15.72
2014-04-22,15.89,16.01,15.84,15.91,15900,15.91
2014-04-21,16.19,16.19,16.06,16.07,5100,16.07
2014-04-17,16.18,16.23,16.10,16.18,5100,16.18
2014-04-16,16.25,16.25,16.14,16.19,13600,16.19
2014-04-15,16.34,16.36,16.20,16.22,13400,16.22
2014-04-14,16.66,16.67,16.50,16.51,24000,16.51
2014-04-11,16.83,16.96,16.83,16.92,10200,16.92
2014-04-10,17.50,17.61,17.34,17.45,55200,17.45
2014-04-09,17.05,17.09,16.92,17.02,16500,17.02
2014-04-08,16.60,16.65,16.55,16.63,11900,16.63
2014-04-07,16.30,16.36,16.25,16.35,16900,16.35
2014-04-04,17.00,17.06,16.77,16.77,23300,16.77
2014-04-03,16.88,16.94,16.77,16.83,36900,16.83
2014-04-02,16.75,16.78,16.67,16.72,16500,16.72
2014-04-01,16.56,16.63,16.52,16.52,25800,16.52
2014-03-31,16.54,16.72,16.54,16.60,15100,16.60
2014-03-28,16.50,16.73,16.50,16.61,12400,16.61
2014-03-27,16.36,16.36,16.21,16.34,21500,16.34
2014-03-26,16.57,16.96,16.50,16.50,60000,16.50
2014-03-25,16.82,16.83,16.55,16.68,24100,16.68
2014-03-24,17.66,17.66,16.98,17.10,37200,17.10
2014-03-21,16.60,16.80,16.54,16.61,22400,16.61
2014-03-20,16.59,16.70,16.49,16.65,25200,16.65
2014-03-19,17.11,17.11,16.93,17.00,23400,17.00
2014-03-18,16.81,16.95,16.60,16.60,24700,16.60
2014-03-17,17.06,17.13,16.91,17.02,28400,17.02
2014-03-14,16.50,16.60,16.41,16.45,18900,16.45
2014-03-13,17.01,17.10,16.63,16.91,12000,16.91
2014-03-12,16.81,16.94,16.81,16.85,10700,16.85
2014-03-11,17.07,17.09,16.87,16.92,8600,16.92
2014-03-10,17.30,17.31,17.00,17.12,25500,17.12
2014-03-07,17.58,17.58,17.32,17.36,9400,17.36
2014-03-06,17.54,17.60,17.48,17.50,16200,17.50
2014-03-05,17.60,17.62,17.45,17.54,13000,17.54
2014-03-04,17.67,17.67,17.53,17.57,12200,17.57
2014-03-03,17.64,17.71,17.49,17.58,12800,17.58
2014-02-28,18.20,18.26,18.01,18.03,12800,18.03
2014-02-27,18.10,18.25,18.01,18.25,24400,18.25
2014-02-26,17.63,17.69,17.60,17.66,10600,17.66
2014-02-25,17.65,17.65,17.42,17.57,26000,17.57
2014-02-24,18.17,18.39,17.84,17.84,12900,17.84
2014-02-21,18.95,18.95,18.44,18.53,19400,18.53
2014-02-20,19.30,19.37,19.19,19.36,17200,19.36
2014-02-19,19.30,19.60,19.30,19.60,80800,19.60
2014-02-18,18.91,19.38,18.84,19.28,100900,19.28
2014-02-14,18.80,19.45,18.78,19.20,98400,19.20
2014-02-13,18.32,18.71,18.31,18.56,88500,18.56
2014-02-12,17.89,18.38,17.89,18.19,134200,18.19
2014-02-11,17.27,17.71,17.27,17.63,83100,17.63
2014-02-10,16.74,16.82,16.67,16.71,9500,16.71
2014-02-07,16.71,16.74,16.60,16.70,22800,16.70
2014-02-06,15.87,16.02,15.82,16.02,24300,16.02
2014-02-05,16.10,16.16,16.00,16.07,10200,16.07
2014-02-04,16.27,16.36,16.21,16.30,10200,16.30
2014-02-03,16.60,16.61,16.32,16.36,20800,16.36
2014-01-31,16.59,16.79,16.59,16.68,8800,16.68
2014-01-30,16.91,16.93,16.71,16.72,16200,16.72
2014-01-29,16.59,16.65,16.48,16.51,20300,16.51
2014-01-28,16.58,16.65,16.46,16.58,24600,16.58
2014-01-27,16.70,16.75,16.56,16.58,22100,16.58
2014-01-24,17.25,17.25,16.83,16.87,47400,16.87
2014-01-23,17.60,17.61,17.35,17.37,60400,17.37
2014-01-22,17.81,17.93,17.74,17.93,23400,17.93
2014-01-21,17.53,17.58,17.50,17.51,26800,17.51
2014-01-17,17.75,17.75,17.56,17.60,17700,17.60
2014-01-16,17.93,17.98,17.76,17.76,26500,17.76
2014-01-15,18.03,18.21,18.03,18.09,24700,18.09
2014-01-14,17.98,18.09,17.92,18.01,36500,18.01
2014-01-13,18.15,18.25,18.03,18.03,64300,18.03
2014-01-10,18.18,18.62,18.12,18.32,51100,18.32
2014-01-09,18.18,19.04,18.15,18.51,127300,18.51
2014-01-08,18.28,18.28,18.01,18.11,27500,18.11
2014-01-07,18.07,18.40,18.07,18.29,43500,18.29
2014-01-06,18.15,18.21,18.06,18.09,28500,18.09
2014-01-03,18.61,18.61,18.35,18.46,27600,18.46
2014-01-02,19.06,19.40,18.83,18.98,21900,18.98
2013-12-31,19.06,19.50,19.03,19.24,42900,19.24
2013-12-30,19.09,19.28,18.85,19.04,37200,19.04
2013-12-27,19.15,19.33,19.14,19.22,39900,19.22
2013-12-26,18.56,19.20,18.47,18.96,27300,18.96
2013-12-24,18.94,18.98,18.52,18.66,7900,18.66
2013-12-23,18.35,18.88,18.35,18.81,23900,18.81
2013-12-20,18.19,18.20,18.09,18.09,9800,18.09
2013-12-19,18.44,18.49,18.25,18.25,12600,18.25
2013-12-18,18.87,19.04,18.62,18.78,16000,18.78
2013-12-17,18.77,18.77,18.60,18.62,9100,18.62
2013-12-16,18.88,18.89,18.76,18.76,7800,18.76
2013-12-13,19.31,19.31,19.01,19.18,13400,19.18
2013-12-12,18.70,18.70,18.53,18.56,18000,18.56
2013-12-11,18.72,18.72,18.14,18.16,153600,18.16
2013-12-10,19.39,19.39,19.24,19.29,18400,19.29
2013-12-09,19.66,19.66,19.48,19.49,16000,19.49
2013-12-06,20.03,20.04,19.88,20.02,14600,20.02
2013-12-05,19.81,19.81,19.62,19.65,15900,19.65
2013-12-04,19.98,20.12,19.82,20.08,15900,20.08
2013-12-03,20.00,20.01,19.81,19.93,19500,19.93
2013-12-02,20.32,20.51,20.16,20.26,17400,20.26
2013-11-29,19.95,20.00,19.80,20.00,8300,20.00
2013-11-27,20.18,20.36,20.09,20.30,14900,20.30
2013-11-26,20.10,20.17,19.62,20.17,31500,20.17
2013-11-25,20.37,20.39,20.03,20.10,33600,20.10
2013-11-22,20.92,21.19,20.92,21.18,53300,21.18
