Date,Open,High,Low,Close,Volume,Adj Close
2014-11-17,18.60,18.88,18.18,18.88,46100,18.88
2014-11-14,19.50,19.50,18.79,18.80,51000,18.80
2014-11-13,20.31,20.34,19.03,19.64,67300,19.64
2014-11-12,20.90,21.35,20.31,20.57,20700,20.57
2014-11-11,21.66,21.96,20.90,20.90,32900,20.90
2014-11-10,21.39,21.89,21.16,21.31,18000,21.31
2014-11-07,21.60,21.71,21.16,21.25,23300,21.25
2014-11-06,22.11,22.40,21.22,21.43,15000,21.43
2014-11-05,22.00,23.00,22.00,22.40,16100,21.99
2014-11-04,22.95,22.95,21.63,21.67,44900,21.28
2014-11-03,22.98,22.98,22.60,22.95,15500,22.53
2014-10-31,22.93,22.98,22.62,22.92,17700,22.50
2014-10-30,23.00,23.20,22.54,22.75,22200,22.34
2014-10-29,23.00,23.47,22.57,23.00,24500,22.58
2014-10-28,23.00,23.00,22.53,23.00,25500,22.58
2014-10-27,22.77,23.00,22.02,22.99,15900,22.57
2014-10-24,23.00,23.00,22.87,23.00,12600,22.58
2014-10-23,22.84,22.94,22.40,22.86,11900,22.45
2014-10-22,22.64,22.84,22.29,22.66,30100,22.25
2014-10-21,21.96,22.55,21.90,22.55,20300,22.14
2014-10-20,21.44,22.00,20.40,21.97,25400,21.57
2014-10-17,21.02,22.13,21.02,21.66,39200,21.27
2014-10-16,18.81,21.00,18.55,20.89,36200,20.51
2014-10-15,20.00,20.10,18.37,19.81,53600,19.45
2014-10-14,22.68,22.90,19.31,20.15,145300,19.78
2014-10-13,19.43,21.00,19.02,20.60,80500,20.23
2014-10-10,20.22,20.22,17.01,19.21,136700,18.86
2014-10-09,22.75,22.75,20.40,20.56,103000,20.19
2014-10-08,23.39,23.59,22.51,22.75,45700,22.34
2014-10-07,23.99,23.99,23.55,23.59,17300,23.16
2014-10-06,23.87,24.05,23.68,23.87,14800,23.44
2014-10-03,24.34,24.45,24.00,24.00,10600,23.57
2014-10-02,24.59,24.85,23.85,24.09,29700,23.65
2014-10-01,24.84,24.93,24.20,24.22,23400,23.78
2014-09-30,25.00,25.00,24.69,24.70,17300,24.25
2014-09-29,24.93,25.00,24.74,25.00,23900,24.55
2014-09-26,24.92,25.00,24.78,24.95,19700,24.50
2014-09-25,24.65,25.00,24.54,24.95,33000,24.50
2014-09-24,24.71,24.88,24.28,24.42,22800,23.98
2014-09-23,24.31,24.95,24.30,24.90,27200,24.45
2014-09-22,24.75,24.76,24.11,24.23,17000,23.79
2014-09-19,24.23,24.66,24.12,24.32,21400,23.88
2014-09-18,24.90,24.95,24.21,24.34,27900,23.90
2014-09-17,24.01,24.57,23.88,24.50,31000,24.06
2014-09-16,23.54,24.30,23.54,24.29,29400,23.85
2014-09-15,24.34,24.34,23.40,23.44,27200,23.02
2014-09-12,24.41,24.63,23.92,24.11,8100,23.67
2014-09-11,24.51,24.74,23.76,24.51,28500,24.07
2014-09-10,24.75,24.75,24.30,24.69,41000,24.24
2014-09-09,24.72,24.95,24.53,24.53,32500,24.09
2014-09-08,25.00,25.00,24.53,24.70,19000,24.25
2014-09-05,25.12,25.60,24.97,24.97,29300,24.52
2014-09-04,24.87,25.78,24.74,25.14,66900,24.68
2014-09-03,25.20,25.20,24.38,24.56,15000,24.11
2014-09-02,24.99,25.22,24.50,25.22,23300,24.76
2014-08-29,25.06,25.16,25.00,25.13,20500,24.67
2014-08-28,24.57,25.10,24.42,25.09,15600,24.64
2014-08-27,24.33,24.85,24.19,24.44,13400,24.00
2014-08-26,24.51,24.54,24.14,24.32,23400,23.88
2014-08-25,24.86,25.11,24.38,24.50,46300,24.06
2014-08-22,25.02,25.25,24.29,24.93,18200,24.48
2014-08-21,24.66,25.31,24.50,25.15,15700,24.69
2014-08-20,24.93,24.93,24.36,24.72,23700,24.27
2014-08-19,24.51,24.85,24.50,24.64,20600,24.19
2014-08-18,24.50,24.70,24.31,24.52,19200,24.08
2014-08-15,23.25,24.50,23.25,24.43,58000,23.99
2014-08-14,23.83,24.14,23.80,23.83,18300,23.40
2014-08-13,23.38,23.70,23.11,23.70,20400,23.27
2014-08-12,23.00,23.39,22.74,23.25,27700,22.83
2014-08-11,23.00,23.39,22.84,23.25,31200,22.83
2014-08-08,23.41,23.41,22.40,22.89,29400,22.48
2014-08-07,22.98,23.34,22.59,23.01,8000,22.59
2014-08-06,22.60,22.98,22.10,22.98,11600,22.56
2014-08-05,22.65,22.97,22.61,22.96,12100,22.15
2014-08-04,22.32,23.23,22.32,22.61,28400,21.82
