Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,2.70,2.70,2.67,2.69,25200,2.69
2014-11-17,2.71,2.72,2.70,2.70,26600,2.70
2014-11-14,2.72,2.73,2.71,2.71,103800,2.71
2014-11-13,2.73,2.73,2.71,2.72,57900,2.72
2014-11-12,2.71,2.74,2.71,2.73,69100,2.73
2014-11-11,2.74,2.75,2.73,2.73,24300,2.73
2014-11-10,2.75,2.75,2.74,2.74,58100,2.74
2014-11-07,2.78,2.78,2.75,2.75,69200,2.75
2014-11-06,2.77,2.79,2.76,2.78,35400,2.78
2014-11-05,2.75,2.76,2.75,2.76,22100,2.76
2014-11-04,2.78,2.78,2.75,2.77,23700,2.77
2014-11-03,2.77,2.78,2.76,2.77,46300,2.77
2014-10-31,2.78,2.78,2.77,2.78,25300,2.78
2014-10-30,2.79,2.79,2.67,2.76,118400,2.76
2014-10-29,2.78,2.79,2.76,2.79,29400,2.79
2014-10-28,2.76,2.77,2.75,2.77,24000,2.77
2014-10-27,2.76,2.76,2.74,2.74,43000,2.74
2014-10-24,2.76,2.77,2.75,2.77,20400,2.77
2014-10-23,2.73,2.76,2.73,2.76,82800,2.76
2014-10-22,2.73,2.75,2.73,2.74,52800,2.74
2014-10-21,2.74,2.75,2.73,2.74,18000,2.74
2014-10-20,2.70,2.72,2.70,2.72,41100,2.72
2014-10-17,2.66,2.70,2.63,2.70,106200,2.70
2014-10-16,2.61,2.66,2.60,2.64,30500,2.64
2014-10-15,2.62,2.67,2.59,2.62,75700,2.62
2014-10-14,2.63,2.67,2.63,2.63,65000,2.63
2014-10-13,2.69,2.71,2.65,2.65,102300,2.63
2014-10-10,2.73,2.74,2.70,2.70,52000,2.68
2014-10-09,2.77,2.78,2.72,2.73,48600,2.71
2014-10-08,2.76,2.79,2.75,2.77,82400,2.75
2014-10-07,2.77,2.77,2.76,2.77,19400,2.75
2014-10-06,2.74,2.77,2.73,2.77,156900,2.75
2014-10-03,2.72,2.75,2.72,2.74,71500,2.72
2014-10-02,2.72,2.73,2.71,2.72,42600,2.70
2014-10-01,2.72,2.74,2.72,2.73,22700,2.71
2014-09-30,2.72,2.73,2.71,2.72,29800,2.70
2014-09-29,2.70,2.72,2.70,2.72,56600,2.70
2014-09-26,2.73,2.73,2.71,2.73,32000,2.71
2014-09-25,2.74,2.75,2.71,2.73,55400,2.71
2014-09-24,2.75,2.75,2.74,2.74,61900,2.72
2014-09-23,2.75,2.76,2.74,2.74,47200,2.72
2014-09-22,2.76,2.77,2.75,2.75,32500,2.73
2014-09-19,2.77,2.79,2.76,2.76,57600,2.74
2014-09-18,2.78,2.79,2.76,2.77,38200,2.75
2014-09-17,2.78,2.79,2.78,2.78,52400,2.76
2014-09-16,2.77,2.80,2.77,2.79,54200,2.77
2014-09-15,2.82,2.82,2.81,2.81,24500,2.78
2014-09-12,2.82,2.83,2.81,2.81,33500,2.78
2014-09-11,2.82,2.82,2.81,2.82,37400,2.79
2014-09-10,2.82,2.82,2.81,2.82,201100,2.79
2014-09-09,2.84,2.84,2.80,2.81,152700,2.78
2014-09-08,2.83,2.84,2.82,2.83,56000,2.80
2014-09-05,2.84,2.85,2.84,2.84,38500,2.81
2014-09-04,2.86,2.86,2.85,2.85,121600,2.82
2014-09-03,2.86,2.87,2.86,2.86,95500,2.83
2014-09-02,2.85,2.87,2.85,2.86,44000,2.83
2014-08-29,2.86,2.86,2.85,2.85,30100,2.82
2014-08-28,2.85,2.86,2.85,2.85,56600,2.82
2014-08-27,2.85,2.87,2.84,2.84,63000,2.81
2014-08-26,2.85,2.87,2.85,2.86,77200,2.83
2014-08-25,2.88,2.88,2.86,2.87,30300,2.84
2014-08-22,2.87,2.88,2.85,2.87,48200,2.84
2014-08-21,2.86,2.88,2.84,2.88,131600,2.85
2014-08-20,2.88,2.88,2.86,2.86,59400,2.83
2014-08-19,2.85,2.88,2.85,2.87,67100,2.84
2014-08-18,2.88,2.89,2.87,2.87,49800,2.84
2014-08-15,2.86,2.88,2.85,2.85,35700,2.82
2014-08-14,2.86,2.88,2.85,2.87,32500,2.84
2014-08-13,2.86,2.87,2.85,2.86,56500,2.83
2014-08-12,2.86,2.87,2.85,2.87,8700,2.84
2014-08-11,2.85,2.90,2.85,2.88,71000,2.83
2014-08-08,2.83,2.86,2.83,2.85,18400,2.80
2014-08-07,2.82,2.84,2.81,2.82,19100,2.77
2014-08-06,2.81,2.84,2.80,2.80,33300,2.75
2014-08-05,2.81,2.85,2.81,2.82,85300,2.77
2014-08-04,2.84,2.85,2.81,2.81,22800,2.76
2014-08-01,2.85,2.87,2.81,2.84,86300,2.79
2014-07-31,2.93,2.93,2.86,2.86,82900,2.81
2014-07-30,2.93,2.94,2.91,2.92,20700,2.87
2014-07-29,2.94,2.94,2.93,2.94,20000,2.89
2014-07-28,2.94,2.95,2.89,2.95,118200,2.90
2014-07-25,2.90,2.94,2.89,2.94,43600,2.89
2014-07-24,2.93,2.93,2.90,2.90,26700,2.85
2014-07-23,2.89,2.94,2.89,2.94,85700,2.89
2014-07-22,2.90,2.91,2.89,2.91,48100,2.86
2014-07-21,2.90,2.90,2.89,2.89,29100,2.84
2014-07-18,2.89,2.90,2.89,2.90,22000,2.85
2014-07-17,2.91,2.91,2.89,2.89,65000,2.84
2014-07-16,2.92,2.92,2.90,2.92,22400,2.87
2014-07-15,2.93,2.93,2.91,2.91,17500,2.86
2014-07-14,2.92,2.95,2.92,2.95,54800,2.88
2014-07-11,2.91,2.93,2.91,2.93,40000,2.86
2014-07-10,2.90,2.91,2.90,2.90,34600,2.83
2014-07-09,2.93,2.93,2.91,2.91,33700,2.84
2014-07-08,2.92,2.93,2.91,2.91,24400,2.84
2014-07-07,2.94,2.94,2.91,2.91,52200,2.84
2014-07-03,2.92,2.94,2.92,2.93,18900,2.86
2014-07-02,2.93,2.94,2.91,2.93,68700,2.86
2014-07-01,2.94,2.96,2.93,2.93,35000,2.86
2014-06-30,2.95,2.95,2.94,2.94,27400,2.87
2014-06-27,2.94,2.95,2.94,2.94,26700,2.87
2014-06-26,2.95,2.97,2.94,2.94,29900,2.87
2014-06-25,2.95,2.96,2.94,2.96,31300,2.89
2014-06-24,2.94,2.96,2.93,2.96,62100,2.89
2014-06-23,2.93,2.95,2.93,2.95,38100,2.88
2014-06-20,2.92,2.94,2.92,2.94,25700,2.87
2014-06-19,2.93,2.94,2.91,2.93,22000,2.86
2014-06-18,2.91,2.94,2.91,2.94,52500,2.87
2014-06-17,2.93,2.93,2.92,2.92,23200,2.85
2014-06-16,2.95,2.95,2.93,2.95,11600,2.86
2014-06-13,2.95,2.95,2.93,2.94,10800,2.85
2014-06-12,2.92,2.95,2.92,2.95,55100,2.86
2014-06-11,2.93,2.93,2.92,2.93,22300,2.84
2014-06-10,2.92,2.94,2.92,2.92,26600,2.83
2014-06-09,2.93,2.94,2.92,2.93,45900,2.84
2014-06-06,2.94,2.95,2.92,2.94,62300,2.85
2014-06-05,2.91,2.94,2.90,2.94,86000,2.85
2014-06-04,2.92,2.92,2.91,2.91,35500,2.82
2014-06-03,2.93,2.94,2.92,2.93,25000,2.84
2014-06-02,2.92,2.93,2.92,2.92,35800,2.83
2014-05-30,2.94,2.94,2.92,2.92,26300,2.83
2014-05-29,2.92,2.94,2.91,2.92,76400,2.83
2014-05-28,2.90,2.93,2.90,2.92,41700,2.83
2014-05-27,2.92,2.93,2.92,2.92,45600,2.83
2014-05-23,2.93,2.94,2.93,2.93,13500,2.84
2014-05-22,2.94,2.94,2.93,2.94,5400,2.85
2014-05-21,2.91,2.94,2.91,2.94,25200,2.85
2014-05-20,2.91,2.92,2.91,2.92,35800,2.83
2014-05-19,2.92,2.92,2.91,2.92,48400,2.83
2014-05-16,2.92,2.93,2.92,2.92,9500,2.83
2014-05-15,2.95,2.96,2.92,2.93,45800,2.84
2014-05-14,2.92,2.96,2.92,2.96,15600,2.87
2014-05-13,2.92,2.94,2.90,2.93,62500,2.84
2014-05-12,2.95,2.97,2.95,2.95,22600,2.84
2014-05-09,2.97,2.99,2.93,2.96,26400,2.85
2014-05-08,2.95,2.99,2.95,2.98,29000,2.87
2014-05-07,2.96,2.98,2.95,2.96,39000,2.85
2014-05-06,2.95,2.96,2.95,2.96,5900,2.85
2014-05-05,2.95,2.96,2.94,2.96,44900,2.85
2014-05-02,2.97,2.97,2.94,2.94,33000,2.83
2014-05-01,2.94,2.99,2.94,2.97,120900,2.86
2014-04-30,2.92,2.95,2.92,2.95,47600,2.84
2014-04-29,2.94,2.94,2.93,2.93,19800,2.83
2014-04-28,2.94,2.94,2.91,2.93,69500,2.83
2014-04-25,2.94,2.96,2.92,2.94,54900,2.83
2014-04-24,2.94,2.95,2.92,2.93,18600,2.83
2014-04-23,2.93,2.95,2.93,2.95,33900,2.84
2014-04-22,2.91,2.93,2.90,2.93,59400,2.83
2014-04-21,2.88,2.92,2.88,2.92,37400,2.82
2014-04-17,2.90,2.90,2.89,2.90,25400,2.80
2014-04-16,2.92,2.92,2.90,2.91,33300,2.81
2014-04-15,2.88,2.91,2.88,2.90,65100,2.80
2014-04-14,2.91,2.92,2.88,2.91,62200,2.79
2014-04-11,2.92,2.93,2.90,2.91,17400,2.79
2014-04-10,2.92,2.93,2.92,2.93,29400,2.81
2014-04-09,2.92,2.94,2.92,2.93,25100,2.81
2014-04-08,2.92,2.94,2.92,2.93,40400,2.81
2014-04-07,2.90,2.93,2.90,2.93,37000,2.81
2014-04-04,2.92,2.94,2.90,2.90,20100,2.78
2014-04-03,2.92,2.93,2.89,2.90,34200,2.78
2014-04-02,2.93,2.96,2.92,2.92,20600,2.80
2014-04-01,2.97,2.97,2.93,2.94,53000,2.82
2014-03-31,2.91,2.96,2.89,2.95,89900,2.83
2014-03-28,2.89,2.91,2.89,2.90,39500,2.78
2014-03-27,2.89,2.90,2.88,2.88,65900,2.76
2014-03-26,2.88,2.91,2.88,2.90,60400,2.78
2014-03-25,2.88,2.90,2.83,2.90,62400,2.78
2014-03-24,2.90,2.90,2.87,2.87,28600,2.75
2014-03-21,2.90,2.91,2.88,2.90,50100,2.78
2014-03-20,2.90,2.90,2.89,2.90,17400,2.78
2014-03-19,2.91,2.92,2.89,2.90,21200,2.78
2014-03-18,2.91,2.91,2.88,2.91,53200,2.79
2014-03-17,2.91,2.92,2.90,2.91,43700,2.77
2014-03-14,2.90,2.91,2.89,2.91,61000,2.77
2014-03-13,2.90,2.91,2.89,2.89,31000,2.75
2014-03-12,2.91,2.91,2.89,2.90,55000,2.76
2014-03-11,2.92,2.92,2.90,2.92,63900,2.78
2014-03-10,2.91,2.92,2.90,2.92,74800,2.78
2014-03-07,2.94,2.94,2.90,2.90,56700,2.76
2014-03-06,2.92,2.94,2.91,2.94,61200,2.80
2014-03-05,2.93,2.93,2.92,2.93,68200,2.79
2014-03-04,2.92,2.93,2.91,2.92,67000,2.78
2014-03-03,2.91,2.93,2.91,2.91,53300,2.77
2014-02-28,2.94,2.94,2.91,2.91,51700,2.77
2014-02-27,2.90,2.93,2.89,2.93,59500,2.79
2014-02-26,2.92,2.94,2.90,2.91,37300,2.77
2014-02-25,2.91,2.92,2.90,2.92,44500,2.78
2014-02-24,2.90,2.92,2.90,2.90,52900,2.76
2014-02-21,2.90,2.92,2.89,2.92,27200,2.78
2014-02-20,2.91,2.91,2.88,2.89,56500,2.75
2014-02-19,2.92,2.92,2.91,2.92,38900,2.78
2014-02-18,2.93,2.94,2.90,2.92,47200,2.78
2014-02-14,2.92,2.94,2.91,2.93,13100,2.77
2014-02-13,2.94,2.94,2.92,2.93,23500,2.77
2014-02-12,2.90,2.95,2.90,2.93,190000,2.77
2014-02-11,2.88,2.91,2.87,2.91,34200,2.75
2014-02-10,2.87,2.90,2.86,2.89,104100,2.73
2014-02-07,2.85,2.86,2.84,2.86,77300,2.70
2014-02-06,2.83,2.89,2.82,2.85,78200,2.69
2014-02-05,2.82,2.84,2.82,2.83,55600,2.67
2014-02-04,2.82,2.83,2.81,2.82,74500,2.67
2014-02-03,2.82,2.83,2.81,2.81,118800,2.66
2014-01-31,2.85,2.85,2.81,2.82,54000,2.67
2014-01-30,2.84,2.84,2.83,2.83,26200,2.67
2014-01-29,2.85,2.87,2.82,2.82,41500,2.67
2014-01-28,2.86,2.88,2.85,2.86,39500,2.70
2014-01-27,2.89,2.89,2.85,2.85,61600,2.69
2014-01-24,2.91,2.92,2.88,2.88,31400,2.72
2014-01-23,2.90,2.93,2.89,2.93,57700,2.77
2014-01-22,2.89,2.91,2.89,2.89,31100,2.73
2014-01-21,2.88,2.91,2.88,2.90,46000,2.74
2014-01-17,2.89,2.90,2.87,2.90,32100,2.74
2014-01-16,2.88,2.91,2.85,2.88,204100,2.72
2014-01-15,2.85,2.87,2.85,2.86,38400,2.70
2014-01-14,2.88,2.88,2.85,2.86,44800,2.70
2014-01-13,2.90,2.91,2.90,2.91,50900,2.73
2014-01-10,2.89,2.91,2.88,2.91,29800,2.73
2014-01-09,2.88,2.88,2.87,2.87,33700,2.69
2014-01-08,2.88,2.89,2.87,2.87,41400,2.69
2014-01-07,2.89,2.90,2.88,2.88,50300,2.70
2014-01-06,2.90,2.91,2.89,2.89,51700,2.71
2014-01-03,2.90,2.92,2.90,2.90,42700,2.72
2014-01-02,2.90,2.91,2.88,2.91,74600,2.73
2013-12-31,2.90,2.91,2.86,2.89,76600,2.71
2013-12-30,2.88,2.91,2.87,2.87,85300,2.69
2013-12-27,2.92,2.92,2.88,2.88,47000,2.70
2013-12-26,2.92,3.01,2.91,2.93,83100,2.75
2013-12-24,2.92,2.93,2.89,2.92,24500,2.74
2013-12-23,2.88,2.96,2.86,2.93,131800,2.75
2013-12-20,2.88,2.91,2.84,2.88,157500,2.70
2013-12-19,2.84,2.88,2.82,2.87,204200,2.69
2013-12-18,2.84,2.86,2.83,2.85,138100,2.68
2013-12-17,2.81,2.86,2.79,2.85,363600,2.68
2013-12-16,2.84,2.84,2.81,2.82,90200,2.62
2013-12-13,2.85,2.85,2.81,2.81,53200,2.61
2013-12-12,2.80,2.84,2.80,2.83,155900,2.63
2013-12-11,2.82,2.82,2.79,2.80,66900,2.60
2013-12-10,2.81,2.83,2.78,2.79,62600,2.59
2013-12-09,2.80,2.84,2.79,2.80,85900,2.60
2013-12-06,2.81,2.84,2.80,2.81,145500,2.61
2013-12-05,2.81,2.85,2.79,2.83,95000,2.63
2013-12-04,2.78,2.81,2.78,2.81,56900,2.61
2013-12-03,2.77,2.80,2.77,2.80,43600,2.60
2013-12-02,2.79,2.81,2.79,2.80,26800,2.60
2013-11-29,2.80,2.80,2.78,2.80,24100,2.60
2013-11-27,2.78,2.79,2.77,2.79,32200,2.59
2013-11-26,2.77,2.79,2.74,2.79,116500,2.59
2013-11-25,2.79,2.79,2.77,2.78,47000,2.58
2013-11-22,2.80,2.80,2.78,2.79,79800,2.59
2013-11-21,2.78,2.81,2.78,2.81,48900,2.61
2013-11-20,2.80,2.80,2.78,2.78,24300,2.58
2013-11-19,2.80,2.80,2.77,2.80,61900,2.60
2013-11-18,2.82,2.82,2.79,2.80,45800,2.60
2013-11-15,2.78,2.83,2.77,2.81,118400,2.61
2013-11-14,2.82,2.83,2.78,2.83,53200,2.63
2013-11-13,2.81,2.83,2.79,2.83,40200,2.63
2013-11-12,2.85,2.85,2.82,2.83,14700,2.63
2013-11-11,2.84,2.85,2.82,2.84,46700,2.62
