Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,98.35,100.16,98.26,98.52,780100,98.52
2014-11-17,96.96,98.09,96.65,98.02,816500,98.02
2014-11-14,96.99,98.31,96.17,96.59,624400,96.59
2014-11-13,96.78,98.01,95.90,97.31,719400,97.31
2014-11-12,95.16,97.59,95.00,97.50,894800,97.50
2014-11-11,93.95,95.24,93.55,95.16,673300,95.16
2014-11-10,91.96,94.07,91.15,93.75,725600,93.75
2014-11-07,93.18,93.62,90.80,91.72,823700,91.72
2014-11-06,92.87,94.24,92.84,93.56,425300,93.56
2014-11-05,92.94,93.20,91.21,92.49,652500,92.49
2014-11-04,91.68,93.33,91.09,92.04,617700,92.04
2014-11-03,93.21,93.34,91.35,91.57,1169200,91.57
2014-10-31,91.00,94.90,90.93,92.67,1842500,92.67
2014-10-30,89.96,90.99,89.69,90.00,1180000,90.00
2014-10-29,91.10,92.16,89.31,89.85,1429700,89.85
2014-10-28,79.00,89.48,78.38,88.65,2170700,88.65
2014-10-27,81.98,82.32,81.23,82.22,586400,82.22
2014-10-24,82.85,82.85,81.34,81.88,685300,81.88
2014-10-23,82.29,83.85,82.15,82.96,556900,82.96
2014-10-22,82.87,83.49,81.45,81.48,367700,81.48
2014-10-21,80.36,82.76,80.36,82.56,424700,82.56
2014-10-20,78.85,80.08,78.16,80.04,560600,80.04
2014-10-17,78.82,79.35,78.40,78.83,567100,78.83
2014-10-16,77.20,79.86,76.68,78.29,965600,78.29
2014-10-15,75.82,78.75,75.06,77.92,851600,77.92
2014-10-14,77.90,77.90,75.46,77.26,795200,77.26
2014-10-13,78.19,79.90,77.64,77.71,627100,77.71
2014-10-10,80.97,81.41,78.54,78.60,831700,78.60
2014-10-09,82.25,82.25,80.81,80.84,450900,80.84
2014-10-08,79.74,82.33,79.74,82.31,554600,82.31
2014-10-07,80.32,81.14,79.96,79.98,677600,79.98
2014-10-06,82.40,83.38,80.59,80.64,686600,80.64
2014-10-03,81.11,82.92,80.67,82.19,635200,82.19
2014-10-02,81.28,81.63,79.55,80.69,770200,80.69
2014-10-01,82.74,82.84,81.01,81.45,652500,81.45
2014-09-30,83.63,83.78,82.44,82.71,554500,82.71
2014-09-29,82.36,83.97,81.95,83.72,697900,83.72
2014-09-26,82.56,83.17,82.13,82.81,439000,82.81
2014-09-25,82.91,83.45,81.77,82.39,694100,82.39
2014-09-24,81.43,83.32,81.32,83.25,878400,83.25
2014-09-23,81.67,81.82,81.03,81.48,566200,81.48
2014-09-22,81.29,82.23,81.26,81.80,1289600,81.80
2014-09-19,81.30,81.93,80.97,81.78,1299800,81.78
2014-09-18,80.00,81.37,79.76,81.25,770200,81.25
2014-09-17,78.87,79.97,78.65,79.85,1376600,79.85
2014-09-16,76.91,79.01,76.77,78.95,993000,78.95
2014-09-15,77.79,78.14,77.05,77.21,446300,77.21
2014-09-12,78.70,78.70,77.09,77.66,684400,77.66
2014-09-11,79.02,79.37,77.97,78.64,909800,78.64
2014-09-10,79.26,79.61,78.14,79.49,763600,79.49
2014-09-09,79.02,79.69,78.73,79.35,735300,79.35
2014-09-08,77.85,79.12,77.35,78.93,616700,78.93
2014-09-05,76.31,77.89,76.24,77.85,567100,77.85
2014-09-04,76.19,78.22,76.10,76.49,847300,76.49
2014-09-03,77.35,77.99,75.82,76.08,8919200,76.08
2014-09-02,78.07,78.18,77.02,77.34,446000,77.34
2014-08-29,77.88,78.52,77.54,78.13,502300,78.13
2014-08-28,76.21,78.24,76.19,77.82,737800,77.82
2014-08-27,75.18,76.15,74.57,75.63,495800,75.63
2014-08-26,75.66,76.31,75.20,75.45,795400,75.45
2014-08-25,75.92,76.22,75.35,75.38,254700,75.38
2014-08-22,75.94,75.97,74.68,75.51,431700,75.51
2014-08-21,76.15,76.52,75.83,76.42,698700,76.42
2014-08-20,75.04,76.09,74.80,76.05,311300,76.05
2014-08-19,74.58,75.48,74.07,75.40,335400,75.40
2014-08-18,74.11,74.42,73.38,74.29,248500,74.29
2014-08-15,74.55,74.55,73.16,73.69,646100,73.69
2014-08-14,73.35,74.33,73.12,74.11,366300,74.11
2014-08-13,72.51,74.17,72.51,73.54,523900,73.54
2014-08-12,72.30,74.88,71.88,72.40,591100,72.40
2014-08-11,72.48,72.60,71.63,72.24,848100,72.24
2014-08-08,71.35,72.66,71.01,72.41,359400,72.41
2014-08-07,73.23,73.25,71.19,71.38,496300,71.38
2014-08-06,71.50,73.86,70.98,73.44,720400,73.44
2014-08-05,72.74,72.74,71.09,71.72,687700,71.72
2014-08-04,71.78,73.09,71.52,72.84,529200,72.84
2014-08-01,72.11,73.18,71.72,71.98,481500,71.98
2014-07-31,73.50,73.50,71.68,72.09,1425500,72.09
2014-07-30,76.52,76.75,73.03,74.02,1670200,74.02
2014-07-29,75.53,75.53,74.09,74.78,775300,74.78
2014-07-28,74.29,75.82,74.23,75.54,1365200,75.54
2014-07-25,73.58,75.29,72.20,74.21,3117700,74.21
2014-07-24,79.92,80.68,79.56,79.64,949800,79.64
2014-07-23,80.07,80.36,79.34,79.93,724000,79.93
2014-07-22,81.15,81.98,78.70,79.98,1570000,79.98
2014-07-21,77.00,77.07,75.34,75.58,1594500,75.58
2014-07-18,77.89,78.39,76.98,77.42,1138400,77.42
2014-07-17,75.81,79.40,75.60,77.98,768600,77.98
2014-07-16,77.73,77.97,76.39,76.40,580000,76.40
2014-07-15,76.88,77.49,76.68,77.09,514100,77.09
2014-07-14,77.48,78.82,77.00,77.10,518000,77.10
2014-07-11,77.05,77.35,75.76,76.56,836200,76.56
2014-07-10,76.38,77.89,76.09,77.11,688300,77.11
2014-07-09,77.23,77.75,76.19,76.62,690100,76.62
2014-07-08,78.72,78.72,76.96,76.96,553500,76.96
2014-07-07,80.01,80.37,78.56,78.83,874100,78.83
2014-07-03,79.73,80.83,79.28,80.40,1089800,80.40
2014-07-02,78.29,79.73,77.16,79.63,1090500,79.63
2014-07-01,75.80,78.19,75.80,77.89,637700,77.89
2014-06-30,74.59,75.80,74.47,75.61,624700,75.61
2014-06-27,74.77,75.05,73.49,74.80,4747000,74.80
2014-06-26,75.18,75.18,74.14,74.83,369200,74.83
2014-06-25,73.68,74.78,73.00,74.73,693700,74.73
2014-06-24,76.28,76.28,73.60,73.66,765600,73.66
2014-06-23,76.42,76.61,75.78,76.24,525900,76.24
2014-06-20,76.57,76.84,75.02,76.22,905500,76.22
