Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,0.59,0.63,0.59,0.60,694000,0.60
2014-11-17,0.65,0.65,0.60,0.62,250000,0.62
2014-11-14,0.61,0.65,0.59,0.65,490900,0.65
2014-11-13,0.63,0.65,0.61,0.61,455500,0.61
2014-11-12,0.65,0.66,0.61,0.64,301200,0.64
2014-11-11,0.60,0.64,0.60,0.63,137500,0.63
2014-11-10,0.63,0.64,0.62,0.63,281800,0.63
2014-11-07,0.66,0.67,0.60,0.60,606000,0.60
2014-11-06,0.64,0.68,0.63,0.65,334700,0.65
2014-11-05,0.65,0.66,0.63,0.66,287700,0.66
2014-11-04,0.69,0.69,0.63,0.63,397800,0.63
2014-11-03,0.69,0.70,0.67,0.68,280600,0.68
2014-10-31,0.70,0.70,0.66,0.68,142900,0.68
2014-10-30,0.67,0.69,0.63,0.69,359300,0.69
2014-10-29,0.65,0.66,0.65,0.66,134700,0.66
2014-10-28,0.66,0.66,0.63,0.65,629000,0.65
2014-10-27,0.69,0.69,0.65,0.67,542800,0.67
2014-10-24,0.67,0.72,0.66,0.66,1519600,0.66
2014-10-23,0.68,0.72,0.67,0.69,623700,0.69
2014-10-22,0.72,0.72,0.67,0.67,752600,0.67
2014-10-21,0.72,0.72,0.65,0.69,3404500,0.69
2014-10-20,0.84,0.89,0.80,0.85,280800,0.85
2014-10-17,0.83,0.85,0.82,0.85,137700,0.85
2014-10-16,0.77,0.86,0.76,0.83,281400,0.83
2014-10-15,0.78,0.79,0.76,0.79,152300,0.79
2014-10-14,0.80,0.81,0.76,0.76,249000,0.76
2014-10-13,0.81,0.82,0.77,0.79,268900,0.79
2014-10-10,0.79,0.82,0.75,0.81,181900,0.81
2014-10-09,0.80,0.83,0.80,0.81,180600,0.81
2014-10-08,0.83,0.84,0.78,0.80,221600,0.80
2014-10-07,0.82,0.84,0.80,0.82,187700,0.82
2014-10-06,0.91,0.91,0.82,0.84,302200,0.84
2014-10-03,0.90,0.91,0.86,0.90,190800,0.90
2014-10-02,0.89,0.90,0.87,0.89,137100,0.89
2014-10-01,0.91,0.91,0.84,0.86,241500,0.86
