Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,25.61,25.95,25.31,25.34,254000,25.34
2014-11-17,26.07,26.38,25.60,25.62,204800,25.62
2014-11-14,26.50,26.66,26.10,26.17,229000,26.17
2014-11-13,27.11,27.11,25.96,26.49,294100,26.49
2014-11-12,27.07,27.22,26.83,27.17,393600,27.17
2014-11-11,26.67,27.29,26.44,26.96,279900,26.96
2014-11-10,26.50,26.70,26.25,26.69,306200,26.69
2014-11-07,26.06,26.46,25.91,26.45,330400,26.45
2014-11-06,25.96,26.18,25.84,25.99,156100,25.99
2014-11-05,26.48,26.56,25.80,25.88,174300,25.88
2014-11-04,26.54,26.57,25.81,26.24,225700,26.24
2014-11-03,26.45,26.81,26.05,26.66,604900,26.66
2014-10-31,26.19,26.98,25.77,25.96,604200,25.96
2014-10-30,24.19,25.81,23.96,25.61,1192300,25.61
2014-10-29,23.05,23.64,22.85,23.63,453000,23.63
2014-10-28,22.47,23.06,22.39,23.02,311000,23.02
2014-10-27,22.00,22.43,21.82,22.40,225500,22.40
2014-10-24,22.40,22.57,22.15,22.21,185700,22.21
2014-10-23,22.42,22.75,22.28,22.42,224000,22.42
2014-10-22,22.73,22.90,22.18,22.20,201400,22.20
2014-10-21,22.47,22.93,22.43,22.66,285300,22.66
2014-10-20,21.11,22.36,21.03,22.36,342300,22.36
2014-10-17,21.35,21.63,21.06,21.10,212800,21.10
2014-10-16,19.89,21.08,19.89,21.05,310000,21.05
2014-10-15,20.11,20.25,19.59,20.21,335800,20.21
2014-10-14,21.46,21.82,20.36,20.40,501900,20.40
2014-10-13,21.66,21.79,21.06,21.44,455000,21.44
2014-10-10,22.65,22.80,21.67,21.68,553200,21.68
2014-10-09,22.65,22.85,22.45,22.77,745100,22.77
2014-10-08,22.12,22.64,21.87,22.59,434400,22.59
2014-10-07,22.00,22.29,21.79,22.08,379700,22.08
2014-10-06,22.06,22.25,21.98,22.00,235200,22.00
2014-10-03,22.00,22.28,21.91,22.00,339400,22.00
2014-10-02,22.01,22.17,21.20,21.95,599400,21.95
2014-10-01,22.72,22.87,21.97,22.01,346300,22.01
2014-09-30,23.07,23.20,22.57,22.76,1202500,22.76
2014-09-29,23.09,23.50,22.91,23.14,899600,23.14
2014-09-26,23.11,23.48,23.02,23.28,257900,23.28
2014-09-25,23.08,23.13,22.67,23.06,228900,23.06
2014-09-24,23.00,23.23,22.91,23.15,157200,23.15
2014-09-23,23.12,23.49,22.62,23.07,324600,23.07
2014-09-22,23.93,23.93,23.13,23.20,277300,23.20
2014-09-19,24.03,24.11,23.73,23.99,1069000,23.99
2014-09-18,24.03,24.12,23.82,23.93,386500,23.93
2014-09-17,23.44,24.01,23.39,23.94,475600,23.94
2014-09-16,23.25,23.63,22.84,23.48,534400,23.48
2014-09-15,23.41,23.64,22.96,23.28,234400,23.28
2014-09-12,24.00,24.00,23.43,23.45,263500,23.45
2014-09-11,23.74,24.16,23.54,24.00,393000,24.00
2014-09-10,23.46,24.13,23.46,23.83,731400,23.83
2014-09-09,24.31,24.38,23.74,23.89,694700,23.89
2014-09-08,24.66,24.81,24.09,24.31,486200,24.31
2014-09-05,24.97,24.99,24.61,24.65,266500,24.65
2014-09-04,25.15,25.29,24.98,25.07,196700,25.07
2014-09-03,25.41,25.48,24.99,25.10,425100,25.10
2014-09-02,25.30,25.82,24.93,25.35,458500,25.35
2014-08-29,25.04,25.26,24.61,25.02,285900,25.02
2014-08-28,24.64,25.22,24.49,25.06,174900,25.06
2014-08-27,25.03,25.03,24.58,24.76,75000,24.76
2014-08-26,25.03,25.25,24.85,24.93,202900,24.93
2014-08-25,24.93,25.12,24.90,25.01,141700,25.01
2014-08-22,24.38,24.85,24.33,24.76,269000,24.76
2014-08-21,24.43,24.59,24.20,24.41,131600,24.41
2014-08-20,24.50,24.60,24.22,24.50,228300,24.50
2014-08-19,25.09,25.09,24.54,24.62,391500,24.62
2014-08-18,25.18,25.34,24.95,25.00,154900,25.00
2014-08-15,25.20,25.20,24.79,25.00,163300,25.00
2014-08-14,25.00,25.11,24.80,25.00,108500,25.00
2014-08-13,25.12,25.14,24.88,25.00,294000,25.00
2014-08-12,25.58,25.80,24.87,24.99,302300,24.99
2014-08-11,25.45,26.12,25.45,25.69,566500,25.69
2014-08-08,24.81,25.36,24.75,25.31,335600,25.31
2014-08-07,25.14,25.23,24.71,24.75,292500,24.75
2014-08-06,25.07,25.35,25.04,25.06,132800,25.06
2014-08-05,25.53,25.73,24.63,25.12,431500,25.12
2014-08-04,25.99,26.33,25.59,25.88,498100,25.88
2014-08-01,25.07,25.44,24.66,24.95,507600,24.95
2014-07-31,25.67,25.75,24.05,24.96,1559400,24.96
2014-07-30,23.55,23.58,22.81,23.33,476600,23.33
2014-07-29,23.20,23.91,23.01,23.39,768600,23.39
2014-07-28,23.30,23.65,23.06,23.17,244000,23.17
2014-07-25,23.33,23.48,23.03,23.21,181200,23.21
2014-07-24,23.25,23.60,23.14,23.52,212700,23.52
2014-07-23,23.38,23.56,23.10,23.22,157500,23.22
2014-07-22,22.78,23.58,22.78,23.35,251800,23.35
2014-07-21,22.65,22.86,22.37,22.76,205900,22.76
2014-07-18,22.38,23.02,22.37,22.82,196900,22.82
