Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,30.28,30.66,30.25,30.39,14849600,30.39
2014-11-17,29.95,30.39,29.78,30.38,17902900,30.38
2014-11-14,29.44,30.13,29.44,30.05,18904400,30.05
2014-11-13,29.30,29.58,29.28,29.42,10442400,29.42
2014-11-12,28.91,29.44,28.78,29.43,9826900,29.43
2014-11-11,29.25,29.30,28.96,29.02,9052400,29.02
2014-11-10,29.10,29.24,28.97,29.16,8664600,29.16
2014-11-07,29.24,29.41,29.02,29.12,9587500,29.12
2014-11-06,29.03,29.34,28.93,29.31,11689400,29.31
2014-11-05,29.02,29.14,28.56,29.04,11200200,29.04
2014-11-04,29.02,29.25,28.90,28.91,8397700,28.91
2014-11-03,28.80,29.20,28.75,29.07,11257100,29.07
2014-10-31,28.71,28.89,28.60,28.73,12617100,28.73
2014-10-30,28.28,28.68,28.24,28.46,11946800,28.46
2014-10-29,28.51,28.82,28.23,28.35,9382100,28.35
2014-10-28,28.22,28.54,28.21,28.48,16894000,28.48
2014-10-27,28.18,28.44,28.12,28.26,10635200,28.26
2014-10-24,27.89,28.19,27.76,28.17,13506800,28.17
2014-10-23,27.64,27.85,27.28,27.70,16463200,27.70
2014-10-22,26.69,27.88,26.11,27.37,28059300,27.37
2014-10-21,27.15,27.30,26.89,27.20,18660700,27.20
2014-10-20,26.83,27.05,26.67,26.95,16439700,26.95
2014-10-17,27.08,27.36,26.92,27.11,15725200,27.11
2014-10-16,26.81,27.13,26.68,26.89,16424900,26.89
2014-10-15,27.00,27.43,26.65,27.27,23123300,27.27
2014-10-14,27.68,28.02,27.52,27.61,14650100,27.61
2014-10-13,27.93,28.05,27.54,27.54,15298200,27.54
2014-10-10,28.53,28.71,27.98,27.98,19879500,27.98
2014-10-09,28.54,28.85,28.29,28.39,17272100,28.39
2014-10-08,28.24,28.86,28.14,28.82,19900000,28.82
2014-10-07,28.56,28.57,28.12,28.13,14637500,28.13
2014-10-06,28.86,28.94,28.37,28.46,10540700,28.46
2014-10-03,28.61,28.79,28.58,28.64,8999300,28.64
2014-10-02,28.36,28.63,28.14,28.50,12321100,28.50
2014-10-01,29.13,29.20,28.39,28.43,20998400,28.43
2014-09-30,29.05,29.39,28.86,29.26,24442200,29.26
2014-09-29,28.62,28.99,28.53,28.83,14972100,28.83
2014-09-26,28.80,29.13,28.64,29.04,15659000,28.93
2014-09-25,29.65,29.72,28.75,28.81,19573400,28.70
2014-09-24,29.83,29.98,29.42,29.72,19571900,29.60
2014-09-23,29.62,30.08,29.58,29.85,21322300,29.73
2014-09-22,30.03,30.18,29.57,29.68,47340700,29.56
2014-09-19,29.83,29.94,29.51,29.53,22521500,29.41
2014-09-18,29.49,29.75,29.47,29.72,24194500,29.60
2014-09-17,29.60,29.69,29.18,29.45,13945000,29.33
2014-09-16,29.49,29.66,29.29,29.55,10109700,29.43
2014-09-15,29.67,29.67,29.30,29.46,16749800,29.34
2014-09-12,29.62,29.79,29.53,29.65,16326600,29.53
2014-09-11,29.62,29.89,29.45,29.69,18247300,29.57
2014-09-10,29.21,29.60,29.13,29.50,14852000,29.38
2014-09-09,29.34,29.41,29.16,29.22,11964400,29.10
2014-09-08,28.99,29.32,28.96,29.28,13291800,29.16
2014-09-05,29.03,29.07,28.79,29.03,10675700,28.92
2014-09-04,29.53,29.65,29.04,29.05,19848400,28.93
2014-09-03,29.59,29.68,29.44,29.54,10994000,29.42
2014-09-02,29.40,29.53,29.09,29.43,10560100,29.31
2014-08-29,29.45,29.60,29.29,29.53,6137300,29.41
2014-08-28,29.36,29.48,29.26,29.41,5060500,29.29
2014-08-27,29.56,29.64,29.35,29.44,6194100,29.32
2014-08-26,29.66,29.75,29.41,29.57,7541000,29.45
2014-08-25,29.74,29.87,29.54,29.66,10812000,29.54
2014-08-22,29.67,29.68,29.49,29.64,9539400,29.52
2014-08-21,29.77,29.95,29.61,29.62,10668400,29.50
2014-08-20,29.78,29.82,29.48,29.70,11459600,29.58
2014-08-19,29.91,29.96,29.78,29.89,8513200,29.77
2014-08-18,29.81,30.13,29.72,29.95,12177800,29.83
2014-08-15,29.84,29.89,29.52,29.73,15370800,29.61
