Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,9.73,9.94,9.34,9.44,534700,9.44
2014-11-17,10.40,10.44,9.55,9.64,440100,9.64
2014-11-14,9.99,10.47,9.92,10.38,375400,10.38
2014-11-13,10.32,10.75,9.75,10.02,460000,10.02
2014-11-12,9.64,10.41,9.49,10.21,447900,10.21
2014-11-11,10.05,10.71,9.44,9.64,982800,9.64
2014-11-10,10.12,10.25,9.71,10.09,287800,10.09
2014-11-07,10.20,10.45,9.70,10.14,358500,10.14
2014-11-06,10.49,10.80,9.81,10.02,470300,10.02
2014-11-05,11.39,11.68,9.15,10.41,1063100,10.41
2014-11-04,10.53,11.99,10.35,11.92,911600,11.92
2014-11-03,10.15,10.81,10.00,10.55,781300,10.55
2014-10-31,9.67,10.52,9.60,10.11,1072000,10.11
2014-10-30,9.60,9.80,9.32,9.54,403800,9.54
2014-10-29,9.58,10.16,9.45,9.52,711200,9.52
2014-10-28,8.79,9.69,8.55,9.62,1117700,9.62
2014-10-27,8.77,9.35,8.53,8.83,1186900,8.83
2014-10-24,8.91,9.45,8.32,8.81,1364900,8.81
2014-10-23,9.38,10.33,8.90,8.91,1288800,8.91
2014-10-22,10.50,10.75,9.24,9.30,1960900,9.30
2014-10-21,14.09,14.10,10.34,10.75,4482200,10.75
2014-10-20,9.08,13.98,9.05,12.68,8177000,12.68
2014-10-17,6.97,11.75,6.97,9.19,13962900,9.19
2014-10-16,4.57,5.97,4.55,5.57,3077300,5.57
2014-10-15,3.84,4.04,3.66,3.97,1064000,3.97
2014-10-14,4.34,4.43,3.68,3.82,1857200,3.82
2014-10-13,4.64,4.65,4.30,4.30,658400,4.30
2014-10-10,5.33,5.54,4.67,4.68,907400,4.68
2014-10-09,4.53,5.53,4.52,5.43,3130500,5.43
2014-10-08,4.23,4.53,4.16,4.51,1129700,4.51
2014-10-07,4.35,4.45,4.25,4.25,1269400,4.25
2014-10-06,4.46,4.62,4.25,4.32,1138100,4.32
2014-10-03,4.34,4.51,4.26,4.41,1087900,4.41
2014-10-02,4.24,4.50,4.18,4.41,923900,4.41
2014-10-01,4.26,4.29,4.15,4.18,962200,4.18
2014-09-30,4.35,4.52,4.26,4.29,3196900,4.29
2014-09-29,4.28,4.43,4.20,4.40,1254900,4.40
2014-09-26,4.36,4.43,4.15,4.34,1569700,4.34
2014-09-25,4.15,4.43,4.07,4.36,1689500,4.36
2014-09-24,4.21,4.25,4.08,4.15,1607500,4.15
2014-09-23,4.69,4.70,4.26,4.32,1821400,4.32
2014-09-22,4.95,4.99,4.73,4.74,1512900,4.74
2014-09-19,5.80,6.14,4.47,4.95,6230000,4.95
2014-09-18,7.71,7.87,7.61,7.65,389400,7.65
2014-09-17,7.75,7.81,7.60,7.70,510400,7.70
2014-09-16,7.91,7.91,7.60,7.66,625200,7.66
2014-09-15,7.98,8.00,7.84,7.91,294700,7.91
2014-09-12,7.99,8.01,7.76,7.94,301800,7.94
2014-09-11,7.80,8.02,7.78,7.97,455700,7.97
2014-09-10,8.01,8.22,7.64,7.79,1050300,7.79
2014-09-09,8.49,8.54,7.98,8.04,750900,8.04
2014-09-08,8.28,8.60,8.24,8.55,598500,8.55
2014-09-05,7.91,8.35,7.91,8.33,828300,8.33
2014-09-04,7.89,8.13,7.83,7.91,571500,7.91
2014-09-03,7.92,8.00,7.79,7.90,837900,7.90
2014-09-02,8.44,8.44,7.57,7.93,1632700,7.93
2014-08-29,8.16,8.43,8.10,8.43,315100,8.43
2014-08-28,8.46,8.46,8.08,8.11,444200,8.11
2014-08-27,8.38,8.50,8.25,8.50,368700,8.50
2014-08-26,8.43,8.52,8.25,8.35,642300,8.35
2014-08-25,8.90,8.91,8.42,8.42,576800,8.42
2014-08-22,8.79,8.95,8.62,8.89,399800,8.89
2014-08-21,8.79,8.94,8.68,8.82,499000,8.82
2014-08-20,8.92,8.95,8.67,8.84,475600,8.84
2014-08-19,8.54,8.94,8.54,8.92,584400,8.92
2014-08-18,8.41,8.69,8.41,8.54,575100,8.54
2014-08-15,8.46,8.59,8.33,8.40,443600,8.40
2014-08-14,8.37,8.56,8.37,8.44,398500,8.44
2014-08-13,8.61,8.80,8.25,8.33,717900,8.33
2014-08-12,8.96,9.08,8.54,8.58,880900,8.58
2014-08-11,8.66,8.92,8.43,8.86,930700,8.86
2014-08-08,8.31,8.65,8.22,8.59,835300,8.59
2014-08-07,8.65,8.74,8.26,8.31,1362500,8.31
2014-08-06,7.82,8.61,7.63,8.52,2385700,8.52
2014-08-05,8.00,8.49,7.62,7.82,5300300,7.82
2014-08-04,13.98,14.00,7.46,7.72,10244200,7.72
2014-08-01,14.23,14.46,14.06,14.31,467200,14.31
2014-07-31,14.53,14.66,14.21,14.23,288600,14.23
2014-07-30,14.59,14.79,14.47,14.59,312700,14.59
2014-07-29,14.75,14.85,14.55,14.56,301800,14.56
2014-07-28,14.82,14.87,14.56,14.71,222300,14.71
2014-07-25,14.80,15.00,14.70,14.80,271600,14.80
2014-07-24,15.21,15.32,14.70,14.85,463200,14.85
2014-07-23,15.30,15.40,15.01,15.17,768800,15.17
2014-07-22,15.32,15.50,15.27,15.30,268100,15.30
2014-07-21,15.58,15.58,15.17,15.23,422200,15.23
2014-07-18,15.40,15.68,15.35,15.55,325500,15.55
2014-07-17,15.49,15.84,15.24,15.52,543100,15.52
2014-07-16,15.89,16.08,15.54,15.63,641400,15.63
2014-07-15,15.76,16.10,15.66,15.82,374200,15.82
2014-07-14,15.87,16.04,15.67,15.83,436500,15.83
2014-07-11,15.93,16.03,15.53,15.80,238200,15.80
2014-07-10,15.78,16.04,15.31,15.98,348400,15.98
2014-07-09,16.08,16.37,15.88,15.95,313800,15.95
2014-07-08,16.28,16.32,15.90,16.09,791900,16.09
2014-07-07,16.70,16.73,16.21,16.34,443300,16.34
2014-07-03,16.46,17.00,16.25,16.76,241400,16.76
2014-07-02,16.48,16.89,16.35,16.36,720100,16.36
2014-07-01,16.75,17.17,16.75,16.86,575000,16.86
2014-06-30,16.49,17.00,16.42,16.69,583700,16.69
2014-06-27,16.65,16.74,16.40,16.62,1509300,16.62
2014-06-26,17.44,17.44,16.66,16.72,499500,16.72
2014-06-25,16.25,17.37,16.20,17.34,590200,17.34
2014-06-24,17.03,17.13,16.32,16.44,458100,16.44
2014-06-23,17.17,17.33,16.61,17.04,477300,17.04
2014-06-20,17.21,17.23,16.45,16.97,1575600,16.97
2014-06-19,18.30,18.45,17.18,17.20,884200,17.20
2014-06-18,18.14,18.42,18.00,18.31,305500,18.31
2014-06-17,18.06,18.35,17.55,18.03,588500,18.03
2014-06-16,18.01,18.28,17.79,18.21,354900,18.21
2014-06-13,17.65,18.21,17.65,18.01,367300,18.01
2014-06-12,17.41,17.74,17.19,17.57,421400,17.57
2014-06-11,18.15,18.40,17.36,17.59,520400,17.59
2014-06-10,18.56,18.56,17.99,18.30,216900,18.30
2014-06-09,18.17,18.83,18.17,18.67,245100,18.67
2014-06-06,18.10,18.35,17.94,18.20,374400,18.20
2014-06-05,17.44,18.20,17.19,18.05,648200,18.05
2014-06-04,16.96,17.36,16.67,17.31,649800,17.31
2014-06-03,16.72,17.14,16.40,17.12,834200,17.12
2014-06-02,17.32,17.32,16.42,16.71,848700,16.71
2014-05-30,17.30,17.37,16.58,17.22,979900,17.22
2014-05-29,18.00,18.02,17.21,17.30,984400,17.30
2014-05-28,18.88,19.15,17.62,17.85,1161000,17.85
2014-05-27,19.01,19.50,17.95,18.97,1515600,18.97
2014-05-23,19.95,20.27,18.84,18.87,1277900,18.87
2014-05-22,22.35,23.75,17.54,20.50,5663900,20.50
2014-05-21,25.62,26.03,25.05,25.80,374800,25.80
2014-05-20,25.75,25.78,24.93,25.37,340400,25.37
2014-05-19,25.36,25.96,25.36,25.80,279700,25.80
2014-05-16,25.83,25.83,24.77,25.57,488400,25.57
2014-05-15,25.13,26.10,24.77,25.85,562700,25.85
2014-05-14,25.53,25.60,24.54,25.08,248500,25.08
2014-05-13,25.49,26.08,25.22,25.64,387300,25.64
2014-05-12,24.95,25.62,24.95,25.55,504000,25.55
2014-05-09,24.80,25.23,24.38,24.90,456500,24.90
2014-05-08,25.47,27.01,24.60,24.78,485400,24.78
2014-05-07,25.84,26.09,25.21,25.63,362600,25.63
2014-05-06,26.49,26.71,25.75,25.79,369400,25.79
2014-05-05,26.90,26.92,26.09,26.56,268800,26.56
2014-05-02,26.20,27.94,26.15,27.12,347400,27.12
2014-05-01,26.95,27.13,25.86,26.20,456600,26.20
2014-04-30,26.35,27.00,25.80,27.00,348100,27.00
2014-04-29,26.14,26.69,25.77,26.55,269200,26.55
2014-04-28,26.96,27.31,25.52,26.00,609500,26.00
2014-04-25,28.05,28.55,26.71,27.06,435600,27.06
2014-04-24,28.08,28.28,27.28,27.59,396900,27.59
2014-04-23,28.06,28.93,27.64,27.92,477800,27.92
2014-04-22,27.67,28.48,27.30,28.07,336500,28.07
2014-04-21,26.70,27.85,26.65,27.55,294400,27.55
2014-04-17,26.69,27.07,26.52,26.58,309600,26.58
2014-04-16,26.27,26.71,25.26,26.69,459100,26.69
2014-04-15,25.97,26.51,25.04,25.99,283400,25.99
2014-04-14,26.30,26.55,25.70,25.98,302600,25.98
2014-04-11,25.92,27.18,25.86,25.98,490100,25.98
2014-04-10,27.34,27.63,25.78,26.22,349400,26.22
2014-04-09,28.19,28.30,27.01,27.39,397100,27.39
2014-04-08,26.75,28.05,26.56,28.01,428700,28.01
2014-04-07,28.01,28.09,26.61,26.83,240100,26.83
2014-04-04,28.96,29.08,27.78,28.24,157400,28.24
2014-04-03,28.96,29.20,28.31,28.67,177100,28.67
2014-04-02,28.68,29.89,28.01,29.10,347400,29.10
2014-04-01,28.87,29.81,28.40,28.85,416800,28.85
2014-03-31,27.60,28.94,27.44,28.68,352600,28.68
2014-03-28,26.81,28.33,26.75,27.36,424900,27.36
2014-03-27,27.77,28.33,26.73,26.85,348100,26.85
2014-03-26,28.08,28.31,27.71,27.78,418800,27.78
2014-03-25,27.99,28.49,27.53,28.03,347600,28.03
2014-03-24,29.52,29.52,27.50,27.71,658300,27.71
