Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,4.68,4.71,4.47,4.56,397800,4.56
2014-11-17,4.43,4.64,4.33,4.60,265200,4.60
2014-11-14,4.07,4.53,4.01,4.43,379200,4.43
2014-11-13,4.50,4.55,4.13,4.18,306200,4.18
2014-11-12,4.45,4.64,4.25,4.48,620600,4.48
2014-11-11,3.97,4.59,3.88,4.42,696200,4.42
2014-11-10,3.83,3.85,3.66,3.81,266300,3.81
2014-11-07,3.66,4.00,3.61,3.92,304900,3.92
2014-11-06,3.35,3.63,3.35,3.51,285400,3.51
2014-11-05,3.44,3.57,3.26,3.30,344400,3.30
2014-11-04,3.62,3.81,3.58,3.62,197700,3.62
2014-11-03,3.49,3.69,3.45,3.68,235800,3.68
2014-10-31,3.58,3.58,3.30,3.49,500100,3.49
2014-10-30,4.10,4.12,3.77,3.81,333100,3.81
2014-10-29,4.51,4.56,4.17,4.21,210600,4.21
2014-10-28,4.40,4.58,4.35,4.57,158000,4.57
2014-10-27,4.57,4.57,4.34,4.34,163900,4.34
2014-10-24,4.58,4.75,4.58,4.67,175300,4.67
2014-10-23,4.50,4.71,4.26,4.62,385500,4.62
2014-10-22,4.52,4.67,4.52,4.58,371400,4.58
2014-10-21,4.78,4.79,4.61,4.65,194100,4.65
2014-10-20,4.64,4.75,4.62,4.73,140200,4.73
2014-10-17,4.71,4.74,4.60,4.62,214700,4.62
2014-10-16,4.66,4.79,4.57,4.71,179800,4.71
2014-10-15,4.61,4.77,4.49,4.73,317400,4.73
2014-10-14,4.49,4.72,4.47,4.58,270000,4.58
2014-10-13,4.52,4.56,4.42,4.47,257700,4.47
2014-10-10,4.20,4.68,4.15,4.46,349000,4.46
2014-10-09,4.42,4.42,4.03,4.20,256700,4.20
2014-10-08,3.88,4.35,3.65,4.33,417100,4.33
2014-10-07,3.95,4.01,3.83,3.84,274500,3.84
2014-10-06,3.75,3.89,3.71,3.84,205200,3.84
2014-10-03,3.87,3.90,3.68,3.72,315000,3.72
2014-10-02,4.10,4.11,3.90,3.97,254000,3.97
2014-10-01,4.10,4.17,4.01,4.14,160500,4.14
2014-09-30,4.12,4.25,4.03,4.06,264800,4.06
2014-09-29,4.25,4.25,4.13,4.14,156700,4.14
2014-09-26,4.21,4.29,4.16,4.21,210300,4.21
2014-09-25,4.15,4.28,4.09,4.23,310900,4.23
2014-09-24,4.15,4.23,4.07,4.11,163000,4.11
2014-09-23,4.03,4.22,4.01,4.20,173500,4.20
2014-09-22,4.15,4.19,4.00,4.02,339500,4.02
2014-09-19,4.54,4.63,4.33,4.35,1065400,4.35
2014-09-18,4.62,4.67,4.53,4.58,186200,4.58
2014-09-17,4.75,4.84,4.57,4.61,134500,4.61
2014-09-16,4.69,4.80,4.60,4.75,124900,4.75
2014-09-15,4.59,4.73,4.59,4.65,149000,4.65
2014-09-12,4.65,4.69,4.51,4.55,124400,4.55
2014-09-11,4.58,4.73,4.48,4.71,137500,4.71
2014-09-10,4.65,4.71,4.56,4.61,84500,4.61
2014-09-09,4.51,4.71,4.51,4.68,128300,4.68
2014-09-08,4.71,4.71,4.50,4.55,216500,4.55
2014-09-05,4.74,4.82,4.65,4.75,152500,4.75
2014-09-04,4.96,5.05,4.66,4.69,274600,4.69
2014-09-03,4.94,4.99,4.90,4.90,267200,4.90
2014-09-02,4.96,5.05,4.93,4.96,206700,4.96
2014-08-29,5.15,5.28,5.07,5.14,165300,5.14
2014-08-28,5.16,5.31,5.12,5.14,121300,5.14
2014-08-27,5.09,5.20,5.01,5.10,221600,5.10
2014-08-26,4.95,5.05,4.87,5.01,195400,5.01
2014-08-25,4.83,4.92,4.81,4.81,211300,4.81
2014-08-22,4.85,4.94,4.80,4.86,170800,4.86
2014-08-21,4.99,4.99,4.84,4.89,227200,4.89
2014-08-20,4.97,5.09,4.97,5.02,139900,5.02
2014-08-19,5.04,5.09,4.96,5.02,237700,5.02
2014-08-18,5.08,5.12,4.97,5.03,362100,5.03
2014-08-15,5.06,5.22,5.00,5.15,454700,5.15
2014-08-14,5.38,5.41,5.19,5.22,334300,5.22
2014-08-13,5.76,5.76,5.28,5.37,472600,5.37
2014-08-12,5.72,5.90,5.68,5.76,263100,5.76
2014-08-11,5.55,5.76,5.55,5.73,149400,5.73
2014-08-08,5.63,5.75,5.57,5.60,153300,5.60
2014-08-07,5.56,5.73,5.46,5.65,167900,5.65
2014-08-06,5.56,5.72,5.54,5.65,202400,5.65
2014-08-05,5.40,5.50,5.25,5.47,262900,5.47
2014-08-04,5.45,5.52,5.45,5.47,108600,5.47
2014-08-01,5.54,5.59,5.43,5.50,139400,5.50
2014-07-31,5.48,5.55,5.39,5.46,181500,5.46
2014-07-30,5.58,5.61,5.39,5.61,205200,5.61
2014-07-29,5.73,5.77,5.60,5.63,139700,5.63
2014-07-28,5.60,5.73,5.50,5.73,158600,5.73
2014-07-25,5.30,5.58,5.27,5.58,167600,5.58
2014-07-24,5.42,5.42,5.25,5.29,152000,5.29
2014-07-23,5.52,5.67,5.36,5.42,147100,5.42
2014-07-22,5.73,5.73,5.52,5.55,109400,5.55
2014-07-21,5.68,5.73,5.52,5.68,215500,5.68
2014-07-18,5.60,5.67,5.38,5.56,171800,5.56
2014-07-17,5.41,5.61,5.32,5.60,164000,5.60
2014-07-16,5.32,5.48,5.30,5.33,240100,5.33
2014-07-15,5.67,5.71,5.32,5.33,264100,5.33
2014-07-14,5.50,5.78,5.43,5.61,282900,5.61
2014-07-11,5.52,5.79,5.48,5.78,351200,5.78
