Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,8.93,9.18,8.90,9.11,106200,9.11
2014-11-17,8.97,9.10,8.85,8.94,131100,8.94
2014-11-14,8.95,9.07,8.88,8.97,180200,8.97
2014-11-13,8.96,9.13,8.81,8.94,181400,8.94
2014-11-12,8.88,9.00,8.86,8.99,101500,8.99
2014-11-11,8.91,9.00,8.81,8.89,120400,8.89
2014-11-10,9.05,9.07,8.83,8.89,228700,8.89
2014-11-07,9.21,9.26,8.91,9.02,215900,9.02
2014-11-06,9.11,9.49,8.85,9.10,457700,9.10
2014-11-05,8.83,8.93,8.77,8.80,208500,8.80
2014-11-04,8.90,9.00,8.71,8.75,207300,8.75
2014-11-03,8.61,9.00,8.61,8.90,481900,8.90
2014-10-31,8.11,8.94,8.11,8.56,693100,8.56
2014-10-30,7.18,7.34,6.91,7.05,158500,7.05
2014-10-29,7.19,7.35,6.88,7.23,189900,7.23
2014-10-28,6.65,7.19,6.65,7.17,261400,7.17
2014-10-27,6.81,6.89,6.61,6.66,78800,6.66
2014-10-24,6.89,6.93,6.63,6.86,113800,6.86
2014-10-23,7.19,7.19,6.88,6.90,103400,6.90
2014-10-22,7.07,7.37,6.83,7.06,213500,7.06
2014-10-21,7.62,7.62,7.47,7.59,120000,7.59
2014-10-20,7.31,7.64,7.31,7.58,237300,7.58
2014-10-17,7.64,7.64,7.30,7.36,227100,7.36
2014-10-16,7.50,7.74,7.36,7.57,281700,7.57
2014-10-15,7.08,7.57,6.96,7.55,243800,7.55
2014-10-14,6.42,7.17,6.42,7.12,290500,7.12
2014-10-13,6.24,6.46,6.23,6.33,230100,6.33
2014-10-10,6.25,6.26,6.17,6.18,148600,6.18
2014-10-09,6.26,6.33,6.17,6.29,182000,6.29
2014-10-08,6.27,6.31,6.13,6.29,131000,6.29
2014-10-07,6.36,6.39,6.26,6.28,283200,6.28
2014-10-06,6.61,6.62,6.35,6.38,248100,6.38
2014-10-03,6.45,6.62,6.38,6.61,145900,6.61
2014-10-02,6.38,6.50,6.36,6.36,145500,6.36
2014-10-01,6.37,6.48,6.32,6.38,154000,6.38
2014-09-30,6.42,6.49,6.33,6.37,88400,6.37
2014-09-29,6.46,6.51,6.33,6.44,143900,6.44
2014-09-26,6.58,6.59,6.50,6.53,80100,6.53
2014-09-25,6.66,6.70,6.52,6.58,132000,6.58
2014-09-24,6.58,6.72,6.48,6.71,98300,6.71
2014-09-23,6.64,6.71,6.56,6.60,192000,6.60
2014-09-22,6.78,6.80,6.56,6.64,103000,6.64
2014-09-19,7.16,7.17,6.80,6.81,198700,6.81
2014-09-18,7.10,7.29,7.10,7.16,176300,7.16
2014-09-17,7.11,7.15,7.01,7.11,178500,7.11
2014-09-16,7.08,7.12,7.00,7.10,153600,7.10
2014-09-15,7.22,7.24,6.96,7.07,186100,7.07
2014-09-12,7.17,7.23,7.04,7.22,212800,7.22
2014-09-11,7.30,7.30,7.13,7.19,257500,7.19
2014-09-10,6.86,7.43,6.76,7.35,406900,7.35
2014-09-09,6.50,6.90,6.50,6.86,388000,6.81
2014-09-08,6.40,6.52,6.40,6.50,127700,6.45
2014-09-05,6.30,6.46,6.30,6.42,109900,6.37
2014-09-04,6.50,6.50,6.30,6.32,70100,6.27
2014-09-03,6.38,6.46,6.29,6.32,125300,6.27
2014-09-02,6.30,6.41,6.30,6.36,116300,6.31
2014-08-29,6.36,6.36,6.25,6.31,66500,6.26
2014-08-28,6.29,6.39,6.23,6.36,121400,6.31
2014-08-27,6.40,6.42,6.26,6.33,90000,6.28
2014-08-26,6.37,6.43,6.28,6.40,117800,6.35
2014-08-25,6.39,6.53,6.23,6.35,281000,6.30
2014-08-22,6.17,6.37,6.12,6.35,198700,6.30
2014-08-21,6.08,6.21,6.00,6.18,146500,6.13
2014-08-20,6.12,6.12,6.05,6.08,93200,6.04
2014-08-19,6.23,6.23,6.08,6.13,177600,6.09
2014-08-18,6.08,6.29,6.08,6.22,200700,6.17
2014-08-15,6.15,6.15,6.02,6.08,220800,6.04
2014-08-14,6.02,6.13,5.89,6.07,189600,6.03
2014-08-13,6.30,6.32,5.97,6.01,284700,5.97
2014-08-12,6.00,6.53,5.95,6.31,1095000,6.26
2014-08-11,6.52,6.74,6.47,6.65,243800,6.60
2014-08-08,6.42,6.55,6.34,6.49,141500,6.44
2014-08-07,6.31,6.55,6.29,6.44,89200,6.39
2014-08-06,6.26,6.50,6.22,6.30,204900,6.25
2014-08-05,6.30,6.46,6.21,6.32,121900,6.27
2014-08-04,6.37,6.47,6.28,6.34,114200,6.29
2014-08-01,6.37,6.49,6.14,6.36,181700,6.31
2014-07-31,6.53,6.56,6.35,6.36,111900,6.31
2014-07-30,6.57,6.72,6.53,6.59,80300,6.54
2014-07-29,6.44,6.59,6.43,6.54,71900,6.49
2014-07-28,6.59,6.60,6.41,6.45,108400,6.40
2014-07-25,6.58,6.58,6.47,6.53,102800,6.48
2014-07-24,6.68,6.79,6.58,6.59,83900,6.54
2014-07-23,6.92,6.92,6.60,6.69,168700,6.64
2014-07-22,6.61,6.97,6.55,6.91,259500,6.86
2014-07-21,6.61,6.67,6.55,6.60,184500,6.55
2014-07-18,6.49,6.67,6.49,6.64,144300,6.59
2014-07-17,6.57,6.64,6.50,6.51,140200,6.46
2014-07-16,6.47,6.65,6.44,6.58,521200,6.53
2014-07-15,6.62,6.73,6.43,6.47,208100,6.42
2014-07-14,6.82,6.83,6.56,6.63,244400,6.58
2014-07-11,6.78,6.80,6.62,6.76,264500,6.71
2014-07-10,6.99,7.05,6.71,6.77,299700,6.72
2014-07-09,7.35,7.43,7.09,7.10,226600,7.05
2014-07-08,7.51,7.51,7.31,7.36,227800,7.31
2014-07-07,7.55,7.57,7.35,7.50,570300,7.45
2014-07-03,7.62,7.72,7.46,7.59,179500,7.53
2014-07-02,7.69,7.75,7.53,7.57,241600,7.51
2014-07-01,7.87,7.93,7.67,7.71,346900,7.65
2014-06-30,7.79,7.89,7.42,7.87,592700,7.81
2014-06-27,7.94,8.00,7.75,7.77,1202200,7.71
2014-06-26,8.13,8.19,7.90,7.97,197400,7.91
2014-06-25,8.07,8.23,7.82,8.11,434500,8.05
2014-06-24,8.87,8.87,8.09,8.09,349700,8.03
2014-06-23,8.73,8.87,8.72,8.86,186700,8.80
2014-06-20,8.74,8.79,8.66,8.69,341100,8.63
2014-06-19,8.78,8.92,8.65,8.69,150500,8.63
2014-06-18,8.60,8.85,8.57,8.82,331400,8.76
2014-06-17,8.22,8.71,8.15,8.63,276000,8.57
2014-06-16,7.83,8.30,7.74,8.28,463500,8.22
2014-06-13,7.76,7.86,7.70,7.79,187000,7.73
2014-06-12,7.75,7.84,7.59,7.76,198800,7.70
2014-06-11,7.70,7.81,7.55,7.75,150600,7.69
2014-06-10,7.67,7.83,7.61,7.68,404900,7.62
2014-06-09,7.60,7.86,7.55,7.70,1551500,7.59
