Date,Open,High,Low,Close,Volume,Adj Close
2014-11-17,109.85,110.46,109.76,110.19,679000,110.19
2014-11-14,109.19,110.63,109.10,109.74,652300,109.74
2014-11-13,109.87,110.71,108.83,109.31,584900,109.01
2014-11-12,108.81,110.39,108.52,110.31,686600,110.01
2014-11-11,110.03,110.09,108.54,108.89,497700,108.59
2014-11-10,109.79,110.93,109.64,109.75,863600,109.45
2014-11-07,109.88,110.03,108.93,109.33,724000,109.03
2014-11-06,107.19,109.60,107.19,109.56,789200,109.26
2014-11-05,107.72,107.86,106.70,107.26,543400,106.97
2014-11-04,105.89,106.77,105.25,106.70,925200,106.41
2014-11-03,105.88,106.84,105.52,106.48,1080600,106.19
2014-10-31,107.99,108.31,105.13,105.61,1526400,105.32
2014-10-30,109.09,110.58,105.05,106.65,2202200,106.36
2014-10-29,110.38,111.01,109.18,110.01,1104900,109.71
2014-10-28,109.73,110.31,109.13,110.18,980200,109.88
2014-10-27,109.73,109.82,108.77,109.73,676900,109.43
2014-10-24,108.87,110.02,108.50,109.53,471100,109.23
2014-10-23,109.39,110.43,108.74,108.94,752900,108.64
2014-10-22,108.30,109.82,108.11,108.24,530100,107.94
2014-10-21,105.36,107.65,105.05,107.65,952700,107.35
2014-10-20,104.00,105.30,104.00,104.96,672000,104.67
2014-10-17,105.03,106.13,103.69,104.46,762700,104.17
2014-10-16,100.74,103.93,99.70,103.42,1281700,103.14
2014-10-15,102.38,102.99,100.20,102.34,1719700,102.06
2014-10-14,104.30,104.79,103.44,104.19,1233200,103.90
2014-10-13,106.80,106.99,103.60,103.79,1090500,103.51
2014-10-10,108.85,109.32,106.98,107.17,626800,106.88
2014-10-09,111.01,111.92,108.24,108.66,916400,108.36
2014-10-08,108.99,111.14,108.32,111.02,900100,110.72
2014-10-07,110.36,110.85,109.24,109.36,845800,109.06
2014-10-06,111.89,112.40,110.64,111.41,754600,111.10
2014-10-03,108.85,111.83,108.64,111.16,1210200,110.85
2014-10-02,106.27,108.16,105.33,108.04,592700,107.74
2014-10-01,107.17,107.38,105.04,105.91,755400,105.62
2014-09-30,108.10,108.40,107.01,107.44,648900,107.15
2014-09-29,107.55,108.20,107.21,108.15,483000,107.85
2014-09-26,106.84,109.55,106.81,108.55,861200,108.25
2014-09-25,105.87,106.47,105.42,106.20,659900,105.91
2014-09-24,106.36,106.64,105.13,105.91,581500,105.62
2014-09-23,105.75,107.09,105.09,106.41,655200,106.12
2014-09-22,106.97,107.33,105.19,106.18,588300,105.89
2014-09-19,108.55,108.75,106.03,107.18,3184700,106.89
2014-09-18,107.91,108.59,107.02,108.29,495400,107.99
2014-09-17,107.11,108.01,106.44,107.86,899700,107.56
2014-09-16,105.77,107.57,105.45,106.87,1060400,106.58
2014-09-15,107.18,107.25,104.66,105.70,1201500,105.41
2014-09-12,107.53,108.09,106.42,106.68,707800,106.39
2014-09-11,106.07,107.53,106.07,107.05,546200,106.76
2014-09-10,107.19,107.40,105.88,106.38,594500,106.09
2014-09-09,109.23,109.23,106.94,106.96,670900,106.67
2014-09-08,108.54,109.62,108.53,109.15,802300,108.85
2014-09-05,106.91,108.55,106.32,108.50,797100,108.20
2014-09-04,105.35,107.87,104.90,107.22,993900,106.93
2014-09-03,104.13,104.80,103.51,104.65,889100,104.36
2014-09-02,102.77,104.52,102.69,103.84,907700,103.56
2014-08-29,102.80,103.00,102.07,102.68,280800,102.40
2014-08-28,103.00,103.20,102.01,102.73,372300,102.45
2014-08-27,102.91,103.41,102.29,103.35,359400,103.07
2014-08-26,103.36,105.40,102.93,102.98,497400,102.70
2014-08-25,102.51,103.82,102.05,103.54,748700,103.26
2014-08-22,100.76,102.37,100.31,101.99,433900,101.71
2014-08-21,100.83,101.33,100.18,100.64,313400,100.36
2014-08-20,100.22,101.14,100.04,100.73,383500,100.45
2014-08-19,99.96,101.14,99.02,100.28,768200,100.00
2014-08-18,98.74,100.81,98.63,99.82,742500,99.55
2014-08-15,98.85,99.18,97.15,97.77,427900,97.50
2014-08-14,98.20,98.73,97.73,98.36,311900,98.09
2014-08-13,98.32,98.38,96.95,97.84,457200,97.57
2014-08-12,99.58,99.96,97.32,97.87,559300,97.60
2014-08-11,98.86,99.71,98.32,99.65,553100,99.38
2014-08-08,97.05,98.35,96.73,98.28,338900,98.01
2014-08-07,98.61,99.24,97.01,97.28,449300,96.71
2014-08-06,97.64,98.94,97.57,97.97,446300,97.40
2014-08-05,98.35,99.30,97.89,98.45,343200,97.88
2014-08-04,98.48,99.23,97.55,98.84,414000,98.26
2014-08-01,99.19,99.19,96.91,98.43,844600,97.86
2014-07-31,100.04,100.38,97.60,97.71,624200,97.14
2014-07-30,100.79,100.98,99.59,100.65,476300,100.06
2014-07-29,101.52,101.86,100.21,100.33,595400,99.75
2014-07-28,99.96,101.52,99.61,101.41,595700,100.82
2014-07-25,100.39,101.68,99.92,100.08,596600,99.50
2014-07-24,103.06,106.62,100.98,101.06,1625300,100.47
2014-07-23,98.31,98.66,97.70,98.07,632300,97.50
2014-07-22,97.31,98.17,96.63,97.86,846800,97.29
2014-07-21,96.77,97.75,96.52,96.92,447000,96.36
2014-07-18,96.62,97.32,96.37,97.28,687800,96.71
2014-07-17,96.21,96.79,95.95,96.10,528300,95.54
2014-07-16,97.95,98.03,96.32,96.38,670400,95.82
2014-07-15,96.79,97.67,96.07,97.34,450800,96.77
2014-07-14,97.49,97.99,96.80,97.50,439600,96.93
2014-07-11,96.70,97.14,96.30,96.94,527900,96.38
2014-07-10,97.04,97.04,95.59,96.45,875000,95.89
2014-07-09,97.25,98.61,97.00,98.37,518900,97.80
2014-07-08,98.59,98.60,96.28,96.85,738600,96.29
2014-07-07,98.95,99.89,98.31,98.70,457500,98.13
2014-07-03,98.99,99.16,98.47,99.16,293600,98.58
2014-07-02,99.02,99.92,98.31,98.46,511900,97.89
2014-07-01,98.34,99.99,98.10,98.94,851300,98.36
2014-06-30,98.35,98.98,97.77,98.44,860400,97.87
2014-06-27,98.01,98.80,97.66,98.25,1093800,97.68
2014-06-26,96.37,98.04,95.97,98.03,921000,97.46
2014-06-25,94.85,98.70,94.85,96.72,2440700,96.16
2014-06-24,87.98,89.57,87.90,88.54,619500,88.02
2014-06-23,88.32,88.61,87.36,88.20,762000,87.69
2014-06-20,87.44,88.52,87.25,88.20,2364100,87.69
2014-06-19,87.62,87.73,86.81,87.25,423000,86.74
2014-06-18,87.25,87.58,86.54,87.40,535700,86.89
2014-06-17,85.66,87.91,85.26,87.44,757900,86.93
2014-06-16,85.02,86.17,85.00,85.69,317000,85.19
2014-06-13,85.35,85.43,84.55,85.32,624500,84.82
2014-06-12,85.48,85.48,84.70,85.23,427600,84.73
2014-06-11,86.07,86.31,85.65,85.81,504600,85.31
2014-06-10,86.26,86.94,85.96,86.25,641400,85.75
2014-06-09,86.51,86.92,85.73,86.24,1007800,85.74
2014-06-06,85.24,86.35,85.01,86.32,836700,85.82
2014-06-05,85.09,85.37,84.25,84.73,835300,84.24
2014-06-04,84.46,85.42,83.11,85.10,643500,84.60
2014-06-03,84.61,84.94,84.01,84.69,465200,84.20
2014-06-02,84.80,85.17,84.17,85.07,403500,84.57
2014-05-30,84.13,85.06,84.00,84.83,602100,84.34
2014-05-29,84.08,84.36,83.07,83.90,695300,83.41
2014-05-28,84.72,84.88,83.63,83.78,868300,83.29
2014-05-27,84.53,85.00,83.94,84.77,582800,84.28
2014-05-23,83.33,84.24,83.07,84.10,611100,83.61
2014-05-22,82.31,83.22,81.96,83.10,521500,82.62
2014-05-21,81.79,82.62,81.68,82.37,435100,81.89
2014-05-20,82.10,82.17,81.09,81.59,723500,81.12
2014-05-19,82.05,82.59,81.86,82.33,620000,81.85
2014-05-16,82.01,82.35,81.39,82.23,640000,81.75
2014-05-15,81.98,82.15,80.75,81.47,835700,81.00
2014-05-14,82.55,83.34,82.33,82.34,550200,81.86
2014-05-13,83.48,83.58,82.53,82.87,617500,82.39
2014-05-12,82.34,83.47,82.34,83.23,650100,82.75
2014-05-09,81.65,82.36,81.07,82.20,928800,81.72
2014-05-08,81.20,83.18,81.20,82.37,930400,81.59
2014-05-07,82.42,82.45,80.51,81.35,876100,80.58
2014-05-06,82.06,82.41,81.61,82.10,790000,81.32
2014-05-05,81.25,82.27,80.84,82.15,460800,81.37
2014-05-02,82.13,82.75,80.95,81.57,767700,80.80
2014-05-01,81.78,83.03,81.55,82.12,1067300,81.34
2014-04-30,81.36,82.14,80.76,82.09,1019900,81.31
2014-04-29,80.12,81.71,79.87,81.36,998500,80.59
2014-04-28,79.17,80.17,77.96,80.08,1371800,79.32
2014-04-25,79.49,81.83,78.49,78.94,2310300,78.19
2014-04-24,74.77,75.96,74.11,75.43,1053600,74.72
2014-04-23,76.09,76.26,74.36,74.42,1275000,73.72
2014-04-22,76.11,76.45,75.42,76.14,788200,75.42
2014-04-21,76.52,76.85,75.78,76.00,954100,75.28
2014-04-17,76.59,77.35,76.34,76.53,752000,75.81
2014-04-16,76.45,76.83,75.72,76.58,767100,75.86
2014-04-15,74.20,76.24,74.16,76.05,979900,75.33
2014-04-14,74.13,74.26,73.37,74.22,1262800,73.52
2014-04-11,72.87,73.89,72.38,73.78,986400,73.08
2014-04-10,74.63,74.70,72.74,73.27,1048400,72.58
2014-04-09,73.77,74.53,73.39,74.52,658800,73.82
2014-04-08,72.23,73.28,72.10,73.20,845600,72.51
2014-04-07,74.73,74.85,72.20,72.41,915100,71.73
2014-04-04,77.26,77.57,74.80,75.15,983500,74.44
2014-04-03,77.75,77.75,76.30,76.65,918100,75.93
2014-04-02,78.00,78.31,77.36,77.53,672500,76.80
2014-04-01,76.74,78.55,76.52,77.86,1361600,77.12
2014-03-31,76.60,76.80,75.61,76.48,626400,75.76
2014-03-28,76.22,76.37,75.64,76.21,460400,75.49
2014-03-27,75.92,76.44,75.54,76.01,672700,75.29
2014-03-26,75.50,76.26,75.15,75.61,1063100,74.90
2014-03-25,75.60,75.88,74.80,75.00,1067200,74.29
2014-03-24,75.58,75.90,74.86,75.16,947000,74.45
2014-03-21,76.11,76.17,75.38,75.46,1231300,74.75
2014-03-20,75.13,75.98,75.01,75.56,575000,74.85
