Date,Open,High,Low,Close,Volume,Adj Close
2014-11-17,1.69,1.71,1.62,1.62,10700,1.62
2014-11-14,1.80,1.80,1.62,1.69,4100,1.69
2014-11-13,1.68,1.70,1.64,1.65,23400,1.65
2014-11-12,1.70,1.70,1.61,1.63,4800,1.63
2014-11-11,1.68,1.70,1.65,1.68,21500,1.66
2014-11-10,1.80,1.80,1.66,1.71,30000,1.69
2014-11-07,1.79,1.84,1.79,1.79,3800,1.77
2014-11-06,1.85,1.85,1.77,1.79,12000,1.77
2014-11-05,1.80,1.85,1.77,1.83,12300,1.81
2014-11-04,1.80,1.85,1.78,1.78,11100,1.76
2014-11-03,1.89,1.89,1.76,1.84,4700,1.82
2014-10-31,1.90,1.94,1.80,1.85,3500,1.83
2014-10-30,1.90,1.90,1.80,1.81,15500,1.79
2014-10-29,1.82,1.89,1.82,1.88,800,1.86
2014-10-28,1.90,1.90,1.83,1.84,6600,1.82
2014-10-27,1.90,1.90,1.81,1.81,3600,1.79
2014-10-24,1.89,1.90,1.80,1.83,3800,1.81
2014-10-23,1.80,1.84,1.75,1.80,4600,1.78
2014-10-22,1.91,1.93,1.80,1.80,1900,1.78
2014-10-21,1.79,1.90,1.79,1.84,9000,1.82
2014-10-20,1.75,1.82,1.75,1.82,1600,1.80
2014-10-17,1.95,1.95,1.75,1.80,33600,1.78
2014-10-16,1.97,1.97,1.77,1.78,13600,1.76
2014-10-15,1.97,2.00,1.71,1.80,113600,1.78
2014-10-14,1.98,1.98,1.88,1.89,38800,1.87
2014-10-13,1.94,1.99,1.89,1.97,21700,1.95
2014-10-10,1.95,1.95,1.90,1.95,25700,1.93
2014-10-09,2.00,2.00,1.90,1.99,15600,1.97
2014-10-08,1.92,1.99,1.90,1.98,28300,1.96
2014-10-07,2.00,2.00,1.90,1.95,15200,1.93
2014-10-06,1.98,2.00,1.97,1.97,9300,1.95
2014-10-03,2.02,2.02,1.99,2.01,3400,1.99
2014-10-02,2.04,2.04,1.97,2.00,3800,1.98
2014-10-01,2.03,2.03,1.95,1.97,1100,1.95
2014-09-30,2.04,2.04,1.91,1.99,24900,1.97
2014-09-29,2.03,2.03,2.00,2.01,4100,1.99
2014-09-26,2.01,2.03,1.97,2.02,3100,2.00
2014-09-25,2.01,2.04,2.01,2.03,8200,2.01
2014-09-24,2.01,2.03,2.01,2.03,6000,2.01
2014-09-23,1.99,2.03,1.96,2.03,11000,2.01
2014-09-22,1.99,1.99,1.96,1.96,28500,1.94
2014-09-19,1.99,2.03,1.99,1.99,10000,1.97
2014-09-18,2.01,2.03,1.99,2.00,6000,1.98
