Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,25.39,25.45,25.33,25.37,69100,25.37
2014-11-17,25.35,25.43,25.32,25.39,36300,25.39
2014-11-14,25.34,25.36,25.29,25.35,20800,25.35
2014-11-13,25.25,25.33,25.22,25.33,109800,25.33
2014-11-12,25.27,25.32,25.23,25.30,57900,25.30
2014-11-11,25.22,25.28,25.22,25.26,21400,25.26
2014-11-10,25.24,25.25,25.18,25.23,47400,25.23
2014-11-07,25.20,25.26,25.15,25.21,56400,25.21
2014-11-06,25.23,25.25,25.17,25.17,38500,25.17
2014-11-05,25.26,25.29,25.19,25.23,33500,25.23
2014-11-04,25.22,25.33,25.17,25.29,117600,25.29
2014-11-03,25.17,25.29,25.17,25.21,39200,25.21
2014-10-31,25.28,25.28,25.11,25.11,94600,25.11
2014-10-30,25.24,25.30,25.22,25.29,18500,25.29
2014-10-29,25.24,25.30,25.21,25.25,16200,25.25
2014-10-28,25.24,25.31,25.24,25.30,22200,25.30
2014-10-27,25.16,25.24,25.14,25.24,46900,25.24
2014-10-24,25.15,25.18,25.09,25.18,43800,25.18
2014-10-23,25.18,25.18,25.14,25.18,22700,25.18
2014-10-22,25.13,25.19,25.08,25.16,50400,25.16
2014-10-21,25.14,25.19,25.13,25.15,30400,25.15
2014-10-20,25.11,25.19,25.11,25.18,28500,25.18
2014-10-17,25.12,25.19,25.11,25.18,41300,25.18
2014-10-16,25.03,25.18,25.03,25.12,45200,25.12
2014-10-15,25.15,25.19,25.08,25.13,46300,25.13
2014-10-14,25.09,25.16,25.08,25.13,26700,25.13
2014-10-13,25.10,25.12,25.08,25.09,8600,25.09
2014-10-10,25.13,25.15,25.10,25.10,11200,25.10
2014-10-09,25.10,25.17,25.08,25.15,321900,25.15
2014-10-08,25.09,25.13,25.06,25.10,25600,25.10
2014-10-07,25.10,25.11,25.09,25.09,25000,25.09
2014-10-06,25.14,25.17,25.08,25.10,28600,25.10
2014-10-03,25.13,25.16,25.10,25.12,41200,25.12
2014-10-02,25.10,25.14,25.08,25.10,100000,25.10
2014-10-01,25.06,25.13,25.06,25.11,29600,25.11
2014-09-30,25.03,25.14,25.03,25.08,203800,25.08
2014-09-29,25.09,25.09,24.98,25.02,14100,25.02
2014-09-26,25.32,25.41,25.32,25.40,22900,25.02
2014-09-25,25.37,25.38,25.30,25.36,32100,24.98
2014-09-24,25.38,25.40,25.37,25.38,10800,25.00
2014-09-23,25.35,25.45,25.35,25.45,45700,25.07
2014-09-22,25.33,25.35,25.32,25.35,34400,24.97
2014-09-19,25.43,25.44,25.32,25.32,14200,24.94
2014-09-18,25.37,25.45,25.35,25.44,30800,25.06
2014-09-17,25.37,25.44,25.34,25.36,19800,24.98
2014-09-16,25.41,25.45,25.36,25.37,35600,24.99
2014-09-15,25.30,25.43,25.30,25.41,33300,25.03
2014-09-12,25.35,25.37,25.30,25.33,17300,24.95
2014-09-11,25.40,25.40,25.34,25.36,9200,24.98
2014-09-10,25.30,25.44,25.30,25.41,88700,25.03
2014-09-09,25.40,25.42,25.34,25.36,34500,24.98
2014-09-08,25.32,25.40,25.32,25.37,19100,24.99
2014-09-05,25.25,25.40,25.22,25.33,73700,24.95
2014-09-04,25.40,25.43,25.27,25.27,51500,24.89
2014-09-03,25.42,25.45,25.39,25.39,24800,25.01
2014-09-02,25.43,25.46,25.40,25.43,50000,25.05
2014-08-29,25.45,25.47,25.41,25.46,23800,25.08
2014-08-28,25.41,25.48,25.41,25.47,17500,25.09
2014-08-27,25.40,25.45,25.38,25.43,159000,25.05
2014-08-26,25.41,25.44,25.36,25.40,32100,25.02
2014-08-25,25.37,25.43,25.33,25.42,47500,25.04
2014-08-22,25.37,25.43,25.30,25.37,39600,24.99
2014-08-21,25.41,25.45,25.33,25.41,36400,25.03
2014-08-20,25.40,25.47,25.40,25.43,22700,25.05
2014-08-19,25.39,25.47,25.33,25.47,39200,25.09
2014-08-18,25.40,25.46,25.39,25.40,43400,25.02
2014-08-15,25.33,25.45,25.31,25.39,17400,25.01
2014-08-14,25.34,25.41,25.33,25.41,21800,25.03
2014-08-13,25.27,25.33,25.27,25.32,9300,24.94
2014-08-12,25.26,25.29,25.24,25.26,8700,24.88
2014-08-11,25.31,25.34,25.19,25.22,11500,24.84
2014-08-08,25.22,25.26,25.17,25.20,10000,24.82
2014-08-07,25.05,25.25,25.03,25.24,51600,24.86
2014-08-06,25.01,25.10,25.01,25.01,23600,24.63
2014-08-05,25.03,25.12,25.01,25.01,29100,24.63
2014-08-04,25.18,25.18,24.95,25.04,32800,24.66
2014-08-01,25.23,25.30,25.11,25.19,39500,24.81
2014-07-31,25.29,25.32,25.21,25.30,54700,24.92
2014-07-30,25.40,25.40,25.27,25.30,21500,24.92
2014-07-29,25.32,25.35,25.31,25.31,21200,24.93
2014-07-28,25.33,25.35,25.31,25.32,16400,24.94
2014-07-25,25.33,25.35,25.32,25.33,12100,24.95
2014-07-24,25.38,25.42,25.33,25.34,32600,24.96
2014-07-23,25.40,25.43,25.36,25.37,49400,24.99
2014-07-22,25.41,25.45,25.41,25.43,84200,25.05
2014-07-21,25.27,25.43,25.26,25.43,40800,25.05
2014-07-18,25.33,25.40,25.24,25.24,110600,24.86
2014-07-17,25.41,25.41,25.34,25.40,66900,25.02
2014-07-16,25.34,25.46,25.32,25.42,164300,25.04
2014-07-15,25.32,25.40,25.32,25.37,37200,24.99
2014-07-14,25.41,25.44,25.34,25.36,30200,24.98
2014-07-11,25.37,25.41,25.32,25.40,67400,25.02
2014-07-10,25.37,25.39,25.35,25.35,27900,24.97
2014-07-09,25.39,25.39,25.34,25.37,25600,24.99
2014-07-08,25.34,25.38,25.33,25.37,14000,24.99
2014-07-07,25.30,25.37,25.30,25.36,35700,24.98
2014-07-03,25.34,25.34,25.27,25.30,16100,24.92
2014-07-02,25.33,25.40,25.27,25.36,110700,24.98
2014-07-01,25.31,25.36,25.28,25.35,52600,24.97
2014-06-30,25.30,25.35,25.26,25.32,258800,24.94
2014-06-27,25.27,25.31,25.22,25.30,57400,24.92
2014-06-26,25.57,25.64,25.57,25.63,65700,24.87
2014-06-25,25.56,25.60,25.48,25.57,47000,24.81
2014-06-24,25.49,25.62,25.49,25.60,62100,24.84
2014-06-23,25.50,25.57,25.43,25.53,22900,24.77
2014-06-20,25.44,25.52,25.40,25.50,35600,24.74
2014-06-19,25.50,25.50,25.41,25.41,41000,24.65
2014-06-18,25.53,25.57,25.50,25.50,34500,24.74
2014-06-17,25.43,25.56,25.43,25.53,53400,24.77
2014-06-16,25.40,25.54,25.40,25.51,124900,24.75
2014-06-13,25.50,25.53,25.37,25.39,33300,24.63
2014-06-12,25.45,25.51,25.40,25.50,34800,24.74
2014-06-11,25.42,25.52,25.38,25.51,45600,24.75
2014-06-10,25.39,25.46,25.38,25.45,47200,24.69
2014-06-09,25.40,25.50,25.40,25.43,92500,24.67
2014-06-06,25.44,25.47,25.35,25.39,49100,24.63
2014-06-05,25.41,25.47,25.40,25.45,32100,24.69
2014-06-04,25.31,25.50,25.31,25.45,366900,24.69
2014-06-03,25.38,25.41,25.30,25.40,68900,24.64
2014-06-02,25.34,25.41,25.34,25.38,38300,24.62
2014-05-30,25.37,25.40,25.33,25.33,49100,24.58
2014-05-29,25.40,25.44,25.31,25.38,55000,24.62
2014-05-28,25.30,25.45,25.28,25.41,103900,24.65
2014-05-27,25.35,25.35,25.30,25.33,40100,24.58
2014-05-23,25.30,25.39,25.30,25.36,248100,24.60
2014-05-22,25.33,25.37,25.29,25.30,93100,24.55
2014-05-21,25.35,25.37,25.33,25.33,50100,24.58
2014-05-20,25.37,25.39,25.33,25.37,46600,24.61
2014-05-19,25.35,25.40,25.32,25.37,54900,24.61
2014-05-16,25.32,25.43,25.32,25.40,52500,24.64
2014-05-15,25.33,25.39,25.30,25.33,43800,24.58
2014-05-14,25.28,25.40,25.27,25.39,73400,24.63
2014-05-13,25.27,25.35,25.27,25.33,48100,24.58
2014-05-12,25.35,25.35,25.20,25.28,103700,24.53
2014-05-09,25.28,25.29,25.27,25.29,18100,24.54
2014-05-08,25.26,25.30,25.26,25.29,95500,24.54
2014-05-07,25.20,25.31,25.20,25.28,109900,24.53
2014-05-06,25.24,25.30,25.23,25.29,119300,24.54
2014-05-05,25.20,25.28,25.17,25.24,72000,24.49
2014-05-02,25.16,25.22,25.16,25.17,162400,24.42
2014-05-01,25.14,25.23,25.06,25.19,74600,24.44
2014-04-30,25.06,25.15,25.06,25.15,133400,24.40
2014-04-29,25.00,25.17,25.00,25.10,64800,24.35
2014-04-28,25.07,25.13,24.98,25.00,96400,24.26
2014-04-25,24.98,25.07,24.95,25.07,71800,24.32
2014-04-24,24.93,25.00,24.93,24.98,38000,24.24
2014-04-23,24.96,25.00,24.94,24.97,54400,24.23
2014-04-22,24.87,24.95,24.83,24.92,152000,24.18
2014-04-21,24.81,24.87,24.80,24.80,28800,24.06
2014-04-17,24.89,24.91,24.80,24.80,93900,24.06
2014-04-16,24.94,25.01,24.88,24.89,85500,24.15
2014-04-15,24.87,24.97,24.82,24.93,76600,24.19
2014-04-14,24.87,25.00,24.86,24.87,55100,24.13
2014-04-11,24.81,24.89,24.80,24.84,39700,24.10
2014-04-10,24.80,24.84,24.79,24.79,98000,24.05
2014-04-09,24.63,24.81,24.63,24.77,199900,24.03
2014-04-08,24.70,24.74,24.65,24.68,50600,23.94
2014-04-07,24.70,24.75,24.66,24.72,60500,23.98
2014-04-04,24.65,24.72,24.64,24.66,66800,23.93
2014-04-03,24.77,24.77,24.65,24.65,69200,23.92
2014-04-02,24.68,24.78,24.64,24.70,95700,23.96
2014-04-01,24.80,24.85,24.68,24.68,151000,23.94
2014-03-31,24.50,24.71,24.50,24.65,113100,23.92
2014-03-28,24.45,24.45,24.35,24.36,65700,23.63
2014-03-27,24.82,24.83,24.60,24.77,53800,23.66
2014-03-26,24.84,24.84,24.75,24.80,60400,23.69
2014-03-25,24.86,24.88,24.75,24.84,66800,23.73
2014-03-24,24.85,24.91,24.79,24.84,88600,23.73
2014-03-21,24.95,24.95,24.78,24.79,79800,23.68
2014-03-20,24.72,24.82,24.66,24.82,63500,23.71
2014-03-19,24.89,24.89,24.73,24.75,42000,23.64
2014-03-18,24.82,24.85,24.75,24.82,47300,23.71
2014-03-17,24.87,24.87,24.75,24.77,43800,23.66
2014-03-14,24.83,24.83,24.71,24.83,58200,23.72
2014-03-13,24.77,24.83,24.72,24.83,51100,23.72
2014-03-12,24.65,24.74,24.60,24.72,72900,23.61
2014-03-11,24.45,24.63,24.45,24.62,114700,23.52
2014-03-10,24.45,24.50,24.35,24.47,45500,23.37
2014-03-07,24.50,24.50,24.38,24.45,37000,23.35
2014-03-06,24.49,24.52,24.40,24.49,49500,23.39
2014-03-05,24.35,24.50,24.35,24.47,48700,23.37
2014-03-04,24.35,24.47,24.29,24.39,51600,23.30
2014-03-03,24.36,24.38,24.29,24.33,39000,23.24
2014-02-28,24.45,24.45,24.38,24.39,35200,23.30
2014-02-27,24.35,24.38,24.30,24.36,48100,23.27
2014-02-26,24.33,24.47,24.31,24.31,45400,23.22
2014-02-25,24.32,24.45,24.31,24.31,59800,23.22
2014-02-24,24.40,24.51,24.32,24.32,69000,23.23
2014-02-21,24.28,24.42,24.28,24.34,77900,23.25
2014-02-20,24.41,24.45,24.38,24.38,70400,23.29
2014-02-19,24.40,24.45,24.30,24.38,68500,23.29
2014-02-18,24.52,24.56,24.32,24.41,92900,23.32
2014-02-14,24.38,24.52,24.38,24.49,84000,23.39
2014-02-13,24.19,24.42,24.15,24.38,55300,23.29
2014-02-12,24.03,24.24,24.01,24.17,69100,23.09
2014-02-11,23.90,24.03,23.90,23.97,105400,22.90
2014-02-10,23.91,24.04,23.86,23.93,50300,22.86
2014-02-07,23.66,23.94,23.61,23.91,99400,22.84
2014-02-06,23.65,23.69,23.60,23.66,64300,22.60
2014-02-05,23.63,23.67,23.62,23.63,32400,22.57
2014-02-04,23.58,23.67,23.57,23.63,95000,22.57
2014-02-03,23.66,23.68,23.60,23.61,32400,22.55
2014-01-31,23.70,23.74,23.60,23.62,56100,22.56
2014-01-30,23.64,23.78,23.64,23.65,68700,22.59
2014-01-29,23.66,23.71,23.61,23.61,40500,22.55
2014-01-28,23.61,23.72,23.60,23.69,54100,22.63
2014-01-27,23.62,23.68,23.60,23.63,40800,22.57
2014-01-24,23.66,23.75,23.61,23.63,48100,22.57
2014-01-23,23.76,23.76,23.66,23.69,72100,22.63
2014-01-22,23.66,23.69,23.63,23.68,104900,22.62
2014-01-21,23.67,23.70,23.61,23.63,64600,22.57
2014-01-17,23.61,23.67,23.60,23.61,99300,22.55
2014-01-16,23.62,23.64,23.53,23.64,65800,22.58
2014-01-15,23.65,23.68,23.55,23.60,65400,22.54
2014-01-14,23.64,23.68,23.52,23.59,45300,22.53
2014-01-13,23.65,23.74,23.56,23.60,61900,22.54
2014-01-10,23.57,23.66,23.56,23.61,25600,22.55
2014-01-09,23.55,23.57,23.44,23.53,54800,22.48
2014-01-08,23.54,23.56,23.46,23.54,33900,22.49
2014-01-07,23.64,23.64,23.50,23.50,48700,22.45
2014-01-06,23.44,23.55,23.44,23.55,38500,22.49
2014-01-03,23.30,23.46,23.28,23.46,30400,22.41
2014-01-02,23.13,23.67,23.00,23.26,46200,22.22
2013-12-31,22.71,23.15,22.71,23.15,104000,22.11
2013-12-30,22.79,22.90,22.75,22.81,89800,21.79
2013-12-27,23.14,23.14,22.81,22.86,85900,21.84
2013-12-26,23.50,23.57,23.22,23.36,70300,21.95
2013-12-24,23.65,23.65,23.39,23.41,90200,21.99
2013-12-23,23.69,23.81,23.53,23.58,74200,22.15
2013-12-20,23.55,23.62,23.55,23.57,123700,22.14
2013-12-19,23.78,23.90,23.52,23.52,85800,22.10
2013-12-18,23.63,23.70,23.56,23.63,54100,22.20
2013-12-17,23.68,23.79,23.62,23.63,51900,22.20
2013-12-16,23.74,23.74,23.60,23.68,99700,22.25
2013-12-13,23.42,23.65,23.35,23.65,75200,22.22
