Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,17.45,17.64,17.45,17.62,4700,17.62
2014-11-17,17.94,17.94,17.94,17.94,200,17.94
2014-11-14,17.26,18.01,17.07,17.48,16900,17.48
2014-11-13,17.40,17.80,17.28,17.46,16600,17.46
2014-11-12,17.16,17.67,16.91,17.67,8900,17.67
2014-11-11,17.24,17.50,17.24,17.25,3700,17.25
2014-11-10,17.76,17.76,17.27,17.45,4200,17.45
2014-11-07,17.70,18.09,17.27,17.42,4000,17.42
2014-11-06,17.30,17.69,17.26,17.26,1400,17.26
2014-11-05,17.03,17.03,17.03,17.03,000,17.03
2014-11-04,17.01,17.03,16.98,17.03,2100,17.03
2014-11-03,17.18,17.26,17.18,17.18,1700,17.18
2014-10-31,16.50,17.40,16.37,17.34,10400,17.34
2014-10-30,17.40,17.40,17.08,17.08,1800,17.08
2014-10-29,17.00,17.15,17.00,17.15,3900,17.15
2014-10-28,17.13,17.42,16.85,17.42,4800,17.42
2014-10-27,17.24,17.39,17.00,17.39,2900,17.39
2014-10-24,17.26,17.70,17.25,17.70,3700,17.70
2014-10-23,17.57,17.66,17.14,17.39,700,17.39
2014-10-22,17.49,17.49,17.46,17.46,500,17.46
2014-10-21,17.42,17.47,17.34,17.39,3800,17.39
2014-10-20,17.20,17.48,16.55,17.48,1000,17.48
2014-10-17,17.01,17.20,16.46,17.20,12200,17.20
2014-10-16,16.58,16.82,16.55,16.82,5600,16.82
2014-10-15,16.42,16.60,16.40,16.60,3600,16.60
2014-10-14,16.35,16.58,16.02,16.54,17000,16.54
2014-10-13,16.90,16.90,16.41,16.41,5400,16.41
2014-10-10,16.99,16.99,16.86,16.92,500,16.92
2014-10-09,17.25,17.30,16.83,16.98,43000,16.98
2014-10-08,18.00,18.00,16.91,17.60,26300,17.60
2014-10-07,18.15,18.50,18.01,18.24,2000,18.24
2014-10-06,18.04,18.06,18.00,18.00,2400,18.00
2014-10-03,18.50,18.50,18.35,18.49,1000,18.49
2014-10-02,18.23,18.50,18.01,18.50,1600,18.50
2014-10-01,18.13,18.20,18.01,18.18,3900,18.18
2014-09-30,18.54,18.63,18.42,18.45,3200,18.45
2014-09-29,18.60,18.60,18.50,18.52,2500,18.52
2014-09-26,18.80,18.81,18.60,18.60,1100,18.60
2014-09-25,19.05,19.05,18.81,18.94,2300,18.94
2014-09-24,18.80,19.05,18.80,19.05,300,19.05
2014-09-23,18.86,19.10,18.86,18.96,6200,18.96
2014-09-22,19.18,19.25,19.00,19.25,2500,19.25
2014-09-19,19.16,19.39,19.12,19.39,7600,19.39
2014-09-18,19.06,19.39,19.06,19.39,3500,19.39
2014-09-17,19.25,19.40,19.05,19.20,2800,19.20
2014-09-16,19.31,19.31,19.00,19.24,4000,19.24
2014-09-15,19.32,19.40,19.20,19.31,5800,19.31
2014-09-12,19.30,19.48,19.30,19.48,500,19.48
2014-09-11,19.57,19.79,19.51,19.79,2500,19.79
2014-09-10,19.10,19.79,18.58,19.75,14200,19.75
2014-09-09,19.62,19.62,19.60,19.60,3300,19.60
2014-09-08,19.30,19.67,19.26,19.45,2300,19.45
2014-09-05,19.31,19.62,19.21,19.50,6000,19.50
2014-09-04,19.58,19.60,19.32,19.53,9500,19.53
2014-09-03,19.44,19.57,19.05,19.23,22400,19.23
2014-09-02,19.65,19.65,19.22,19.28,7800,19.28
2014-08-29,19.01,19.66,19.01,19.55,5000,19.55
2014-08-28,19.71,19.95,19.21,19.75,41200,19.75
2014-08-27,19.94,20.63,19.72,20.09,16400,20.09
2014-08-26,21.12,21.12,20.51,21.00,4400,20.12
2014-08-25,20.35,20.82,20.35,20.51,8400,19.66
2014-08-22,20.09,20.33,20.03,20.33,6000,19.48
2014-08-21,20.28,20.40,20.04,20.33,7500,19.48
2014-08-20,20.54,20.63,20.00,20.11,21900,19.27
2014-08-19,20.10,20.50,19.56,20.50,14200,19.65
2014-08-18,20.14,20.15,19.80,20.00,8800,19.17
2014-08-15,19.25,19.88,19.25,19.60,5600,18.78
2014-08-14,19.15,19.25,19.00,19.20,3500,18.40
2014-08-13,19.05,19.19,18.70,19.19,1400,18.39
2014-08-12,18.97,18.98,18.97,18.98,2000,18.19
2014-08-11,18.97,18.97,18.97,18.97,000,18.18
2014-08-08,18.98,18.98,18.95,18.97,2300,18.18
2014-08-07,18.81,19.05,18.53,18.75,11400,17.97
2014-08-06,18.53,18.53,18.53,18.53,200,17.76
2014-08-05,18.48,18.48,18.48,18.48,000,17.71
2014-08-04,18.48,18.48,18.48,18.48,300,17.71
2014-08-01,18.97,18.97,18.35,18.43,4200,17.66
2014-07-31,18.55,18.57,18.40,18.40,400,17.63
2014-07-30,18.73,18.73,18.52,18.52,500,17.75
2014-07-29,19.14,19.14,18.46,18.46,500,17.69
2014-07-28,18.96,18.96,18.65,18.65,600,17.87
2014-07-25,18.36,18.65,18.36,18.56,1200,17.79
2014-07-24,18.66,18.87,18.55,18.56,2600,17.79
2014-07-23,18.55,18.90,18.55,18.90,800,18.11
2014-07-22,18.59,18.80,18.37,18.37,5100,17.60
2014-07-21,19.08,19.08,18.35,18.48,4800,17.71
2014-07-18,18.51,18.51,18.51,18.51,000,17.74
2014-07-17,18.51,18.52,18.35,18.51,2300,17.74
2014-07-16,18.50,18.70,18.50,18.70,1500,17.92
2014-07-15,18.73,18.85,18.50,18.61,2400,17.83
2014-07-14,18.87,18.87,18.87,18.87,400,18.08
2014-07-11,18.99,18.99,18.99,18.99,1000,18.20
2014-07-10,18.79,18.79,18.79,18.79,000,18.01
2014-07-09,18.73,18.81,18.68,18.79,900,18.01
2014-07-08,18.68,18.68,18.68,18.68,600,17.90
2014-07-07,18.51,19.06,18.35,18.69,3100,17.91
2014-07-03,19.20,19.20,19.20,19.20,000,18.40
2014-07-02,18.76,19.25,18.75,19.20,1800,18.40
2014-07-01,19.43,19.43,19.43,19.43,100,18.62
2014-06-30,19.13,19.14,18.85,19.00,1700,18.21
2014-06-27,18.56,18.56,18.56,18.56,000,17.79
2014-06-26,19.11,19.11,18.56,18.56,700,17.79
