Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,17.85,17.91,17.77,17.91,37600,17.91
2014-11-17,17.58,17.96,17.58,17.85,102400,17.85
2014-11-14,17.65,17.65,17.52,17.60,25700,17.60
2014-11-13,17.64,17.67,17.52,17.64,48000,17.64
2014-11-12,17.54,17.62,17.47,17.61,40100,17.61
2014-11-11,17.50,17.63,17.45,17.63,57800,17.63
2014-11-10,17.49,17.56,17.45,17.53,54900,17.53
2014-11-07,17.59,17.59,17.47,17.49,45200,17.49
2014-11-06,17.48,17.58,17.44,17.57,25000,17.57
2014-11-05,17.50,17.54,17.41,17.48,31900,17.48
2014-11-04,17.53,17.53,17.34,17.38,33800,17.38
2014-11-03,17.60,17.64,17.41,17.53,30700,17.53
2014-10-31,17.45,17.59,17.40,17.56,50100,17.56
2014-10-30,17.33,17.41,17.22,17.27,42100,17.27
2014-10-29,17.47,17.55,17.25,17.30,57100,17.30
2014-10-28,17.32,17.43,17.28,17.43,30400,17.43
2014-10-27,17.34,17.34,17.19,17.31,14900,17.31
2014-10-24,17.24,17.36,17.24,17.32,37500,17.32
2014-10-23,17.13,17.39,16.97,17.19,82700,17.19
2014-10-22,17.02,17.17,16.98,16.99,41800,16.99
2014-10-21,16.59,17.08,16.52,17.08,155100,17.08
2014-10-20,16.37,16.52,16.25,16.44,35400,16.44
2014-10-17,16.08,16.39,16.04,16.33,57300,16.33
2014-10-16,15.54,16.04,15.54,15.98,58300,15.98
2014-10-15,15.82,15.82,15.21,15.76,106800,15.76
2014-10-14,16.12,16.28,15.81,15.89,83000,15.89
2014-10-13,16.46,16.55,16.07,16.10,70800,16.10
2014-10-10,16.75,16.88,16.45,16.50,52500,16.50
2014-10-09,17.17,17.19,16.80,16.80,76800,16.80
2014-10-08,17.08,17.26,16.88,17.23,69200,17.23
2014-10-07,17.06,17.16,16.92,17.09,36000,17.09
2014-10-06,17.23,17.26,17.07,17.12,36500,17.12
2014-10-03,17.03,17.23,17.03,17.16,67200,17.16
2014-10-02,17.03,17.14,16.80,17.03,106100,17.03
2014-10-01,17.26,17.36,17.08,17.11,102100,17.11
2014-09-30,17.25,17.36,17.17,17.17,79100,17.17
2014-09-29,17.29,17.41,17.16,17.31,74000,17.31
2014-09-26,17.29,17.41,17.21,17.40,74900,17.40
2014-09-25,17.36,17.42,17.21,17.24,73300,17.24
2014-09-24,17.38,17.47,17.38,17.46,33700,17.46
2014-09-23,17.35,17.51,17.28,17.42,73700,17.42
2014-09-22,17.59,17.59,17.37,17.40,111100,17.40
2014-09-19,17.65,17.71,17.55,17.68,38500,17.68
2014-09-18,17.65,17.65,17.24,17.57,30900,17.57
2014-09-17,17.76,17.87,17.73,17.82,51200,17.43
2014-09-16,17.66,17.80,17.56,17.75,131200,17.37
2014-09-15,17.77,17.77,17.61,17.69,33600,17.31
2014-09-12,17.85,17.93,17.74,17.80,30200,17.41
2014-09-11,17.96,17.96,17.76,17.81,36600,17.42
2014-09-10,18.07,18.27,18.07,18.27,34300,17.58
2014-09-09,18.14,18.15,18.04,18.10,28300,17.41
2014-09-08,18.17,18.21,18.09,18.11,23400,17.42
2014-09-05,18.07,18.24,18.07,18.24,64500,17.55
2014-09-04,18.11,18.17,18.04,18.12,39000,17.43
2014-09-03,18.19,18.20,18.11,18.13,21300,17.44
2014-09-02,18.13,18.17,18.09,18.16,35700,17.47
2014-08-29,18.12,18.16,18.04,18.14,47200,17.45
2014-08-28,18.16,18.21,18.11,18.11,24400,17.42
2014-08-27,18.09,18.62,18.09,18.25,49000,17.56
2014-08-26,18.14,18.14,18.03,18.13,33200,17.44
2014-08-25,18.03,18.19,18.02,18.10,54800,17.41
2014-08-22,18.08,18.08,17.99,18.03,41400,17.35
2014-08-21,18.08,18.16,17.99,18.11,47600,17.42
2014-08-20,18.00,18.10,17.92,18.07,53500,17.39
2014-08-19,17.96,18.04,17.87,18.04,35900,17.36
2014-08-18,17.79,18.04,17.78,17.97,45300,17.29
2014-08-15,17.84,17.88,17.68,17.77,36300,17.10
2014-08-14,17.67,17.81,17.60,17.78,25800,17.11
2014-08-13,17.56,17.65,17.56,17.65,42400,16.98
2014-08-12,17.53,17.60,17.45,17.52,40100,16.86
2014-08-11,17.38,17.58,17.35,17.54,28900,16.88
2014-08-08,17.17,17.32,17.13,17.28,24500,16.63
2014-08-07,17.22,17.25,17.12,17.20,38200,16.55
2014-08-06,17.18,17.28,16.75,17.25,94100,16.60
2014-08-05,17.64,17.72,17.30,17.35,115000,16.69
2014-08-04,17.99,18.04,17.73,17.75,36000,17.08
2014-08-01,17.98,18.13,17.88,17.97,43000,17.29
2014-07-31,18.46,18.51,18.01,18.01,35500,17.33
2014-07-30,18.65,18.73,18.50,18.53,29600,17.83
2014-07-29,18.62,18.67,18.51,18.64,30200,17.93
2014-07-28,18.51,18.68,18.44,18.61,31300,17.90
