Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,34.28,34.50,34.00,34.22,849600,34.22
2014-11-17,34.25,34.41,34.04,34.28,617500,34.28
2014-11-14,33.79,34.37,33.59,34.36,1002000,34.36
2014-11-13,33.69,33.96,33.44,33.74,714600,33.74
2014-11-12,33.00,34.09,32.85,33.65,1300300,33.65
2014-11-11,33.27,33.41,32.99,33.02,731900,33.02
2014-11-10,33.03,33.33,32.97,33.32,818000,33.32
2014-11-07,33.26,33.35,33.00,33.03,1025400,33.03
2014-11-06,32.97,33.26,32.69,33.22,1793800,33.22
2014-11-05,32.00,33.54,31.85,32.79,3559700,32.79
2014-11-04,30.33,30.59,30.14,30.19,1649700,30.19
2014-11-03,30.33,30.95,30.33,30.43,1330400,30.43
2014-10-31,30.27,30.49,30.17,30.36,799700,30.36
2014-10-30,29.70,30.12,29.46,30.03,416800,30.03
2014-10-29,29.98,30.21,29.55,29.98,1700100,29.98
2014-10-28,29.60,30.21,29.56,29.99,1670300,29.99
2014-10-27,29.09,29.52,29.02,29.48,928000,29.48
2014-10-24,29.20,29.43,29.05,29.30,490700,29.30
2014-10-23,29.05,29.29,28.79,29.19,778400,29.19
2014-10-22,29.05,29.28,28.64,28.64,654200,28.64
2014-10-21,28.62,29.15,28.61,29.05,961100,29.05
2014-10-20,28.08,28.55,28.07,28.48,667700,28.48
2014-10-17,27.47,28.44,27.29,28.24,1578300,28.24
2014-10-16,26.25,27.49,26.22,27.11,1888000,27.11
2014-10-15,26.37,26.88,25.95,26.68,1451400,26.68
2014-10-14,26.65,27.32,26.42,26.68,1651100,26.68
2014-10-13,26.79,26.85,25.91,26.44,2700700,26.44
2014-10-10,27.37,27.56,26.89,26.90,921600,26.90
2014-10-09,27.94,27.98,27.34,27.45,724000,27.45
2014-10-08,27.38,28.06,27.28,27.94,699000,27.94
2014-10-07,27.97,27.97,27.37,27.39,651700,27.39
2014-10-06,28.20,28.35,27.99,28.07,474500,28.07
2014-10-03,28.18,28.39,28.01,28.13,1238700,28.13
2014-10-02,27.60,28.03,27.16,27.98,1275100,27.98
2014-10-01,28.62,28.62,27.57,27.72,1270000,27.72
2014-09-30,28.86,28.87,28.45,28.63,1251900,28.63
2014-09-29,28.50,28.93,28.45,28.81,1565500,28.81
2014-09-26,28.39,28.80,28.28,28.65,952600,28.65
2014-09-25,28.61,28.68,28.33,28.38,763200,28.38
2014-09-24,28.85,28.85,28.09,28.62,1938400,28.62
2014-09-23,29.00,29.13,28.82,28.90,756000,28.90
2014-09-22,29.64,29.80,29.07,29.14,820100,29.14
2014-09-19,30.58,30.62,29.95,30.00,942100,29.75
2014-09-18,30.63,30.76,30.37,30.50,354800,30.25
2014-09-17,30.46,30.78,30.46,30.60,713600,30.35
2014-09-16,30.55,30.56,30.07,30.42,1187300,30.17
2014-09-15,30.38,30.58,30.30,30.56,1013700,30.31
2014-09-12,30.56,30.63,30.38,30.55,1085800,30.30
2014-09-11,30.78,30.78,30.51,30.60,814200,30.35
2014-09-10,30.65,30.88,30.54,30.85,745000,30.59
2014-09-09,30.66,30.87,30.54,30.61,1532400,30.35
2014-09-08,30.49,30.75,30.41,30.73,693800,30.47
2014-09-05,30.58,30.61,30.34,30.61,839400,30.35
2014-09-04,30.34,30.78,30.20,30.61,924800,30.35
2014-09-03,30.43,30.60,30.24,30.33,806400,30.08
2014-09-02,30.18,30.44,30.11,30.35,784600,30.10
2014-08-29,29.99,30.16,29.86,30.16,656200,29.91
2014-08-28,29.89,30.03,29.80,29.92,446800,29.67
2014-08-27,30.09,30.14,29.81,29.94,817600,29.69
2014-08-26,30.22,30.42,30.03,30.10,636000,29.85
2014-08-25,30.08,30.46,30.02,30.26,646200,30.01
2014-08-22,29.89,30.14,29.74,30.01,568400,29.76
2014-08-21,30.00,30.23,29.90,29.91,559300,29.66
2014-08-20,29.95,30.06,29.74,29.98,360600,29.73
2014-08-19,30.00,30.28,29.95,30.01,456900,29.76
2014-08-18,29.40,29.88,29.40,29.81,618400,29.56
2014-08-15,29.57,29.65,28.94,29.27,786000,29.03
2014-08-14,29.09,29.50,28.99,29.45,861100,29.20
2014-08-13,28.98,29.06,28.88,28.98,1612400,28.74
2014-08-12,29.25,29.28,28.89,28.94,2204100,28.70
2014-08-11,29.18,29.55,29.18,29.25,743500,29.01
2014-08-08,29.07,29.29,28.69,29.12,944000,28.88
2014-08-07,29.81,29.92,28.83,28.98,2000100,28.74
2014-08-06,28.68,30.04,28.65,29.65,2726800,29.40
2014-08-05,28.99,29.45,28.79,29.23,1929400,28.99
2014-08-04,29.01,29.25,28.71,28.99,1437300,28.75
2014-08-01,29.31,29.42,28.86,29.02,1226200,28.78
2014-07-31,29.61,29.70,29.08,29.31,849500,29.07
2014-07-30,29.96,29.98,29.66,29.75,1371100,29.50
2014-07-29,30.44,30.56,29.88,29.90,873800,29.65
2014-07-28,30.44,30.60,30.16,30.39,936100,30.14
2014-07-25,30.71,30.79,30.40,30.52,562500,30.27
2014-07-24,30.51,30.92,30.39,30.87,611000,30.61
2014-07-23,30.50,30.70,30.30,30.48,572800,30.23
2014-07-22,30.60,30.66,30.16,30.42,1494100,30.17
2014-07-21,30.70,30.83,30.38,30.47,817000,30.22
2014-07-18,30.70,30.90,30.53,30.88,710200,30.62
2014-07-17,30.90,31.16,30.65,30.69,487600,30.43
2014-07-16,31.50,31.54,31.09,31.15,776400,30.89
2014-07-15,31.46,31.50,30.94,31.32,729300,31.06
2014-07-14,31.27,31.46,31.24,31.35,941200,31.09
2014-07-11,31.59,31.59,31.08,31.15,819500,30.89
2014-07-10,31.60,31.78,31.49,31.60,562900,31.34
2014-07-09,32.44,32.45,31.82,31.98,939400,31.71
2014-07-08,32.16,32.41,31.96,32.37,1313600,32.10
2014-07-07,32.41,32.47,32.01,32.34,984700,32.07
2014-07-03,32.39,32.65,32.16,32.64,485100,32.37
2014-07-02,32.17,32.36,31.99,32.35,453500,32.08
2014-07-01,31.87,32.22,31.87,32.17,888700,31.90
2014-06-30,31.68,32.19,31.68,31.87,1114100,31.60
2014-06-27,31.68,32.00,31.47,31.72,4480100,31.46
2014-06-26,31.44,32.17,31.36,31.77,1024800,31.51
2014-06-25,30.95,31.48,30.92,31.44,638100,31.18
2014-06-24,31.56,31.73,31.02,31.12,1153600,30.86
2014-06-23,31.54,31.75,31.43,31.61,1040300,31.35
2014-06-20,32.00,32.22,31.66,31.89,812700,31.38
2014-06-19,31.86,32.00,31.77,32.00,352000,31.48
2014-06-18,31.75,32.00,31.66,31.86,568300,31.35
2014-06-17,31.35,31.84,31.35,31.77,585900,31.26
2014-06-16,31.00,31.46,31.00,31.39,495100,30.88
2014-06-13,31.09,31.30,30.91,31.06,348200,30.56
2014-06-12,31.27,31.45,30.96,31.05,422300,30.55
2014-06-11,31.38,31.54,31.20,31.42,512400,30.91
2014-06-10,31.55,31.81,31.48,31.57,349800,31.06
2014-06-09,31.81,31.99,31.52,31.66,485700,31.15
2014-06-06,31.55,31.73,31.38,31.67,591100,31.16
2014-06-05,31.12,31.70,30.95,31.53,840500,31.02
2014-06-04,30.76,31.32,30.56,31.13,1065100,30.63
2014-06-03,30.69,31.17,30.64,30.79,1268400,30.29
2014-06-02,30.55,30.95,30.37,30.79,983600,30.29
2014-05-30,30.55,30.79,30.46,30.54,534000,30.05
2014-05-29,30.66,30.74,30.48,30.63,725400,30.14
2014-05-28,30.74,30.88,30.61,30.70,640700,30.21
2014-05-27,30.20,30.84,30.05,30.76,1014300,30.26
2014-05-23,29.72,30.21,29.63,30.08,555200,29.60
2014-05-22,29.60,29.98,29.50,29.69,428900,29.21
2014-05-21,29.37,29.73,29.33,29.60,367100,29.12
2014-05-20,29.68,29.73,29.12,29.25,538300,28.78
2014-05-19,29.33,29.87,29.33,29.74,698000,29.26
2014-05-16,29.64,29.68,29.11,29.42,1200500,28.95
2014-05-15,29.33,29.71,28.60,29.64,1807300,29.16
2014-05-14,29.99,30.02,29.29,29.35,914900,28.88
2014-05-13,30.18,30.30,29.96,29.97,677100,29.49
2014-05-12,29.74,30.30,29.56,30.22,911300,29.73
2014-05-09,30.11,30.19,29.37,29.60,1806900,29.12
2014-05-08,30.34,30.92,30.12,30.18,1070500,29.69
2014-05-07,30.32,30.46,29.79,30.44,1629700,29.95
2014-05-06,29.99,31.00,29.94,30.28,1792100,29.79
2014-05-05,30.11,30.58,29.85,30.19,1469100,29.70
2014-05-02,30.18,30.46,30.12,30.20,1561300,29.71
2014-05-01,29.70,30.31,29.65,30.20,1423100,29.71
2014-04-30,29.39,29.78,29.10,29.78,529900,29.30
2014-04-29,29.52,29.60,29.14,29.46,840200,28.99
2014-04-28,30.07,30.27,29.11,29.47,2546600,29.00
2014-04-25,30.29,30.33,29.85,30.05,757300,29.57
2014-04-24,30.39,30.43,30.05,30.41,429400,29.92
2014-04-23,30.44,30.74,30.22,30.31,679600,29.82
2014-04-22,30.29,30.59,30.28,30.46,291400,29.97
2014-04-21,30.12,30.28,30.02,30.25,373500,29.76
2014-04-17,30.12,30.37,30.02,30.27,412500,29.78
2014-04-16,29.92,30.31,29.71,30.18,637700,29.69
2014-04-15,29.48,29.78,29.18,29.73,1043400,29.25
2014-04-14,29.81,30.01,29.26,29.45,1076900,28.98
2014-04-11,29.80,30.12,29.45,29.62,1479300,29.14
2014-04-10,30.36,30.48,29.69,29.98,1248800,29.50
2014-04-09,29.11,30.35,29.11,30.32,1269400,29.83
2014-04-08,29.14,29.28,28.92,29.00,1635100,28.53
2014-04-07,30.22,30.22,28.79,29.19,1724700,28.72
2014-04-04,31.00,31.07,29.83,30.24,994900,29.75
2014-04-03,30.99,31.05,30.70,30.97,629700,30.47
2014-04-02,30.69,30.98,30.69,30.97,627100,30.47
2014-04-01,30.53,30.94,30.39,30.78,1315800,30.28
2014-03-31,30.17,30.53,30.10,30.35,924700,29.86
2014-03-28,29.80,30.09,29.43,30.00,1098500,29.52
2014-03-27,30.31,30.44,29.31,29.72,2084100,29.24
2014-03-26,30.76,30.88,29.98,29.99,899000,29.51
2014-03-25,30.67,30.83,30.33,30.66,791400,30.17
2014-03-24,30.61,30.84,30.32,30.62,1176300,30.13
2014-03-21,31.43,31.44,30.83,30.83,1388500,30.09
2014-03-20,31.77,31.78,31.27,31.33,525200,30.58
2014-03-19,32.14,32.14,31.58,31.82,773000,31.05
2014-03-18,31.55,32.11,31.41,32.09,1004100,31.32
2014-03-17,31.28,31.58,31.26,31.27,643300,30.52
2014-03-14,30.71,31.28,30.61,31.27,775700,30.52
2014-03-13,31.14,31.23,30.47,30.71,847600,29.97
2014-03-12,31.31,31.41,30.98,31.08,829200,30.33
2014-03-11,31.81,31.98,31.33,31.43,798600,30.67
2014-03-10,31.72,31.87,31.43,31.79,1528800,31.02
2014-03-07,32.11,32.24,31.52,31.63,1358000,30.87
2014-03-06,32.14,32.22,31.87,32.10,808700,31.33
2014-03-05,31.58,32.22,31.50,32.02,1278600,31.25
2014-03-04,31.11,31.62,31.11,31.58,1114900,30.82
2014-03-03,30.74,31.19,30.64,30.91,1368200,30.17
2014-02-28,31.15,31.28,30.82,31.16,1153100,30.41
2014-02-27,30.25,31.00,30.24,30.89,1326700,30.15
2014-02-26,30.05,30.43,29.88,30.28,1308300,29.55
2014-02-25,29.70,30.16,29.70,30.02,829200,29.30
2014-02-24,29.27,29.86,29.20,29.66,1105700,28.95
2014-02-21,29.09,29.51,29.09,29.31,2372200,28.60
2014-02-20,28.95,29.24,28.67,29.05,1603300,28.35
2014-02-19,28.00,29.94,27.27,28.99,4222400,28.29
2014-02-18,28.38,28.47,27.93,28.10,2121100,27.42
2014-02-14,28.53,28.79,28.36,28.40,1038400,27.72
2014-02-13,28.30,28.63,28.10,28.50,525900,27.81
2014-02-12,28.56,28.78,28.32,28.34,752200,27.66
2014-02-11,28.41,28.69,28.38,28.62,381200,27.93
2014-02-10,28.34,28.56,28.09,28.39,719700,27.71
2014-02-07,28.18,28.51,28.09,28.39,1672900,27.71
2014-02-06,27.57,28.20,27.50,28.03,576300,27.35
2014-02-05,27.52,27.78,27.06,27.50,652300,26.84
2014-02-04,27.86,27.96,27.58,27.69,863700,27.02
2014-02-03,27.93,28.12,27.49,27.79,1969700,27.12
2014-01-31,27.64,27.87,27.49,27.82,435200,27.15
2014-01-30,27.90,28.04,27.71,27.85,929700,27.18
2014-01-29,27.81,28.00,27.50,27.64,1739500,26.97
2014-01-28,27.56,28.05,27.51,27.90,1361100,27.23
2014-01-27,27.86,27.89,27.26,27.50,1687000,26.84
2014-01-24,28.54,28.54,27.70,27.89,2469000,27.22
2014-01-23,28.89,28.92,28.50,28.68,1460800,27.99
2014-01-22,28.83,29.11,28.74,28.86,878500,28.16
2014-01-21,28.84,29.06,28.66,28.76,924600,28.07
2014-01-17,28.99,29.09,28.72,28.79,649100,28.10
2014-01-16,29.20,29.20,28.84,28.96,803700,28.26
2014-01-15,29.45,29.63,29.21,29.21,1001500,28.51
2014-01-14,29.05,29.56,28.89,29.50,728300,28.79
2014-01-13,29.06,29.44,28.75,28.87,679900,28.17
2014-01-10,29.20,29.29,28.89,29.21,837900,28.51
2014-01-09,29.37,29.45,29.10,29.18,1005000,28.48
2014-01-08,29.19,29.42,29.05,29.31,1369600,28.60
2014-01-07,29.53,29.68,29.24,29.26,1627400,28.56
2014-01-06,30.08,30.17,29.47,29.55,1744400,28.84
2014-01-03,29.92,30.46,29.88,30.10,1301100,29.38
2014-01-02,29.63,30.10,29.54,29.85,1931500,29.13
2013-12-31,29.30,29.63,29.03,29.55,1002700,28.84
2013-12-30,28.73,29.29,28.65,29.23,659200,28.53
2013-12-27,29.22,29.22,28.62,28.83,850300,28.14
2013-12-26,28.99,29.12,28.75,28.96,340900,28.26
2013-12-24,29.00,29.07,28.89,28.96,280300,28.26
2013-12-23,28.95,29.21,28.82,29.00,730200,28.30
2013-12-20,29.12,29.18,28.68,28.88,2172400,28.18
2013-12-19,28.15,29.03,28.15,29.00,2555200,28.30
2013-12-18,28.56,29.04,28.10,28.26,2807100,27.58
2013-12-17,28.95,28.95,28.66,28.77,1430200,27.83
2013-12-16,28.73,28.94,28.68,28.94,1364300,28.00
2013-12-13,28.53,28.71,28.36,28.69,1426600,27.76
2013-12-12,28.19,28.46,28.10,28.44,1991800,27.51
2013-12-11,27.82,28.31,27.82,28.19,1974300,27.27
2013-12-10,27.95,28.00,27.59,27.75,2262200,26.85
2013-12-09,27.14,27.94,27.14,27.93,1310600,27.02
2013-12-06,27.51,27.51,26.98,27.09,1641100,26.21
2013-12-05,27.28,27.44,27.22,27.25,918400,26.36
2013-12-04,27.38,27.52,26.97,27.35,649400,26.46
2013-12-03,27.38,27.41,27.04,27.40,1806400,26.51
2013-12-02,27.59,27.85,27.29,27.34,2063100,26.45
2013-11-29,27.83,27.99,27.49,27.59,490000,26.69
2013-11-27,27.93,27.93,27.64,27.77,915000,26.87
2013-11-26,27.86,27.97,27.50,27.83,1711500,26.92
2013-11-25,28.00,28.10,27.71,27.84,1032700,26.93
2013-11-22,27.72,28.00,27.51,27.89,1513700,26.98
2013-11-21,28.15,28.24,27.64,27.66,2219000,26.76
2013-11-20,28.11,28.51,28.01,28.03,1886100,27.12
2013-11-19,28.64,28.64,27.80,28.08,3146200,27.17
2013-11-18,29.00,29.09,28.53,28.63,1387200,27.70
2013-11-15,28.95,29.16,28.91,29.00,2552000,28.06
2013-11-14,28.85,28.99,28.58,28.96,1621300,28.02
2013-11-13,28.56,29.00,28.56,28.73,937700,27.79
2013-11-12,28.57,28.80,28.39,28.80,1465200,27.86
2013-11-11,28.30,28.60,28.24,28.48,1668300,27.55
2013-11-08,27.66,28.50,27.60,28.35,3007900,27.43
2013-11-07,28.02,28.29,27.17,27.59,15485100,26.69
2013-11-06,29.52,29.52,27.60,28.52,3978400,27.59
2013-11-05,29.19,29.32,28.62,28.95,2018200,28.01
2013-11-04,29.14,29.32,29.00,29.25,837600,28.30
2013-11-01,29.73,29.76,29.00,29.07,1099200,28.12
2013-10-31,29.17,29.88,29.06,29.72,821700,28.75
2013-10-30,29.55,29.75,29.09,29.15,757600,28.20
2013-10-29,29.62,29.71,29.29,29.47,669400,28.51
2013-10-28,29.55,29.69,29.34,29.49,578700,28.53
2013-10-25,29.98,29.98,29.36,29.57,799300,28.61
2013-10-24,29.50,29.87,29.50,29.86,608000,28.89
2013-10-23,29.86,29.89,29.15,29.50,1020700,28.54
2013-10-22,30.30,30.32,29.81,29.90,920900,28.93
2013-10-21,29.93,30.20,29.50,30.15,926800,29.17
2013-10-18,30.00,30.20,29.89,29.93,805800,28.96
2013-10-17,29.47,29.99,29.44,29.99,922400,29.01
2013-10-16,29.50,29.70,29.27,29.60,1034500,28.64
2013-10-15,29.06,29.57,28.88,29.42,1897400,28.46
2013-10-14,28.69,29.30,28.58,29.24,822200,28.29
2013-10-11,28.32,28.95,28.19,28.93,1325400,27.99
2013-10-10,29.23,29.23,28.25,28.33,1369300,27.41
2013-10-09,27.84,27.97,27.41,27.84,930700,26.93
2013-10-08,28.74,28.87,27.73,27.83,1107300,26.92
2013-10-07,28.48,29.06,28.43,28.85,1336700,27.91
2013-10-04,28.82,28.88,28.58,28.81,840800,27.87
2013-10-03,29.15,29.21,28.63,28.97,1590900,28.03
