Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,39.58,39.94,39.47,39.84,175000,39.84
2014-11-17,39.28,39.75,39.28,39.49,151800,39.49
2014-11-14,39.12,39.62,39.03,39.58,252100,39.58
2014-11-13,39.16,39.37,38.86,39.03,206200,39.03
2014-11-12,39.06,39.50,38.76,39.19,222500,39.19
2014-11-11,38.78,39.21,38.30,39.20,217900,39.20
2014-11-10,39.35,39.46,38.53,38.65,196000,38.65
2014-11-07,39.08,39.36,38.98,39.32,168600,39.32
2014-11-06,39.22,39.22,38.75,39.05,153700,39.05
2014-11-05,39.26,39.37,38.68,39.27,172000,39.27
2014-11-04,39.49,39.54,38.30,38.95,216700,38.95
2014-11-03,39.57,39.94,39.36,39.56,139700,39.56
2014-10-31,39.92,39.92,39.43,39.50,291700,39.50
2014-10-30,39.94,40.08,39.28,39.60,173600,39.60
2014-10-29,39.72,40.00,39.63,39.99,191000,39.99
2014-10-28,39.61,39.70,39.39,39.61,140300,39.61
2014-10-27,39.40,39.94,39.06,39.41,217600,39.41
2014-10-24,39.61,39.96,39.34,39.53,242900,39.53
2014-10-23,39.70,40.13,39.34,39.52,268500,39.52
2014-10-22,39.91,40.01,39.40,39.52,231900,39.52
2014-10-21,39.88,39.95,39.18,39.44,217400,39.44
2014-10-20,39.77,40.07,39.23,39.40,224200,39.40
2014-10-17,39.21,40.11,38.77,39.95,422200,39.95
2014-10-16,37.33,39.92,37.03,38.73,548700,38.73
2014-10-15,35.54,38.47,34.64,38.16,781400,38.16
2014-10-14,36.54,36.83,34.80,36.07,847200,36.07
2014-10-13,37.66,38.13,36.42,36.54,460200,36.54
2014-10-10,38.33,38.50,36.44,37.85,600300,37.85
2014-10-09,39.26,39.36,38.00,38.26,325100,38.26
2014-10-08,40.13,40.14,38.65,39.21,329000,39.21
2014-10-07,40.55,40.70,40.08,40.10,206000,40.10
2014-10-06,40.73,40.81,40.34,40.62,219000,40.62
2014-10-03,40.48,40.54,40.12,40.49,126800,40.49
2014-10-02,40.19,40.34,39.24,40.19,250000,40.19
2014-10-01,40.34,40.64,39.71,40.10,232400,40.10
2014-09-30,40.75,41.03,40.53,40.84,196100,40.19
2014-09-29,40.76,40.93,40.39,40.58,189800,39.93
2014-09-26,40.55,40.94,40.38,40.81,188200,40.16
2014-09-25,40.88,41.09,40.33,40.33,254800,39.69
2014-09-24,40.11,40.84,39.74,40.71,203600,40.06
2014-09-23,40.23,40.50,40.01,40.13,165700,39.49
2014-09-22,41.17,41.17,39.95,40.26,330700,39.62
2014-09-19,40.87,41.19,40.70,41.16,216300,40.50
2014-09-18,40.45,40.98,40.29,40.72,211300,40.07
2014-09-17,40.43,40.53,40.23,40.47,144100,39.83
2014-09-16,39.88,40.57,39.88,40.29,217800,39.65
2014-09-15,40.23,40.23,39.73,40.09,141200,39.45
2014-09-12,40.67,40.78,40.00,40.30,179100,39.66
2014-09-11,40.74,40.90,40.47,40.82,159200,40.17
2014-09-10,40.91,40.99,40.47,40.85,160600,40.20
2014-09-09,40.67,40.87,40.50,40.75,235900,40.10
2014-09-08,40.33,40.64,40.17,40.49,131000,39.85
2014-09-05,40.17,40.37,40.09,40.27,156200,39.63
2014-09-04,40.76,40.81,40.18,40.34,230600,39.70
2014-09-03,41.00,41.15,40.51,40.61,173000,39.96
2014-09-02,41.17,41.35,40.93,41.00,189800,40.35
2014-08-29,40.83,41.10,40.65,41.02,145300,40.37
2014-08-28,40.46,40.91,40.06,40.72,181900,40.07
2014-08-27,40.45,40.85,40.40,40.79,244100,40.14
2014-08-26,40.25,40.44,40.21,40.40,212200,39.76
2014-08-25,39.93,40.32,39.61,40.22,248600,39.58
2014-08-22,40.17,40.30,39.65,39.69,139900,39.06
2014-08-21,40.32,40.56,39.94,40.06,254900,39.42
2014-08-20,39.73,40.32,39.72,40.25,255900,39.61
2014-08-19,39.56,39.89,39.52,39.69,227600,39.06
2014-08-18,40.02,40.41,39.35,39.44,374400,38.81
2014-08-15,39.44,40.08,39.24,40.06,299800,39.42
2014-08-14,39.36,39.42,39.03,39.42,319900,38.79
2014-08-13,38.84,39.30,38.61,39.28,235400,38.65
2014-08-12,38.90,38.90,38.52,38.78,250100,38.16
2014-08-11,38.61,39.32,38.49,38.95,455500,38.33
2014-08-08,37.40,37.60,37.20,37.29,317300,36.70
2014-08-07,37.33,37.68,37.21,37.28,242200,36.69
2014-08-06,37.10,37.41,37.02,37.16,228400,36.57
2014-08-05,37.64,37.74,37.06,37.16,275500,36.57
2014-08-04,37.86,37.99,37.51,37.64,290100,37.04
2014-08-01,38.61,38.71,37.85,37.90,297300,37.30
2014-07-31,38.80,38.91,38.21,38.62,340400,38.01
2014-07-30,39.27,39.47,38.84,39.00,187400,38.38
2014-07-29,39.22,39.33,39.16,39.22,176800,38.60
2014-07-28,39.36,39.36,39.11,39.28,181800,38.65
2014-07-25,39.41,39.56,39.06,39.26,199400,38.64
2014-07-24,39.59,39.60,39.39,39.46,141200,38.83
2014-07-23,39.32,39.60,39.21,39.49,194100,38.86
2014-07-22,39.02,39.20,38.90,39.14,146100,38.52
2014-07-21,38.90,39.28,38.75,38.79,317100,38.17
2014-07-18,39.23,39.39,38.73,38.83,253500,38.21
2014-07-17,38.86,39.67,38.70,39.07,342900,38.45
2014-07-16,38.87,39.11,38.79,39.00,197300,38.38
2014-07-15,38.90,38.97,38.54,38.85,175900,38.23
2014-07-14,38.92,39.00,38.49,38.90,196900,38.28
2014-07-11,38.44,39.14,38.25,38.97,368100,38.35
2014-07-10,38.17,38.34,38.06,38.31,206100,37.70
2014-07-09,38.06,38.49,37.96,38.40,222000,37.79
2014-07-08,38.33,38.40,37.75,38.14,233900,37.53
2014-07-07,38.75,38.75,38.01,38.29,239200,37.68
2014-07-03,38.92,38.93,38.45,38.62,121100,38.01
2014-07-02,39.21,39.32,38.64,38.78,288300,38.16
2014-07-01,38.33,39.18,38.33,39.11,249600,38.49
2014-06-30,39.47,39.55,39.22,39.41,215100,38.15
2014-06-27,39.18,39.50,39.10,39.39,284200,38.13
2014-06-26,38.94,39.20,38.83,39.20,319900,37.95
2014-06-25,38.47,38.94,38.43,38.94,164500,37.70
2014-06-24,38.35,38.57,38.22,38.42,357100,37.19
2014-06-23,38.32,38.49,38.15,38.30,389300,37.08
