Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,40.10,40.18,40.10,40.12,1800,40.12
2014-11-17,39.45,39.86,39.45,39.84,2600,39.84
2014-11-14,39.23,39.32,39.22,39.26,800,39.26
2014-11-13,39.10,39.12,38.75,38.82,2400,38.82
2014-11-12,38.90,39.05,38.90,39.01,2400,39.01
2014-11-11,39.12,39.12,38.88,38.88,1100,38.88
2014-11-10,39.52,39.52,39.17,39.17,2300,39.17
2014-11-07,39.29,39.36,39.25,39.36,1500,39.36
2014-11-06,38.59,38.67,38.55,38.66,1800,38.66
2014-11-05,38.38,38.68,38.35,38.66,1600,38.66
2014-11-04,38.82,38.82,38.38,38.39,4100,38.39
2014-11-03,39.86,39.86,39.12,39.18,2100,39.18
2014-10-31,39.03,39.13,38.81,39.12,3900,39.12
2014-10-30,39.41,39.41,39.02,39.02,1600,39.02
2014-10-29,39.43,39.73,39.43,39.72,1100,39.72
2014-10-28,39.75,39.75,39.75,39.75,300,39.75
2014-10-27,39.45,39.51,39.45,39.51,1000,39.51
2014-10-24,38.02,39.74,38.02,39.63,800,39.63
2014-10-23,39.77,39.80,39.66,39.68,1800,39.68
2014-10-22,39.84,39.90,39.28,39.33,4900,39.33
2014-10-21,38.02,39.92,38.02,39.69,3900,39.69
2014-10-20,39.18,39.24,39.18,39.24,200,39.24
2014-10-17,39.47,39.56,38.22,38.93,3400,38.93
2014-10-16,39.31,39.31,38.94,38.94,700,38.94
2014-10-15,35.96,36.72,35.96,36.71,6600,36.71
2014-10-14,36.47,36.50,34.82,36.20,5000,36.20
2014-10-13,38.17,38.40,36.38,36.38,3900,36.38
2014-10-10,38.61,38.64,36.94,38.21,9700,38.21
2014-10-09,39.82,39.82,39.11,39.11,500,39.11
2014-10-08,39.77,40.04,39.77,39.95,3700,39.95
2014-10-07,41.07,41.24,40.92,40.92,700,40.47
2014-10-06,41.63,41.63,41.63,41.63,100,41.18
2014-10-03,41.61,41.61,41.50,41.55,1200,41.10
2014-10-02,41.43,41.43,40.61,41.20,1200,40.75
2014-10-01,42.16,42.16,41.91,41.91,1600,41.45
2014-09-30,41.13,41.90,41.13,41.90,2800,41.44
2014-09-29,41.05,41.05,41.05,41.05,200,40.60
2014-09-26,40.39,41.19,40.39,41.19,1700,40.74
2014-09-25,40.89,40.89,40.57,40.64,600,40.20
2014-09-24,40.62,40.85,40.58,40.85,1700,40.40
2014-09-23,41.41,41.41,40.89,40.89,1100,40.44
2014-09-22,41.71,41.71,41.71,41.71,000,41.25
2014-09-19,41.71,41.71,41.71,41.71,200,41.25
2014-09-18,41.57,41.57,41.22,41.31,500,40.86
2014-09-17,41.51,41.51,41.46,41.46,1200,41.01
2014-09-16,41.51,41.51,41.40,41.40,700,40.95
2014-09-15,41.25,41.25,41.00,41.10,600,40.65
2014-09-12,42.10,42.10,42.10,42.10,300,41.64
2014-09-11,42.10,42.13,42.10,42.13,300,41.67
2014-09-10,42.28,42.36,42.25,42.36,1800,41.90
2014-09-09,42.94,42.94,42.19,42.19,2800,41.73
2014-09-08,42.27,42.28,42.27,42.28,800,41.82
2014-09-05,42.01,42.01,42.01,42.01,000,41.55
2014-09-04,42.33,42.34,42.01,42.01,2400,41.55
2014-09-03,42.61,42.61,42.45,42.49,5000,42.03
2014-09-02,42.59,42.59,42.48,42.50,1800,42.04
2014-08-29,42.53,42.70,42.53,42.70,2100,42.23
2014-08-28,42.21,42.21,42.19,42.19,1200,41.73
