Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,34.77,35.09,34.44,34.87,252700,34.87
2014-11-17,34.33,34.80,34.07,34.75,511900,34.75
2014-11-14,34.15,34.48,33.91,34.45,125700,34.45
2014-11-13,34.29,34.46,33.81,33.93,118500,33.93
2014-11-12,34.30,34.33,34.02,34.29,93000,34.29
2014-11-11,34.42,34.42,34.05,34.22,63500,34.22
2014-11-10,34.62,34.98,34.23,34.26,95600,34.26
2014-11-07,34.14,34.68,34.14,34.61,61200,34.61
2014-11-06,34.02,34.10,33.76,34.09,112500,34.09
2014-11-05,34.18,34.46,33.80,34.06,111100,34.06
2014-11-04,34.62,34.62,33.75,33.88,259000,33.88
2014-11-03,34.65,34.97,34.50,34.68,124000,34.68
2014-10-31,34.77,34.79,34.23,34.59,145900,34.59
2014-10-30,34.72,34.78,34.40,34.44,73500,34.44
2014-10-29,34.95,34.97,34.46,34.77,113200,34.77
2014-10-28,34.70,34.86,34.54,34.73,132700,34.73
2014-10-27,34.75,34.95,34.19,34.62,161100,34.62
2014-10-24,34.77,34.85,34.56,34.77,156800,34.77
2014-10-23,34.72,34.83,34.50,34.63,149800,34.63
2014-10-22,34.79,34.94,34.28,34.33,213600,34.33
2014-10-21,34.18,34.84,34.18,34.57,377600,34.57
2014-10-20,33.73,34.22,33.69,34.14,153500,34.14
2014-10-17,34.28,34.72,33.28,33.94,302700,33.94
2014-10-16,31.89,34.26,31.50,33.88,468200,33.88
2014-10-15,30.70,32.31,29.98,32.21,259800,32.21
2014-10-14,31.34,31.69,29.44,30.83,372800,30.83
2014-10-13,32.67,33.31,31.21,31.29,246900,31.29
2014-10-10,33.31,33.51,31.88,32.90,749500,32.90
2014-10-09,34.65,34.65,33.46,33.53,184400,33.53
2014-10-08,35.04,35.12,33.97,34.72,117500,34.72
2014-10-07,35.24,35.47,34.95,34.97,52300,34.97
2014-10-06,35.72,35.72,35.21,35.34,53000,35.34
2014-10-03,35.82,36.20,35.40,35.62,95400,35.62
2014-10-02,35.47,35.68,34.85,35.65,86300,35.65
2014-10-01,35.93,36.08,35.48,35.49,87600,35.49
2014-09-30,35.78,35.93,35.32,35.91,130800,35.91
2014-09-29,35.37,35.72,35.37,35.71,56200,35.71
2014-09-26,35.15,35.69,34.97,35.68,67900,35.68
2014-09-25,35.55,35.55,35.06,35.21,63300,35.21
2014-09-24,35.71,35.71,35.09,35.57,96300,35.57
2014-09-23,35.81,36.28,35.48,35.50,46900,35.50
2014-09-22,36.28,36.28,35.73,35.90,112700,35.90
2014-09-19,36.26,36.72,36.16,36.37,49700,36.37
2014-09-18,36.10,36.22,35.88,36.15,54000,36.15
2014-09-17,35.93,36.30,35.69,35.98,42400,35.98
2014-09-16,35.55,36.04,35.55,35.92,149400,35.92
2014-09-15,35.78,35.78,35.35,35.58,43100,35.58
2014-09-12,36.49,36.69,35.55,35.77,45800,35.77
2014-09-11,36.43,36.49,36.15,36.47,87000,36.47
2014-09-10,36.40,36.59,36.40,36.56,59200,36.56
2014-09-09,36.52,36.90,36.33,36.49,82500,36.49
2014-09-08,36.45,36.49,36.27,36.46,69500,36.46
2014-09-05,36.34,36.38,36.04,36.37,39000,36.37
2014-09-04,36.69,36.69,36.16,36.26,49600,36.26
2014-09-03,36.73,36.99,36.47,36.54,79400,36.54
2014-09-02,36.82,37.00,36.50,36.54,86000,36.54
2014-08-29,36.47,36.71,36.16,36.65,53400,36.65
2014-08-28,36.58,36.58,36.32,36.47,99100,36.47
2014-08-27,36.38,36.52,36.20,36.52,58100,36.52
2014-08-26,36.19,36.31,36.10,36.27,55700,36.27
2014-08-25,36.36,36.51,36.14,36.45,37500,36.10
2014-08-22,36.25,36.34,36.13,36.26,66800,35.91
2014-08-21,36.25,36.53,36.20,36.41,109400,36.06
2014-08-20,36.13,36.43,36.13,36.42,55000,36.07
2014-08-19,36.29,36.90,36.06,36.20,159200,35.85
2014-08-18,36.20,36.20,35.87,36.11,75600,35.77
2014-08-15,35.87,36.18,35.87,36.14,155900,35.79
2014-08-14,35.54,35.82,35.51,35.77,59300,35.43
2014-08-13,35.16,35.63,35.07,35.41,116000,35.07
2014-08-12,35.26,35.27,34.67,35.10,49000,34.76
2014-08-11,34.58,35.50,34.58,35.28,40300,34.94
2014-08-08,33.71,34.02,33.71,33.93,1065800,33.61
2014-08-07,33.91,34.13,33.63,33.68,81500,33.36
2014-08-06,34.01,34.34,33.60,33.88,109900,33.56
2014-08-05,34.57,35.51,33.97,33.97,55200,33.65
2014-08-04,34.14,34.74,33.74,34.74,202500,34.41
2014-08-01,34.29,34.83,33.27,34.02,418600,33.70
2014-07-31,34.60,34.74,34.18,34.29,172200,33.96
2014-07-30,35.46,35.64,34.94,35.06,41800,34.73
2014-07-29,35.75,35.88,35.46,35.54,50600,35.20
2014-07-28,35.72,35.86,35.48,35.64,65500,35.30
2014-07-25,35.85,36.09,35.55,35.61,59500,35.27
2014-07-24,35.67,35.98,35.67,35.75,58500,35.41
2014-07-23,35.92,36.03,35.77,35.79,42700,35.45
2014-07-22,35.70,35.79,35.63,35.77,46800,35.43
2014-07-21,35.65,35.65,35.36,35.56,42500,35.22
2014-07-18,35.64,35.65,35.45,35.56,34800,35.22
2014-07-17,35.49,35.60,35.37,35.49,50700,35.15
2014-07-16,35.46,35.55,35.03,35.51,50800,35.17
2014-07-15,35.22,35.30,35.07,35.30,115400,34.96
2014-07-14,35.50,35.50,35.26,35.27,41800,34.93
2014-07-11,35.07,35.45,34.85,35.28,53300,34.94
2014-07-10,35.09,35.51,34.90,35.14,49600,34.80
2014-07-09,35.08,35.42,34.62,35.18,75000,34.84
2014-07-08,35.22,35.60,34.86,34.93,104700,34.60
2014-07-07,35.40,35.47,35.07,35.16,64300,34.82
2014-07-03,35.80,35.92,35.44,35.54,64500,35.20
2014-07-02,36.15,36.15,35.73,35.73,91800,35.39
2014-07-01,36.44,36.56,35.50,36.06,71400,35.72
2014-06-30,35.55,36.17,35.50,35.74,70000,35.40
2014-06-27,35.51,35.80,35.51,35.77,131100,35.43
2014-06-26,35.67,35.67,35.44,35.61,106400,35.27
2014-06-25,35.44,35.56,35.16,35.56,1223700,35.22
2014-06-24,35.57,35.57,35.01,35.30,160200,34.96
2014-06-23,35.20,35.52,34.72,35.52,88200,35.18
2014-06-20,35.00,35.03,34.62,35.03,54100,34.70
2014-06-19,34.44,35.26,34.44,35.26,56900,34.92
2014-06-18,34.93,34.93,34.31,34.46,196000,34.13
2014-06-17,34.70,35.13,34.70,34.77,68000,34.44
2014-06-16,34.65,34.93,34.52,34.92,64800,34.59
2014-06-13,34.66,34.66,34.32,34.50,49900,34.17
2014-06-12,34.88,34.88,34.39,34.54,99700,34.21
2014-06-11,35.25,35.25,34.67,34.74,91600,34.41
2014-06-10,35.19,35.19,34.96,35.04,44700,34.71
2014-06-09,35.14,35.17,35.02,35.12,99800,34.78
2014-06-06,34.85,35.09,34.66,35.02,40900,34.69
2014-06-05,34.67,34.80,34.58,34.70,58700,34.37
2014-06-04,34.42,34.69,34.42,34.60,74100,34.27
2014-06-03,34.60,34.80,34.37,34.43,112200,34.10
2014-06-02,34.15,34.50,34.13,34.48,893300,34.15
