Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,14.11,14.17,14.11,14.17,8100,14.17
2014-11-17,14.16,14.18,14.09,14.11,13200,14.11
2014-11-14,14.18,14.20,14.10,14.17,12700,14.17
2014-11-13,14.12,14.19,14.10,14.19,13900,14.19
2014-11-12,14.13,14.18,14.13,14.14,10300,14.14
2014-11-11,14.23,14.23,14.19,14.20,8500,14.13
2014-11-10,14.22,14.24,14.20,14.24,10200,14.17
2014-11-07,14.25,14.25,14.18,14.22,16900,14.15
2014-11-06,14.12,14.22,14.12,14.21,29100,14.14
2014-11-05,14.11,14.17,14.11,14.17,7300,14.10
2014-11-04,14.17,14.17,14.11,14.12,13500,14.05
2014-11-03,14.21,14.21,14.12,14.12,14200,14.05
2014-10-31,14.24,14.24,14.14,14.20,21800,14.13
2014-10-30,14.20,14.27,14.20,14.24,20200,14.17
2014-10-29,14.17,14.24,14.15,14.19,26300,14.12
2014-10-28,14.09,14.13,14.09,14.13,9200,14.06
2014-10-27,14.11,14.13,14.11,14.13,6200,14.06
2014-10-24,14.10,14.19,14.10,14.14,18400,14.07
2014-10-23,14.13,14.15,14.13,14.14,7500,14.07
2014-10-22,14.13,14.13,14.10,14.13,5100,14.06
2014-10-21,14.10,14.13,14.08,14.13,12800,14.06
2014-10-20,14.12,14.12,14.09,14.09,8200,14.02
2014-10-17,14.13,14.13,14.07,14.07,15000,14.00
2014-10-16,14.00,14.09,14.00,14.09,18700,14.02
2014-10-15,13.99,14.09,13.99,14.04,21100,13.97
2014-10-14,14.07,14.10,13.92,13.98,63700,13.91
2014-10-13,14.09,14.20,14.09,14.11,8400,14.04
2014-10-10,14.09,14.15,14.09,14.11,10600,14.04
2014-10-09,14.21,14.22,14.15,14.20,8400,14.05
2014-10-08,14.16,14.21,14.16,14.19,17900,14.04
2014-10-07,14.09,14.17,14.09,14.17,22000,14.02
2014-10-06,14.07,14.14,14.07,14.10,15000,13.95
2014-10-03,14.06,14.08,14.04,14.07,12600,13.92
2014-10-02,14.08,14.12,14.07,14.08,8000,13.93
2014-10-01,14.11,14.11,14.06,14.08,16800,13.93
2014-09-30,14.14,14.14,14.00,14.06,35500,13.91
2014-09-29,14.04,14.05,14.02,14.03,9300,13.88
2014-09-26,14.09,14.09,14.03,14.03,15000,13.88
2014-09-25,14.06,14.12,14.05,14.05,22400,13.90
2014-09-24,14.14,14.14,14.04,14.07,13800,13.92
2014-09-23,14.12,14.15,14.12,14.14,4100,13.99
2014-09-22,14.14,14.14,14.09,14.14,9300,13.99
2014-09-19,14.04,14.15,14.04,14.10,9700,13.95
2014-09-18,14.05,14.11,14.03,14.03,7300,13.88
2014-09-17,14.03,14.09,14.00,14.05,21200,13.90
2014-09-16,13.99,14.00,13.97,14.00,7900,13.85
2014-09-15,14.03,14.03,14.00,14.00,11200,13.85
2014-09-12,14.06,14.07,14.01,14.03,12100,13.88
2014-09-11,14.08,14.08,14.03,14.08,10900,13.93
2014-09-10,14.05,14.18,14.05,14.17,30200,13.95
2014-09-09,14.12,14.13,14.10,14.12,3100,13.90
2014-09-08,14.13,14.13,14.11,14.12,9700,13.90
2014-09-05,14.12,14.13,14.11,14.11,9000,13.89
2014-09-04,14.12,14.13,14.09,14.13,12100,13.91
2014-09-03,14.13,14.13,14.06,14.13,11700,13.91
2014-09-02,14.13,14.13,14.08,14.13,5300,13.91
2014-08-29,14.13,14.15,14.09,14.15,12300,13.93
2014-08-28,14.11,14.13,14.09,14.10,15100,13.88
2014-08-27,14.07,14.10,14.07,14.10,10100,13.88
2014-08-26,14.06,14.08,14.02,14.05,22100,13.83
2014-08-25,14.07,14.07,14.00,14.05,28700,13.83
2014-08-22,14.08,14.08,14.05,14.07,4200,13.85
2014-08-21,14.06,14.08,14.06,14.07,17600,13.85
2014-08-20,14.01,14.06,14.01,14.06,14900,13.84
2014-08-19,14.02,14.05,14.00,14.04,22400,13.82
2014-08-18,14.04,14.09,14.02,14.03,19400,13.81
2014-08-15,14.08,14.10,14.07,14.10,12100,13.88
2014-08-14,14.08,14.10,14.07,14.10,10000,13.88
2014-08-13,14.05,14.07,14.05,14.05,17200,13.83
2014-08-12,14.09,14.14,14.05,14.08,8500,13.79
2014-08-11,14.06,14.15,14.06,14.06,20300,13.77
2014-08-08,14.04,14.12,14.04,14.12,16100,13.83
2014-08-07,13.99,14.02,13.97,14.02,14200,13.73
2014-08-06,13.97,14.00,13.94,13.98,9000,13.69
2014-08-05,13.85,13.98,13.85,13.91,29600,13.62
2014-08-04,13.90,13.94,13.87,13.88,12300,13.59
2014-08-01,13.86,13.95,13.86,13.93,14800,13.64
2014-07-31,13.82,13.92,13.81,13.89,27200,13.60
2014-07-30,14.03,14.03,13.87,13.87,19200,13.58
2014-07-29,14.06,14.07,14.04,14.05,6800,13.76
2014-07-28,14.10,14.10,14.01,14.05,17500,13.76
2014-07-25,14.03,14.11,14.03,14.05,16900,13.76
2014-07-24,14.07,14.07,14.01,14.01,11800,13.72
2014-07-23,14.03,14.08,14.03,14.08,11000,13.79
2014-07-22,14.07,14.07,14.01,14.01,31800,13.72
2014-07-21,14.01,14.07,14.01,14.06,10200,13.77
2014-07-18,14.01,14.03,13.99,14.01,8300,13.72
2014-07-17,14.01,14.05,14.01,14.02,8900,13.73
2014-07-16,14.01,14.01,13.94,13.99,12200,13.70
2014-07-15,13.97,14.00,13.97,14.00,23400,13.71
2014-07-14,14.00,14.02,13.97,13.97,6500,13.68
2014-07-11,14.00,14.05,14.00,14.01,8400,13.72
2014-07-10,14.06,14.06,14.01,14.02,9100,13.66
2014-07-09,14.04,14.04,13.99,14.04,17500,13.68
2014-07-08,13.98,14.05,13.97,14.05,14100,13.69
2014-07-07,13.89,13.96,13.87,13.96,13100,13.60
2014-07-03,13.95,13.95,13.83,13.88,20500,13.52
2014-07-02,14.06,14.06,13.99,13.99,17800,13.63
2014-07-01,14.14,14.14,14.06,14.06,21600,13.70
2014-06-30,14.10,14.13,14.09,14.09,16800,13.72
2014-06-27,14.14,14.15,14.11,14.11,14300,13.74
2014-06-26,14.10,14.16,14.10,14.13,16700,13.76
2014-06-25,14.05,14.11,14.05,14.10,20100,13.73
2014-06-24,14.09,14.09,14.03,14.05,7500,13.69
2014-06-23,14.01,14.08,13.99,14.05,19900,13.69
2014-06-20,14.03,14.03,13.98,13.98,9300,13.62
2014-06-19,14.04,14.07,13.99,13.99,20800,13.63
2014-06-18,14.09,14.09,14.00,14.02,27000,13.66
2014-06-17,14.12,14.12,14.01,14.02,11000,13.66
2014-06-16,14.04,14.16,14.04,14.12,20700,13.75
2014-06-13,14.16,14.21,14.10,14.10,30500,13.73
2014-06-12,14.21,14.26,14.16,14.20,15900,13.83
2014-06-11,14.26,14.26,14.20,14.21,15300,13.77
2014-06-10,14.28,14.30,14.24,14.27,9900,13.83
2014-06-09,14.28,14.28,14.24,14.27,19400,13.83
2014-06-06,14.18,14.25,14.18,14.21,9700,13.77
2014-06-05,14.10,14.18,14.10,14.18,6800,13.74
2014-06-04,14.20,14.25,14.11,14.11,30600,13.67
2014-06-03,14.27,14.30,14.22,14.22,9000,13.78
2014-06-02,14.33,14.37,14.27,14.28,17000,13.84
2014-05-30,14.32,14.35,14.31,14.34,15700,13.90
2014-05-29,14.34,14.35,14.32,14.35,3300,13.91
2014-05-28,14.28,14.33,14.28,14.32,11200,13.88
2014-05-27,14.25,14.30,14.23,14.29,12200,13.85
2014-05-23,14.26,14.27,14.24,14.27,5900,13.83
2014-05-22,14.25,14.27,14.23,14.26,12600,13.82
2014-05-21,14.20,14.24,14.17,14.24,8400,13.80
2014-05-20,14.20,14.25,14.20,14.20,5900,13.76
2014-05-19,14.20,14.25,14.19,14.20,14000,13.76
2014-05-16,14.23,14.24,14.19,14.24,9100,13.80
2014-05-15,14.22,14.24,14.21,14.21,8300,13.77
2014-05-14,14.20,14.20,14.15,14.15,16600,13.71
2014-05-13,14.19,14.27,14.11,14.13,34900,13.69
2014-05-12,14.21,14.27,14.21,14.24,15900,13.73
2014-05-09,14.27,14.27,14.23,14.23,12400,13.72
2014-05-08,14.25,14.28,14.24,14.25,7800,13.74
2014-05-07,14.22,14.24,14.17,14.20,20900,13.69
2014-05-06,14.14,14.23,14.11,14.19,17000,13.68
2014-05-05,14.15,14.17,14.10,14.17,15100,13.66
2014-05-02,14.10,14.16,14.05,14.11,24600,13.60
2014-05-01,14.12,14.17,14.08,14.12,22500,13.61
2014-04-30,14.04,14.19,14.04,14.06,22800,13.55
2014-04-29,14.13,14.16,14.07,14.08,66000,13.57
2014-04-28,14.20,14.20,14.08,14.10,13800,13.59
2014-04-25,14.18,14.18,14.09,14.13,18900,13.62
2014-04-24,14.04,14.13,14.04,14.12,27800,13.61
2014-04-23,13.97,14.09,13.97,14.09,18000,13.58
2014-04-22,13.95,14.01,13.94,14.00,16300,13.50
2014-04-21,13.89,13.97,13.86,13.97,20800,13.47
2014-04-17,13.88,13.94,13.87,13.89,19400,13.39
2014-04-16,13.90,13.97,13.88,13.91,22800,13.41
2014-04-15,13.92,13.94,13.88,13.89,14000,13.39
2014-04-14,13.93,13.98,13.88,13.92,42900,13.42
2014-04-11,13.93,14.00,13.90,13.93,33200,13.43
2014-04-10,13.93,14.05,13.93,13.98,21100,13.41
2014-04-09,13.97,13.99,13.92,13.97,6000,13.40
2014-04-08,13.95,13.98,13.88,13.93,60900,13.36
2014-04-07,13.89,14.03,13.85,13.89,53300,13.32
2014-04-04,13.95,14.05,13.87,13.87,62900,13.30
2014-04-03,13.97,14.01,13.95,13.95,56000,13.38
2014-04-02,13.94,14.03,13.86,13.98,50000,13.41
2014-04-01,13.96,13.96,13.91,13.92,30000,13.35
2014-03-31,13.89,13.95,13.86,13.94,82400,13.37
2014-03-28,13.93,13.94,13.89,13.89,7600,13.32
2014-03-27,14.05,14.05,13.92,13.92,36200,13.35
2014-03-26,14.04,14.08,13.96,14.02,47200,13.44
2014-03-25,13.90,13.98,13.90,13.97,27400,13.40
2014-03-24,13.83,13.94,13.82,13.94,16200,13.37
2014-03-21,13.70,13.77,13.70,13.77,6200,13.20
2014-03-20,13.82,13.82,13.63,13.63,26100,13.07
2014-03-19,13.93,13.95,13.76,13.79,30600,13.22
2014-03-18,13.89,13.90,13.85,13.89,15400,13.32
2014-03-17,13.84,13.89,13.84,13.89,16100,13.32
2014-03-14,13.82,13.92,13.82,13.89,25600,13.32
2014-03-13,13.85,13.89,13.83,13.88,21500,13.31
2014-03-12,13.75,13.85,13.71,13.80,22100,13.23
2014-03-11,13.81,13.86,13.78,13.78,40300,13.14
2014-03-10,13.69,13.84,13.66,13.80,23100,13.16
2014-03-07,13.72,13.72,13.66,13.69,43300,13.06
2014-03-06,13.85,13.85,13.70,13.76,33900,13.12
2014-03-05,13.74,13.84,13.74,13.83,22600,13.19
2014-03-04,13.76,13.77,13.70,13.76,35000,13.12
2014-03-03,13.67,13.68,13.64,13.67,19100,13.04
2014-02-28,13.63,13.63,13.59,13.62,23600,12.99
2014-02-27,13.54,13.63,13.54,13.60,32000,12.97
2014-02-26,13.59,13.60,13.54,13.56,30200,12.93
2014-02-25,13.58,13.59,13.51,13.54,33200,12.91
2014-02-24,13.54,13.57,13.51,13.55,10200,12.92
2014-02-21,13.49,13.54,13.48,13.54,11300,12.91
2014-02-20,13.39,13.46,13.39,13.45,16400,12.83
