Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,28.14,28.74,28.14,28.35,2164100,28.35
2014-11-17,28.15,28.25,27.65,28.15,1692900,28.15
2014-11-14,28.28,28.46,28.08,28.25,3398700,28.25
2014-11-13,28.71,28.79,27.98,28.24,3031000,28.24
2014-11-12,28.57,29.07,28.44,28.73,3237700,28.73
2014-11-11,28.83,28.93,28.62,28.72,1253800,28.72
2014-11-10,28.44,29.17,28.44,28.88,1968700,28.88
2014-11-07,28.08,28.62,27.72,28.44,1773200,28.44
2014-11-06,27.95,28.42,27.78,28.12,1480600,28.12
2014-11-05,27.72,28.40,27.47,28.00,2364100,28.00
2014-11-04,27.95,28.25,27.27,27.66,3694900,27.66
2014-11-03,27.86,28.36,27.83,28.14,3687700,28.14
2014-10-31,27.67,27.72,27.25,27.67,3118600,27.67
2014-10-30,27.51,27.74,26.95,27.35,2565000,27.35
2014-10-29,27.93,27.97,26.95,27.56,6612500,27.56
2014-10-28,26.62,28.14,26.55,27.97,5221800,27.97
2014-10-27,26.29,26.55,26.14,26.42,2088200,26.42
2014-10-24,25.49,26.79,25.26,26.39,4592300,26.39
2014-10-23,25.48,25.72,25.04,25.11,3130800,25.11
2014-10-22,24.45,25.35,24.35,25.20,4957300,25.20
2014-10-21,23.54,25.21,23.37,24.42,10721700,24.42
2014-10-20,26.07,26.07,22.83,23.54,21136400,23.54
2014-10-17,29.64,30.14,29.51,29.87,1554300,29.87
2014-10-16,28.24,29.28,28.15,29.17,2380500,29.17
2014-10-15,28.50,29.19,27.72,28.86,2937400,28.86
2014-10-14,29.08,29.48,28.59,28.88,1998600,28.88
2014-10-13,29.25,29.45,28.68,28.81,2577400,28.81
2014-10-10,30.41,30.61,29.30,29.31,2312100,29.31
2014-10-09,31.35,31.44,30.31,30.52,1849200,30.52
2014-10-08,30.87,31.49,30.53,31.46,890500,31.46
2014-10-07,31.57,31.63,30.85,30.86,1907100,30.86
2014-10-06,32.10,32.29,31.57,31.83,984300,31.83
2014-10-03,32.45,32.68,31.99,32.04,1066900,32.04
2014-10-02,32.17,32.35,31.15,32.19,1762300,32.19
2014-10-01,33.35,33.80,32.09,32.29,2416200,32.29
2014-09-30,33.63,33.63,33.19,33.41,1006200,33.41
2014-09-29,33.48,33.76,33.29,33.60,912800,33.60
2014-09-26,33.31,33.98,32.93,33.95,1241300,33.95
2014-09-25,33.69,34.10,33.13,33.19,1552100,33.19
2014-09-24,33.49,33.88,33.16,33.81,1054700,33.81
2014-09-23,33.72,33.99,33.43,33.55,1094000,33.55
2014-09-22,34.13,34.20,33.67,33.94,937500,33.94
2014-09-19,34.94,35.05,34.21,34.30,1400500,34.30
2014-09-18,34.76,35.23,34.71,34.75,1657300,34.75
2014-09-17,34.29,34.74,34.19,34.63,1707800,34.63
2014-09-16,33.40,34.50,33.19,34.34,2265900,34.34
2014-09-15,33.34,33.52,33.06,33.44,1591300,33.44
2014-09-12,33.50,33.56,33.05,33.28,795300,33.28
2014-09-11,33.13,33.63,33.07,33.60,653900,33.60
2014-09-10,33.36,33.53,33.15,33.28,883800,33.28
2014-09-09,33.50,33.72,33.08,33.27,1059000,33.27
2014-09-08,33.56,33.66,33.19,33.49,1007000,33.49
2014-09-05,33.31,33.54,32.93,33.54,899900,33.54
2014-09-04,33.75,33.77,33.04,33.21,1379800,33.21
2014-09-03,34.40,34.47,33.57,33.74,1223400,33.74
2014-09-02,34.16,34.47,33.87,34.34,1437500,34.34
2014-08-29,33.89,34.31,33.80,34.16,1092400,34.16
2014-08-28,33.99,34.06,33.47,33.75,2499900,33.75
2014-08-27,34.38,34.47,34.03,34.08,629000,34.08
2014-08-26,34.35,34.43,34.10,34.31,790800,34.31
2014-08-25,34.21,34.47,33.86,34.25,1363000,34.25
2014-08-22,34.20,34.29,33.80,33.97,1219800,33.97
2014-08-21,33.55,34.60,33.36,34.25,3342500,34.25
2014-08-20,33.18,33.63,33.05,33.58,1469500,33.58
2014-08-19,32.78,33.49,32.72,33.29,1604100,33.29
2014-08-18,32.35,32.79,32.20,32.78,1417100,32.78
2014-08-15,32.34,32.46,31.67,32.04,1274700,32.04
2014-08-14,31.53,32.24,31.39,32.14,1861500,32.14
2014-08-13,30.97,31.61,30.83,31.43,1610900,31.43
2014-08-12,30.83,31.02,30.45,30.77,1000700,30.77
2014-08-11,30.73,31.19,30.67,30.95,1354100,30.95
2014-08-08,30.62,30.64,30.14,30.51,2065000,30.51
2014-08-07,31.00,31.29,30.43,30.52,1463400,30.52
2014-08-06,31.01,31.27,30.86,30.92,1506400,30.92
2014-08-05,30.85,31.50,30.66,31.10,2048500,31.10
2014-08-04,31.30,31.54,30.74,31.01,1900200,31.01
2014-08-01,30.96,31.37,30.74,31.25,2836800,31.25
2014-07-31,31.70,31.97,30.87,30.95,2961700,30.95
2014-07-30,32.30,32.89,31.96,32.04,6355100,32.04
2014-07-29,31.45,31.55,30.85,30.87,3657000,30.87
2014-07-28,31.82,31.82,31.17,31.32,2322400,31.32
2014-07-25,32.04,32.21,31.28,31.77,2243300,31.77
2014-07-24,32.03,32.45,31.99,32.26,1441300,32.26
2014-07-23,32.07,32.24,31.61,32.12,2705500,32.12
2014-07-22,32.70,33.00,31.31,32.03,4531900,32.03
2014-07-21,33.03,33.07,32.49,32.77,1049500,32.77
2014-07-18,32.95,33.35,32.84,33.10,1024400,33.10
2014-07-17,33.04,33.29,32.62,32.80,1662300,32.80
2014-07-16,33.15,33.38,32.98,33.08,1319500,33.08
2014-07-15,33.32,33.48,32.74,32.87,1458200,32.87
2014-07-14,33.60,33.80,33.37,33.38,934700,33.38
2014-07-11,33.50,33.61,33.15,33.22,840800,33.22
2014-07-10,33.36,33.87,33.07,33.50,1230800,33.50
2014-07-09,33.99,34.12,33.65,33.78,1347100,33.78
2014-07-08,34.36,34.54,33.82,33.94,2084000,33.94
2014-07-07,35.26,35.28,35.02,35.08,1299500,35.08
2014-07-03,35.38,35.50,35.21,35.50,533500,35.50
2014-07-02,35.40,35.76,35.15,35.30,1365600,35.30
2014-07-01,35.24,35.61,35.24,35.49,2351800,35.49
2014-06-30,34.49,35.55,34.31,35.09,4211400,35.09
2014-06-27,33.49,34.48,33.49,34.44,4806200,34.44
2014-06-26,32.90,33.78,32.53,33.62,2223500,33.62
2014-06-25,32.38,32.78,32.38,32.63,997600,32.63
2014-06-24,33.03,33.17,32.42,32.51,1898300,32.51
2014-06-23,33.17,33.45,32.81,33.09,1248200,33.09
2014-06-20,33.23,33.33,33.00,33.11,1231600,33.11
2014-06-19,33.35,33.47,32.98,33.19,1060400,33.19
2014-06-18,33.71,33.83,33.06,33.28,2661800,33.28
2014-06-17,32.52,34.06,32.50,33.73,5592000,33.73
2014-06-16,32.37,32.89,32.17,32.50,1586100,32.50
2014-06-13,32.26,32.44,31.72,32.36,1281400,32.36
2014-06-12,32.75,32.80,32.07,32.18,1227700,32.18
2014-06-11,32.89,32.97,32.64,32.84,755900,32.84
2014-06-10,32.75,33.19,32.63,32.97,1130900,32.97
2014-06-09,32.95,33.19,32.66,32.72,1421300,32.72
2014-06-06,32.66,33.01,32.58,32.99,1322700,32.99
2014-06-05,32.52,32.83,32.40,32.51,1109400,32.51
2014-06-04,32.77,33.06,32.47,32.52,1200800,32.52
2014-06-03,32.77,33.08,32.50,32.89,1357000,32.89
2014-06-02,32.64,32.85,32.24,32.84,1474700,32.84
2014-05-30,32.65,32.86,32.30,32.66,1664600,32.66
2014-05-29,32.83,32.94,32.29,32.61,2710300,32.61
2014-05-28,32.73,33.01,32.22,32.80,1999700,32.80
2014-05-27,32.57,33.46,32.50,32.72,2542000,32.72
2014-05-23,32.02,32.48,31.75,32.46,1672600,32.46
2014-05-22,31.68,32.19,31.61,32.01,1883700,32.01
2014-05-21,31.50,31.89,31.26,31.74,1536500,31.74
2014-05-20,32.08,32.19,31.44,31.49,2259400,31.49
2014-05-19,32.16,32.97,32.12,32.16,2282900,32.16
2014-05-16,31.82,32.71,31.55,32.26,6681100,32.26
2014-05-15,31.21,31.83,30.60,31.79,5304400,31.79
2014-05-14,31.16,31.85,31.00,31.45,3059000,31.45
2014-05-13,30.84,31.35,30.52,31.15,3360600,31.15
2014-05-12,30.43,30.84,30.32,30.73,2889900,30.73
2014-05-09,30.45,30.57,29.80,30.34,2478200,30.34
2014-05-08,30.02,30.85,29.95,30.54,3085900,30.54
2014-05-07,29.88,30.15,29.25,30.07,2920100,30.07
2014-05-06,30.19,30.21,29.54,29.56,3403600,29.56
2014-05-05,30.10,30.32,29.88,30.21,2891900,30.21
2014-05-02,30.44,30.64,30.13,30.25,3525300,30.25
2014-05-01,30.59,31.02,30.12,30.50,3481300,30.50
2014-04-30,29.41,31.25,28.64,30.51,10524200,30.51
2014-04-29,33.35,33.39,32.45,32.57,4308400,32.57
2014-04-28,33.92,33.99,32.56,33.10,2484100,33.10
2014-04-25,34.00,34.14,33.35,33.75,2166900,33.75
2014-04-24,34.42,34.64,33.59,34.19,1260800,34.19
2014-04-23,34.65,34.67,33.98,34.06,1167400,34.06
2014-04-22,33.92,34.88,33.83,34.68,1285000,34.68
2014-04-21,34.00,34.22,33.71,33.81,1615300,33.81
2014-04-17,34.20,34.40,33.78,33.92,1505700,33.92
2014-04-16,34.24,34.46,33.87,34.26,1137600,34.26
2014-04-15,33.96,34.28,33.06,33.89,1645800,33.89
2014-04-14,33.68,34.05,33.45,33.79,1875500,33.79
2014-04-11,33.64,34.29,33.18,33.32,2041400,33.32
2014-04-10,35.48,35.58,33.94,33.94,1729100,33.94
2014-04-09,35.38,35.56,35.11,35.45,1418800,35.45
2014-04-08,34.45,35.26,34.19,35.17,1957800,35.17
2014-04-07,35.33,35.51,34.27,34.48,2459200,34.48
2014-04-04,37.01,37.10,35.48,35.52,1792000,35.52
2014-04-03,36.86,37.18,36.20,36.86,2236000,36.86
2014-04-02,36.73,36.99,36.44,36.88,1531900,36.88
2014-04-01,36.69,36.97,36.42,36.65,1685100,36.65
2014-03-31,35.87,36.71,35.87,36.55,2982300,36.55
2014-03-28,35.94,36.47,35.59,35.70,1600300,35.70
2014-03-27,36.20,36.92,35.74,35.88,2492300,35.88
2014-03-26,36.43,37.34,36.26,36.26,4366000,36.26
2014-03-25,35.23,36.18,35.11,36.12,2591100,36.12
2014-03-24,35.02,35.47,34.56,35.13,1844500,35.13
2014-03-21,35.12,35.19,34.58,34.98,4318300,34.98
2014-03-20,35.56,36.00,35.00,35.10,1993400,35.10
2014-03-19,34.50,35.56,34.40,35.55,3570300,35.55
2014-03-18,33.50,34.49,33.28,34.47,1998100,34.47
2014-03-17,33.03,33.55,32.92,33.30,3452800,33.30
2014-03-14,32.33,33.06,31.98,32.72,2565100,32.72
2014-03-13,33.72,33.77,32.27,32.41,3708100,32.41
2014-03-12,33.58,33.90,33.05,33.71,2440400,33.71
2014-03-11,34.29,34.39,33.41,33.64,1743100,33.64
2014-03-10,34.50,34.63,34.09,34.29,1072800,34.29
2014-03-07,35.21,35.22,34.34,34.66,2188400,34.66
2014-03-06,34.50,35.66,34.42,35.06,2945700,35.06
2014-03-05,33.50,34.60,33.50,34.36,2004900,34.36
2014-03-04,33.64,33.90,33.04,33.46,4032400,33.46
