Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,12.47,12.50,12.47,12.47,7100,12.47
2014-11-17,12.51,12.56,12.45,12.47,11500,12.47
2014-11-14,12.51,12.55,12.49,12.49,11100,12.49
2014-11-13,12.56,12.59,12.50,12.51,12300,12.51
2014-11-12,12.56,12.63,12.53,12.55,24700,12.55
2014-11-11,12.56,12.62,12.54,12.54,20300,12.49
2014-11-10,12.58,12.60,12.54,12.55,14600,12.50
2014-11-07,12.62,12.62,12.58,12.58,7800,12.53
2014-11-06,12.60,12.66,12.59,12.61,12600,12.56
2014-11-05,12.59,12.63,12.55,12.60,18400,12.55
2014-11-04,12.55,12.57,12.55,12.55,9100,12.50
2014-11-03,12.64,12.64,12.56,12.58,24500,12.53
2014-10-31,12.61,12.66,12.56,12.60,8800,12.55
2014-10-30,12.66,12.69,12.59,12.59,20200,12.54
2014-10-29,12.67,12.74,12.61,12.64,30100,12.59
2014-10-28,12.63,12.65,12.61,12.62,17100,12.57
2014-10-27,12.68,12.68,12.62,12.62,12800,12.57
2014-10-24,12.67,12.71,12.66,12.67,6900,12.62
2014-10-23,12.70,12.72,12.66,12.66,10100,12.61
2014-10-22,12.74,12.74,12.65,12.70,34100,12.65
2014-10-21,12.65,12.71,12.65,12.71,2900,12.66
2014-10-20,12.71,12.73,12.68,12.72,10500,12.67
2014-10-17,12.75,12.84,12.64,12.67,21100,12.62
2014-10-16,12.69,12.79,12.69,12.79,22600,12.73
2014-10-15,12.68,12.75,12.68,12.72,12400,12.67
2014-10-14,12.69,12.74,12.69,12.73,2800,12.68
2014-10-13,12.69,12.72,12.69,12.72,2400,12.67
2014-10-10,12.74,12.75,12.71,12.71,4000,12.66
2014-10-09,12.77,12.81,12.77,12.79,6300,12.68
2014-10-08,12.71,12.79,12.71,12.75,14700,12.64
2014-10-07,12.73,12.75,12.70,12.70,11600,12.59
2014-10-06,12.79,12.79,12.73,12.73,700,12.62
2014-10-03,12.74,12.83,12.74,12.74,13900,12.63
2014-10-02,12.76,12.80,12.69,12.79,16100,12.68
2014-10-01,12.76,12.76,12.70,12.71,6900,12.60
