Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,4.50,4.56,4.23,4.40,70200,4.40
2014-11-17,4.58,4.58,4.40,4.40,41400,4.40
2014-11-14,4.52,4.53,4.40,4.49,25000,4.49
2014-11-13,4.51,4.68,4.46,4.53,70900,4.53
2014-11-12,4.34,4.60,4.34,4.60,45300,4.60
2014-11-11,4.44,4.67,4.37,4.42,73300,4.42
2014-11-10,4.40,4.68,4.40,4.50,78700,4.50
2014-11-07,4.89,4.89,4.46,4.55,189000,4.55
2014-11-06,5.40,5.40,4.59,4.97,193200,4.97
2014-11-05,4.48,5.50,4.48,5.40,157200,5.40
2014-11-04,5.67,5.94,5.60,5.94,161500,5.94
2014-11-03,5.79,5.80,5.62,5.72,36000,5.72
2014-10-31,5.84,5.84,5.66,5.75,46400,5.75
2014-10-30,5.81,5.85,5.72,5.76,34600,5.76
2014-10-29,5.74,5.88,5.65,5.88,40800,5.88
2014-10-28,5.66,5.84,5.60,5.77,33900,5.77
2014-10-27,5.68,5.74,5.61,5.67,17900,5.67
2014-10-24,5.76,5.88,5.60,5.75,37500,5.75
2014-10-23,5.76,5.87,5.71,5.80,40900,5.80
2014-10-22,5.70,5.85,5.65,5.70,59000,5.70
2014-10-21,5.50,5.82,5.36,5.75,102400,5.75
2014-10-20,5.04,5.50,4.96,5.41,129500,5.41
2014-10-17,5.08,5.21,5.08,5.10,43400,5.10
2014-10-16,4.71,5.13,4.71,5.08,66200,5.08
2014-10-15,4.75,4.80,4.71,4.79,59100,4.79
2014-10-14,4.86,4.89,4.76,4.80,28200,4.80
2014-10-13,4.82,4.90,4.77,4.86,41900,4.86
2014-10-10,4.95,4.95,4.75,4.85,101200,4.85
2014-10-09,5.05,5.15,4.95,4.95,63300,4.95
2014-10-08,5.08,5.12,4.91,5.09,136200,5.09
2014-10-07,5.15,5.26,5.05,5.05,52100,5.05
2014-10-06,5.34,5.34,5.10,5.15,55500,5.15
2014-10-03,5.28,5.37,5.28,5.29,28100,5.29
2014-10-02,5.12,5.31,5.01,5.26,56900,5.26
2014-10-01,5.33,5.37,5.15,5.16,87000,5.16
2014-09-30,5.31,5.38,5.28,5.35,31000,5.35
2014-09-29,5.29,5.52,5.22,5.33,225500,5.33
2014-09-26,5.41,5.41,5.29,5.35,37900,5.35
2014-09-25,5.47,5.55,5.40,5.40,53300,5.40
2014-09-24,5.53,5.53,5.38,5.51,98400,5.51
2014-09-23,5.60,5.60,5.40,5.55,72800,5.55
2014-09-22,5.49,5.55,5.41,5.55,36300,5.55
2014-09-19,5.67,5.67,5.39,5.48,104100,5.48
2014-09-18,5.37,5.60,5.16,5.60,76500,5.60
2014-09-17,5.53,5.61,5.47,5.50,44700,5.50
2014-09-16,5.64,5.64,5.51,5.53,38300,5.53
2014-09-15,5.59,5.71,5.51,5.60,69900,5.60
2014-09-12,5.40,5.60,5.40,5.54,35700,5.54
2014-09-11,5.45,5.60,5.42,5.42,70800,5.42
2014-09-10,5.40,5.57,5.37,5.45,73400,5.45
2014-09-09,5.60,5.68,5.37,5.43,73100,5.43
2014-09-08,5.78,5.95,5.54,5.60,218800,5.60
2014-09-05,5.88,5.92,5.53,5.78,360500,5.78
2014-09-04,4.95,6.32,4.88,6.04,962100,6.04
2014-09-03,4.90,4.96,4.85,4.86,35400,4.86
2014-09-02,4.75,4.92,4.75,4.92,34200,4.92
2014-08-29,4.73,4.80,4.70,4.77,20200,4.77
2014-08-28,4.80,4.84,4.71,4.76,25800,4.76
2014-08-27,4.80,4.83,4.71,4.79,22400,4.79
2014-08-26,4.83,4.83,4.72,4.79,24300,4.79
2014-08-25,4.74,4.89,4.70,4.77,55200,4.77
2014-08-22,4.79,4.79,4.68,4.78,44800,4.78
2014-08-21,4.76,4.82,4.66,4.82,52800,4.82
2014-08-20,4.72,4.81,4.68,4.78,41400,4.78
2014-08-19,4.92,4.92,4.70,4.79,58100,4.79
2014-08-18,4.83,4.92,4.77,4.87,40900,4.87
2014-08-15,4.95,4.95,4.75,4.84,46300,4.84
2014-08-14,4.90,4.95,4.84,4.95,52300,4.95
2014-08-13,5.00,5.00,4.76,4.91,88400,4.91
2014-08-12,5.10,5.19,4.80,4.94,106600,4.94
2014-08-11,5.21,5.36,5.03,5.11,63200,5.11
2014-08-08,5.25,5.29,5.11,5.24,92100,5.24
2014-08-07,5.01,5.23,5.00,5.23,150500,5.23
2014-08-06,4.82,5.18,4.80,5.05,235400,5.05
2014-08-05,4.15,5.00,4.05,4.99,376700,4.99
2014-08-04,4.17,4.51,4.17,4.33,175000,4.33
2014-08-01,4.23,4.26,4.16,4.17,36500,4.17
2014-07-31,4.36,4.40,4.17,4.21,75600,4.21
2014-07-30,4.49,4.56,4.42,4.45,58500,4.45
2014-07-29,4.42,4.54,4.42,4.47,26100,4.47
2014-07-28,4.51,4.56,4.35,4.46,54300,4.46
2014-07-25,4.66,4.70,4.50,4.50,106700,4.50
2014-07-24,4.35,4.72,4.32,4.68,99200,4.68
2014-07-23,4.35,4.47,4.33,4.36,50600,4.36
2014-07-22,4.33,4.38,4.33,4.33,19800,4.33
2014-07-21,4.35,4.38,4.26,4.30,30100,4.30
2014-07-18,4.36,4.43,4.25,4.33,67400,4.33
2014-07-17,4.35,4.39,4.30,4.30,48000,4.30
2014-07-16,4.40,4.50,4.33,4.33,88700,4.33
2014-07-15,4.36,4.43,4.30,4.35,65200,4.35
2014-07-14,4.22,4.37,4.16,4.33,97100,4.33
2014-07-11,4.16,4.27,4.15,4.20,38000,4.20
2014-07-10,4.15,4.27,4.11,4.12,32800,4.12
2014-07-09,4.13,4.25,4.00,4.25,106300,4.25
2014-07-08,4.33,4.39,4.07,4.15,113100,4.15
2014-07-07,4.43,4.49,4.26,4.33,71300,4.33
2014-07-03,4.43,4.54,4.25,4.25,67200,4.25
2014-07-02,4.16,4.45,4.16,4.35,93100,4.35
2014-07-01,4.12,4.30,4.12,4.20,36900,4.20
2014-06-30,4.04,4.21,4.01,4.07,76000,4.07
2014-06-27,4.11,4.29,3.98,3.98,136000,3.98
2014-06-26,4.40,4.44,4.20,4.20,96500,4.20
2014-06-25,4.16,4.26,4.09,4.26,85900,4.26
2014-06-24,4.15,4.19,4.11,4.16,68400,4.16
2014-06-23,4.15,4.21,4.11,4.11,53200,4.11
2014-06-20,4.27,4.27,4.14,4.14,38400,4.14
2014-06-19,4.05,4.39,4.05,4.20,100400,4.20
2014-06-18,4.07,4.12,4.00,4.05,16200,4.05
2014-06-17,3.96,4.13,3.92,4.01,61800,4.01
2014-06-16,3.86,4.03,3.83,3.90,74200,3.90
2014-06-13,3.92,3.95,3.75,3.85,153600,3.85
2014-06-12,4.10,4.15,3.85,3.94,133300,3.94
2014-06-11,4.14,4.14,4.03,4.08,46200,4.08
2014-06-10,4.20,4.20,4.09,4.14,49200,4.14
2014-06-09,4.22,4.32,4.18,4.18,82100,4.18
2014-06-06,4.03,4.28,4.02,4.20,136100,4.20
2014-06-05,4.10,4.11,4.01,4.07,89600,4.07
2014-06-04,4.02,4.10,4.00,4.06,133400,4.06
2014-06-03,4.18,4.26,4.05,4.08,109200,4.08
2014-06-02,4.34,4.34,4.14,4.26,184300,4.26
2014-05-30,4.72,4.79,4.38,4.40,176900,4.40
2014-05-29,4.84,4.85,4.68,4.70,76700,4.70
2014-05-28,4.72,4.90,4.72,4.76,86400,4.76
2014-05-27,5.05,5.05,4.73,4.73,153300,4.73
2014-05-23,4.73,5.09,4.61,4.98,73200,4.98
2014-05-22,4.92,5.00,4.67,4.70,147100,4.70
2014-05-21,4.26,5.15,4.26,4.87,314500,4.87
2014-05-20,4.33,4.59,4.18,4.20,352300,4.20
2014-05-19,4.31,4.35,4.24,4.30,376500,4.30
2014-05-16,4.26,4.31,4.15,4.18,181600,4.18
2014-05-15,4.53,4.53,4.16,4.20,181800,4.20
2014-05-14,4.67,4.84,4.51,4.52,133700,4.52
2014-05-13,4.08,5.00,4.00,4.76,681300,4.76
2014-05-12,4.60,4.74,4.43,4.66,289400,4.66
2014-05-09,4.40,4.73,4.20,4.73,121300,4.73
2014-05-08,4.95,5.09,4.39,4.64,273200,4.64
2014-05-07,5.30,5.41,4.86,4.90,171700,4.90
2014-05-06,5.34,5.40,5.24,5.25,77500,5.25
2014-05-05,5.34,5.46,5.24,5.34,53200,5.34
2014-05-02,5.26,5.51,5.21,5.39,86100,5.39
2014-05-01,5.32,5.40,5.05,5.19,66600,5.19
2014-04-30,5.19,5.37,5.15,5.30,79300,5.30
2014-04-29,5.21,5.35,5.06,5.24,65300,5.24
2014-04-28,5.38,5.40,5.20,5.21,59900,5.21
2014-04-25,5.58,5.72,5.33,5.39,49500,5.39
2014-04-24,5.48,5.72,5.30,5.57,64900,5.57
2014-04-23,5.50,5.57,5.31,5.47,82200,5.47
