Date,Open,High,Low,Close,Volume,Adj Close
2014-11-17,20.93,21.64,20.92,21.39,404100,21.39
2014-11-14,21.07,21.12,20.68,21.03,127400,21.03
2014-11-13,20.68,21.47,20.34,20.99,395400,20.99
2014-11-12,20.48,20.86,20.07,20.73,67200,20.73
2014-11-11,20.64,20.75,20.03,20.54,93000,20.54
2014-11-10,20.63,20.72,20.42,20.61,102600,20.61
2014-11-07,20.80,20.85,20.51,20.63,123200,20.63
2014-11-06,20.92,21.00,20.71,20.85,179500,20.85
2014-11-05,20.95,20.96,20.80,20.88,170200,20.83
2014-11-04,20.66,20.90,20.36,20.82,207200,20.77
2014-11-03,20.70,20.94,20.62,20.71,303000,20.66
2014-10-31,19.40,21.00,18.26,20.85,602300,20.80
2014-10-30,16.99,17.19,16.93,17.09,102600,17.05
2014-10-29,16.97,17.15,16.77,16.91,98700,16.87
2014-10-28,16.77,17.12,16.77,17.03,90300,16.99
2014-10-27,16.55,16.78,16.22,16.65,68500,16.61
2014-10-24,16.52,16.82,16.34,16.59,49700,16.55
2014-10-23,16.30,16.57,16.15,16.47,75300,16.43
2014-10-22,16.82,16.82,15.90,16.09,146600,16.05
2014-10-21,16.96,17.00,16.74,16.94,67600,16.90
2014-10-20,16.75,17.02,16.75,16.98,69200,16.94
2014-10-17,17.00,17.00,16.44,16.80,96600,16.76
2014-10-16,16.78,17.11,16.32,16.93,69100,16.89
2014-10-15,16.32,17.14,15.90,17.06,69600,17.02
2014-10-14,16.36,16.65,16.24,16.50,75600,16.46
2014-10-13,16.04,16.48,15.88,16.16,69300,16.12
2014-10-10,16.12,16.40,15.88,15.99,116600,15.95
2014-10-09,16.36,16.57,15.96,16.19,81900,16.15
2014-10-08,16.10,16.44,15.64,16.42,86000,16.38
2014-10-07,16.43,16.46,16.03,16.09,137500,16.05
2014-10-06,16.81,16.81,16.38,16.54,74100,16.50
2014-10-03,16.98,16.98,16.63,16.74,94900,16.70
2014-10-02,16.57,17.07,16.57,16.89,78100,16.85
2014-10-01,16.84,16.96,16.63,16.70,106100,16.66
2014-09-30,16.67,17.00,16.63,16.82,318400,16.78
2014-09-29,16.68,16.99,16.61,16.77,98300,16.73
2014-09-26,16.64,16.94,16.41,16.79,429800,16.75
2014-09-25,16.94,16.94,16.38,16.64,141000,16.60
