Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,16.10,16.17,16.06,16.11,63700,16.11
2014-11-17,16.19,16.21,15.98,16.12,123300,16.12
2014-11-14,16.13,16.24,16.08,16.20,72900,16.20
2014-11-13,16.16,16.27,16.08,16.23,60700,16.23
2014-11-12,16.29,16.29,16.12,16.17,67800,16.17
2014-11-11,16.32,16.35,16.23,16.35,61500,16.35
2014-11-10,16.44,16.44,16.22,16.40,112800,16.40
2014-11-07,16.45,16.50,16.38,16.47,102500,16.36
2014-11-06,16.37,16.45,16.35,16.45,63000,16.34
2014-11-05,16.33,16.40,16.31,16.38,47600,16.27
2014-11-04,16.25,16.34,16.21,16.34,111500,16.23
2014-11-03,16.19,16.36,16.18,16.25,165900,16.14
2014-10-31,16.20,16.20,16.14,16.18,50700,16.07
2014-10-30,16.05,16.15,16.03,16.13,35500,16.02
2014-10-29,16.14,16.15,15.97,16.15,91900,16.04
2014-10-28,16.07,16.14,16.05,16.10,69000,15.99
2014-10-27,15.92,16.10,15.92,16.09,42700,15.98
2014-10-24,16.05,16.09,15.91,15.92,55800,15.81
2014-10-23,16.10,16.10,15.94,16.02,65700,15.91
2014-10-22,16.04,16.10,15.95,16.02,44900,15.91
2014-10-21,16.00,16.08,15.96,15.98,99900,15.87
2014-10-20,16.08,16.08,15.97,16.00,75500,15.89
2014-10-17,16.00,16.15,16.00,16.07,104600,15.96
2014-10-16,15.63,15.95,15.63,15.95,108200,15.84
2014-10-15,15.77,15.80,15.41,15.74,168400,15.63
2014-10-14,16.01,16.05,15.72,15.80,107400,15.69
2014-10-13,16.06,16.07,15.85,16.00,107300,15.89
2014-10-10,15.97,16.15,15.77,16.07,130800,15.96
2014-10-09,16.05,16.05,15.88,15.94,135800,15.83
2014-10-08,15.89,16.11,15.89,16.11,113200,15.89
2014-10-07,16.06,16.15,15.90,15.95,151600,15.73
2014-10-06,15.97,16.10,15.95,16.08,153600,15.86
2014-10-03,15.72,16.04,15.70,16.00,253600,15.78
2014-10-02,15.76,15.80,15.60,15.72,210700,15.50
2014-10-01,15.88,15.92,15.62,15.80,304700,15.58
2014-09-30,15.20,15.84,15.05,15.79,659100,15.57
2014-09-29,15.54,15.60,15.17,15.33,779700,15.12
2014-09-26,16.27,16.27,15.70,15.74,828400,15.52
2014-09-25,16.50,16.50,16.34,16.43,84100,16.20
2014-09-24,16.56,16.56,16.47,16.49,77800,16.26
2014-09-23,16.45,16.62,16.45,16.60,56000,16.37
2014-09-22,16.64,16.65,16.50,16.51,64300,16.28
2014-09-19,16.61,16.69,16.53,16.62,63500,16.39
2014-09-18,16.59,16.68,16.56,16.63,45700,16.40
2014-09-17,16.52,16.62,16.51,16.60,78400,16.37
2014-09-16,16.55,16.55,16.44,16.45,36700,16.22
2014-09-15,16.54,16.54,16.43,16.52,57100,16.29
2014-09-12,16.65,16.65,16.45,16.54,105400,16.31
2014-09-11,16.66,16.68,16.63,16.67,37300,16.44
2014-09-10,16.77,16.77,16.65,16.68,38600,16.45
2014-09-09,16.88,16.90,16.78,16.84,81800,16.50
2014-09-08,16.82,16.89,16.81,16.87,55300,16.53
2014-09-05,16.81,16.90,16.81,16.86,45000,16.52
2014-09-04,16.79,16.90,16.79,16.82,69700,16.48
2014-09-03,16.76,16.87,16.76,16.82,102000,16.48
2014-09-02,16.87,16.91,16.79,16.79,82200,16.45
2014-08-29,16.74,16.88,16.71,16.88,155500,16.53
2014-08-28,16.71,16.80,16.70,16.75,47900,16.41
2014-08-27,16.80,16.87,16.64,16.79,117400,16.45
2014-08-26,16.86,16.93,16.81,16.81,82800,16.47
2014-08-25,16.88,16.92,16.75,16.84,89700,16.50
2014-08-22,16.81,16.84,16.65,16.78,86600,16.44
2014-08-21,16.77,16.84,16.71,16.78,97100,16.44
2014-08-20,16.65,16.78,16.60,16.75,80600,16.41
2014-08-19,16.63,16.71,16.60,16.66,63300,16.32
2014-08-18,16.81,16.81,16.54,16.56,121800,16.22
2014-08-15,16.60,16.74,16.58,16.70,73200,16.36
2014-08-14,16.48,16.63,16.44,16.63,98600,16.29
2014-08-13,16.31,16.42,16.31,16.40,86900,16.06
2014-08-12,16.46,16.46,16.25,16.33,40700,16.00
2014-08-11,16.35,16.39,16.27,16.38,115600,16.05
2014-08-08,16.12,16.31,16.12,16.26,147000,15.93
2014-08-07,15.95,16.21,15.95,16.08,96700,15.75
2014-08-06,15.90,16.10,15.90,16.02,119500,15.58
2014-08-05,16.14,16.16,15.98,16.01,111900,15.57
2014-08-04,16.10,16.16,16.10,16.12,99200,15.68
2014-08-01,16.02,16.15,15.88,16.05,168800,15.61
2014-07-31,16.36,16.36,16.02,16.06,175200,15.62
2014-07-30,16.46,16.48,16.38,16.40,92700,15.95
2014-07-29,16.49,16.52,16.46,16.50,43100,16.05
2014-07-28,16.54,16.54,16.44,16.47,61500,16.02
2014-07-25,16.60,16.64,16.46,16.51,77000,16.06
2014-07-24,16.62,16.66,16.53,16.57,40900,16.12
2014-07-23,16.56,16.61,16.50,16.54,52700,16.09
2014-07-22,16.39,16.61,16.38,16.53,74400,16.08
2014-07-21,16.61,16.66,16.40,16.43,138300,15.98
2014-07-18,16.56,16.70,16.52,16.67,82500,16.21
2014-07-17,16.58,16.70,16.57,16.62,34800,16.17
2014-07-16,16.73,16.76,16.61,16.63,88600,16.18
2014-07-15,16.71,16.74,16.60,16.67,99600,16.21
2014-07-14,16.83,16.84,16.66,16.71,114600,16.25
2014-07-11,16.84,16.84,16.73,16.83,29900,16.37
2014-07-10,16.70,16.84,16.67,16.84,49700,16.38
2014-07-09,16.87,16.92,16.71,16.76,62700,16.30
2014-07-08,16.90,16.95,16.86,16.90,55600,16.33
2014-07-07,16.67,16.90,16.67,16.90,131300,16.33
2014-07-03,16.70,16.82,16.50,16.73,122300,16.16
2014-07-02,17.06,17.06,16.70,16.71,105400,16.14
2014-07-01,17.02,17.10,17.00,17.04,116300,16.46
2014-06-30,16.99,17.02,16.95,16.97,77500,16.40
2014-06-27,16.94,17.02,16.93,16.97,70800,16.40
2014-06-26,17.21,17.21,16.91,17.00,183800,16.42
2014-06-25,17.14,17.17,17.10,17.14,37000,16.56
2014-06-24,17.12,17.21,17.10,17.10,63300,16.52
2014-06-23,17.26,17.26,17.15,17.16,75700,16.58
2014-06-20,17.11,17.26,17.11,17.24,72200,16.66
2014-06-19,17.10,17.19,17.09,17.14,62600,16.56
2014-06-18,17.07,17.18,17.07,17.13,71000,16.55
2014-06-17,17.18,17.18,17.09,17.12,55700,16.54
2014-06-16,17.04,17.15,17.02,17.12,67500,16.54
2014-06-13,17.12,17.16,16.97,16.99,90100,16.41
2014-06-12,17.12,17.18,17.12,17.13,53800,16.55
2014-06-11,17.03,17.14,17.03,17.13,50300,16.55
2014-06-10,17.03,17.14,17.03,17.08,57100,16.50
2014-06-09,17.18,17.23,17.16,17.20,48400,16.51
2014-06-06,17.13,17.17,17.12,17.14,43300,16.45
2014-06-05,17.05,17.16,17.05,17.12,54000,16.43
2014-06-04,17.00,17.09,16.99,17.05,66000,16.36
2014-06-03,17.06,17.12,16.99,17.02,101200,16.34
2014-06-02,17.14,17.16,17.06,17.08,91200,16.39
2014-05-30,17.05,17.12,17.02,17.12,50700,16.43
2014-05-29,17.03,17.12,17.02,17.09,85100,16.40
2014-05-28,17.12,17.12,17.01,17.03,67800,16.35
2014-05-27,17.15,17.15,17.04,17.07,68100,16.38
2014-05-23,17.12,17.15,17.10,17.12,48100,16.43
2014-05-22,17.12,17.15,17.07,17.15,36400,16.46
2014-05-21,17.03,17.11,17.03,17.09,49700,16.40
2014-05-20,17.07,17.07,17.00,17.07,61200,16.38
2014-05-19,17.02,17.10,16.98,17.07,66300,16.38
2014-05-16,16.94,17.12,16.94,17.00,75900,16.32
2014-05-15,16.97,17.04,16.91,16.96,56100,16.28
2014-05-14,16.83,16.99,16.83,16.97,74600,16.29
2014-05-13,16.93,16.94,16.85,16.87,58000,16.19
2014-05-12,16.86,16.96,16.81,16.93,67600,16.25
2014-05-09,16.72,16.87,16.72,16.85,74500,16.17
2014-05-08,16.74,16.77,16.62,16.76,86100,16.09
2014-05-07,16.72,16.78,16.71,16.78,54800,16.00
2014-05-06,16.78,16.79,16.72,16.76,72700,15.98
2014-05-05,16.77,16.79,16.71,16.78,65700,16.00
2014-05-02,16.67,16.75,16.63,16.75,65900,15.97
2014-05-01,16.60,16.72,16.58,16.62,80200,15.84
2014-04-30,16.52,16.66,16.52,16.66,58100,15.88
2014-04-29,16.57,16.63,16.55,16.58,49100,15.81
2014-04-28,16.62,16.63,16.52,16.59,88100,15.82
2014-04-25,16.45,16.59,16.45,16.53,56900,15.76
2014-04-24,16.45,16.52,16.42,16.49,51000,15.72
2014-04-23,16.34,16.44,16.32,16.40,85000,15.63
2014-04-22,16.28,16.39,16.27,16.34,86800,15.58
2014-04-21,16.26,16.33,16.20,16.22,121300,15.46
2014-04-17,16.21,16.28,16.18,16.18,129700,15.42
2014-04-16,16.33,16.33,16.20,16.24,86300,15.48
2014-04-15,16.34,16.42,16.20,16.25,145000,15.49
2014-04-14,16.33,16.42,16.20,16.27,75800,15.51
2014-04-11,16.41,16.41,16.32,16.34,44300,15.58
2014-04-10,16.49,16.51,16.34,16.36,60100,15.60
2014-04-09,16.44,16.52,16.40,16.44,48000,15.67
2014-04-08,16.53,16.56,16.48,16.48,102400,15.60
2014-04-07,16.55,16.61,16.48,16.50,106100,15.62
2014-04-04,16.71,16.71,16.47,16.55,118700,15.67
2014-04-03,16.50,16.59,16.50,16.53,60400,15.65
2014-04-02,16.64,16.68,16.55,16.59,81900,15.71
2014-04-01,16.60,16.70,16.60,16.65,63300,15.76
2014-03-31,16.77,16.77,16.60,16.62,73800,15.74
2014-03-28,16.53,16.68,16.53,16.66,39900,15.77
2014-03-27,16.49,16.58,16.44,16.52,51200,15.64
2014-03-26,16.42,16.49,16.36,16.48,86200,15.60
2014-03-25,16.35,16.51,16.22,16.38,182900,15.51
2014-03-24,16.27,16.48,16.25,16.35,65700,15.48
