Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,7.67,7.78,7.60,7.65,3156200,7.65
2014-11-17,7.83,7.99,7.69,7.86,3515200,7.86
2014-11-14,7.75,7.97,7.64,7.88,4213400,7.88
2014-11-13,7.92,7.94,7.53,7.72,4937700,7.72
2014-11-12,7.85,8.18,7.76,7.95,3218400,7.95
2014-11-11,7.76,8.03,7.60,7.98,3683400,7.92
2014-11-10,8.08,8.18,7.74,7.76,2348900,7.70
2014-11-07,7.71,8.01,7.68,7.93,2830600,7.87
2014-11-06,7.57,7.68,7.29,7.66,2999100,7.60
2014-11-05,7.53,7.74,7.44,7.64,3244200,7.58
2014-11-04,7.85,7.87,7.28,7.40,4200000,7.34
2014-11-03,8.35,8.39,7.98,8.00,3580500,7.94
2014-10-31,8.22,8.34,8.01,8.32,2507600,8.26
2014-10-30,8.51,8.51,8.16,8.20,4158500,8.14
2014-10-29,8.46,8.76,8.38,8.56,8688700,8.49
2014-10-28,8.28,8.44,8.14,8.35,3363200,8.29
2014-10-27,8.87,8.87,7.98,8.11,4419000,8.05
2014-10-24,9.04,9.04,8.71,8.85,2343200,8.78
2014-10-23,9.06,9.17,8.83,9.03,1669200,8.96
2014-10-22,9.20,9.49,8.80,8.84,3943100,8.77
2014-10-21,8.74,9.09,8.65,9.09,6046000,9.02
2014-10-20,8.78,8.81,8.48,8.60,3089700,8.53
2014-10-17,9.00,9.20,8.71,8.78,3470500,8.71
2014-10-16,8.38,8.73,8.27,8.70,3955300,8.63
2014-10-15,8.20,8.57,7.94,8.53,4533700,8.46
2014-10-14,8.27,8.60,8.13,8.30,6315500,8.24
2014-10-13,8.87,9.12,8.11,8.21,3148100,8.15
2014-10-10,9.42,9.43,8.89,8.89,2854500,8.82
2014-10-09,9.91,9.91,9.33,9.42,2611200,9.35
2014-10-08,9.75,9.82,9.41,9.80,2063600,9.72
2014-10-07,9.95,10.11,9.79,9.81,1828300,9.73
2014-10-06,10.09,10.22,9.90,10.05,929100,9.97
2014-10-03,10.17,10.32,10.01,10.04,1259400,9.96
2014-10-02,10.35,10.35,9.69,10.15,2802400,10.07
2014-10-01,10.81,10.82,10.36,10.40,1798800,10.32
2014-09-30,11.10,11.14,10.68,10.79,1417700,10.71
2014-09-29,10.92,11.16,10.80,11.14,2604600,11.05
2014-09-26,10.81,11.03,10.70,10.99,1661000,10.90
2014-09-25,10.94,10.99,10.68,10.80,1994900,10.72
2014-09-24,10.80,11.08,10.61,10.98,1749800,10.89
2014-09-23,10.61,10.97,10.50,10.83,2200900,10.75
2014-09-22,10.96,10.97,10.53,10.63,2974800,10.55
2014-09-19,11.49,11.54,11.05,11.09,1090100,11.00
2014-09-18,11.60,11.65,11.39,11.46,1075900,11.37
2014-09-17,11.66,11.76,11.39,11.43,1142900,11.34
2014-09-16,11.34,11.73,11.32,11.55,2520400,11.46
2014-09-15,11.34,11.47,11.25,11.30,1154300,11.21
2014-09-12,11.47,11.60,11.30,11.37,2179000,11.28
2014-09-11,11.39,11.61,11.34,11.54,1943600,11.45
2014-09-10,11.44,11.59,11.34,11.56,1277300,11.47
2014-09-09,11.44,11.58,11.40,11.46,1794500,11.37
2014-09-08,11.76,11.76,11.35,11.44,1890600,11.35
2014-09-05,12.00,12.02,11.68,11.90,1522900,11.81
2014-09-04,12.24,12.44,11.92,12.00,2017500,11.91
2014-09-03,12.33,12.44,12.17,12.20,2050100,12.11
2014-09-02,12.69,12.69,12.22,12.23,1791800,12.13
2014-08-29,12.69,12.75,12.54,12.71,1016700,12.61
2014-08-28,12.63,12.67,12.54,12.55,913200,12.45
2014-08-27,12.54,12.83,12.46,12.64,1562100,12.54
2014-08-26,11.97,12.57,11.96,12.45,2490600,12.35
2014-08-25,11.98,12.02,11.87,11.91,988600,11.82
2014-08-22,11.88,11.98,11.78,11.94,1191100,11.85
2014-08-21,12.06,12.06,11.80,11.91,1086200,11.82
2014-08-20,12.12,12.19,11.93,12.03,1071100,11.94
2014-08-19,12.03,12.20,12.02,12.12,880800,12.03
2014-08-18,12.10,12.14,11.91,12.02,663100,11.93
2014-08-15,12.00,12.07,11.83,12.06,896600,11.97
2014-08-14,12.26,12.28,11.86,11.91,1135100,11.82
2014-08-13,12.34,12.41,12.21,12.23,986500,12.13
2014-08-12,12.29,12.37,12.20,12.29,1054900,12.19
2014-08-11,12.35,12.57,12.28,12.32,1589700,12.22
2014-08-08,11.96,12.39,11.93,12.29,1709400,12.19
