Date,Open,High,Low,Close,Volume,Adj Close
2014-11-17,9.70,9.72,9.60,9.66,3708900,9.66
2014-11-14,9.71,9.78,9.59,9.69,2915900,9.69
2014-11-13,9.73,9.77,9.63,9.65,3302900,9.65
2014-11-12,9.66,9.73,9.64,9.69,3431300,9.69
2014-11-11,9.59,9.63,9.54,9.60,1839700,9.60
2014-11-10,9.50,9.59,9.38,9.57,4618100,9.57
2014-11-07,9.53,9.67,9.49,9.53,5870300,9.53
2014-11-06,9.33,9.40,9.22,9.34,4062200,9.34
2014-11-05,9.36,9.41,9.32,9.36,3049400,9.36
2014-11-04,9.50,9.50,9.14,9.34,5261400,9.34
2014-11-03,9.57,9.60,9.50,9.51,3143400,9.51
2014-10-31,9.66,9.68,9.55,9.58,2416900,9.58
2014-10-30,9.65,9.66,9.55,9.63,3001800,9.63
2014-10-29,9.73,9.73,9.59,9.65,3227000,9.65
2014-10-28,9.82,9.84,9.78,9.80,2811500,9.69
2014-10-27,9.72,9.80,9.65,9.78,3210300,9.67
2014-10-24,9.69,9.80,9.67,9.74,3272400,9.63
2014-10-23,9.71,9.73,9.63,9.64,3207400,9.53
2014-10-22,9.74,9.75,9.64,9.67,3061800,9.56
2014-10-21,9.73,9.75,9.64,9.70,3328900,9.59
2014-10-20,9.66,9.68,9.50,9.68,4110200,9.57
2014-10-17,9.55,9.71,9.47,9.64,4688200,9.53
2014-10-16,8.88,9.43,8.87,9.34,5480300,9.23
2014-10-15,9.20,9.22,8.50,9.08,17037100,8.98
2014-10-14,9.38,9.47,9.30,9.35,4726100,9.24
2014-10-13,9.39,9.49,9.36,9.38,4169800,9.27
2014-10-10,9.61,9.65,9.37,9.37,5899000,9.26
2014-10-09,9.74,9.76,9.60,9.65,2644200,9.54
2014-10-08,9.72,9.74,9.61,9.74,3644200,9.63
2014-10-07,9.74,9.79,9.65,9.74,3220300,9.63
2014-10-06,9.81,9.85,9.75,9.77,2714300,9.66
2014-10-03,9.80,9.81,9.72,9.80,3092900,9.69
2014-10-02,9.92,9.93,9.51,9.75,7502500,9.64
2014-10-01,9.94,9.95,9.90,9.92,3758000,9.81
2014-09-30,9.96,9.98,9.90,9.90,3270700,9.79
2014-09-29,9.95,10.00,9.90,9.94,3737500,9.83
2014-09-26,10.04,10.04,9.95,10.00,4030300,9.89
2014-09-25,10.17,10.19,10.10,10.10,3695800,9.88
2014-09-24,10.16,10.20,10.10,10.18,4477300,9.95
2014-09-23,10.09,10.11,10.06,10.07,2710500,9.85
2014-09-22,10.13,10.14,10.07,10.09,3309600,9.87
2014-09-19,10.17,10.20,10.08,10.11,3880400,9.89
2014-09-18,10.28,10.28,10.14,10.15,3573600,9.92
2014-09-17,10.23,10.27,10.19,10.21,3596100,9.98
2014-09-16,10.09,10.18,10.05,10.15,2839800,9.92
2014-09-15,10.16,10.18,10.04,10.09,5481400,9.87
2014-09-12,10.28,10.29,10.15,10.19,6618700,9.96
2014-09-11,10.29,10.33,10.29,10.31,2056100,10.08
2014-09-10,10.32,10.34,10.27,10.31,2807500,10.08
2014-09-09,10.46,10.46,10.34,10.34,2991800,10.11
2014-09-08,10.39,10.44,10.37,10.43,2966500,10.20
2014-09-05,10.37,10.40,10.31,10.39,2263400,10.16
2014-09-04,10.36,10.37,10.30,10.35,3289400,10.12
2014-09-03,10.36,10.37,10.25,10.32,3920700,10.09
2014-09-02,10.35,10.47,10.30,10.32,5352600,10.09
2014-08-29,10.25,10.31,10.22,10.31,5415800,10.08
2014-08-28,10.27,10.34,10.24,10.26,6135400,10.03
2014-08-27,10.41,10.49,10.27,10.33,9817600,10.10
2014-08-26,10.75,10.75,10.38,10.56,17750400,10.22
2014-08-25,10.95,10.98,10.91,10.98,4514700,10.62
2014-08-22,10.95,10.95,10.88,10.91,2780800,10.56
2014-08-21,10.92,10.95,10.89,10.92,2828100,10.57
2014-08-20,10.87,10.92,10.85,10.91,1882300,10.56
2014-08-19,10.86,10.89,10.82,10.86,2337100,10.51
2014-08-18,10.75,10.86,10.74,10.85,3024800,10.50
2014-08-15,10.75,10.76,10.69,10.73,3275700,10.38
2014-08-14,10.77,10.77,10.70,10.76,2889300,10.41
2014-08-13,10.74,10.76,10.70,10.76,2446800,10.41
2014-08-12,10.78,10.80,10.67,10.71,3246100,10.36
2014-08-11,10.75,10.79,10.68,10.79,2806700,10.44
2014-08-08,10.66,10.69,10.60,10.68,2085600,10.33
2014-08-07,10.65,10.69,10.58,10.62,2324300,10.28
2014-08-06,10.59,10.67,10.56,10.65,2033800,10.30
2014-08-05,10.66,10.68,10.58,10.59,2788600,10.25
2014-08-04,10.65,10.70,10.61,10.66,2871700,10.31
2014-08-01,10.54,10.64,10.50,10.59,7006900,10.25
2014-07-31,10.80,10.82,10.60,10.61,6309800,10.27
2014-07-30,10.93,10.93,10.80,10.81,3612100,10.46
2014-07-29,10.92,10.94,10.82,10.88,3148900,10.53
2014-07-28,11.02,11.05,10.95,10.98,5023000,10.52
2014-07-25,10.97,11.00,10.92,11.00,3545600,10.54
2014-07-24,10.94,10.97,10.90,10.97,2964900,10.51
2014-07-23,10.90,10.91,10.85,10.90,2887300,10.44
2014-07-22,10.84,10.89,10.82,10.86,3489600,10.40
2014-07-21,10.70,10.82,10.69,10.80,3626300,10.34
2014-07-18,10.63,10.71,10.61,10.67,3365000,10.22
2014-07-17,10.66,10.71,10.61,10.61,3138100,10.16
2014-07-16,10.67,10.73,10.66,10.68,2641200,10.23
2014-07-15,10.69,10.71,10.62,10.68,2612800,10.23
2014-07-14,10.62,10.71,10.60,10.69,2188000,10.24
2014-07-11,10.56,10.63,10.53,10.59,3196800,10.14
2014-07-10,10.56,10.62,10.50,10.57,3763500,10.12
2014-07-09,10.64,10.69,10.61,10.62,2658900,10.17
2014-07-08,10.76,10.80,10.56,10.61,4844000,10.16
2014-07-07,10.80,10.81,10.73,10.74,3995400,10.29
2014-07-03,10.86,10.87,10.73,10.80,2107000,10.34
2014-07-02,10.73,10.88,10.71,10.82,4910800,10.36
2014-07-01,10.66,10.79,10.66,10.69,5582300,10.24
2014-06-30,10.50,10.65,10.43,10.63,6720000,10.18
2014-06-27,10.45,10.58,10.40,10.52,38036900,10.08
2014-06-26,10.37,10.50,10.33,10.49,5339400,10.05
2014-06-25,10.44,10.49,10.33,10.44,5798100,9.89
2014-06-24,10.48,10.50,10.41,10.43,4573000,9.88
2014-06-23,10.42,10.47,10.33,10.44,4802500,9.89
2014-06-20,10.37,10.40,10.30,10.33,4845800,9.79
2014-06-19,10.35,10.40,10.29,10.33,3665500,9.79
2014-06-18,10.35,10.39,10.27,10.37,3870400,9.83
2014-06-17,10.35,10.38,10.30,10.34,4316100,9.80
2014-06-16,10.02,10.29,10.01,10.26,4989700,9.72
2014-06-13,10.42,10.49,10.08,10.18,9981600,9.65
2014-06-12,10.30,10.41,10.24,10.40,5805900,9.86
2014-06-11,10.25,10.35,10.22,10.28,10776400,9.74
2014-06-10,9.86,9.91,9.80,9.82,3494400,9.31
2014-06-09,9.91,9.91,9.78,9.86,4331800,9.34
2014-06-06,9.72,9.85,9.69,9.80,5493500,9.29
2014-06-05,9.63,9.67,9.60,9.66,4127800,9.16
