Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,99.82,101.28,99.66,100.52,232600,100.52
2014-11-17,100.90,100.90,99.29,99.93,649800,99.93
2014-11-14,101.28,102.12,100.70,101.21,254700,101.21
2014-11-13,101.45,101.73,100.77,101.38,205500,101.38
2014-11-12,101.58,101.60,100.43,101.22,356300,101.22
2014-11-11,101.78,101.99,101.50,101.77,132000,101.77
2014-11-10,101.78,101.97,100.73,101.74,313800,101.74
2014-11-07,101.30,101.77,100.67,101.58,243600,101.58
2014-11-06,101.11,101.68,101.02,101.31,396600,101.31
2014-11-05,98.58,102.42,98.58,100.99,508400,100.99
2014-11-04,102.06,103.24,102.05,103.17,254700,103.17
2014-11-03,103.18,103.53,102.00,102.34,392800,102.34
2014-10-31,103.46,103.57,102.84,103.33,315400,103.33
2014-10-30,100.76,103.36,100.28,102.68,451500,102.68
2014-10-29,101.76,102.36,100.52,101.07,326600,101.07
2014-10-28,101.79,102.25,100.80,101.52,537900,101.52
2014-10-27,101.04,101.33,100.19,101.30,369800,101.30
2014-10-24,100.25,101.05,100.04,101.05,312100,101.05
2014-10-23,101.82,102.36,100.09,100.25,238500,100.25
2014-10-22,101.22,102.62,101.17,101.38,251400,101.38
2014-10-21,98.82,100.91,98.62,100.82,381700,100.82
2014-10-20,98.14,98.64,97.66,98.61,209800,98.61
2014-10-17,98.48,99.07,97.39,98.44,291900,98.44
2014-10-16,97.58,98.32,96.78,97.50,588900,97.50
2014-10-15,98.44,99.25,97.36,98.71,658500,98.71
2014-10-14,98.68,99.60,98.40,99.42,240600,99.42
2014-10-13,99.35,99.61,98.45,98.53,267300,98.53
2014-10-10,99.20,99.96,98.60,99.00,487600,99.00
2014-10-09,100.47,100.59,98.82,99.00,390700,99.00
2014-10-08,99.75,100.65,99.55,100.49,315200,100.49
2014-10-07,99.74,100.37,99.59,99.67,368300,99.67
2014-10-06,101.49,101.89,100.18,100.23,252800,100.23
2014-10-03,100.67,101.22,100.63,101.00,261100,101.00
2014-10-02,99.48,100.50,99.48,99.93,327000,99.93
2014-10-01,99.92,100.19,99.25,99.40,479000,99.40
2014-09-30,100.22,101.36,99.68,99.99,357700,99.99
2014-09-29,99.66,100.82,99.35,100.22,312000,100.22
2014-09-26,99.49,100.81,99.09,100.46,209000,100.46
2014-09-25,99.89,100.01,99.12,99.38,214400,99.38
2014-09-24,99.10,100.52,98.85,100.20,298700,100.20
2014-09-23,99.73,100.05,99.14,99.18,309300,99.18
2014-09-22,101.23,101.23,99.80,99.84,342900,99.84
2014-09-19,101.84,102.20,101.16,101.17,408100,101.17
2014-09-18,101.65,102.26,101.47,101.78,239100,101.78
2014-09-17,101.73,102.19,101.23,101.70,244300,101.70
2014-09-16,101.73,102.28,101.32,101.79,230400,101.79
2014-09-15,101.15,102.25,100.70,101.69,238100,101.69
2014-09-12,101.35,101.44,100.86,101.10,186000,101.10
2014-09-11,100.82,101.67,100.57,101.45,225500,101.45
2014-09-10,101.18,101.55,100.69,101.22,205200,100.93
2014-09-09,101.90,101.90,100.82,101.11,397000,100.82
2014-09-08,102.15,102.40,101.16,101.67,334500,101.38
2014-09-05,101.72,102.35,101.39,102.01,250600,101.72
2014-09-04,101.65,102.18,101.44,101.58,403600,101.29
2014-09-03,102.94,103.11,101.44,101.53,407900,101.24
2014-09-02,102.30,103.49,102.30,102.89,289700,102.60
2014-08-29,102.05,102.72,101.95,102.39,214100,102.10
2014-08-28,101.99,102.45,101.72,101.99,123800,101.70
2014-08-27,101.20,102.13,101.20,102.00,150100,101.71
2014-08-26,101.84,102.12,101.36,101.46,149700,101.17
2014-08-25,101.32,101.69,100.75,101.60,176300,101.31
2014-08-22,101.23,101.53,100.80,100.87,296700,100.58
2014-08-21,100.29,101.96,100.29,101.48,238100,101.19
2014-08-20,100.87,100.87,100.00,100.55,301200,100.26
2014-08-19,100.99,101.17,100.47,100.75,272600,100.46
2014-08-18,101.28,101.46,100.64,100.89,423400,100.60
2014-08-15,101.76,102.09,101.25,101.73,207000,101.44
2014-08-14,100.72,101.44,100.52,101.23,143100,100.94
2014-08-13,100.18,100.64,99.85,100.48,289700,100.19
2014-08-12,99.76,100.45,99.37,99.73,354400,99.44
2014-08-11,99.79,100.20,99.30,99.97,222900,99.68
2014-08-08,99.25,100.16,98.67,99.48,379200,99.19
2014-08-07,99.43,99.73,98.84,98.96,419600,98.68
2014-08-06,98.22,99.34,97.50,98.94,226800,98.66
2014-08-05,98.80,99.35,98.28,98.61,440400,98.33
2014-08-04,99.50,99.50,97.72,98.78,456200,98.50
2014-08-01,96.52,99.49,96.52,99.31,711700,99.03
2014-07-31,96.68,98.09,95.93,97.81,858200,97.53
2014-07-30,101.75,101.75,98.03,98.64,1069100,98.36
2014-07-29,105.38,105.64,103.75,103.80,499800,103.50
2014-07-28,105.83,106.25,105.22,105.61,349800,105.31
2014-07-25,105.51,106.19,105.10,106.16,245500,105.86
2014-07-24,107.31,107.74,106.34,106.35,303600,106.05
2014-07-23,106.58,107.46,106.10,107.46,270900,107.15
2014-07-22,106.02,106.61,105.41,106.57,231200,106.26
2014-07-21,105.68,106.09,105.33,105.95,171800,105.65
2014-07-18,105.73,106.26,105.39,105.98,267900,105.68
2014-07-17,107.52,107.65,105.74,105.79,344000,105.49
2014-07-16,108.99,108.99,106.71,107.70,493600,107.39
2014-07-15,107.41,108.42,107.23,108.40,228900,108.09
2014-07-14,107.00,107.79,106.99,107.01,264800,106.70
2014-07-11,106.86,106.99,106.40,106.73,178100,106.42
2014-07-10,106.36,107.18,106.23,107.12,215500,106.81
2014-07-09,107.60,107.65,106.67,107.35,210800,107.04
