Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,7.06,7.13,6.90,7.05,103000,7.05
2014-11-17,7.12,7.25,7.07,7.09,230500,7.09
2014-11-14,7.08,7.12,7.01,7.10,97600,7.10
2014-11-13,7.01,7.12,7.00,7.05,78600,7.05
2014-11-12,6.96,7.08,6.92,7.04,120500,7.04
2014-11-11,7.11,7.17,6.95,6.98,173900,6.98
2014-11-10,6.90,7.20,6.90,7.10,308000,7.10
2014-11-07,7.00,7.08,6.85,6.88,127700,6.88
2014-11-06,6.98,7.12,6.95,7.03,106100,7.03
2014-11-05,7.05,7.07,6.90,6.94,200300,6.94
2014-11-04,7.20,7.20,6.93,7.13,224700,7.13
2014-11-03,6.91,7.09,6.80,6.84,120000,6.84
2014-10-31,7.00,7.32,6.85,6.93,177000,6.93
2014-10-30,6.66,6.95,6.66,6.92,120800,6.92
2014-10-29,6.71,6.80,6.63,6.71,146100,6.71
2014-10-28,6.42,6.86,6.31,6.71,154000,6.71
2014-10-27,6.45,6.49,6.37,6.40,15000,6.40
2014-10-24,6.39,6.54,6.31,6.50,99500,6.50
2014-10-23,6.40,6.70,6.24,6.36,173000,6.36
2014-10-22,6.35,6.41,6.23,6.31,57900,6.31
2014-10-21,6.28,6.34,6.21,6.32,41700,6.32
2014-10-20,6.29,6.42,6.11,6.23,53700,6.23
2014-10-17,6.48,6.60,6.23,6.30,50500,6.30
2014-10-16,6.28,6.62,6.28,6.38,135500,6.38
2014-10-15,6.33,6.44,6.10,6.38,76800,6.38
2014-10-14,6.47,6.62,6.36,6.41,60400,6.41
2014-10-13,6.26,6.63,6.25,6.37,139100,6.37
2014-10-10,6.06,6.36,6.06,6.26,65500,6.26
2014-10-09,6.29,6.39,6.07,6.08,61200,6.08
2014-10-08,6.22,6.36,6.11,6.32,54900,6.32
2014-10-07,6.46,6.46,6.19,6.21,51100,6.21
2014-10-06,6.64,6.64,6.31,6.49,68300,6.49
2014-10-03,6.60,6.73,6.56,6.67,36900,6.67
2014-10-02,6.34,6.60,6.20,6.56,64900,6.56
2014-10-01,6.63,6.76,6.32,6.34,127600,6.34
2014-09-30,6.70,6.74,6.59,6.60,147700,6.60
2014-09-29,6.75,6.96,6.67,6.73,70400,6.73
2014-09-26,6.95,7.06,6.74,6.87,88800,6.87
2014-09-25,6.97,7.04,6.83,6.96,159900,6.96
2014-09-24,6.75,7.01,6.73,7.00,142600,7.00
2014-09-23,6.77,6.83,6.72,6.77,84900,6.77
2014-09-22,6.67,6.81,6.67,6.77,114100,6.77
2014-09-19,6.73,7.20,6.65,6.77,189700,6.77
2014-09-18,6.76,6.80,6.66,6.76,48500,6.76
2014-09-17,7.02,7.03,6.75,6.75,84200,6.75
2014-09-16,7.05,7.10,7.02,7.04,25500,7.04
2014-09-15,7.20,7.20,6.98,7.05,64500,7.05
2014-09-12,7.18,7.27,7.12,7.23,104200,7.23
2014-09-11,6.99,7.16,6.95,7.16,74100,7.16
2014-09-10,7.00,7.11,6.96,7.04,29400,7.04
2014-09-09,7.13,7.17,6.91,6.98,109500,6.98
2014-09-08,7.23,7.27,7.00,7.16,105800,7.16
2014-09-05,6.96,7.41,6.96,7.19,122400,7.19
2014-09-04,6.85,7.20,6.85,7.00,88900,7.00
2014-09-03,7.40,7.40,6.80,6.84,227500,6.84
2014-09-02,7.44,7.44,7.12,7.36,180000,7.36
2014-08-29,7.36,7.43,7.32,7.41,89900,7.41
2014-08-28,7.31,7.45,7.27,7.36,42200,7.36
2014-08-27,7.26,7.53,7.22,7.34,252800,7.34
2014-08-26,7.29,7.40,7.12,7.28,154200,7.28
2014-08-25,7.36,7.40,7.25,7.27,175000,7.27
2014-08-22,7.13,7.44,7.05,7.25,134300,7.25
2014-08-21,7.02,7.28,6.95,7.15,200300,7.15
2014-08-20,7.27,7.36,6.90,7.02,421000,7.02
2014-08-19,7.57,7.90,7.25,7.37,1454400,7.37
2014-08-18,6.08,6.18,6.03,6.15,167400,6.15
2014-08-15,6.12,6.15,5.88,6.01,82300,6.01
2014-08-14,6.04,6.08,5.91,6.05,65600,6.05
2014-08-13,6.17,6.18,6.00,6.04,82700,6.04
2014-08-12,6.40,6.62,6.04,6.09,149700,6.09
2014-08-11,6.13,6.44,6.13,6.38,192000,6.38
2014-08-08,5.95,6.14,5.94,6.07,104600,6.07
2014-08-07,6.13,6.15,5.96,5.97,54700,5.97
2014-08-06,6.00,6.22,6.00,6.13,57700,6.13
2014-08-05,5.97,6.07,5.96,6.04,77000,6.04
2014-08-04,5.95,6.05,5.81,6.02,66300,6.02
2014-08-01,5.96,6.02,5.75,5.91,173000,5.91
2014-07-31,6.00,6.10,5.93,5.95,72500,5.95
2014-07-30,6.14,6.18,6.00,6.11,39900,6.11
2014-07-29,6.05,6.15,6.00,6.10,67600,6.10
2014-07-28,6.14,6.23,5.99,6.05,42900,6.05
2014-07-25,6.18,6.26,6.04,6.13,59300,6.13
2014-07-24,6.33,6.38,6.22,6.26,45300,6.26
2014-07-23,6.10,6.40,6.10,6.30,130400,6.30
2014-07-22,6.18,6.25,5.99,6.07,161700,6.07
2014-07-21,6.17,6.22,6.15,6.16,75700,6.16
2014-07-18,6.03,6.20,6.03,6.19,153900,6.19
2014-07-17,6.10,6.25,6.02,6.08,105900,6.08
2014-07-16,5.86,6.23,5.85,6.13,102900,6.13
2014-07-15,5.95,5.99,5.75,5.85,118900,5.85
2014-07-14,6.10,6.10,5.91,5.98,44600,5.98
2014-07-11,6.03,6.12,6.01,6.05,35200,6.05
2014-07-10,6.24,6.31,6.04,6.06,77100,6.06
2014-07-09,6.01,6.44,5.99,6.38,110100,6.38
2014-07-08,6.27,6.27,6.04,6.05,76400,6.05
2014-07-07,6.03,6.33,5.98,6.29,120700,6.29
2014-07-03,6.31,6.31,6.01,6.08,95000,6.08
2014-07-02,6.41,6.44,6.28,6.32,91200,6.32
2014-07-01,6.34,6.51,6.34,6.45,77300,6.45
2014-06-30,6.28,6.35,6.16,6.29,198900,6.29
2014-06-27,6.44,6.63,6.36,6.42,497600,6.42
2014-06-26,6.62,6.70,6.45,6.51,78200,6.51
2014-06-25,6.68,6.81,6.54,6.66,69200,6.66
2014-06-24,6.87,6.98,6.73,6.75,69300,6.75
2014-06-23,6.92,7.00,6.70,6.90,82800,6.90
2014-06-20,6.91,6.92,6.67,6.84,119600,6.84
2014-06-19,6.81,6.97,6.71,6.88,74900,6.88
2014-06-18,6.76,6.83,6.54,6.81,81400,6.81
2014-06-17,6.98,6.98,6.76,6.78,77800,6.78
2014-06-16,6.62,7.15,6.62,7.00,311800,7.00
2014-06-13,6.77,6.78,6.61,6.67,59400,6.67
2014-06-12,6.67,6.78,6.65,6.73,120400,6.73
2014-06-11,6.68,6.76,6.47,6.66,89200,6.66
2014-06-10,6.65,6.76,6.59,6.73,54800,6.73
2014-06-09,6.49,6.73,6.42,6.65,90500,6.65
2014-06-06,6.45,6.54,6.43,6.47,100700,6.47
2014-06-05,6.35,6.53,6.22,6.39,196500,6.39
2014-06-04,6.36,6.46,6.26,6.36,113700,6.36
2014-06-03,6.47,6.52,6.36,6.42,90900,6.42
2014-06-02,6.61,6.69,6.23,6.48,307000,6.48
2014-05-30,6.60,7.01,6.50,6.61,264200,6.61
2014-05-29,6.60,6.67,6.49,6.58,156800,6.58
2014-05-28,6.48,6.57,6.28,6.53,397300,6.53
2014-05-27,6.58,6.60,6.49,6.54,173500,6.54
2014-05-23,6.52,6.62,6.44,6.50,183400,6.50
2014-05-22,6.33,6.52,6.25,6.50,252000,6.50
2014-05-21,6.23,6.42,6.13,6.35,233400,6.35
2014-05-20,6.18,6.30,5.82,6.17,313600,6.17
2014-05-19,5.93,6.25,5.91,6.23,243900,6.23
2014-05-16,5.72,5.96,5.62,5.91,338400,5.91
2014-05-15,5.20,5.99,5.20,5.71,408600,5.71
2014-05-14,5.42,5.44,5.12,5.23,169600,5.23
2014-05-13,5.33,5.48,5.29,5.41,167100,5.41
2014-05-12,5.05,5.49,5.05,5.34,350700,5.34
2014-05-09,4.86,5.04,4.86,5.03,56000,5.03
2014-05-08,4.96,5.07,4.89,4.90,71100,4.90
2014-05-07,5.00,5.01,4.93,4.96,118500,4.96
2014-05-06,4.87,5.07,4.82,5.00,91300,5.00
2014-05-05,5.10,5.11,4.97,5.08,88700,5.08
2014-05-02,5.13,5.19,5.12,5.15,101900,5.15
2014-05-01,5.13,5.19,5.04,5.11,97800,5.11
2014-04-30,5.11,5.20,5.09,5.16,73400,5.16
2014-04-29,5.15,5.25,5.11,5.14,227400,5.14
2014-04-28,5.07,5.19,5.00,5.11,50100,5.11
2014-04-25,5.00,5.17,4.98,5.03,79400,5.03
2014-04-24,5.11,5.11,5.03,5.07,37700,5.07
2014-04-23,5.16,5.19,5.00,5.06,121200,5.06
2014-04-22,5.11,5.27,5.07,5.18,56500,5.18
2014-04-21,5.16,5.17,5.05,5.13,58200,5.13
2014-04-17,4.94,5.20,4.90,5.15,218700,5.15
2014-04-16,5.01,5.12,4.87,4.98,57400,4.98
2014-04-15,4.92,5.02,4.84,4.99,128000,4.99
2014-04-14,4.93,4.96,4.86,4.92,69700,4.92
2014-04-11,4.77,4.92,4.77,4.90,114000,4.90
2014-04-10,5.06,5.13,4.81,4.81,128200,4.81
2014-04-09,5.12,5.19,5.05,5.08,94300,5.08
2014-04-08,5.05,5.28,5.03,5.12,122400,5.12
2014-04-07,5.12,5.12,4.95,5.07,122000,5.07
2014-04-04,5.43,5.45,5.13,5.15,111900,5.15
2014-04-03,5.38,5.43,5.36,5.37,68000,5.37
2014-04-02,5.45,5.45,5.35,5.40,99900,5.40
2014-04-01,5.30,5.45,5.28,5.44,147900,5.44
2014-03-31,5.09,5.50,5.05,5.27,221100,5.27
2014-03-28,5.06,5.33,4.99,5.02,317600,5.02
2014-03-27,4.94,5.24,4.89,5.11,455800,5.11
2014-03-26,4.93,5.06,4.86,5.00,118000,5.00
2014-03-25,4.94,4.98,4.87,4.88,66400,4.88
2014-03-24,4.74,4.95,4.72,4.89,81800,4.89
2014-03-21,4.86,5.09,4.77,4.78,370000,4.78
2014-03-20,4.92,5.03,4.78,4.90,234000,4.90
2014-03-19,4.85,4.95,4.83,4.95,79600,4.95
2014-03-18,4.81,4.92,4.81,4.87,90600,4.87
2014-03-17,4.75,4.82,4.73,4.81,55800,4.81
2014-03-14,4.76,4.78,4.62,4.74,86300,4.74
2014-03-13,4.57,4.83,4.56,4.75,165600,4.75
2014-03-12,4.72,4.77,4.56,4.58,257500,4.58
2014-03-11,4.82,4.86,4.70,4.73,95500,4.73
2014-03-10,4.94,4.94,4.71,4.84,110400,4.84
2014-03-07,4.93,4.99,4.76,4.93,255800,4.93
2014-03-06,4.93,4.99,4.90,4.91,53900,4.91
2014-03-05,4.92,4.95,4.82,4.94,54100,4.94
2014-03-04,4.92,4.95,4.86,4.95,130600,4.95
2014-03-03,4.79,4.85,4.73,4.85,51300,4.85
2014-02-28,4.91,4.95,4.79,4.81,68500,4.81
2014-02-27,4.89,4.93,4.78,4.91,75400,4.91
2014-02-26,4.99,4.99,4.88,4.93,80900,4.93
2014-02-25,4.99,4.99,4.90,4.97,127600,4.97
2014-02-24,4.96,4.99,4.85,4.99,133100,4.99
2014-02-21,4.83,4.99,4.83,4.96,186600,4.96
2014-02-20,4.70,4.81,4.64,4.80,107100,4.80
2014-02-19,4.60,4.92,4.56,4.70,207600,4.70
2014-02-18,4.46,4.64,4.46,4.64,79300,4.64
2014-02-14,4.56,4.56,4.44,4.49,125100,4.49
2014-02-13,4.31,4.56,4.29,4.56,119900,4.56
2014-02-12,4.28,4.35,4.20,4.35,142100,4.35
2014-02-11,4.31,4.32,4.08,4.28,238300,4.28
2014-02-10,4.38,4.49,4.31,4.47,66700,4.47
2014-02-07,4.35,4.45,4.34,4.36,81000,4.36
2014-02-06,4.33,4.39,4.33,4.35,43400,4.35
2014-02-05,4.35,4.43,4.30,4.35,92400,4.35
2014-02-04,4.47,4.48,4.29,4.35,94100,4.35
2014-02-03,4.57,4.66,4.44,4.46,114500,4.46
2014-01-31,4.56,4.63,4.56,4.57,85400,4.57
2014-01-30,4.53,4.74,4.51,4.63,77500,4.63
2014-01-29,4.40,4.62,4.40,4.51,73400,4.51
2014-01-28,4.54,4.66,4.54,4.59,168800,4.59
2014-01-27,4.56,4.65,4.50,4.54,82600,4.54
2014-01-24,4.65,4.74,4.50,4.58,73600,4.58
2014-01-23,4.58,4.71,4.55,4.71,48700,4.71
2014-01-22,4.55,4.65,4.49,4.61,75700,4.61
2014-01-21,4.49,4.60,4.45,4.56,63900,4.56
2014-01-17,4.51,4.53,4.45,4.49,71300,4.49
2014-01-16,4.49,4.55,4.33,4.51,105300,4.51
2014-01-15,4.55,4.69,4.45,4.49,79500,4.49
2014-01-14,4.63,4.67,4.43,4.56,63100,4.56
