Date,Open,High,Low,Close,Volume,Adj Close
2014-11-17,11.77,11.85,11.41,11.68,209500,11.68
2014-11-14,11.45,11.67,11.38,11.64,292400,11.64
2014-11-13,11.93,11.99,11.38,11.50,333200,11.50
2014-11-12,11.85,12.13,11.77,11.87,300800,11.87
2014-11-11,11.77,11.97,11.65,11.88,319900,11.88
2014-11-10,11.69,11.79,11.44,11.70,315500,11.70
2014-11-07,11.59,11.79,11.44,11.71,404500,11.71
2014-11-06,11.69,11.82,11.49,11.60,215500,11.60
2014-11-05,12.09,12.12,11.87,11.97,277400,11.70
2014-11-04,12.01,12.18,11.85,11.93,207200,11.66
2014-11-03,12.27,12.43,12.04,12.08,294100,11.81
2014-10-31,11.95,12.28,11.85,12.18,315300,11.91
2014-10-30,11.98,12.16,11.76,11.89,325900,11.62
2014-10-29,12.13,12.16,11.76,11.95,324800,11.68
2014-10-28,12.02,12.18,11.85,12.06,176500,11.79
2014-10-27,12.28,12.35,11.80,11.88,228200,11.61
2014-10-24,12.55,12.62,12.18,12.41,212600,12.13
2014-10-23,12.63,12.93,12.50,12.60,166700,12.32
2014-10-22,12.67,13.06,12.38,12.55,301600,12.27
2014-10-21,12.59,13.20,12.59,12.68,301300,12.39
2014-10-20,12.38,12.79,12.38,12.60,244100,12.32
2014-10-17,12.01,12.52,11.91,12.38,332700,12.10
2014-10-16,10.80,12.22,10.76,11.90,301200,11.63
2014-10-15,11.03,11.19,10.77,11.09,450600,10.84
2014-10-14,12.20,12.23,11.37,11.38,537800,11.12
2014-10-13,12.74,12.94,12.06,12.15,242300,11.88
2014-10-10,13.07,13.07,11.77,12.74,581400,12.45
2014-10-09,13.61,13.79,13.07,13.07,264200,12.78
2014-10-08,13.61,13.73,13.45,13.71,213800,13.40
2014-10-07,13.78,13.78,13.45,13.63,330700,13.32
2014-10-06,13.77,13.98,13.71,13.76,101400,13.45
2014-10-03,13.73,13.90,13.65,13.80,160700,13.49
2014-10-02,13.68,13.95,13.61,13.89,154000,13.58
2014-10-01,13.70,13.99,13.50,13.70,278200,13.39
2014-09-30,13.75,13.83,13.45,13.73,268000,13.42
2014-09-29,14.10,14.21,13.83,13.84,162600,13.53
2014-09-26,13.76,14.25,13.76,14.20,143000,13.88
2014-09-25,13.68,13.95,13.61,13.79,185600,13.48
2014-09-24,13.82,14.13,13.69,13.74,278200,13.43
2014-09-23,13.93,14.12,13.52,13.87,562900,13.56
2014-09-22,14.09,14.21,13.75,13.90,366100,13.59
2014-09-19,14.76,14.80,14.08,14.09,466000,13.77
2014-09-18,14.93,14.93,14.61,14.76,298300,14.43
2014-09-17,15.01,15.08,14.83,14.97,176900,14.63
2014-09-16,15.01,15.13,14.94,14.95,105300,14.61
2014-09-15,14.99,15.19,14.95,15.07,110200,14.73
2014-09-12,15.09,15.45,14.95,14.98,226800,14.64
2014-09-11,15.05,15.30,15.05,15.21,164200,14.87
2014-09-10,15.13,15.19,15.00,15.07,226300,14.73
2014-09-09,15.29,15.41,15.12,15.14,222200,14.80
2014-09-08,15.50,15.50,15.20,15.26,193100,14.92
2014-09-05,15.57,15.63,15.47,15.50,133000,15.15
2014-09-04,15.46,15.63,15.45,15.51,175700,15.16
2014-09-03,15.50,15.74,15.44,15.50,264000,15.15
2014-09-02,15.28,15.50,15.25,15.41,274300,15.06
