Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,112.00,113.87,111.41,112.59,77800,112.59
2014-11-17,111.84,112.46,111.61,111.61,42000,111.61
2014-11-14,112.72,113.73,112.19,112.42,62700,112.42
2014-11-13,113.75,113.80,112.06,112.95,88700,112.95
2014-11-12,112.12,113.65,111.80,113.56,44600,113.56
2014-11-11,112.16,113.66,110.06,112.29,64000,112.29
2014-11-10,110.12,112.61,110.12,112.59,73300,112.59
2014-11-07,112.30,112.30,111.43,112.01,36900,112.01
2014-11-06,111.46,112.70,109.87,112.04,73900,112.04
2014-11-05,111.14,112.49,110.20,112.11,69100,112.11
2014-11-04,108.90,111.92,108.90,110.78,82400,110.78
2014-11-03,111.41,112.57,110.02,110.45,91400,110.45
2014-10-31,110.52,111.60,109.89,111.56,79500,111.56
2014-10-30,107.84,110.25,107.84,109.13,63300,109.13
2014-10-29,110.91,110.91,107.69,108.53,87700,108.53
2014-10-28,107.95,110.80,107.77,110.59,62100,110.59
2014-10-27,107.13,107.47,106.64,106.99,44800,106.99
2014-10-24,106.56,108.34,106.56,107.85,66200,107.85
2014-10-23,106.00,107.58,105.04,106.16,119100,106.16
2014-10-22,102.46,103.68,100.23,102.21,69100,102.21
2014-10-21,99.04,101.61,99.04,101.54,110600,101.54
2014-10-20,98.52,99.07,97.39,98.80,57300,98.80
2014-10-17,99.25,99.25,97.51,98.48,59800,98.48
2014-10-16,95.51,98.81,95.50,97.79,99500,97.79
2014-10-15,95.93,97.00,95.50,95.95,120600,95.95
2014-10-14,96.87,97.59,95.19,95.99,103000,95.99
2014-10-13,95.79,96.63,95.02,95.64,59900,95.64
2014-10-10,94.53,97.41,93.97,95.37,86000,95.37
2014-10-09,97.55,98.39,94.61,95.01,76100,95.01
2014-10-08,95.12,98.08,94.58,97.65,51400,97.65
2014-10-07,95.73,96.23,95.13,95.43,65000,95.43
2014-10-06,97.11,97.18,95.78,96.03,31300,96.03
2014-10-03,96.65,97.54,96.50,96.91,29900,96.91
2014-10-02,95.43,96.10,94.37,95.63,52200,95.63
2014-10-01,96.66,96.93,94.50,95.27,82500,95.27
2014-09-30,97.12,98.25,96.47,96.59,68200,96.59
2014-09-29,96.13,97.22,95.53,96.92,45900,96.92
2014-09-26,96.64,97.26,95.16,96.82,41500,96.82
2014-09-25,97.04,97.08,96.07,96.60,39800,96.60
2014-09-24,97.15,98.33,97.02,98.04,38200,98.04
2014-09-23,98.85,99.06,96.15,97.12,67000,97.12
2014-09-22,99.33,100.17,97.39,98.95,91000,98.95
2014-09-19,101.63,102.88,99.36,99.78,110600,99.78
2014-09-18,100.40,103.00,99.50,101.45,92100,101.45
2014-09-17,99.17,100.36,98.94,100.20,91600,100.20
2014-09-16,97.34,99.29,97.34,99.00,77200,99.00
2014-09-15,97.07,98.07,96.40,97.58,51200,97.58
2014-09-12,97.98,98.07,96.27,97.02,34100,97.02
2014-09-11,95.92,98.36,95.92,97.82,32400,97.82
2014-09-10,96.66,96.99,95.78,96.54,45700,96.54
2014-09-09,97.97,97.97,96.12,96.37,38600,96.37
2014-09-08,98.50,99.19,97.27,97.85,23900,97.85
