Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,8.69,8.69,8.50,8.53,35875900,8.53
2014-11-17,8.90,8.93,8.77,8.85,16338200,8.85
2014-11-14,8.60,8.94,8.60,8.87,23977100,8.87
2014-11-13,8.84,8.88,8.67,8.72,23128800,8.72
2014-11-12,9.00,9.09,8.75,8.82,20926900,8.82
2014-11-11,8.78,9.00,8.76,8.92,36145000,8.92
2014-11-10,9.52,9.52,9.01,9.04,27333500,9.04
2014-11-07,9.35,9.51,9.32,9.43,20065700,9.43
2014-11-06,9.42,9.42,9.13,9.14,26317500,9.14
2014-11-05,9.50,9.67,9.33,9.56,29630800,9.56
2014-11-04,9.70,9.71,9.46,9.54,23805600,9.54
2014-11-03,9.96,9.98,9.73,9.82,25281200,9.82
2014-10-31,9.79,10.11,9.72,10.09,20470800,10.09
2014-10-30,9.98,10.04,9.82,9.92,32631500,9.92
2014-10-29,10.46,10.54,10.05,10.20,31288400,10.20
2014-10-28,10.56,10.67,10.46,10.64,22901400,10.64
2014-10-27,10.47,10.62,10.40,10.58,41943800,10.58
2014-10-24,10.88,11.45,10.88,11.16,35645600,11.16
2014-10-23,10.73,11.00,10.71,10.83,20833900,10.83
2014-10-22,10.67,11.82,10.66,10.82,18663500,10.82
2014-10-21,10.46,10.92,10.46,10.75,28573300,10.75
2014-10-20,10.76,10.80,10.59,10.73,21759800,10.73
2014-10-17,10.77,11.12,10.65,10.94,32470300,10.94
2014-10-16,11.06,11.33,11.00,11.14,28435400,11.00
2014-10-15,11.46,11.60,11.21,11.56,27140700,11.41
2014-10-14,11.63,11.95,11.49,11.80,26175600,11.65
2014-10-13,11.39,11.79,11.37,11.47,32815900,11.33
2014-10-10,10.98,11.18,10.86,10.90,19284400,10.76
2014-10-09,11.51,11.54,11.14,11.25,16793600,11.11
2014-10-08,11.55,11.57,11.18,11.47,25333900,11.33
2014-10-07,11.34,11.58,11.29,11.39,36266500,11.25
2014-10-06,11.48,11.61,11.25,11.31,38211600,11.17
2014-10-03,10.95,11.03,10.73,11.02,33479300,10.88
2014-10-02,10.96,11.22,10.70,11.09,29414400,10.95
2014-10-01,11.00,11.21,10.74,10.86,35692600,10.72
2014-09-30,10.97,11.02,10.61,11.01,33138300,10.87
2014-09-29,10.76,11.03,10.75,10.87,25608300,10.73
2014-09-26,11.25,11.31,11.12,11.19,22492000,11.05
2014-09-25,11.35,11.38,11.17,11.32,32554800,11.18
2014-09-24,11.55,11.67,11.47,11.59,38821800,11.44
2014-09-23,11.48,11.60,11.34,11.42,23831300,11.28
2014-09-22,11.56,11.62,11.27,11.44,48657000,11.30
2014-09-19,12.24,12.33,11.95,12.00,33721400,11.85
2014-09-18,12.37,12.45,12.28,12.32,14850400,12.17
2014-09-17,12.59,12.59,12.35,12.39,22782300,12.23
2014-09-16,12.42,12.73,12.32,12.56,20654700,12.40
2014-09-15,12.36,12.49,12.33,12.44,14392500,12.28
2014-09-12,12.19,12.33,12.10,12.30,27899600,12.15
2014-09-11,12.39,12.48,12.35,12.41,19543900,12.25
2014-09-10,12.49,12.51,12.22,12.38,26138400,12.22
2014-09-09,12.43,12.72,12.40,12.52,22778000,12.36
2014-09-08,12.52,12.54,12.37,12.46,33951400,12.30
2014-09-05,12.76,12.79,12.40,12.68,41798400,12.52
2014-09-04,12.88,12.97,12.23,12.82,24321600,12.66
2014-09-03,12.93,13.20,12.92,12.97,25145300,12.81
2014-09-02,13.00,13.01,12.80,12.83,26544600,12.67
2014-08-29,13.10,13.14,12.88,13.06,24152500,12.90
2014-08-28,13.26,13.29,12.91,13.11,48060600,12.95
2014-08-27,13.76,13.81,13.63,13.68,13460200,13.51
2014-08-26,13.59,13.81,13.56,13.76,16639200,13.59
2014-08-25,13.78,13.79,13.62,13.63,12725200,13.46
2014-08-22,13.75,13.81,13.65,13.74,12453200,13.57
2014-08-21,14.10,14.12,13.90,13.93,13702500,13.75
2014-08-20,13.86,14.09,13.86,14.08,13543000,13.90
2014-08-19,13.69,13.97,13.68,13.88,16657600,13.71
2014-08-18,13.81,13.85,13.59,13.81,14406400,13.64
2014-08-15,13.64,13.72,13.50,13.71,14072400,13.54
2014-08-14,13.63,13.67,13.30,13.53,27491900,13.36
2014-08-13,13.93,13.95,13.57,13.75,22425800,13.58
2014-08-12,13.99,14.06,13.91,13.99,13770500,13.81
2014-08-11,14.05,14.17,13.96,14.04,12854200,13.86
2014-08-08,13.68,13.90,13.67,13.83,11027300,13.66
2014-08-07,14.08,14.10,13.75,13.79,13900700,13.62
2014-08-06,13.85,14.09,13.84,14.01,9296600,13.83
2014-08-05,13.95,14.06,13.81,13.89,13316600,13.72
2014-08-04,14.09,14.20,13.96,14.15,11571800,13.97
2014-08-01,14.32,14.41,13.95,14.01,20150700,13.83
2014-07-31,14.29,14.56,14.08,14.35,19831900,14.17
2014-07-30,14.62,14.84,14.24,14.38,22871100,14.20
2014-07-29,14.90,14.93,14.74,14.76,14376000,14.57
2014-07-28,14.62,14.85,14.60,14.83,17962400,14.64
2014-07-25,14.56,14.58,14.45,14.56,11695300,14.38
2014-07-24,14.46,14.66,14.38,14.56,14986300,14.38
2014-07-23,14.37,14.51,14.27,14.34,14491400,14.16
2014-07-22,14.39,14.51,14.34,14.43,19750400,14.25
2014-07-21,14.12,14.27,13.98,14.25,13497100,14.07
2014-07-18,14.16,14.28,14.04,14.08,21318800,13.90
2014-07-17,14.23,14.25,13.97,13.98,15283200,13.80
2014-07-16,14.25,14.45,14.24,14.40,24806800,14.22
2014-07-15,14.00,14.05,13.89,14.00,13322100,13.82
