Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,14.15,14.20,14.13,14.19,38800,14.19
2014-11-17,14.24,14.24,14.13,14.13,32700,14.13
2014-11-14,14.28,14.28,14.20,14.22,23600,14.22
2014-11-13,14.27,14.27,14.22,14.24,20100,14.24
2014-11-12,14.27,14.28,14.23,14.27,21400,14.27
2014-11-11,14.23,14.29,14.17,14.29,18700,14.29
2014-11-10,14.23,14.24,14.15,14.24,12300,14.24
2014-11-07,14.15,14.20,14.11,14.20,33300,14.20
2014-11-06,14.18,14.21,14.11,14.15,30200,14.15
2014-11-05,14.21,14.25,14.12,14.15,33900,14.15
2014-11-04,14.23,14.25,14.21,14.21,13900,14.21
2014-11-03,14.22,14.28,14.19,14.28,12900,14.28
2014-10-31,14.30,14.30,14.22,14.24,9700,14.24
2014-10-30,14.20,14.26,14.18,14.22,18300,14.22
2014-10-29,14.19,14.26,14.18,14.25,15700,14.25
2014-10-28,14.27,14.31,14.19,14.24,14300,14.24
2014-10-27,14.28,14.31,14.18,14.18,10200,14.18
2014-10-24,14.27,14.31,14.24,14.24,16100,14.24
2014-10-23,14.29,14.36,14.24,14.24,23800,14.24
2014-10-22,14.13,14.28,14.13,14.27,30300,14.27
2014-10-21,14.16,14.28,14.16,14.25,40500,14.16
2014-10-20,14.12,14.24,14.11,14.16,33200,14.07
2014-10-17,14.04,14.23,14.04,14.17,23100,14.08
2014-10-16,13.85,14.08,13.85,14.04,26400,13.95
2014-10-15,14.03,14.11,13.86,13.96,41700,13.87
2014-10-14,14.06,14.07,14.03,14.05,23800,13.96
2014-10-13,14.04,14.11,14.04,14.07,30300,13.98
2014-10-10,14.08,14.12,13.97,14.00,37700,13.91
2014-10-09,14.16,14.18,14.05,14.10,34400,14.01
2014-10-08,14.18,14.21,14.11,14.15,36200,14.06
2014-10-07,14.28,14.28,14.14,14.18,30800,14.09
2014-10-06,14.25,14.29,14.18,14.18,28500,14.09
2014-10-03,14.20,14.28,14.15,14.23,14400,14.14
2014-10-02,14.25,14.32,14.19,14.20,41900,14.11
2014-10-01,14.31,14.37,14.26,14.27,27600,14.18
2014-09-30,14.17,14.32,14.09,14.32,71300,14.23
2014-09-29,14.17,14.19,14.09,14.13,42000,14.04
2014-09-26,14.37,14.37,14.21,14.23,38800,14.14
2014-09-25,14.35,14.38,14.22,14.31,33600,14.22
2014-09-24,14.44,14.44,14.36,14.40,18500,14.31
2014-09-23,14.46,14.46,14.39,14.44,20700,14.35
2014-09-22,14.40,14.47,14.40,14.44,9700,14.35
2014-09-19,14.45,14.49,14.42,14.44,11900,14.35
2014-09-18,14.45,14.50,14.45,14.48,26700,14.39
2014-09-17,14.38,14.47,14.37,14.45,20700,14.36
2014-09-16,14.53,14.56,14.51,14.52,19500,14.34
2014-09-15,14.60,14.64,14.51,14.55,27800,14.37
2014-09-12,14.69,14.69,14.63,14.65,9400,14.47
2014-09-11,14.66,14.68,14.63,14.67,16400,14.49
2014-09-10,14.65,14.68,14.61,14.68,26100,14.50
2014-09-09,14.72,14.72,14.65,14.69,16800,14.51
2014-09-08,14.67,14.73,14.65,14.72,17700,14.54
2014-09-05,14.66,14.71,14.66,14.71,19800,14.53
2014-09-04,14.71,14.78,14.69,14.69,28900,14.51
2014-09-03,14.79,14.79,14.71,14.74,13100,14.56
2014-09-02,14.75,14.80,14.71,14.75,30900,14.57
2014-08-29,14.72,14.80,14.67,14.80,32000,14.62
2014-08-28,14.68,14.75,14.67,14.73,32500,14.55
2014-08-27,14.68,14.74,14.67,14.72,13200,14.54
2014-08-26,14.68,14.75,14.67,14.70,23200,14.52
2014-08-25,14.67,14.71,14.66,14.67,16800,14.49
2014-08-22,14.67,14.69,14.66,14.68,14200,14.50
2014-08-21,14.69,14.72,14.64,14.69,11000,14.51
2014-08-20,14.66,14.69,14.60,14.68,21500,14.50
2014-08-19,14.70,14.73,14.69,14.70,22500,14.43
2014-08-18,14.69,14.74,14.68,14.71,6700,14.44
2014-08-15,14.72,14.84,14.69,14.72,32500,14.45
2014-08-14,14.66,14.72,14.66,14.69,18500,14.42
2014-08-13,14.64,14.70,14.64,14.70,6800,14.43
2014-08-12,14.66,14.68,14.66,14.67,14100,14.40
2014-08-11,14.58,14.68,14.56,14.66,24100,14.39
2014-08-08,14.50,14.54,14.43,14.53,24800,14.26
2014-08-07,14.45,14.45,14.38,14.45,13900,14.18
2014-08-06,14.36,14.40,14.35,14.35,11900,14.08
2014-08-05,14.41,14.42,14.34,14.37,35100,14.10
2014-08-04,14.35,14.55,14.33,14.48,25700,14.21
2014-08-01,14.48,14.49,14.24,14.44,62200,14.17
2014-07-31,14.75,14.75,14.54,14.58,31100,14.31
2014-07-30,14.81,14.85,14.70,14.72,36000,14.45
2014-07-29,14.82,14.87,14.80,14.82,13100,14.55
2014-07-28,14.83,14.90,14.81,14.82,22400,14.55
2014-07-25,14.93,14.93,14.89,14.90,20400,14.62
2014-07-24,14.89,14.93,14.81,14.88,33800,14.60
2014-07-23,14.93,14.93,14.84,14.90,24900,14.62
2014-07-22,14.87,14.91,14.81,14.88,17600,14.60
2014-07-21,14.88,14.88,14.82,14.82,14000,14.55
2014-07-18,14.80,14.88,14.79,14.87,33400,14.59
2014-07-17,14.86,14.88,14.82,14.88,22400,14.60
2014-07-16,14.87,14.88,14.81,14.84,13600,14.57
2014-07-15,14.94,14.96,14.88,14.91,24800,14.55
2014-07-14,14.99,14.99,14.92,14.96,32000,14.59
2014-07-11,14.92,15.00,14.90,14.99,27100,14.62
2014-07-10,14.89,14.90,14.84,14.89,14800,14.53
