Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,4.70,4.92,4.70,4.78,488500,4.78
2014-11-17,4.69,4.83,4.67,4.70,392200,4.70
2014-11-14,4.58,4.82,4.56,4.71,946700,4.71
2014-11-13,5.23,5.32,4.56,4.57,1213800,4.57
2014-11-12,5.20,5.32,5.20,5.26,400500,5.26
2014-11-11,5.40,5.43,5.18,5.25,513700,5.25
2014-11-10,5.63,5.74,5.20,5.39,512100,5.39
2014-11-07,5.60,5.70,5.40,5.62,488500,5.62
2014-11-06,5.74,5.82,5.60,5.63,334200,5.63
2014-11-05,5.50,5.76,5.47,5.74,432700,5.74
2014-11-04,5.55,5.67,5.40,5.44,345700,5.44
2014-11-03,5.86,5.91,5.57,5.62,373200,5.62
2014-10-31,5.68,5.88,5.54,5.87,556100,5.87
2014-10-30,5.50,5.67,5.37,5.59,489100,5.59
2014-10-29,5.52,5.62,5.41,5.55,573100,5.55
2014-10-28,5.40,5.57,5.37,5.48,415500,5.48
2014-10-27,5.56,5.58,5.25,5.39,590500,5.39
2014-10-24,5.19,5.60,5.15,5.55,1410100,5.55
2014-10-23,4.89,5.27,4.82,5.19,2176500,5.19
2014-10-22,6.57,6.57,4.82,4.90,3733500,4.90
2014-10-21,7.55,7.75,7.47,7.65,256900,7.65
2014-10-20,7.03,7.47,7.03,7.46,314700,7.46
2014-10-17,7.50,7.65,7.04,7.12,378600,7.12
2014-10-16,6.62,7.45,6.61,7.34,467100,7.34
2014-10-15,6.59,6.86,6.57,6.84,451000,6.84
2014-10-14,7.01,7.10,6.68,6.73,282700,6.73
2014-10-13,7.02,7.18,6.84,6.90,247000,6.90
2014-10-10,7.34,7.44,6.99,7.06,411400,7.06
2014-10-09,7.84,7.91,7.33,7.41,221800,7.41
2014-10-08,7.64,7.90,7.33,7.89,320000,7.89
2014-10-07,7.71,7.92,7.67,7.68,188000,7.68
2014-10-06,8.13,8.23,7.75,7.75,306800,7.75
2014-10-03,8.28,8.30,8.03,8.07,285600,8.07
2014-10-02,8.12,8.33,7.84,8.18,441500,8.18
2014-10-01,8.34,8.52,8.15,8.23,276600,8.23
2014-09-30,8.68,8.76,8.32,8.33,524300,8.33
2014-09-29,8.72,8.85,8.55,8.70,280400,8.70
2014-09-26,8.71,8.89,8.66,8.83,247600,8.83
2014-09-25,9.05,9.05,8.53,8.75,419700,8.75
2014-09-24,9.25,9.27,9.01,9.08,265500,9.08
2014-09-23,9.32,9.46,9.18,9.21,166000,9.21
2014-09-22,9.68,9.72,9.31,9.37,233200,9.37
2014-09-19,9.99,10.12,9.68,9.71,363800,9.71
2014-09-18,9.98,10.16,9.93,10.01,191500,10.01
2014-09-17,10.12,10.19,9.90,9.93,180600,9.93
2014-09-16,9.94,10.15,9.94,10.08,128900,10.08
2014-09-15,9.98,10.11,9.85,9.99,206600,9.99
2014-09-12,10.18,10.19,9.95,10.00,433800,10.00
2014-09-11,10.19,10.25,10.08,10.17,266200,10.17
2014-09-10,10.15,10.32,10.02,10.30,150300,10.30
2014-09-09,10.37,10.42,10.09,10.16,249700,10.16
2014-09-08,10.37,10.49,10.29,10.40,220900,10.40
2014-09-05,10.43,10.45,10.29,10.44,244100,10.44
2014-09-04,10.50,10.75,10.40,10.45,345500,10.45
2014-09-03,10.91,10.94,10.60,10.60,96200,10.60
2014-09-02,10.94,10.94,10.71,10.82,194900,10.82
2014-08-29,10.68,10.94,10.65,10.94,133600,10.94
2014-08-28,11.00,11.01,10.60,10.71,403600,10.71
2014-08-27,11.16,11.20,10.96,11.04,112000,11.04
2014-08-26,11.22,11.31,11.11,11.11,189600,11.11
2014-08-25,10.77,11.33,10.71,11.28,191300,11.28
2014-08-22,10.74,10.74,10.49,10.69,108000,10.69
2014-08-21,10.73,10.83,10.58,10.76,231900,10.76
2014-08-20,10.96,10.96,10.72,10.76,172200,10.76
2014-08-19,10.95,11.08,10.90,10.98,161500,10.98
2014-08-18,10.84,11.09,10.80,10.91,175900,10.91
2014-08-15,10.86,10.94,10.66,10.74,173100,10.74
2014-08-14,10.73,10.86,10.72,10.75,148600,10.75
2014-08-13,10.64,10.77,10.63,10.73,149700,10.73
2014-08-12,10.73,10.76,10.51,10.65,181200,10.65
2014-08-11,10.77,10.97,10.68,10.77,248200,10.77
2014-08-08,10.30,10.68,10.11,10.64,243800,10.64
2014-08-07,10.67,10.71,10.30,10.34,293700,10.34
2014-08-06,10.49,10.71,10.38,10.65,446200,10.65
2014-08-05,11.32,11.57,10.24,10.63,999100,10.63
2014-08-04,11.59,11.69,11.33,11.69,189600,11.69
2014-08-01,11.54,11.71,11.31,11.58,183700,11.58
2014-07-31,11.87,11.90,11.41,11.59,418000,11.59
2014-07-30,11.99,12.11,11.85,12.01,174100,12.01
2014-07-29,12.04,12.09,11.82,11.86,166800,11.86
2014-07-28,12.13,12.19,11.87,12.00,286400,12.00
2014-07-25,12.08,12.30,12.01,12.15,303000,12.15
2014-07-24,12.16,12.33,12.05,12.13,178700,12.13
2014-07-23,12.14,12.21,11.98,12.07,128600,12.07
2014-07-22,11.95,12.21,11.88,12.13,186500,12.13
2014-07-21,11.94,12.00,11.74,11.84,135200,11.84
2014-07-18,11.97,12.06,11.89,11.98,165200,11.98
2014-07-17,11.95,12.29,11.85,11.99,306800,11.99
2014-07-16,12.17,12.19,11.86,11.95,183500,11.95
2014-07-15,12.24,12.29,11.85,12.05,168700,12.05
2014-07-14,12.21,12.28,12.14,12.24,144100,12.24
2014-07-11,11.85,12.13,11.79,12.07,294400,12.07
2014-07-10,11.94,12.06,11.61,11.85,275600,11.85
2014-07-09,12.22,12.34,12.01,12.16,164300,12.16
2014-07-08,12.20,12.25,11.84,12.21,308600,12.21
2014-07-07,12.60,12.64,12.22,12.26,253200,12.26
2014-07-03,12.56,12.65,12.52,12.59,114300,12.59
2014-07-02,12.50,12.65,12.48,12.53,278700,12.53
2014-07-01,12.34,12.69,12.34,12.51,372800,12.51
2014-06-30,12.03,12.39,12.00,12.35,931800,12.35
2014-06-27,12.32,12.45,12.08,12.12,1173200,12.12
2014-06-26,12.38,12.51,12.28,12.42,284800,12.42
2014-06-25,12.22,12.37,12.02,12.36,276800,12.36
2014-06-24,12.59,12.74,12.21,12.25,364100,12.25
2014-06-23,12.94,13.01,12.65,12.70,299600,12.70
2014-06-20,12.97,13.19,12.81,12.95,898400,12.95
2014-06-19,13.29,13.29,12.79,12.89,420600,12.89
2014-06-18,13.27,13.31,12.92,13.29,311500,13.29
2014-06-17,13.50,13.59,13.20,13.29,293600,13.29
2014-06-16,13.57,13.69,13.35,13.59,210800,13.59
2014-06-13,13.42,13.53,13.04,13.50,331500,13.50
2014-06-12,13.07,13.53,13.07,13.39,353000,13.39
2014-06-11,12.79,13.07,12.72,13.07,200100,13.07
2014-06-10,12.94,13.02,12.66,12.90,228800,12.90
2014-06-09,12.67,13.07,12.62,12.94,452900,12.94
2014-06-06,12.36,12.72,12.36,12.72,219900,12.72
