Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,15.12,15.24,15.12,15.22,70000,15.22
2014-11-17,15.12,15.20,15.09,15.11,78000,15.11
2014-11-14,15.14,15.19,15.12,15.14,52500,15.14
2014-11-13,15.18,15.28,15.13,15.16,43300,15.16
2014-11-12,15.12,15.22,15.12,15.22,58800,15.22
2014-11-11,15.14,15.18,15.12,15.17,49000,15.17
2014-11-10,15.17,15.22,15.13,15.14,52800,15.14
2014-11-07,15.18,15.21,15.14,15.17,59200,15.17
2014-11-06,15.13,15.20,15.12,15.18,26200,15.18
2014-11-05,15.23,15.23,15.12,15.14,24500,15.14
2014-11-04,15.17,15.18,15.09,15.13,29700,15.13
2014-11-03,15.20,15.27,15.18,15.20,19600,15.20
2014-10-31,15.10,15.17,15.10,15.16,40500,15.16
2014-10-30,14.82,15.02,14.82,14.97,42000,14.97
2014-10-29,14.84,15.00,14.83,14.91,102700,14.91
2014-10-28,14.78,14.93,14.77,14.90,52600,14.90
2014-10-27,14.76,14.80,14.69,14.78,53600,14.78
2014-10-24,14.70,14.86,14.70,14.86,35400,14.86
2014-10-23,14.73,14.78,14.65,14.69,50000,14.69
2014-10-22,14.59,14.71,14.53,14.53,61000,14.53
2014-10-21,14.30,14.53,14.25,14.52,43800,14.52
2014-10-20,14.04,14.19,14.04,14.18,45000,14.18
2014-10-17,13.97,14.24,13.96,14.05,57600,14.05
2014-10-16,13.50,13.86,13.46,13.84,71300,13.84
2014-10-15,13.10,13.75,13.10,13.67,106000,13.67
2014-10-14,13.94,13.99,13.75,13.82,114600,13.82
2014-10-13,14.17,14.29,13.93,13.93,85900,13.93
2014-10-10,14.49,14.54,14.16,14.16,82300,14.16
2014-10-09,14.73,14.84,14.52,14.54,186400,14.54
2014-10-08,14.85,15.01,14.74,15.01,64700,14.75
2014-10-07,14.96,14.97,14.83,14.83,39500,14.58
2014-10-06,15.02,15.11,14.97,14.99,55600,14.73
