Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,38.93,39.12,38.72,38.88,160100,38.88
2014-11-17,38.62,38.96,38.48,38.89,84600,38.89
2014-11-14,39.12,39.25,38.51,38.69,96400,38.69
2014-11-13,39.04,39.44,38.81,39.20,169500,39.20
2014-11-12,39.06,39.06,38.62,39.04,185500,39.04
2014-11-11,38.75,39.01,38.59,38.96,221100,38.96
2014-11-10,38.46,38.71,38.43,38.67,151400,38.67
2014-11-07,38.40,38.56,38.05,38.38,169500,38.38
2014-11-06,38.78,38.86,38.24,38.33,143500,38.33
2014-11-05,38.92,39.03,38.49,38.65,195700,38.65
2014-11-04,38.40,38.66,38.32,38.48,169500,38.48
2014-11-03,38.49,38.82,37.83,38.57,187400,38.57
2014-10-31,38.43,38.72,38.04,38.34,255400,38.34
2014-10-30,37.37,38.10,37.12,38.02,134500,38.02
2014-10-29,37.68,37.74,37.15,37.51,144300,37.51
2014-10-28,36.96,37.61,36.84,37.54,212000,37.54
2014-10-27,36.68,36.95,36.32,36.95,102700,36.95
2014-10-24,36.95,37.15,36.44,36.73,111800,36.73
2014-10-23,36.81,37.13,36.61,36.81,198700,36.81
2014-10-22,36.51,36.63,36.24,36.57,154200,36.57
2014-10-21,35.89,35.99,35.60,35.95,79800,35.95
2014-10-20,34.77,35.86,34.77,35.85,86000,35.85
2014-10-17,35.35,35.36,34.76,34.86,154900,34.86
2014-10-16,34.97,35.43,34.86,35.13,137800,35.13
2014-10-15,34.69,35.45,34.55,35.16,214400,35.16
2014-10-14,34.58,35.37,34.58,34.93,154300,34.93
2014-10-13,34.52,35.02,34.32,34.38,162000,34.38
2014-10-10,34.30,34.96,34.30,34.41,112000,34.41
2014-10-09,34.80,34.94,34.41,34.46,106800,34.46
2014-10-08,33.75,34.78,33.74,34.75,115000,34.75
2014-10-07,34.00,34.26,33.78,33.81,79600,33.81
2014-10-06,33.90,34.24,33.76,34.05,94200,34.05
2014-10-03,33.91,34.00,33.37,33.92,125000,33.92
2014-10-02,33.17,33.58,33.00,33.57,209800,33.57
2014-10-01,32.97,33.33,32.84,33.08,192800,33.08
2014-09-30,33.51,33.64,32.96,32.97,375500,32.97
2014-09-29,33.30,33.59,33.13,33.58,113200,33.58
2014-09-26,33.24,33.61,33.01,33.52,407200,33.52
2014-09-25,33.30,33.36,32.90,33.21,134400,33.21
2014-09-24,33.34,33.48,32.96,33.31,106800,33.31
2014-09-23,33.40,33.49,33.19,33.21,220500,33.21
2014-09-22,33.41,33.58,33.12,33.39,145000,33.39
2014-09-19,33.36,33.69,33.17,33.55,208700,33.55
2014-09-18,33.62,33.94,33.27,33.35,176000,33.35
2014-09-17,33.61,33.97,33.58,33.70,156500,33.70
2014-09-16,33.62,33.80,33.44,33.63,145000,33.63
2014-09-15,34.57,34.57,33.60,33.61,175200,33.61
2014-09-12,34.70,34.73,33.60,33.76,156500,33.76
2014-09-11,34.60,34.92,34.42,34.77,92600,34.77
2014-09-10,34.95,34.97,34.49,34.63,122800,34.63
2014-09-09,35.34,35.48,35.12,35.27,140900,35.05
2014-09-08,35.40,35.58,35.29,35.47,83700,35.25
2014-09-05,35.05,35.48,35.05,35.34,93800,35.12
2014-09-04,35.51,35.67,35.05,35.20,77200,34.98
2014-09-03,35.25,35.48,35.09,35.44,80600,35.22
2014-09-02,35.13,35.26,35.01,35.19,283200,34.97
2014-08-29,34.81,35.11,34.56,35.05,152700,34.83
2014-08-28,34.70,34.94,34.66,34.83,59900,34.61
2014-08-27,34.91,35.14,34.63,34.81,153500,34.59
2014-08-26,34.82,35.05,34.70,34.88,126800,34.66
2014-08-25,35.10,35.24,34.66,34.85,96700,34.63
2014-08-22,35.09,35.25,34.84,35.01,98500,34.79
2014-08-21,35.21,35.48,35.20,35.22,128100,35.00
2014-08-20,35.24,35.48,35.02,35.30,116400,35.08
2014-08-19,35.32,35.53,35.28,35.32,127400,35.10
2014-08-18,35.05,35.34,34.80,35.33,159000,35.11
2014-08-15,35.45,35.50,34.50,34.79,266600,34.57
2014-08-14,35.34,35.46,35.15,35.29,46200,35.07
2014-08-13,34.87,35.34,34.80,35.25,266800,35.03
2014-08-12,34.89,35.16,34.71,34.87,82600,34.65
2014-08-11,34.72,35.17,34.61,35.06,133800,34.84
2014-08-08,34.44,34.70,34.39,34.67,131800,34.45
2014-08-07,34.55,34.73,34.33,34.50,126200,34.28
2014-08-06,34.19,34.79,34.19,34.34,257200,34.13
2014-08-05,34.21,34.77,34.07,34.09,255100,33.88
2014-08-04,34.31,34.59,34.02,34.50,162600,34.28
2014-08-01,34.36,34.49,34.05,34.19,155900,33.98
2014-07-31,34.78,34.99,34.22,34.29,215400,34.08
2014-07-30,35.72,35.82,34.83,34.93,162600,34.71
2014-07-29,35.73,35.80,35.39,35.49,178400,35.27
2014-07-28,35.41,35.84,35.38,35.77,103000,35.55
2014-07-25,35.30,35.59,35.24,35.45,233500,35.23
2014-07-24,35.71,35.71,35.45,35.53,135200,35.31
2014-07-23,35.68,35.77,35.38,35.58,89000,35.36
2014-07-22,35.53,35.77,35.51,35.71,73900,35.49
2014-07-21,35.45,35.66,35.31,35.44,121700,35.22
2014-07-18,35.25,35.67,35.07,35.60,141700,35.38
2014-07-17,35.44,35.58,35.23,35.38,200000,35.16
2014-07-16,35.39,35.63,34.95,35.49,257500,35.27
2014-07-15,35.19,35.36,34.91,35.15,126900,34.93
2014-07-14,35.10,35.27,34.74,35.25,202100,35.03
2014-07-11,34.90,35.03,34.62,34.85,136800,34.63
2014-07-10,34.49,35.04,34.43,34.97,147000,34.75
2014-07-09,35.00,35.00,34.50,34.81,101900,34.59
2014-07-08,34.51,34.96,34.42,34.87,86400,34.65
2014-07-07,34.64,34.75,34.42,34.58,121700,34.36
2014-07-03,34.94,34.94,34.36,34.61,70200,34.39
2014-07-02,34.86,35.04,34.70,34.93,156000,34.71
2014-07-01,34.67,35.03,34.25,34.92,164500,34.70
2014-06-30,34.34,34.61,34.00,34.55,142100,34.33
2014-06-27,34.23,34.75,34.23,34.36,383800,34.15
2014-06-26,34.51,34.57,34.26,34.44,58400,34.23
2014-06-25,34.63,34.73,34.33,34.58,90400,34.36
2014-06-24,34.50,34.76,34.45,34.74,182800,34.52
2014-06-23,34.32,34.73,34.32,34.52,134700,34.30
2014-06-20,34.69,34.77,34.20,34.34,523900,34.13
2014-06-19,34.48,34.65,34.28,34.62,97200,34.40
2014-06-18,34.09,34.43,33.89,34.36,108000,34.15
2014-06-17,33.84,34.24,33.74,34.10,207800,33.89
2014-06-16,33.87,34.16,33.68,33.94,115900,33.73
2014-06-13,34.03,34.03,33.46,33.87,86700,33.66
2014-06-12,33.94,33.94,33.51,33.86,118600,33.65
2014-06-11,34.14,34.27,33.85,34.03,163100,33.82
2014-06-10,34.53,34.62,33.85,34.29,237300,33.86
2014-06-09,34.89,35.05,34.55,34.57,97500,34.13
2014-06-06,35.22,35.22,34.81,34.85,142900,34.41
2014-06-05,34.44,35.19,34.30,35.00,255000,34.56
2014-06-04,34.21,34.47,34.03,34.35,110600,33.92
2014-06-03,34.09,34.31,33.99,34.20,146100,33.77
2014-06-02,34.33,34.41,34.12,34.22,310200,33.79
2014-05-30,34.55,34.63,34.28,34.30,177700,33.87
2014-05-29,34.58,34.71,34.32,34.50,180500,34.06
2014-05-28,34.50,34.74,34.30,34.49,171000,34.05
2014-05-27,34.47,34.66,34.15,34.65,462000,34.21
2014-05-23,33.88,34.30,33.84,34.27,138100,33.84
2014-05-22,33.70,34.04,33.59,33.78,109000,33.35
2014-05-21,34.16,34.16,33.48,33.66,117300,33.24
2014-05-20,34.18,34.18,33.71,33.92,185600,33.49
2014-05-19,34.30,34.33,33.89,34.26,83900,33.83
2014-05-16,33.77,34.36,33.54,34.33,203400,33.90
2014-05-15,34.04,34.08,33.58,33.88,133500,33.45
2014-05-14,34.27,34.61,34.03,34.08,239800,33.65
2014-05-13,34.33,34.90,34.27,34.27,263500,33.84
2014-05-12,34.59,34.64,34.29,34.30,248600,33.87
2014-05-09,34.50,34.70,34.42,34.56,165800,34.12
2014-05-08,34.56,34.70,34.12,34.58,190800,34.14
2014-05-07,34.07,34.55,33.82,34.48,171600,34.05
2014-05-06,33.99,34.16,33.76,33.92,135900,33.49
2014-05-05,34.36,34.63,34.15,34.21,123700,33.78
2014-05-02,33.93,34.70,33.82,34.67,217000,34.23
2014-05-01,33.99,34.04,33.25,33.97,171500,33.54
2014-04-30,33.80,34.13,33.65,33.95,83000,33.52
2014-04-29,33.89,34.21,33.82,34.06,169000,33.63
2014-04-28,33.69,33.91,33.39,33.71,109700,33.28
2014-04-25,33.58,33.76,33.48,33.58,134800,33.16
2014-04-24,34.01,34.01,33.36,33.82,137300,33.39
2014-04-23,33.70,34.02,33.29,33.92,169600,33.49
2014-04-22,33.34,33.72,33.08,33.71,144600,33.28
2014-04-21,33.40,33.64,33.04,33.38,91000,32.96
2014-04-17,33.17,33.35,33.00,33.25,104400,32.83
2014-04-16,33.28,33.49,32.93,33.31,80400,32.89
2014-04-15,32.82,33.15,32.42,33.11,197200,32.69
2014-04-14,32.95,33.06,32.42,32.65,105800,32.24
2014-04-11,32.72,33.13,32.16,32.67,130000,32.26
2014-04-10,33.56,33.70,32.87,32.98,137800,32.56
2014-04-09,33.61,33.73,33.35,33.49,110400,33.07
2014-04-08,33.69,33.77,33.45,33.64,158600,33.22
2014-04-07,33.59,34.06,33.48,33.75,176600,33.32
2014-04-04,34.17,34.17,33.53,33.75,113600,33.32
2014-04-03,34.52,34.52,33.87,33.93,123200,33.50
2014-04-02,34.19,34.51,33.88,34.49,99000,34.05
2014-04-01,33.70,34.22,33.58,34.21,161300,33.78
2014-03-31,33.68,34.20,33.25,33.74,109000,33.31
2014-03-28,33.10,33.67,33.09,33.60,133700,33.18
2014-03-27,32.97,33.20,32.67,33.15,70600,32.73
2014-03-26,33.84,34.10,32.99,33.04,111500,32.62
2014-03-25,33.60,33.89,32.95,33.44,221600,33.02
2014-03-24,34.09,34.40,33.21,33.45,105500,33.03
2014-03-21,33.57,34.18,33.53,34.04,257300,33.61
2014-03-20,33.23,33.39,32.87,33.33,158500,32.91
2014-03-19,33.71,34.04,33.08,33.38,146500,32.96
2014-03-18,33.36,33.69,33.15,33.64,90100,33.22
2014-03-17,33.11,33.42,32.99,33.26,108700,32.84
2014-03-14,32.79,33.17,32.79,32.99,100000,32.57
2014-03-13,32.85,32.96,32.40,32.80,125400,32.39
2014-03-12,32.44,32.91,32.44,32.74,87800,32.33
2014-03-11,32.88,33.07,32.64,32.79,152000,32.16
2014-03-10,32.89,33.01,32.51,32.76,135000,32.13
2014-03-07,33.19,33.42,32.70,32.84,121000,32.21
