Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,12.63,13.00,12.63,12.93,98200,12.93
2014-11-17,12.71,12.80,12.48,12.55,71600,12.55
2014-11-14,12.89,12.89,12.67,12.70,345300,12.70
2014-11-13,13.15,13.24,12.82,12.84,84100,12.84
2014-11-12,13.09,13.23,13.05,13.19,136500,13.19
2014-11-11,12.81,13.21,12.75,13.13,118200,13.13
2014-11-10,12.71,13.03,12.67,12.86,258800,12.86
2014-11-07,12.73,12.79,12.63,12.66,140700,12.66
2014-11-06,12.83,13.00,12.74,12.80,130100,12.80
2014-11-05,12.78,13.15,12.66,12.90,157000,12.90
2014-11-04,12.36,12.83,12.20,12.70,219200,12.70
2014-11-03,13.22,13.29,12.92,12.96,206800,12.96
2014-10-31,13.56,13.66,13.19,13.26,439900,13.26
2014-10-30,13.07,13.25,12.93,13.24,151800,13.24
2014-10-29,13.18,13.30,12.99,13.10,107500,13.10
2014-10-28,12.70,13.33,12.64,13.20,181800,13.20
2014-10-27,12.40,12.69,12.26,12.66,73700,12.66
2014-10-24,12.65,12.66,12.45,12.50,75700,12.50
2014-10-23,12.25,12.72,12.24,12.61,90200,12.61
2014-10-22,12.48,12.66,12.13,12.15,92400,12.15
2014-10-21,12.17,12.49,12.07,12.49,126700,12.49
2014-10-20,11.96,12.08,11.93,12.06,134400,12.06
2014-10-17,12.50,12.50,11.94,11.98,125800,11.98
2014-10-16,11.92,12.49,11.92,12.33,109100,12.33
2014-10-15,11.80,12.15,11.58,12.08,347500,12.08
2014-10-14,12.01,12.40,11.90,12.00,159800,12.00
2014-10-13,11.63,12.04,11.55,11.89,167900,11.89
2014-10-10,11.96,12.12,11.60,11.79,120400,11.79
2014-10-09,12.47,12.56,11.99,12.08,100600,12.08
2014-10-08,12.06,12.53,11.84,12.51,240100,12.51
2014-10-07,12.41,12.47,12.10,12.15,175900,12.15
2014-10-06,12.56,12.66,12.31,12.46,96900,12.46
2014-10-03,12.43,12.69,12.42,12.49,111000,12.49
2014-10-02,12.26,12.38,12.16,12.35,195900,12.35
2014-10-01,12.22,12.40,12.10,12.22,189300,12.22
2014-09-30,12.31,12.44,12.20,12.23,240900,12.23
2014-09-29,12.33,12.44,12.18,12.30,236700,12.30
2014-09-26,12.33,12.58,12.27,12.48,95700,12.48
2014-09-25,12.59,12.67,12.16,12.30,88900,12.30
2014-09-24,12.65,12.80,12.55,12.58,77700,12.58
2014-09-23,12.75,12.89,12.56,12.59,97500,12.59
2014-09-22,13.00,13.20,12.66,12.78,82900,12.78
2014-09-19,13.39,13.39,12.97,13.03,185900,13.03
2014-09-18,13.34,13.54,13.32,13.40,73600,13.40
2014-09-17,13.24,13.36,13.17,13.24,87000,13.24
2014-09-16,13.23,13.37,13.14,13.20,89800,13.20
2014-09-15,13.43,13.54,13.07,13.25,96400,13.25
2014-09-12,13.47,13.58,13.40,13.47,130500,13.47
2014-09-11,13.29,13.59,13.28,13.48,47700,13.48
2014-09-10,13.19,13.36,13.12,13.34,75700,13.34
2014-09-09,13.58,13.66,13.00,13.20,99200,13.20
2014-09-08,13.52,13.80,13.47,13.56,108300,13.56
2014-09-05,13.53,13.76,13.35,13.52,51600,13.52
2014-09-04,13.68,14.00,13.54,13.57,66100,13.57
2014-09-03,13.80,14.09,13.66,13.72,92600,13.72
2014-09-02,13.80,13.80,13.38,13.69,114300,13.69
2014-08-29,13.57,13.92,13.55,13.85,66000,13.85
2014-08-28,13.46,13.63,13.34,13.58,114100,13.58
2014-08-27,13.66,13.66,13.43,13.55,60300,13.55
2014-08-26,13.38,13.64,13.35,13.63,80300,13.63
2014-08-25,13.58,13.63,13.31,13.41,48000,13.41
2014-08-22,13.72,13.72,13.48,13.51,51900,13.51
2014-08-21,13.56,13.74,13.35,13.73,51900,13.73
2014-08-20,13.82,13.89,13.47,13.57,86400,13.57
2014-08-19,13.90,14.04,13.80,13.85,77100,13.85
2014-08-18,13.64,13.97,13.63,13.88,81200,13.88
2014-08-15,13.74,13.92,13.28,13.57,165700,13.57
2014-08-14,13.43,13.66,13.36,13.57,67200,13.57
2014-08-13,13.51,13.61,13.43,13.46,82100,13.46
2014-08-12,13.67,13.86,13.43,13.49,75500,13.49
2014-08-11,13.62,14.01,13.59,13.76,90000,13.76
2014-08-08,13.59,13.77,13.50,13.62,112800,13.62
2014-08-07,14.08,14.16,13.55,13.56,162700,13.56
2014-08-06,13.18,14.10,13.14,14.05,196000,14.05
2014-08-05,12.25,13.77,12.25,13.36,473400,13.36
2014-08-04,12.29,12.39,11.93,12.17,336300,12.17
2014-08-01,12.28,12.38,12.10,12.18,167400,12.18
2014-07-31,12.45,12.61,12.10,12.24,152900,12.24
2014-07-30,12.64,12.72,12.51,12.58,61200,12.58
2014-07-29,12.50,12.66,12.45,12.54,82600,12.54
2014-07-28,12.70,12.73,12.37,12.51,144900,12.51
2014-07-25,12.75,12.89,12.62,12.71,125300,12.71
2014-07-24,12.95,13.08,12.64,12.86,232300,12.86
2014-07-23,12.95,13.02,12.82,12.87,73900,12.87
2014-07-22,12.96,13.15,12.90,12.95,74300,12.95
2014-07-21,12.91,13.00,12.77,12.91,97400,12.91
2014-07-18,12.84,13.09,12.83,12.99,129200,12.99
2014-07-17,12.96,13.16,12.80,12.87,160600,12.87
2014-07-16,13.11,13.32,12.96,13.02,81500,13.02
2014-07-15,13.07,13.12,12.90,13.03,127600,13.03
2014-07-14,13.16,13.17,12.96,13.05,105700,13.05
2014-07-11,13.13,13.24,12.88,13.00,77800,13.00
2014-07-10,13.01,13.27,12.88,13.13,131000,13.13
2014-07-09,13.35,13.46,13.17,13.25,131700,13.25
2014-07-08,13.72,13.72,13.23,13.29,125300,13.29
2014-07-07,14.18,14.22,13.70,13.73,119100,13.73
2014-07-03,14.10,14.35,14.10,14.23,63600,14.23
2014-07-02,14.10,14.27,14.00,14.01,86000,14.01
2014-07-01,14.06,14.33,14.05,14.16,170400,14.16
2014-06-30,13.90,14.04,13.81,13.99,120600,13.99
2014-06-27,13.89,14.07,13.87,13.97,234500,13.97
2014-06-26,14.04,14.11,13.90,13.98,115200,13.98
2014-06-25,14.18,14.31,13.93,14.08,208300,14.08
2014-06-24,14.33,14.44,14.21,14.27,232700,14.27
2014-06-23,14.29,14.33,14.16,14.32,217600,14.32
2014-06-20,14.33,14.42,14.21,14.32,243200,14.32
2014-06-19,14.42,14.48,14.25,14.27,95000,14.27
2014-06-18,14.25,14.44,14.14,14.39,101000,14.39
2014-06-17,14.01,14.37,14.01,14.27,96500,14.27
2014-06-16,14.03,14.14,13.80,14.03,150300,14.03
2014-06-13,14.21,14.25,13.98,14.10,411800,14.10
2014-06-12,14.11,14.29,13.93,14.16,85800,14.16
2014-06-11,14.12,14.20,14.03,14.16,111700,14.16
2014-06-10,14.02,14.21,13.98,14.20,65100,14.20
2014-06-09,13.82,14.10,13.82,14.04,155800,14.04
2014-06-06,13.63,13.85,13.56,13.81,146700,13.81
2014-06-05,12.95,13.63,12.95,13.49,124800,13.49
2014-06-04,12.66,13.06,12.50,12.98,94600,12.98
2014-06-03,12.68,12.93,12.67,12.74,134600,12.74
2014-06-02,12.98,12.98,12.43,12.79,122300,12.79
2014-05-30,12.97,13.09,12.85,13.00,142300,13.00
2014-05-29,13.03,13.07,12.85,12.92,94100,12.92
2014-05-28,12.84,13.02,12.70,12.96,184900,12.96
2014-05-27,12.55,12.95,12.40,12.93,185800,12.93
2014-05-23,12.16,12.46,12.13,12.43,104200,12.43
2014-05-22,12.14,12.19,12.03,12.10,123600,12.10
2014-05-21,12.19,12.21,11.94,12.04,144300,12.04
2014-05-20,12.48,12.48,12.06,12.16,194500,12.16
2014-05-19,12.38,12.61,12.30,12.56,127800,12.56
2014-05-16,12.39,12.52,12.05,12.39,151600,12.39
2014-05-15,12.43,12.53,12.02,12.41,157400,12.41
2014-05-14,13.25,13.31,12.52,12.53,131200,12.53
2014-05-13,13.41,13.41,13.13,13.25,214000,13.25
2014-05-12,12.70,13.57,12.69,13.41,217100,13.41
2014-05-09,12.36,12.65,12.21,12.64,109300,12.64
2014-05-08,12.80,13.00,12.41,12.43,158100,12.43
2014-05-07,13.13,13.28,12.55,12.81,137000,12.81
2014-05-06,13.01,13.84,12.73,13.16,227800,13.16
2014-05-05,12.32,12.32,12.06,12.26,130000,12.26
2014-05-02,12.53,12.53,12.30,12.40,137800,12.40
2014-05-01,12.74,12.74,12.13,12.50,197400,12.50
2014-04-30,12.87,12.91,12.52,12.77,242600,12.77
2014-04-29,13.01,13.14,12.59,12.91,175900,12.91
2014-04-28,12.57,13.05,12.57,12.89,179600,12.89
2014-04-25,12.76,12.83,12.27,12.50,156200,12.50
2014-04-24,12.81,12.95,12.63,12.84,112800,12.84
2014-04-23,12.78,12.83,12.55,12.75,126300,12.75
2014-04-22,12.59,12.96,12.54,12.81,91800,12.81
2014-04-21,12.47,12.82,12.33,12.59,109800,12.59
2014-04-17,12.31,12.54,12.19,12.41,92400,12.41
2014-04-16,12.51,12.52,12.17,12.32,81600,12.32
