Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,12.88,13.09,12.62,12.70,16100,12.70
2014-11-17,13.19,13.19,12.80,12.86,8900,12.86
2014-11-14,13.16,13.27,13.15,13.19,11900,13.19
2014-11-13,13.60,13.64,13.19,13.19,16900,13.19
2014-11-12,13.76,13.76,13.58,13.69,2400,13.69
2014-11-11,13.79,13.96,13.57,13.60,9800,13.60
2014-11-10,13.70,13.94,13.67,13.67,7800,13.67
2014-11-07,13.82,13.95,13.72,13.79,7800,13.79
2014-11-06,13.74,13.99,13.66,13.96,6000,13.96
2014-11-05,13.75,13.99,13.51,13.51,16900,13.51
2014-11-04,13.47,13.98,13.33,13.35,10600,13.35
2014-11-03,13.40,13.49,13.25,13.41,14600,13.41
2014-10-31,13.00,13.49,13.00,13.30,11100,13.30
2014-10-30,13.52,13.52,12.85,12.85,10000,12.85
2014-10-29,13.55,13.74,13.50,13.56,6800,13.56
2014-10-28,13.35,13.88,13.35,13.48,4100,13.48
2014-10-27,13.39,13.49,13.25,13.35,17500,13.35
2014-10-24,13.50,13.60,13.45,13.52,11200,13.52
2014-10-23,13.65,13.65,13.41,13.55,8000,13.55
2014-10-22,13.95,13.95,13.11,13.26,29600,13.26
2014-10-21,13.74,13.81,13.67,13.75,5800,13.75
2014-10-20,13.86,13.86,13.76,13.76,3300,13.76
2014-10-17,13.62,14.09,13.62,14.00,10500,14.00
2014-10-16,13.07,13.63,13.07,13.62,2000,13.62
2014-10-15,13.26,13.49,13.22,13.22,48200,13.22
2014-10-14,13.50,13.76,13.27,13.30,10600,13.30
2014-10-13,13.73,13.73,13.50,13.50,5900,13.50
2014-10-10,13.86,13.95,13.60,13.95,30100,13.95
2014-10-09,13.75,13.95,13.75,13.81,3200,13.81
2014-10-08,13.98,13.98,13.57,13.84,13600,13.84
2014-10-07,14.06,14.18,14.00,14.03,1600,14.03
2014-10-06,14.03,14.20,14.01,14.08,5100,14.08
2014-10-03,14.02,14.24,14.01,14.13,10200,14.13
2014-10-02,13.80,14.24,13.80,14.10,13300,14.10
2014-10-01,14.20,14.27,13.77,13.80,12200,13.80
2014-09-30,14.18,14.32,13.95,14.32,25500,14.32
2014-09-29,13.96,14.40,13.90,14.15,13900,14.15
2014-09-26,14.09,14.31,14.03,14.04,4700,14.04
2014-09-25,14.39,14.45,14.10,14.26,2800,14.26
2014-09-24,13.96,14.45,13.86,14.42,9800,14.42
2014-09-23,14.00,14.10,13.86,14.05,2500,14.05
2014-09-22,13.80,14.15,13.75,13.80,32000,13.80
2014-09-19,14.25,14.30,13.83,13.83,10000,13.83
2014-09-18,13.96,14.24,13.96,14.24,4200,14.24
2014-09-17,14.10,14.13,13.75,14.00,11600,14.00
2014-09-16,14.07,14.17,13.95,14.17,12000,14.17
2014-09-15,14.07,14.13,13.90,13.97,8400,13.97
2014-09-12,13.96,14.10,13.95,14.00,8800,14.00
2014-09-11,14.11,14.15,13.85,13.85,16400,13.85
2014-09-10,13.85,14.15,13.85,14.03,15800,14.03
2014-09-09,13.72,13.94,13.70,13.87,11200,13.87
2014-09-08,13.69,13.90,13.29,13.67,4900,13.67
2014-09-05,13.41,13.70,13.25,13.68,17200,13.68
2014-09-04,13.77,13.94,13.08,13.28,32000,13.28
2014-09-03,14.12,14.12,13.92,13.92,8300,13.92
2014-09-02,13.91,14.14,13.91,14.00,10600,14.00
2014-08-29,14.15,14.15,13.75,13.91,8800,13.91
2014-08-28,13.84,14.01,13.84,14.00,6300,14.00
2014-08-27,13.99,13.99,13.83,13.86,7400,13.86
2014-08-26,14.00,14.00,13.85,13.98,3700,13.98
2014-08-25,14.02,14.02,13.88,13.90,11300,13.90
2014-08-22,14.00,14.09,13.87,13.87,7800,13.87
2014-08-21,14.15,14.15,14.00,14.01,9200,14.01
2014-08-20,14.47,14.47,14.15,14.15,8000,14.15
2014-08-19,14.62,14.75,14.00,14.31,22700,14.31
2014-08-18,14.77,14.78,14.60,14.68,15500,14.68
2014-08-15,14.27,14.71,14.27,14.56,27200,14.56
2014-08-14,13.72,14.48,13.72,14.24,50300,14.24
2014-08-13,13.93,13.94,13.78,13.81,5600,13.81
2014-08-12,13.61,13.80,13.54,13.80,11900,13.80
2014-08-11,13.69,13.80,13.55,13.65,6200,13.65
2014-08-08,13.64,13.65,13.35,13.65,12000,13.65
2014-08-07,13.25,13.70,13.20,13.55,65600,13.55
2014-08-06,13.11,13.11,12.71,12.82,20900,12.82
2014-08-05,13.02,13.41,13.02,13.14,10800,13.14
2014-08-04,13.37,13.49,12.97,13.17,24700,13.17
2014-08-01,13.23,13.57,13.04,13.19,10000,13.19
2014-07-31,13.19,13.50,13.05,13.25,11100,13.25
2014-07-30,13.10,13.32,12.96,13.20,9600,13.20
2014-07-29,13.00,13.36,12.99,13.20,16600,13.20
2014-07-28,13.04,13.06,12.85,13.00,11800,13.00
2014-07-25,13.01,13.02,12.94,12.94,1100,12.94
2014-07-24,13.10,13.10,12.73,13.05,6600,13.05
2014-07-23,13.26,13.26,12.97,13.10,8600,13.10
2014-07-22,13.02,13.47,13.00,13.35,11900,13.35
2014-07-21,12.98,13.12,12.90,13.03,8500,13.03
2014-07-18,13.00,13.15,12.95,13.05,11700,13.05
2014-07-17,13.20,13.20,12.96,13.15,11400,13.15
2014-07-16,13.17,13.18,12.88,13.16,2900,13.16
2014-07-15,13.25,13.32,13.14,13.20,1200,13.20
2014-07-14,13.30,13.30,12.97,13.15,7300,13.15
2014-07-11,13.21,13.27,13.03,13.15,12800,13.15
2014-07-10,12.70,13.17,12.70,13.10,12100,13.10
2014-07-09,12.80,13.13,12.71,13.10,7000,13.10
2014-07-08,12.85,12.85,12.50,12.70,9100,12.70
2014-07-07,13.10,13.10,12.92,13.03,2900,13.03
2014-07-03,13.29,13.29,12.96,13.11,1500,13.11
2014-07-02,12.91,13.22,12.91,13.13,10900,13.13
2014-07-01,13.00,13.01,12.75,12.85,7600,12.85
2014-06-30,13.20,13.24,13.00,13.00,9700,13.00
2014-06-27,13.55,13.65,13.12,13.30,11600,13.30
2014-06-26,13.45,13.71,13.11,13.47,5700,13.47
2014-06-25,13.67,13.80,13.18,13.32,25100,13.32
2014-06-24,13.61,13.95,13.61,13.64,19300,13.64
2014-06-23,13.68,13.80,13.65,13.75,10300,13.75
2014-06-20,13.59,13.80,13.32,13.50,16300,13.50
2014-06-19,13.13,13.77,13.13,13.49,16300,13.49
2014-06-18,12.62,13.25,12.43,13.05,20700,13.05
2014-06-17,12.42,12.70,12.36,12.56,12300,12.56
2014-06-16,12.22,12.46,12.22,12.34,19700,12.34
2014-06-13,12.20,12.25,11.91,12.15,8800,12.15
2014-06-12,12.19,12.20,12.10,12.10,5000,12.10
2014-06-11,12.14,12.19,11.92,12.18,7300,12.18
2014-06-10,12.15,12.20,11.92,12.20,3100,12.20
2014-06-09,11.92,12.20,11.88,12.10,7300,12.10
2014-06-06,12.14,12.15,11.81,11.97,35800,11.97
2014-06-05,12.09,12.14,11.93,12.14,33400,12.14
2014-06-04,12.06,12.15,12.06,12.15,3700,12.15
2014-06-03,12.03,12.15,12.03,12.15,3200,12.15
2014-06-02,12.19,12.20,12.03,12.15,5200,12.15
2014-05-30,12.11,12.18,12.10,12.17,8100,12.17
2014-05-29,12.05,12.17,11.68,12.10,12100,12.10
2014-05-28,12.06,12.20,11.72,12.05,14700,12.05
2014-05-27,12.05,12.19,12.05,12.13,6600,12.13
2014-05-23,11.96,12.16,11.96,12.00,1800,12.00
2014-05-22,11.90,12.02,11.90,11.91,16400,11.91
2014-05-21,12.07,12.08,12.00,12.01,1700,12.01
2014-05-20,11.91,12.13,11.91,12.00,6600,12.00
2014-05-19,12.01,12.20,11.90,11.91,23400,11.91
2014-05-16,11.98,12.11,11.96,12.06,16400,12.06
2014-05-15,12.10,12.11,11.97,12.08,5800,12.08
2014-05-14,12.15,12.23,11.86,11.90,24900,11.90
2014-05-13,12.35,12.35,12.16,12.18,7400,12.18
2014-05-12,12.30,12.46,12.06,12.36,30400,12.36
2014-05-09,12.18,12.45,12.18,12.27,5500,12.27
2014-05-08,12.43,12.49,12.30,12.46,8400,12.46
2014-05-07,12.26,12.50,12.19,12.37,25700,12.37
2014-05-06,12.60,12.60,11.99,12.30,22100,12.30
2014-05-05,12.24,12.89,12.24,12.57,41300,12.57
2014-05-02,12.03,12.21,12.03,12.14,13700,12.14
2014-05-01,12.01,12.18,11.93,12.01,14100,12.01
2014-04-30,12.00,12.10,11.93,12.01,13700,12.01
2014-04-29,12.00,12.18,11.96,12.06,16000,12.06
2014-04-28,10.18,12.13,10.18,12.02,14600,12.02
2014-04-25,12.00,12.23,11.95,12.07,36300,12.07
2014-04-24,12.23,12.23,12.00,12.08,23100,12.08
2014-04-23,12.25,12.25,12.07,12.07,23500,12.07
2014-04-22,12.29,12.36,12.15,12.29,23300,12.29
2014-04-21,12.07,12.42,12.01,12.36,11100,12.36
2014-04-17,12.30,12.39,12.16,12.32,21100,12.32
2014-04-16,12.20,12.44,12.20,12.35,13800,12.35
2014-04-15,12.01,12.29,12.01,12.20,7800,12.20
2014-04-14,12.55,12.57,12.07,12.18,15600,12.18
2014-04-11,12.39,12.58,12.35,12.35,7100,12.35
2014-04-10,12.53,12.54,12.16,12.40,4600,12.40
2014-04-09,12.30,12.64,12.10,12.47,34200,12.47
2014-04-08,12.39,12.60,12.10,12.22,14900,12.22
2014-04-07,12.42,12.53,12.05,12.20,18400,12.20
2014-04-04,12.80,12.80,12.44,12.66,31200,12.66
2014-04-03,12.95,12.95,12.79,12.79,16000,12.79
2014-04-02,12.81,12.98,12.72,12.84,16700,12.84
2014-04-01,12.66,12.98,12.66,12.82,15200,12.82
2014-03-31,12.90,12.90,12.10,12.73,31300,12.73
2014-03-28,12.72,12.89,12.70,12.89,6000,12.89
2014-03-27,12.79,12.88,12.65,12.72,36400,12.72
2014-03-26,12.90,12.95,12.72,12.72,7100,12.72
2014-03-25,12.98,12.99,12.05,12.64,22300,12.64
2014-03-24,13.00,13.01,12.85,12.86,9900,12.86
2014-03-21,12.80,13.19,12.80,13.00,21500,13.00
2014-03-20,13.00,13.19,12.95,13.00,32000,13.00
2014-03-19,13.00,13.31,12.85,13.00,40500,13.00
2014-03-18,12.85,13.24,12.65,13.04,39200,13.04
2014-03-17,13.75,13.75,12.45,12.94,103600,12.94
2014-03-14,13.55,13.95,13.55,13.90,12600,13.90
2014-03-13,13.45,13.73,13.25,13.73,11500,13.73
2014-03-12,14.59,14.59,12.81,13.65,44700,13.65
2014-03-11,14.58,14.95,14.58,14.95,7300,14.95
2014-03-10,15.15,15.15,14.86,14.97,7900,14.97
2014-03-07,15.25,15.25,15.05,15.15,16100,15.15
2014-03-06,15.47,15.49,15.18,15.35,7800,15.35
2014-03-05,15.48,15.48,15.11,15.31,17100,15.31
2014-03-04,14.98,15.36,14.92,15.27,15600,15.27
2014-03-03,14.59,14.95,14.50,14.95,14900,14.95
2014-02-28,15.09,15.16,14.85,14.85,9300,14.85
2014-02-27,15.09,15.15,14.68,15.06,8400,15.06
2014-02-26,15.05,15.15,14.73,14.89,11300,14.89
2014-02-25,15.00,15.25,14.90,14.90,44300,14.90
2014-02-24,14.45,15.25,14.30,15.03,88900,15.03
2014-02-21,14.30,14.45,14.01,14.45,16200,14.45
2014-02-20,13.98,14.35,13.98,14.19,43000,14.19
2014-02-19,13.98,14.10,13.98,13.98,11500,13.98
2014-02-18,14.04,14.34,13.98,14.01,25900,14.01
2014-02-14,13.38,14.65,13.38,13.98,31800,13.98
2014-02-13,13.38,13.40,13.15,13.20,12700,13.20
2014-02-12,13.20,13.71,13.20,13.45,31500,13.45
2014-02-11,12.88,13.24,12.80,13.05,21300,13.05
2014-02-10,12.83,12.90,12.61,12.74,9000,12.74
2014-02-07,12.55,13.49,12.32,12.75,12400,12.75
2014-02-06,12.17,12.53,12.10,12.28,10100,12.28
2014-02-05,12.04,12.40,11.82,12.22,17400,12.22
2014-02-04,11.51,12.08,11.51,12.00,24900,12.00
2014-02-03,12.25,12.25,11.58,11.59,28800,11.59
2014-01-31,11.85,12.25,11.85,12.25,15500,12.25
2014-01-30,12.03,12.28,11.87,12.05,5600,12.05
2014-01-29,12.05,12.27,11.79,12.05,13500,12.05
2014-01-28,11.55,12.11,11.55,12.11,8300,12.11
2014-01-27,12.03,12.28,11.21,11.64,40800,11.64
2014-01-24,12.58,12.58,12.25,12.44,8500,12.44
2014-01-23,12.84,12.86,12.25,12.53,13900,12.53
2014-01-22,12.91,13.00,12.68,12.86,10100,12.86
2014-01-21,13.14,13.35,12.66,13.00,15000,13.00
2014-01-17,13.33,13.60,13.10,13.26,8600,13.26
2014-01-16,13.60,13.63,13.25,13.34,11500,13.34
2014-01-15,13.31,13.60,13.31,13.52,3800,13.52
