Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,44.56,44.73,44.39,44.56,883000,44.56
2014-11-17,43.73,44.66,43.73,44.56,1332500,44.56
2014-11-14,43.85,44.11,43.65,43.75,1119400,43.75
2014-11-13,44.01,44.14,43.75,43.85,1051500,43.85
2014-11-12,44.01,44.04,43.56,43.87,1967100,43.87
2014-11-11,44.38,44.70,44.27,44.39,756200,44.39
2014-11-10,44.20,44.45,43.96,44.39,963200,44.39
2014-11-07,44.45,44.60,43.86,44.10,3183000,44.10
2014-11-06,45.04,45.20,44.48,44.69,1855700,44.69
2014-11-05,44.87,44.99,44.64,44.87,1033500,44.87
2014-11-04,44.37,44.75,44.29,44.46,1615800,44.46
2014-11-03,44.01,44.42,44.01,44.33,1637600,44.33
2014-10-31,44.51,44.52,44.06,44.17,1048900,44.17
2014-10-30,43.27,44.07,43.27,43.91,850600,43.91
2014-10-29,43.73,43.83,43.05,43.45,866900,43.45
2014-10-28,43.74,43.84,43.56,43.74,652900,43.74
2014-10-27,43.09,43.79,42.99,43.63,1007500,43.63
2014-10-24,43.00,43.20,42.85,43.17,659800,43.17
2014-10-23,43.16,43.23,42.92,42.97,572300,42.97
2014-10-22,43.00,43.19,42.88,42.92,1110500,42.92
2014-10-21,42.87,43.11,42.65,42.90,786200,42.90
2014-10-20,41.99,42.84,41.95,42.75,766400,42.75
2014-10-17,41.89,42.23,41.55,42.04,846400,42.04
2014-10-16,41.26,41.79,41.15,41.60,1129300,41.60
2014-10-15,41.93,42.19,41.32,41.96,1434700,41.96
2014-10-14,42.04,42.57,42.01,42.29,1129400,42.29
2014-10-13,42.03,42.41,41.91,41.94,911800,41.94
2014-10-10,42.02,42.47,41.80,42.19,1860300,42.19
2014-10-09,42.49,42.74,41.83,41.88,1184200,41.88
2014-10-08,42.00,42.66,41.92,42.63,1052800,42.63
2014-10-07,42.38,42.82,42.31,42.31,1258100,42.00
2014-10-06,42.60,42.65,42.16,42.55,733400,42.24
2014-10-03,42.18,42.50,42.05,42.45,860800,42.14
2014-10-02,42.22,42.45,41.92,42.10,1199800,41.79
2014-10-01,42.51,42.66,42.21,42.22,1301600,41.91
2014-09-30,42.74,42.95,42.50,42.73,920800,42.41
2014-09-29,42.41,42.85,42.41,42.85,864700,42.53
2014-09-26,42.43,42.65,42.21,42.62,682100,42.31
2014-09-25,42.76,42.92,42.31,42.38,719800,42.07
2014-09-24,42.51,43.20,42.51,42.97,956100,42.65
2014-09-23,42.78,42.88,42.55,42.58,800700,42.27
2014-09-22,43.11,43.19,42.68,42.79,911100,42.47
2014-09-19,43.59,43.64,43.03,43.06,1712900,42.74
2014-09-18,43.35,43.48,43.10,43.40,741000,43.08
2014-09-17,43.42,43.45,42.96,43.10,911200,42.78
2014-09-16,43.51,43.80,43.43,43.60,558000,43.28
2014-09-15,43.43,43.53,43.10,43.50,757700,43.18
2014-09-12,44.03,44.16,43.28,43.40,862800,43.08
2014-09-11,43.32,44.13,43.27,44.12,1169100,43.79
2014-09-10,43.27,43.61,43.01,43.42,844100,43.10
2014-09-09,43.31,43.33,42.92,43.22,1109200,42.90
2014-09-08,43.43,43.93,42.90,43.39,2180000,43.07
2014-09-05,44.29,44.54,44.05,44.54,888200,44.21
2014-09-04,44.48,44.68,44.14,44.25,625600,43.92
2014-09-03,44.69,44.77,44.44,44.47,680100,44.14
2014-09-02,44.75,45.12,44.43,44.64,743300,44.31
2014-08-29,44.78,44.84,44.54,44.82,719900,44.49
2014-08-28,44.49,44.78,44.45,44.77,756100,44.44
2014-08-27,44.42,44.61,44.38,44.60,550600,44.27
2014-08-26,44.22,44.58,44.22,44.45,517500,44.12
2014-08-25,44.22,44.30,43.91,44.27,1481100,43.94
2014-08-22,44.45,44.69,43.95,44.01,662200,43.69
2014-08-21,44.32,44.59,44.31,44.45,476700,44.12
2014-08-20,44.10,44.33,43.97,44.22,575200,43.89
2014-08-19,43.91,44.22,43.85,44.11,429700,43.78
2014-08-18,43.74,44.24,43.67,43.86,1037200,43.54
2014-08-15,43.78,43.96,43.18,43.47,850000,43.15
2014-08-14,43.57,43.89,43.53,43.72,653300,43.40
2014-08-13,43.25,43.46,43.13,43.37,491300,43.05
2014-08-12,43.05,43.20,42.96,43.12,445500,42.80
2014-08-11,42.67,43.30,42.67,43.16,979800,42.84
2014-08-08,42.23,42.70,42.09,42.67,665600,42.36
2014-08-07,42.38,42.48,42.00,42.14,815700,41.83
2014-08-06,41.72,42.51,41.66,42.20,1669300,41.89
2014-08-05,42.10,42.24,41.75,41.81,1112000,41.50
2014-08-04,42.01,42.26,41.86,42.23,620900,41.92
2014-08-01,41.52,42.08,41.39,41.96,1121200,41.65
2014-07-31,42.57,42.60,41.51,41.59,1480500,41.28
2014-07-30,43.30,43.44,42.73,42.79,1078300,42.47
2014-07-29,43.53,43.76,43.24,43.27,1053700,42.95
2014-07-28,43.56,43.81,43.25,43.46,845900,43.14
2014-07-25,43.47,43.68,43.45,43.50,972900,43.18
2014-07-24,43.85,43.98,43.40,43.53,1526400,43.21
2014-07-23,44.08,44.26,43.76,43.76,732400,43.44
2014-07-22,44.05,44.28,44.05,44.14,974600,43.81
2014-07-21,43.65,44.34,43.53,44.16,1643000,43.83
2014-07-18,43.87,43.96,43.48,43.95,3019900,43.63
2014-07-17,44.44,44.46,43.70,43.74,1545100,43.42
2014-07-16,44.14,44.75,43.92,44.56,2631500,44.23
2014-07-15,44.51,44.87,44.05,44.14,2055500,43.81
2014-07-14,45.44,45.57,45.16,45.27,571000,44.94
2014-07-11,45.30,45.48,45.15,45.29,692000,44.96
2014-07-10,44.93,45.33,44.88,45.27,577700,44.94
2014-07-09,45.52,45.63,45.26,45.30,740800,44.97
2014-07-08,45.72,46.00,45.36,45.42,1285900,45.09
2014-07-07,45.75,45.93,45.54,45.66,818100,45.32
2014-07-03,45.87,46.07,45.63,45.87,585800,45.53
2014-07-02,46.09,46.23,45.95,46.19,742600,45.54
2014-07-01,45.84,46.23,45.66,46.06,652700,45.41
2014-06-30,45.67,46.20,45.50,45.81,859400,45.17
2014-06-27,45.16,45.92,45.16,45.67,933900,45.03
2014-06-26,45.25,45.27,45.01,45.26,702900,44.62
