Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,15.12,15.12,15.02,15.06,15800,15.06
2014-11-17,15.00,15.14,14.94,15.05,38800,15.05
2014-11-14,15.12,15.12,14.85,14.98,19100,14.98
2014-11-13,15.04,15.24,14.96,15.24,36600,15.24
2014-11-12,14.71,15.38,14.71,15.13,17800,15.13
2014-11-11,14.97,15.02,14.67,14.67,34800,14.67
2014-11-10,14.90,15.14,14.86,14.86,32200,14.86
2014-11-07,14.86,15.17,14.69,14.80,28200,14.80
2014-11-06,14.34,14.86,14.27,14.83,26000,14.83
2014-11-05,13.98,14.33,13.87,14.31,13200,14.31
2014-11-04,13.72,13.97,13.62,13.81,15700,13.81
2014-11-03,14.00,14.08,13.69,13.69,14400,13.69
2014-10-31,13.93,14.16,13.84,13.87,20700,13.87
2014-10-30,13.59,13.88,13.59,13.81,9800,13.81
2014-10-29,13.60,13.83,13.50,13.55,28100,13.55
2014-10-28,13.32,13.71,13.31,13.67,22000,13.67
2014-10-27,13.25,13.47,13.22,13.27,22300,13.27
2014-10-24,13.38,13.47,13.19,13.19,45100,13.19
2014-10-23,13.36,13.41,13.22,13.28,18700,13.28
2014-10-22,13.59,13.64,13.17,13.25,10100,13.25
2014-10-21,13.38,13.68,13.30,13.61,21300,13.61
2014-10-20,13.19,13.26,13.03,13.26,34700,13.26
2014-10-17,13.11,13.33,13.10,13.32,42400,13.32
2014-10-16,12.91,13.08,12.65,13.04,29100,13.04
2014-10-15,13.07,13.20,12.71,13.20,31100,13.20
2014-10-14,13.33,13.61,13.11,13.21,21200,13.21
2014-10-13,13.83,13.83,12.45,13.50,35500,13.50
2014-10-10,14.00,14.06,13.74,13.76,14100,13.76
2014-10-09,14.29,14.40,14.05,14.06,10500,14.06
2014-10-08,13.96,14.28,13.92,14.28,21400,14.28
2014-10-07,13.95,14.05,13.92,14.05,17100,14.05
2014-10-06,13.89,14.05,13.86,14.00,18000,14.00
2014-10-03,13.57,13.86,13.50,13.81,18800,13.81
2014-10-02,13.80,13.80,13.24,13.53,77500,13.53
2014-10-01,13.83,13.87,13.51,13.87,48600,13.87
2014-09-30,14.23,14.23,13.74,13.81,18200,13.81
2014-09-29,14.05,14.14,14.04,14.07,12600,14.07
2014-09-26,14.05,14.16,13.95,14.11,6000,14.11
2014-09-25,14.13,14.13,13.89,14.08,12400,14.08
2014-09-24,13.93,14.32,13.80,14.22,20700,14.22
2014-09-23,14.18,14.23,13.92,13.93,38400,13.93
2014-09-22,14.54,14.54,14.22,14.30,16900,14.30
2014-09-19,14.67,14.78,14.41,14.76,28800,14.76
2014-09-18,14.35,14.68,14.31,14.65,29400,14.65
2014-09-17,14.40,14.48,14.21,14.33,8600,14.33
2014-09-16,14.21,14.57,14.15,14.41,24700,14.41
2014-09-15,13.95,14.15,13.81,14.11,23500,14.11
2014-09-12,13.90,14.01,13.88,13.95,62700,13.95
2014-09-11,13.93,13.97,13.88,13.90,34500,13.90
2014-09-10,14.00,14.03,13.94,13.99,53200,13.99
2014-09-09,13.88,14.40,13.85,14.14,29800,14.14
2014-09-08,13.94,13.98,13.79,13.94,58600,13.94
2014-09-05,14.12,14.12,13.82,13.96,132800,13.96
2014-09-04,14.21,14.44,14.09,14.20,17400,14.20
2014-09-03,14.13,14.32,14.13,14.16,20800,14.16
2014-09-02,14.10,14.18,14.04,14.12,7700,14.12
2014-08-29,14.05,14.15,13.95,14.03,49400,14.03
2014-08-28,14.37,14.41,14.04,14.06,12200,14.06
2014-08-27,14.59,14.65,14.41,14.44,16300,14.44
