Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,12.68,12.83,12.68,12.75,36500,12.75
2014-11-17,12.83,12.88,12.70,12.72,30400,12.72
2014-11-14,12.86,12.88,12.82,12.82,15200,12.82
2014-11-13,12.89,12.92,12.86,12.86,9400,12.86
2014-11-12,12.84,12.93,12.83,12.87,17900,12.87
2014-11-11,12.83,12.91,12.81,12.91,18900,12.91
2014-11-10,12.85,12.88,12.81,12.88,25700,12.88
2014-11-07,12.87,12.90,12.84,12.89,10000,12.89
2014-11-06,12.90,12.93,12.82,12.93,18600,12.93
2014-11-05,12.85,12.97,12.85,12.96,18200,12.96
2014-11-04,12.77,12.95,12.77,12.92,22300,12.92
2014-11-03,12.88,12.93,12.76,12.76,60300,12.76
2014-10-31,12.94,12.97,12.82,12.88,18800,12.88
2014-10-30,12.87,12.95,12.84,12.90,20800,12.90
2014-10-29,12.86,12.92,12.84,12.85,15900,12.85
2014-10-28,12.78,12.92,12.78,12.92,8800,12.92
2014-10-27,12.87,12.92,12.77,12.80,23300,12.80
2014-10-24,12.93,12.99,12.86,12.93,16800,12.93
2014-10-23,13.06,13.12,12.93,12.98,28300,12.98
2014-10-22,12.97,13.07,12.91,12.94,15700,12.94
2014-10-21,13.08,13.08,12.96,12.98,23500,12.92
2014-10-20,13.08,13.12,12.97,13.02,17800,12.96
2014-10-17,12.99,13.08,12.97,13.01,29400,12.95
2014-10-16,13.01,13.03,12.90,12.98,35200,12.92
2014-10-15,13.09,13.09,12.92,12.94,35600,12.88
2014-10-14,12.74,13.04,12.71,13.01,73000,12.95
2014-10-13,12.77,12.79,12.71,12.75,22100,12.69
2014-10-10,12.77,12.77,12.71,12.71,7500,12.65
2014-10-09,12.77,12.81,12.74,12.75,22000,12.69
2014-10-08,12.70,12.74,12.69,12.74,13500,12.68
2014-10-07,12.61,12.70,12.61,12.70,9700,12.64
2014-10-06,12.59,12.63,12.58,12.60,8600,12.54
2014-10-03,12.65,12.65,12.53,12.54,18300,12.48
2014-10-02,12.66,12.69,12.55,12.56,19200,12.50
2014-10-01,12.65,12.65,12.60,12.61,9600,12.55
2014-09-30,12.59,12.64,12.53,12.57,24700,12.51
2014-09-29,12.58,12.59,12.51,12.52,28400,12.46
2014-09-26,12.53,12.54,12.44,12.44,8800,12.38
2014-09-25,12.52,12.53,12.49,12.50,7900,12.44
2014-09-24,12.48,12.52,12.40,12.46,23500,12.40
2014-09-23,12.49,12.50,12.41,12.41,15500,12.35
2014-09-22,12.45,12.48,12.41,12.48,7100,12.42
2014-09-19,12.37,12.45,12.37,12.45,9300,12.39
2014-09-18,12.52,12.52,12.44,12.44,9500,12.32
2014-09-17,12.44,12.46,12.40,12.45,21300,12.33
2014-09-16,12.54,12.54,12.36,12.37,37300,12.25
2014-09-15,12.58,12.59,12.47,12.51,27700,12.39
