Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,21.10,21.10,20.91,20.92,24900,20.92
2014-11-17,21.44,21.48,21.39,21.40,11700,21.40
2014-11-14,22.12,22.21,22.06,22.21,23100,22.21
2014-11-13,21.57,21.99,21.51,21.82,41100,21.82
2014-11-12,21.44,21.52,21.42,21.46,7800,21.46
2014-11-11,21.51,21.58,21.42,21.45,20800,21.45
2014-11-10,21.59,21.68,21.49,21.49,19600,21.49
2014-11-07,20.51,20.51,20.41,20.46,2400,20.46
2014-11-06,20.64,20.73,20.62,20.69,3400,20.69
2014-11-05,20.55,20.63,20.55,20.62,9200,20.62
2014-11-04,21.31,21.39,21.31,21.33,4700,21.33
2014-11-03,21.24,21.27,21.13,21.13,11100,21.13
2014-10-31,21.43,21.43,21.30,21.33,9400,21.33
2014-10-30,21.41,21.52,21.41,21.44,20300,21.44
2014-10-29,20.21,20.22,20.04,20.04,6500,20.04
2014-10-28,20.24,20.34,20.23,20.31,10600,20.31
2014-10-27,19.70,19.70,19.57,19.68,5800,19.68
2014-10-24,19.95,19.98,19.85,19.95,2000,19.95
2014-10-23,19.97,20.05,19.95,19.97,6000,19.97
2014-10-22,20.10,20.16,20.01,20.02,6300,20.02
2014-10-21,20.04,20.16,20.03,20.10,12900,20.10
2014-10-20,19.93,19.95,19.90,19.92,7100,19.92
2014-10-17,19.82,19.99,19.70,19.92,52900,19.92
2014-10-16,19.46,19.70,19.46,19.67,10400,19.67
2014-10-15,19.77,19.85,19.53,19.85,13400,19.85
2014-10-14,19.68,19.75,19.63,19.70,9100,19.70
2014-10-13,19.87,19.87,19.65,19.72,11400,19.72
2014-10-10,20.20,20.20,20.01,20.05,6400,20.05
2014-10-09,20.46,20.46,20.24,20.35,17100,20.35
2014-10-08,20.15,20.33,20.09,20.31,10300,20.31
2014-10-07,20.13,20.13,19.96,19.99,10800,19.99
2014-10-06,19.77,19.80,19.71,19.71,5700,19.71
2014-10-03,19.56,19.61,19.53,19.56,4400,19.56
2014-10-02,19.42,19.42,19.23,19.32,16600,19.32
2014-10-01,19.58,19.58,19.42,19.48,8400,19.48
2014-09-30,19.63,19.66,19.59,19.66,5200,19.66
2014-09-29,19.75,19.78,19.69,19.71,5300,19.71
2014-09-26,19.75,19.82,19.65,19.75,5700,19.75
2014-09-25,19.97,19.97,19.76,19.79,3700,19.79
2014-09-24,19.98,20.01,19.89,20.00,7100,20.00
2014-09-23,19.35,19.44,19.31,19.34,18200,19.34
2014-09-22,19.62,19.62,19.46,19.46,5800,19.46
2014-09-19,19.87,19.89,19.72,19.73,7300,19.73
2014-09-18,19.99,20.02,19.96,19.96,5200,19.96
2014-09-17,19.97,20.00,19.81,19.86,21300,19.86
2014-09-16,19.83,20.04,19.80,19.99,18600,19.99
2014-09-15,20.05,20.05,19.75,19.76,36600,19.76
2014-09-12,20.25,20.25,19.95,20.04,23200,20.04
2014-09-11,20.31,20.45,20.31,20.41,25200,20.41
2014-09-10,20.26,20.29,20.16,20.29,7300,20.29
2014-09-09,20.74,20.74,20.59,20.62,2300,20.62
2014-09-08,20.72,20.74,20.64,20.69,6900,20.69
2014-09-05,20.60,20.66,20.56,20.62,5500,20.62
2014-09-04,20.91,20.94,20.82,20.87,13100,20.87
2014-09-03,20.28,20.81,20.28,20.67,17700,20.67
2014-09-02,20.00,20.16,19.98,20.08,26400,20.08
2014-08-29,20.10,20.20,20.09,20.18,20400,20.18
2014-08-28,20.22,20.29,20.12,20.25,23300,20.25
2014-08-27,20.59,20.61,20.52,20.57,8200,20.57
2014-08-26,20.40,20.50,20.40,20.43,6500,20.43
2014-08-25,20.61,20.61,20.50,20.51,16000,20.51
2014-08-22,20.84,20.89,20.71,20.74,17000,20.74
2014-08-21,21.67,21.89,20.23,21.52,22800,21.52
2014-08-20,21.71,21.82,21.67,21.73,15700,21.73
2014-08-19,21.84,21.99,21.84,21.97,15300,21.97
2014-08-18,21.69,21.75,21.60,21.69,15500,21.69
2014-08-15,21.79,21.81,21.64,21.77,10000,21.77
2014-08-14,21.96,21.96,21.76,21.79,22600,21.79
2014-08-13,22.24,22.39,22.22,22.33,17100,22.33
2014-08-12,22.06,22.23,21.54,22.21,54300,22.21
2014-08-11,22.91,23.10,22.87,23.10,47500,23.10
2014-08-08,22.73,22.74,22.43,22.48,41800,22.48
2014-08-07,22.59,22.61,22.19,22.26,30900,22.26
2014-08-06,22.76,22.76,22.61,22.65,47600,22.65
2014-08-05,21.77,21.80,21.28,21.74,52200,21.74
2014-08-04,20.53,20.60,20.45,20.51,18800,20.51
2014-08-01,20.05,20.11,19.97,20.00,15100,20.00
2014-07-31,20.10,20.15,20.02,20.06,13600,20.06
2014-07-30,20.18,20.18,19.96,19.99,16800,19.99
2014-07-29,19.93,20.00,19.80,19.80,15100,19.80
2014-07-28,19.90,20.00,19.90,19.97,20300,19.97
2014-07-25,19.59,19.68,19.54,19.57,20800,19.57
2014-07-24,19.61,20.00,19.48,19.92,98000,19.92
2014-07-23,19.09,19.11,19.05,19.08,8300,19.08
2014-07-22,18.94,19.00,18.83,18.89,14400,18.89
2014-07-21,18.64,18.70,18.62,18.62,14400,18.62
2014-07-18,19.00,19.13,19.00,19.03,9500,19.03
2014-07-17,18.88,18.93,18.68,18.71,17700,18.71
2014-07-16,19.11,19.16,19.03,19.04,15500,19.04
2014-07-15,19.17,19.20,18.88,18.88,67000,18.88
2014-07-14,18.80,18.82,18.75,18.78,6600,18.78
2014-07-11,18.55,18.63,18.55,18.62,10100,18.62
2014-07-10,18.55,18.57,18.45,18.57,8400,18.57
2014-07-09,18.56,18.63,18.56,18.62,9600,18.62
2014-07-08,18.82,18.82,18.70,18.75,8700,18.75
2014-07-07,18.90,18.98,18.88,18.88,14900,18.88
2014-07-03,19.00,19.05,18.96,19.01,7900,19.01
2014-07-02,19.27,19.33,19.24,19.29,12800,19.29
2014-07-01,18.69,18.81,18.69,18.78,13700,18.78
2014-06-30,18.66,18.74,18.62,18.62,12700,18.62
2014-06-27,18.33,18.40,18.31,18.35,7200,18.35
2014-06-26,18.37,18.50,18.34,18.35,17500,18.35
2014-06-25,18.30,18.37,18.30,18.37,24700,18.37
2014-06-24,18.14,18.18,18.05,18.09,8500,18.09
2014-06-23,18.08,18.20,18.05,18.16,15900,18.16
2014-06-20,18.18,18.23,18.05,18.05,53900,18.05
2014-06-19,18.18,18.25,18.14,18.23,18000,18.23
2014-06-18,18.27,18.31,18.21,18.30,17000,18.30
2014-06-17,18.35,18.38,18.29,18.34,14500,18.34
2014-06-16,18.44,18.46,18.41,18.42,10800,18.42
2014-06-13,18.35,18.44,18.33,18.39,15600,18.39
2014-06-12,18.35,18.40,18.18,18.18,50200,18.18
2014-06-11,18.50,18.56,18.50,18.54,14000,18.54
2014-06-10,18.79,18.79,18.65,18.79,15400,18.79
2014-06-09,18.38,18.62,18.37,18.62,24500,18.62
2014-06-06,18.51,18.58,18.50,18.58,13000,18.58
2014-06-05,18.47,18.63,18.40,18.63,16900,18.63
2014-06-04,18.50,18.64,18.44,18.61,21600,18.61
2014-06-03,18.50,19.10,18.50,19.03,50900,19.03
2014-06-02,18.44,18.52,18.32,18.51,24300,18.51
2014-05-30,19.00,19.08,18.93,19.08,32200,18.44
2014-05-29,18.71,18.77,18.68,18.73,15800,18.10
2014-05-28,18.68,18.76,18.62,18.76,28800,18.13
