Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,29.04,29.33,27.77,27.82,219200,27.82
2014-11-17,29.85,29.94,28.79,28.84,139600,28.84
2014-11-14,29.19,30.09,28.84,30.00,172000,30.00
2014-11-13,29.55,29.65,28.96,29.12,614000,29.12
2014-11-12,29.19,29.64,29.17,29.40,111800,29.40
2014-11-11,29.67,29.89,29.15,29.53,226200,29.53
2014-11-10,28.50,29.70,28.37,29.59,143600,29.59
2014-11-07,28.66,28.99,28.12,28.58,378000,28.58
2014-11-06,28.26,28.73,28.09,28.57,233000,28.57
2014-11-05,28.92,28.92,27.67,28.14,247600,28.14
2014-11-04,29.02,29.41,28.70,28.74,238100,28.74
2014-11-03,30.20,30.29,29.17,29.41,870600,29.41
2014-10-31,29.00,30.46,28.63,30.14,1518700,30.14
2014-10-30,29.00,29.58,27.58,28.63,587200,28.63
2014-10-29,28.04,28.19,27.17,28.09,360500,28.09
2014-10-28,26.00,28.18,26.00,28.01,185600,28.01
2014-10-27,26.10,26.61,25.85,26.28,70500,26.28
2014-10-24,26.31,26.44,25.80,26.20,96300,26.20
2014-10-23,26.08,26.98,25.80,26.28,181600,26.28
2014-10-22,26.07,26.61,25.64,25.77,214300,25.77
2014-10-21,25.11,26.16,24.80,26.06,146400,26.06
2014-10-20,24.96,26.03,24.36,24.88,155100,24.88
2014-10-17,24.38,25.26,23.90,25.01,189400,25.01
2014-10-16,22.32,24.53,22.32,24.10,292600,24.10
2014-10-15,23.82,23.83,22.15,22.71,297000,22.71
2014-10-14,23.80,24.83,23.03,24.13,293200,24.13
2014-10-13,23.88,24.55,22.97,23.54,353800,23.54
2014-10-10,24.48,25.74,23.87,24.00,562700,24.00
2014-10-09,26.87,27.41,21.42,24.01,1171000,24.01
2014-10-08,25.49,27.79,25.46,26.77,197200,26.77
2014-10-07,26.63,26.97,25.26,25.46,197300,25.46
2014-10-06,26.88,27.14,26.40,26.78,82200,26.78
2014-10-03,27.07,27.47,26.83,26.91,81200,26.91
2014-10-02,26.50,27.20,26.16,26.86,83800,26.86
2014-10-01,27.72,27.73,26.11,26.44,422100,26.44
2014-09-30,28.63,29.07,27.33,27.83,281100,27.83
2014-09-29,27.85,28.93,27.85,28.78,131300,28.78
2014-09-26,28.11,28.46,27.91,28.23,107900,28.23
2014-09-25,28.45,29.09,27.62,27.91,489000,27.91
2014-09-24,28.28,28.61,27.85,28.29,217400,28.29
2014-09-23,27.69,28.37,27.69,28.12,82000,28.12
2014-09-22,28.27,28.27,27.40,27.92,215500,27.92
2014-09-19,28.99,29.61,28.02,28.44,380700,28.44
2014-09-18,28.17,28.72,27.85,28.58,127400,28.58
2014-09-17,28.18,28.45,27.90,27.96,102700,27.96
2014-09-16,27.61,28.26,27.28,28.07,164300,28.07
2014-09-15,29.91,30.33,27.62,27.87,331500,27.87
2014-09-12,31.02,31.35,29.75,29.98,436000,29.98
2014-09-11,31.38,31.64,30.76,30.91,189700,30.91
2014-09-10,31.00,31.67,30.50,31.44,141800,31.44
2014-09-09,31.40,31.74,30.75,31.17,804700,31.17
2014-09-08,29.68,31.93,29.67,31.25,653100,31.25
2014-09-05,29.12,29.80,28.75,29.55,130200,29.55
2014-09-04,28.77,29.84,28.74,29.06,82300,29.06
2014-09-03,29.28,29.68,29.00,29.22,152200,29.22
2014-09-02,29.01,29.28,28.77,29.03,156600,29.03
2014-08-29,28.72,29.16,28.47,28.98,158800,28.98
2014-08-28,28.50,28.89,28.08,28.78,163200,28.78
2014-08-27,28.00,28.84,27.66,28.49,261500,28.49
2014-08-26,27.58,28.10,27.24,27.65,154700,27.65
2014-08-25,27.48,28.04,27.30,27.63,140000,27.63
2014-08-22,26.96,27.39,26.62,27.20,91300,27.20
2014-08-21,27.56,27.80,26.66,26.75,406500,26.75
2014-08-20,27.45,27.68,27.22,27.48,139000,27.48
2014-08-19,28.58,28.58,27.30,27.57,157700,27.57
2014-08-18,26.84,28.57,26.60,28.52,468100,28.52
2014-08-15,28.09,28.09,26.22,26.40,602700,26.40
2014-08-14,28.18,28.52,27.15,27.80,608700,27.80
2014-08-13,30.00,30.00,27.55,28.03,705500,28.03
2014-08-12,29.63,29.68,28.44,28.73,141000,28.73
2014-08-11,29.46,29.99,29.24,29.70,109400,29.70
2014-08-08,29.95,30.16,29.06,29.24,184900,29.24
2014-08-07,29.93,30.56,29.23,29.82,381700,29.82
2014-08-06,30.11,30.68,29.37,29.54,335400,29.54
2014-08-05,29.81,31.16,29.62,30.28,176300,30.28
2014-08-04,30.11,30.70,29.00,30.00,377900,30.00
2014-08-01,30.01,30.59,29.33,29.96,440500,29.96
2014-07-31,30.32,30.49,29.75,30.27,206100,30.27
2014-07-30,30.00,31.30,28.75,30.14,325600,30.14
