Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,20.40,20.49,20.39,20.41,4800,20.41
2014-11-17,20.49,20.49,20.37,20.39,12600,20.39
2014-11-14,20.58,20.58,20.50,20.50,18700,20.50
2014-11-13,20.44,20.55,20.44,20.55,8500,20.55
2014-11-12,20.41,20.52,20.41,20.49,9000,20.49
2014-11-11,20.50,20.55,20.44,20.51,13300,20.51
2014-11-10,20.50,20.58,20.50,20.52,5800,20.52
2014-11-07,20.46,20.52,20.46,20.52,7200,20.52
2014-11-06,20.45,20.48,20.44,20.47,11400,20.47
2014-11-05,20.45,20.48,20.45,20.46,5700,20.46
2014-11-04,20.52,20.52,20.45,20.46,10000,20.46
2014-11-03,20.56,20.58,20.55,20.56,11200,20.56
2014-10-31,20.47,20.52,20.46,20.52,6100,20.52
2014-10-30,20.50,20.56,20.47,20.47,19000,20.47
2014-10-29,20.56,20.60,20.52,20.52,16700,20.52
2014-10-28,20.73,20.73,20.55,20.63,5800,20.55
2014-10-27,20.68,20.69,20.55,20.55,6500,20.47
2014-10-24,20.62,20.67,20.57,20.59,8600,20.51
2014-10-23,20.80,20.80,20.65,20.65,14800,20.57
2014-10-22,20.56,20.64,20.56,20.62,10700,20.54
2014-10-21,20.51,20.76,20.51,20.57,8300,20.49
2014-10-20,20.44,20.50,20.44,20.50,7100,20.42
2014-10-17,20.40,20.47,20.38,20.44,8200,20.36
2014-10-16,20.16,20.42,20.16,20.42,10500,20.34
2014-10-15,20.28,20.32,20.08,20.15,33900,20.07
2014-10-14,20.28,20.44,20.28,20.31,18900,20.23
2014-10-13,20.23,20.37,20.23,20.28,8200,20.20
2014-10-10,20.24,20.35,20.24,20.33,9500,20.25
2014-10-09,20.31,20.36,20.25,20.30,16300,20.22
2014-10-08,20.30,20.38,20.26,20.31,13800,20.23
2014-10-07,20.32,20.38,20.32,20.33,13000,20.25
2014-10-06,20.36,20.42,20.32,20.34,11000,20.26
2014-10-03,20.32,20.42,20.32,20.37,20700,20.29
2014-10-02,20.29,20.44,20.29,20.34,24300,20.26
2014-10-01,20.41,20.41,20.31,20.32,17600,20.24
2014-09-30,20.35,20.44,20.30,20.39,22300,20.31
2014-09-29,20.29,20.35,20.27,20.32,28800,20.24
2014-09-26,20.35,20.41,20.31,20.38,21500,20.30
2014-09-25,20.33,20.43,20.33,20.42,5100,20.26
2014-09-24,20.36,20.46,20.36,20.42,10300,20.26
2014-09-23,20.42,20.43,20.37,20.41,9600,20.25
2014-09-22,20.31,20.48,20.31,20.38,26700,20.22
2014-09-19,20.39,20.47,20.32,20.40,8400,20.24
2014-09-18,20.41,20.47,20.40,20.47,10900,20.31
2014-09-17,20.42,20.46,20.38,20.46,43100,20.30
2014-09-16,20.32,20.47,20.32,20.40,15400,20.24
2014-09-15,20.46,20.56,20.30,20.30,31300,20.14
2014-09-12,20.61,20.66,20.48,20.54,38800,20.38
2014-09-11,20.61,20.65,20.60,20.61,22600,20.45
2014-09-10,20.62,20.62,20.55,20.61,34700,20.45
2014-09-09,20.61,20.64,20.54,20.60,9100,20.44
2014-09-08,20.66,20.69,20.63,20.68,39100,20.52
2014-09-05,20.60,20.66,20.60,20.66,21000,20.50
2014-09-04,20.60,20.66,20.60,20.61,21600,20.45
