Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,11.57,11.80,11.30,11.65,11800,11.65
2014-11-17,11.68,11.84,11.56,11.84,4600,11.84
2014-11-14,11.88,11.88,11.88,11.88,000,11.88
2014-11-13,11.88,11.88,11.88,11.88,000,11.88
2014-11-12,11.88,11.88,11.88,11.88,000,11.88
2014-11-11,11.88,11.88,11.88,11.88,000,11.88
2014-11-10,11.57,12.02,11.52,11.88,900,11.88
2014-11-07,11.50,12.00,11.50,11.99,2800,11.99
2014-11-06,11.48,11.50,11.42,11.50,5600,11.50
2014-11-05,12.02,12.02,12.02,12.02,000,12.02
2014-11-04,11.86,12.02,11.86,12.02,700,12.02
2014-11-03,11.26,12.17,11.26,11.86,3700,11.86
2014-10-31,11.25,11.70,11.04,11.65,9100,11.65
2014-10-30,11.76,11.76,10.91,11.07,6600,11.07
2014-10-29,12.24,12.25,12.24,12.25,400,12.25
2014-10-28,12.22,12.25,12.20,12.22,1500,12.22
2014-10-27,12.29,12.29,12.29,12.29,000,12.29
2014-10-24,12.29,12.29,12.29,12.29,1300,12.29
2014-10-23,11.72,12.35,11.72,12.11,700,12.11
2014-10-22,11.78,12.03,11.73,11.84,1200,11.84
2014-10-21,12.11,12.11,12.07,12.07,300,12.07
2014-10-20,11.76,12.13,11.70,12.13,2400,12.13
2014-10-17,11.98,12.15,11.58,11.90,4300,11.90
2014-10-16,11.55,11.98,11.55,11.98,400,11.98
2014-10-15,11.50,11.55,11.50,11.50,2100,11.50
2014-10-14,11.80,12.11,11.57,11.70,5200,11.70
2014-10-13,11.61,11.68,11.52,11.68,900,11.68
2014-10-10,11.58,11.87,11.52,11.54,7800,11.54
2014-10-09,12.05,12.59,11.51,11.87,8300,11.87
2014-10-08,12.11,12.25,12.11,12.25,3100,12.25
2014-10-07,12.08,12.43,12.08,12.30,1700,12.30
2014-10-06,12.23,12.23,12.23,12.23,100,12.23
2014-10-03,12.09,12.25,12.05,12.23,700,12.23
2014-10-02,12.15,12.25,12.15,12.25,2400,12.25
2014-10-01,12.19,12.19,12.05,12.15,500,12.15
2014-09-30,12.05,12.05,12.05,12.05,000,12.05
2014-09-29,12.34,12.34,12.05,12.05,3200,12.05
2014-09-26,12.10,12.10,12.10,12.10,000,12.10
2014-09-25,12.71,12.71,12.08,12.10,3300,12.10
2014-09-24,12.27,12.37,12.11,12.11,2800,12.11
2014-09-23,12.35,12.55,12.35,12.37,11800,12.37
2014-09-22,12.14,12.87,12.14,12.41,1600,12.41
2014-09-19,12.60,12.68,12.06,12.07,16000,12.07
2014-09-18,12.24,12.73,12.09,12.35,10900,12.35
2014-09-17,12.35,12.95,12.26,12.39,8000,12.39
2014-09-16,12.32,12.99,12.24,12.54,9300,12.54
