Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,0.97,0.98,0.93,0.97,636300,0.97
2014-11-17,0.97,0.99,0.94,0.96,560400,0.96
2014-11-14,0.91,0.98,0.91,0.96,747700,0.96
2014-11-13,0.97,1.00,0.90,0.90,777800,0.90
2014-11-12,1.00,1.02,0.98,0.98,476200,0.98
2014-11-11,1.02,1.06,0.98,0.99,1066500,0.99
2014-11-10,1.00,1.07,0.98,1.00,3164900,1.00
2014-11-07,0.82,0.96,0.82,0.93,2393400,0.93
2014-11-06,0.80,0.82,0.75,0.80,577400,0.80
2014-11-05,0.83,0.83,0.78,0.79,665500,0.79
2014-11-04,0.82,0.83,0.78,0.81,253700,0.81
2014-11-03,0.80,0.83,0.79,0.80,300400,0.80
2014-10-31,0.80,0.80,0.77,0.80,348400,0.80
2014-10-30,0.83,0.83,0.79,0.80,236700,0.80
2014-10-29,0.82,0.83,0.80,0.82,87400,0.82
2014-10-28,0.78,0.82,0.78,0.82,147100,0.82
2014-10-27,0.80,0.83,0.78,0.79,449400,0.79
2014-10-24,0.84,0.85,0.83,0.83,224200,0.83
2014-10-23,0.83,0.85,0.82,0.83,284400,0.83
2014-10-22,0.85,0.85,0.82,0.83,227000,0.83
2014-10-21,0.90,0.90,0.82,0.85,307900,0.85
2014-10-20,0.88,0.90,0.82,0.90,152200,0.90
2014-10-17,0.86,0.90,0.86,0.87,492700,0.87
2014-10-16,0.75,0.86,0.74,0.86,727400,0.86
2014-10-15,0.77,0.80,0.73,0.74,1156400,0.74
2014-10-14,0.79,0.81,0.78,0.78,439800,0.78
2014-10-13,0.78,0.81,0.78,0.79,547000,0.79
2014-10-10,0.81,0.82,0.79,0.79,611100,0.79
2014-10-09,0.90,0.90,0.81,0.81,472600,0.81
2014-10-08,0.84,0.88,0.83,0.88,680800,0.88
2014-10-07,0.84,0.86,0.80,0.83,1304100,0.83
2014-10-06,0.89,0.89,0.83,0.84,812500,0.84
2014-10-03,0.91,0.93,0.89,0.89,370200,0.89
2014-10-02,0.95,0.96,0.82,0.90,1044900,0.90
2014-10-01,1.03,1.03,0.93,0.94,1163900,0.94
2014-09-30,1.07,1.07,1.01,1.02,258100,1.02
2014-09-29,1.04,1.07,1.00,1.06,945100,1.06
2014-09-26,1.02,1.03,1.01,1.02,604100,1.02
2014-09-25,1.06,1.06,1.01,1.01,1328300,1.01
2014-09-24,1.07,1.07,1.05,1.06,441900,1.06
2014-09-23,1.06,1.08,1.05,1.06,701600,1.06
2014-09-22,1.11,1.11,1.06,1.06,860600,1.06
2014-09-19,1.13,1.14,1.09,1.11,805000,1.11
2014-09-18,1.09,1.14,1.08,1.12,839500,1.12
2014-09-17,1.07,1.10,1.05,1.08,438900,1.08
2014-09-16,1.11,1.11,1.06,1.07,432900,1.07
2014-09-15,1.15,1.15,1.10,1.10,320600,1.10
2014-09-12,1.11,1.14,1.11,1.14,362100,1.14
2014-09-11,1.14,1.14,1.11,1.11,361800,1.11
2014-09-10,1.09,1.15,1.09,1.13,976700,1.13
2014-09-09,1.10,1.11,1.08,1.10,634000,1.10
2014-09-08,1.09,1.11,1.08,1.10,421400,1.10
2014-09-05,1.09,1.10,1.08,1.09,287900,1.09
2014-09-04,1.08,1.11,1.07,1.09,786500,1.09
2014-09-03,1.08,1.08,1.06,1.07,524600,1.07
2014-09-02,1.07,1.10,1.07,1.07,457400,1.07
2014-08-29,1.06,1.09,1.06,1.07,417100,1.07
2014-08-28,1.07,1.09,1.06,1.06,551400,1.06
2014-08-27,1.09,1.09,1.07,1.09,400000,1.09
2014-08-26,1.07,1.10,1.07,1.07,411300,1.07
2014-08-25,1.07,1.10,1.05,1.07,639300,1.07
2014-08-22,1.09,1.09,1.07,1.07,580400,1.07
2014-08-21,1.12,1.12,1.06,1.08,909600,1.08
2014-08-20,1.12,1.13,1.11,1.11,559700,1.11
2014-08-19,1.11,1.15,1.11,1.12,680200,1.12
2014-08-18,1.14,1.16,1.13,1.13,652800,1.13
2014-08-15,1.15,1.15,1.12,1.14,389700,1.14
2014-08-14,1.14,1.18,1.14,1.14,1182400,1.14
2014-08-13,1.12,1.14,1.10,1.14,435300,1.14
2014-08-12,1.12,1.13,1.11,1.11,224900,1.11
2014-08-11,1.11,1.13,1.10,1.13,349100,1.13
2014-08-08,1.09,1.11,1.06,1.11,427700,1.11
2014-08-07,1.08,1.09,1.06,1.07,410800,1.07
