Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,15.10,15.29,15.09,15.21,855700,15.21
2014-11-17,14.92,15.10,14.92,15.07,623000,15.07
2014-11-14,14.91,15.09,14.89,14.92,635700,14.92
2014-11-13,14.92,14.98,14.84,14.86,671800,14.86
2014-11-12,14.94,14.97,14.83,14.95,571500,14.95
2014-11-11,14.99,14.99,14.89,14.91,446700,14.91
2014-11-10,15.00,15.04,14.85,15.00,823200,15.00
2014-11-07,14.68,15.03,14.65,15.00,1488400,15.00
2014-11-06,14.72,14.95,14.42,14.77,1569200,14.77
2014-11-05,14.88,14.97,14.85,14.97,912900,14.97
2014-11-04,15.10,15.13,14.79,14.90,894800,14.90
2014-11-03,15.02,15.14,15.02,15.10,712100,15.10
2014-10-31,15.06,15.09,14.95,15.02,765200,15.02
2014-10-30,14.90,15.06,14.83,15.01,587800,15.01
2014-10-29,15.05,15.10,14.71,14.86,1115600,14.86
2014-10-28,14.95,15.09,14.93,15.07,992100,15.07
2014-10-27,14.85,14.94,14.73,14.92,844000,14.92
2014-10-24,14.75,14.85,14.71,14.80,495000,14.80
2014-10-23,14.77,14.92,14.70,14.75,801700,14.75
2014-10-22,14.88,14.89,14.65,14.67,819700,14.67
2014-10-21,14.52,14.83,14.49,14.79,1212900,14.79
2014-10-20,14.12,14.47,14.12,14.45,1386800,14.45
2014-10-17,14.22,14.30,14.01,14.16,1200100,14.16
2014-10-16,14.04,14.25,14.00,14.10,1685800,14.10
2014-10-15,14.43,14.43,13.95,14.20,1777100,14.20
2014-10-14,14.37,14.54,14.31,14.43,1193900,14.43
2014-10-13,14.12,14.49,14.11,14.33,897300,14.33
2014-10-10,14.16,14.34,14.05,14.16,942900,14.16
2014-10-09,14.40,14.54,14.17,14.18,1433000,14.18
2014-10-08,14.18,14.39,14.02,14.39,1069400,14.39
2014-10-07,14.15,14.26,14.07,14.17,619600,14.17
2014-10-06,13.95,14.24,13.95,14.17,941700,14.17
2014-10-03,14.08,14.08,13.94,13.97,644200,13.97
2014-10-02,14.20,14.22,13.91,14.02,1265600,14.02
2014-10-01,14.08,14.34,14.05,14.23,1598000,14.23
2014-09-30,15.18,15.19,14.73,14.78,2539500,14.08
2014-09-29,15.16,15.17,15.06,15.17,1418400,14.45
2014-09-26,15.19,15.21,15.07,15.16,959100,14.44
2014-09-25,15.21,15.27,15.12,15.18,1189100,14.46
2014-09-24,15.16,15.30,15.15,15.19,2086900,14.47
2014-09-23,15.11,15.13,14.96,15.02,739800,14.31
2014-09-22,15.20,15.24,15.06,15.11,1070700,14.39
2014-09-19,15.05,15.19,15.04,15.18,1649800,14.46
2014-09-18,15.13,15.16,15.00,15.05,821100,14.34
2014-09-17,15.13,15.15,15.00,15.08,822500,14.37
2014-09-16,14.74,15.07,14.71,15.07,1379100,14.36
2014-09-15,14.85,14.89,14.66,14.72,1127500,14.02
2014-09-12,15.33,15.34,14.76,14.84,1894800,14.14
2014-09-11,15.10,15.30,15.10,15.30,890600,14.58
2014-09-10,15.15,15.24,15.08,15.09,988200,14.38
2014-09-09,15.15,15.22,15.10,15.13,520400,14.41
2014-09-08,15.15,15.19,15.09,15.14,473200,14.42
2014-09-05,15.05,15.18,15.05,15.12,461400,14.40
2014-09-04,15.17,15.24,15.02,15.05,1002800,14.34
2014-09-03,15.28,15.28,15.15,15.20,1057600,14.48
2014-09-02,15.23,15.30,15.21,15.23,965700,14.51
2014-08-29,15.19,15.23,15.15,15.20,785300,14.48
2014-08-28,15.14,15.21,15.07,15.14,610100,14.42
2014-08-27,15.12,15.20,15.09,15.16,602400,14.44
2014-08-26,15.10,15.12,15.04,15.09,506700,14.38
2014-08-25,15.06,15.15,15.02,15.06,529700,14.35
2014-08-22,15.09,15.10,14.94,14.97,622000,14.26
2014-08-21,14.91,15.10,14.90,15.04,881200,14.33
2014-08-20,14.91,14.94,14.86,14.92,351900,14.21
2014-08-19,14.93,14.98,14.87,14.90,686000,14.19
2014-08-18,14.79,14.95,14.79,14.90,854300,14.19
2014-08-15,14.70,14.85,14.64,14.71,1184400,14.01
2014-08-14,14.64,14.77,14.63,14.70,451900,14.00
2014-08-13,14.75,14.80,14.60,14.64,730500,13.95
2014-08-12,14.84,14.96,14.70,14.75,718000,14.05
2014-08-11,14.65,14.92,14.63,14.85,1261700,14.15
2014-08-08,14.40,14.65,14.35,14.59,773300,13.90
2014-08-07,14.20,14.51,14.14,14.35,1502700,13.67
2014-08-06,13.70,13.95,13.70,13.83,429000,13.17
2014-08-05,13.73,13.87,13.66,13.73,504700,13.08
2014-08-04,13.62,13.74,13.54,13.73,345000,13.08
2014-08-01,13.60,13.73,13.51,13.61,498000,12.97
2014-07-31,13.65,13.78,13.59,13.60,637100,12.96
2014-07-30,13.85,13.95,13.66,13.75,585500,13.10
2014-07-29,13.80,13.84,13.76,13.82,414700,13.17
2014-07-28,13.76,13.84,13.72,13.75,298300,13.10
2014-07-25,13.75,13.83,13.72,13.75,415100,13.10
2014-07-24,13.80,13.90,13.74,13.75,310000,13.10
2014-07-23,13.79,13.87,13.77,13.79,276900,13.14
2014-07-22,13.85,13.93,13.81,13.82,295000,13.17
2014-07-21,13.91,13.91,13.76,13.84,359400,13.18
2014-07-18,13.70,13.91,13.70,13.91,387700,13.25
2014-07-17,13.82,13.89,13.70,13.73,536900,13.08
2014-07-16,13.88,13.94,13.83,13.86,228600,13.20
2014-07-15,13.92,14.00,13.85,13.91,461700,13.25
2014-07-14,13.71,13.91,13.71,13.89,408100,13.23
2014-07-11,13.76,13.80,13.67,13.67,346700,13.02
2014-07-10,13.77,13.85,13.69,13.80,533900,13.15
2014-07-09,13.82,13.83,13.73,13.81,401700,13.16
2014-07-08,13.69,13.84,13.67,13.77,766100,13.12
2014-07-07,13.83,13.86,13.69,13.71,579600,13.06
2014-07-03,13.86,13.96,13.80,13.83,444000,13.17
2014-07-02,13.95,13.99,13.81,13.89,764000,13.23
2014-07-01,14.16,14.18,13.94,13.97,1187300,13.31
2014-06-30,14.20,14.23,14.10,14.17,597600,13.50
2014-06-27,14.20,14.27,14.10,14.19,773900,13.52
2014-06-26,14.11,14.26,14.05,14.23,1033900,13.56
2014-06-25,14.87,14.89,14.66,14.78,1470500,13.44
2014-06-24,15.02,15.07,14.87,14.87,1040500,13.52
2014-06-23,15.00,15.13,14.92,15.01,2046100,13.65
2014-06-20,14.80,14.98,14.67,14.97,1946800,13.61
2014-06-19,14.54,14.60,14.42,14.52,527700,13.21
2014-06-18,14.40,14.53,14.37,14.50,568600,13.19
2014-06-17,14.51,14.55,14.40,14.43,485200,13.12
2014-06-16,14.57,14.60,14.46,14.47,580100,13.16
2014-06-13,14.52,14.64,14.43,14.59,632900,13.27
2014-06-12,14.60,14.62,14.45,14.47,487500,13.16
2014-06-11,14.69,14.70,14.50,14.63,365900,13.31
2014-06-10,14.75,14.80,14.67,14.72,662200,13.39
2014-06-09,14.56,14.75,14.53,14.74,884600,13.41
2014-06-06,14.40,14.65,14.37,14.54,861800,13.22
2014-06-05,14.27,14.42,14.26,14.37,504500,13.07
2014-06-04,14.32,14.35,14.21,14.30,436500,13.01
2014-06-03,14.41,14.43,14.23,14.34,895100,13.04
2014-06-02,14.45,14.48,14.31,14.45,549100,13.14
2014-05-30,14.13,14.43,14.13,14.42,835900,13.11
2014-05-29,14.15,14.17,14.10,14.13,442600,12.85
2014-05-28,14.21,14.21,14.07,14.15,701100,12.87
2014-05-27,14.16,14.30,14.14,14.21,515200,12.92
2014-05-23,13.96,14.13,13.94,14.10,722000,12.82
2014-05-22,13.75,13.92,13.75,13.86,503500,12.61
2014-05-21,13.68,13.78,13.67,13.74,468800,12.50
2014-05-20,13.81,13.85,13.64,13.68,712100,12.44
2014-05-19,13.62,13.81,13.60,13.81,493200,12.56
2014-05-16,13.56,13.64,13.50,13.60,584600,12.37
2014-05-15,13.70,13.79,13.53,13.58,840800,12.35
2014-05-14,13.80,13.82,13.71,13.74,580700,12.50
2014-05-13,13.80,13.96,13.75,13.76,551500,12.51
2014-05-12,13.65,13.95,13.65,13.84,795000,12.59
2014-05-09,13.64,13.80,13.62,13.66,795200,12.42
2014-05-08,14.16,14.19,13.58,13.70,3097700,12.46
2014-05-07,14.60,14.67,14.47,14.67,1043400,13.34
2014-05-06,14.65,14.69,14.60,14.60,510400,13.28
2014-05-05,14.80,14.80,14.57,14.69,873100,13.36
2014-05-02,14.63,14.82,14.60,14.81,1136300,13.47
2014-05-01,14.71,14.75,14.58,14.70,1005000,13.37
2014-04-30,14.66,14.81,14.55,14.77,2224900,13.43
2014-04-29,14.65,14.65,14.45,14.64,1513600,13.31
