Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,69.44,70.00,69.41,69.60,1038900,69.60
2014-11-17,69.62,69.92,69.05,69.60,1264500,69.60
2014-11-14,68.68,70.21,68.50,69.78,1472900,69.78
2014-11-13,68.94,69.38,67.90,68.39,909000,68.39
2014-11-12,67.04,69.28,67.03,68.77,1570900,68.77
2014-11-11,66.78,67.75,66.78,67.32,861200,67.32
2014-11-10,65.91,66.96,65.80,66.66,1191000,66.66
2014-11-07,65.79,66.27,65.25,65.88,1384900,65.88
2014-11-06,64.82,66.03,64.73,65.93,1352700,65.93
2014-11-05,64.72,65.02,64.17,64.73,438500,64.73
2014-11-04,64.94,65.11,64.20,64.33,713500,64.33
2014-11-03,64.97,65.33,64.69,64.96,771000,64.96
2014-10-31,65.13,65.46,64.73,65.03,633800,65.03
2014-10-30,63.67,64.61,62.35,64.28,619100,64.28
2014-10-29,64.38,64.68,63.10,63.64,1111800,63.64
2014-10-28,64.55,64.55,64.07,64.16,1590700,64.16
2014-10-27,64.15,64.76,63.92,64.47,1351400,64.47
2014-10-24,65.13,65.30,64.20,64.38,1087400,64.38
2014-10-23,65.57,65.76,64.88,65.19,2568400,65.19
2014-10-22,65.65,65.91,65.30,65.40,1595500,65.07
2014-10-21,64.45,65.74,64.28,65.44,1998300,65.11
2014-10-20,63.21,64.37,63.21,63.95,2035300,63.63
2014-10-17,63.73,63.83,62.98,63.23,833200,62.91
2014-10-16,62.78,63.64,62.71,63.02,1570100,62.70
2014-10-15,63.33,64.35,62.38,63.71,936700,63.39
2014-10-14,63.72,64.58,63.53,64.13,605800,63.81
2014-10-13,65.35,65.45,63.50,63.61,751500,63.29
2014-10-10,66.02,66.47,65.38,65.39,577900,65.06
2014-10-09,66.38,66.90,66.05,66.08,1208200,65.75
2014-10-08,66.10,66.49,65.53,66.38,714600,66.05
2014-10-07,66.35,66.79,65.86,65.89,844700,65.56
2014-10-06,67.19,67.44,66.47,66.54,681200,66.20
2014-10-03,66.98,67.26,66.39,67.04,782700,66.70
2014-10-02,65.55,66.60,65.39,66.36,746700,66.03
2014-10-01,66.37,66.49,65.29,65.55,1078300,65.22
2014-09-30,66.82,67.08,66.31,66.57,769400,66.23
2014-09-29,66.82,67.24,66.64,66.94,773100,66.60
2014-09-26,67.18,67.44,66.88,67.23,533600,66.89
2014-09-25,67.75,68.00,66.53,66.80,716800,66.46
2014-09-24,67.23,68.14,67.22,68.01,723500,67.67
2014-09-23,67.25,67.66,66.92,66.92,987400,66.58
2014-09-22,68.25,68.40,67.25,67.57,1034900,67.23
2014-09-19,69.00,69.02,67.65,68.24,1875700,67.90
2014-09-18,68.36,69.56,68.01,68.92,1643500,68.57
2014-09-17,67.81,68.40,67.56,68.30,1216200,67.96
2014-09-16,67.15,68.09,67.08,67.74,1232400,67.40
2014-09-15,66.91,67.97,66.88,67.29,1647800,66.95
2014-09-12,66.17,67.32,66.02,67.15,1830500,66.81
