Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,6.47,6.51,6.45,6.50,10600,6.50
2014-11-17,6.35,6.41,6.35,6.41,5400,6.41
2014-11-14,6.40,6.40,6.40,6.40,600,6.40
2014-11-13,6.50,6.54,6.44,6.50,14300,6.50
2014-11-12,6.44,6.50,6.44,6.50,5600,6.50
2014-11-11,6.28,6.50,6.28,6.50,2500,6.50
2014-11-10,6.15,6.37,6.15,6.37,1900,6.37
2014-11-07,6.36,6.40,6.09,6.30,16100,6.30
2014-11-06,6.35,6.35,6.35,6.35,400,6.35
2014-11-05,6.39,6.39,6.39,6.39,000,6.39
2014-11-04,6.50,6.60,6.39,6.39,8200,6.39
2014-11-03,6.34,6.45,6.34,6.45,3100,6.45
2014-10-31,6.49,6.49,6.33,6.33,2000,6.33
2014-10-30,6.49,6.49,6.44,6.44,600,6.44
2014-10-29,6.36,6.36,6.36,6.36,100,6.36
2014-10-28,6.66,6.66,6.34,6.52,1300,6.52
2014-10-27,6.37,6.40,6.33,6.38,8200,6.38
2014-10-24,6.32,6.32,6.32,6.32,500,6.32
2014-10-23,6.40,6.40,6.40,6.40,000,6.40
2014-10-22,6.45,6.45,6.40,6.40,1900,6.40
2014-10-21,6.30,6.43,6.30,6.32,1900,6.32
2014-10-20,6.30,6.42,6.29,6.31,2400,6.31
2014-10-17,6.33,6.65,6.31,6.31,1400,6.31
2014-10-16,6.39,6.54,6.39,6.51,2100,6.51
2014-10-15,6.31,6.37,6.28,6.37,1400,6.37
2014-10-14,6.31,6.40,6.28,6.39,2100,6.39
2014-10-13,6.40,6.40,6.40,6.40,000,6.40
2014-10-10,6.42,6.42,6.40,6.40,3400,6.40
2014-10-09,6.39,6.39,6.39,6.39,000,6.39
2014-10-08,6.39,6.39,6.39,6.39,500,6.39
2014-10-07,6.49,6.49,6.40,6.40,10300,6.40
2014-10-06,6.41,6.49,6.37,6.39,2200,6.39
2014-10-03,6.34,6.35,6.34,6.35,13400,6.35
2014-10-02,6.50,6.50,6.28,6.50,42900,6.50
2014-10-01,6.44,6.65,6.40,6.65,80300,6.65
2014-09-30,6.33,6.33,6.33,6.33,500,6.33
2014-09-29,6.40,6.40,6.40,6.40,14400,6.40
2014-09-26,6.40,6.40,6.40,6.40,900,6.40
2014-09-25,6.40,6.44,6.40,6.44,900,6.44
2014-09-24,6.40,6.40,6.40,6.40,000,6.40
2014-09-23,6.29,6.40,6.29,6.40,900,6.40
2014-09-22,6.29,6.40,6.27,6.40,76700,6.40
2014-09-19,6.32,6.45,6.32,6.45,7700,6.45
2014-09-18,6.39,6.40,6.39,6.40,18000,6.40
2014-09-17,6.26,6.41,6.26,6.40,3100,6.40
2014-09-16,6.30,6.41,6.30,6.40,8400,6.40
2014-09-15,6.40,6.41,6.38,6.40,6200,6.40
2014-09-12,6.26,6.40,6.26,6.40,17700,6.40
2014-09-11,6.27,6.40,6.27,6.40,1400,6.40
2014-09-10,6.26,6.39,6.25,6.31,2600,6.31
2014-09-09,6.44,6.44,6.39,6.40,7400,6.40
2014-09-08,6.44,6.45,6.39,6.44,3500,6.44
2014-09-05,6.45,6.45,6.39,6.39,3100,6.39
2014-09-04,6.44,6.45,6.40,6.40,1800,6.40
2014-09-03,6.49,6.49,6.39,6.44,4000,6.44
2014-09-02,6.42,6.42,6.34,6.34,4700,6.34
2014-08-29,6.41,6.49,6.37,6.49,1600,6.49
2014-08-28,6.32,6.48,6.30,6.48,33500,6.48
2014-08-27,6.48,6.48,6.34,6.34,700,6.34
2014-08-26,6.32,6.42,6.32,6.39,4100,6.39
2014-08-25,6.46,6.50,6.45,6.49,9500,6.49
2014-08-22,6.49,6.50,6.45,6.45,5700,6.45
2014-08-21,6.40,6.48,6.35,6.46,6400,6.46
2014-08-20,6.55,6.55,6.31,6.40,3400,6.40
2014-08-19,6.50,6.58,6.30,6.54,24700,6.54
2014-08-18,6.55,6.55,6.28,6.50,1400,6.50
2014-08-15,6.50,6.50,6.31,6.32,3900,6.32
2014-08-14,6.57,6.59,6.38,6.38,6900,6.38
2014-08-13,6.39,6.70,6.36,6.49,4500,6.49
2014-08-12,6.11,6.40,6.11,6.31,2200,6.31
2014-08-11,6.50,6.60,6.32,6.60,29500,6.60
2014-08-08,6.42,6.49,6.42,6.48,8900,6.48
2014-08-07,6.40,6.40,6.31,6.35,6600,6.35
2014-08-06,6.59,6.59,6.59,6.59,1100,6.59
2014-08-05,6.51,6.51,6.51,6.51,000,6.51
2014-08-04,6.50,6.52,6.40,6.51,20600,6.51
2014-08-01,6.50,6.50,6.30,6.40,24100,6.40
2014-07-31,6.58,6.58,6.49,6.49,21800,6.49
2014-07-30,6.51,6.66,6.51,6.60,3000,6.60
