Date,Open,High,Low,Close,Volume,Adj Close
2014-07-07,7.05,7.05,7.05,7.05,000,7.05
2014-07-03,7.04,7.07,7.02,7.05,1171000,7.05
2014-07-02,6.95,7.06,6.95,7.04,1101600,7.04
2014-07-01,6.99,7.05,6.90,6.94,2105200,6.94
2014-06-30,6.88,7.01,6.88,7.01,888300,7.01
2014-06-27,6.90,6.94,6.86,6.88,879400,6.88
2014-06-26,6.90,6.96,6.86,6.89,657300,6.89
2014-06-25,6.98,6.98,6.84,6.87,3183900,6.87
2014-06-24,7.00,7.03,6.92,6.96,1857500,6.96
2014-06-23,7.06,7.06,6.97,7.00,1133800,7.00
2014-06-20,7.07,7.09,7.05,7.08,589700,7.08
2014-06-19,7.04,7.08,7.03,7.05,932900,7.05
2014-06-18,7.08,7.09,7.04,7.06,748500,7.06
2014-06-17,6.96,7.08,6.96,7.08,952200,7.08
2014-06-16,7.00,7.03,6.90,6.95,3683600,6.95
2014-06-13,7.08,7.09,6.92,6.97,7298600,6.97
2014-06-12,7.09,7.09,7.08,7.08,152600,7.08
2014-06-11,7.08,7.09,7.08,7.08,168800,7.08
2014-06-10,7.08,7.10,7.08,7.09,1370400,7.09
2014-06-09,7.09,7.09,7.08,7.08,448700,7.08
2014-06-06,7.07,7.09,7.06,7.09,1013900,7.09
2014-06-05,7.06,7.07,7.05,7.06,2104200,7.06
2014-06-04,7.06,7.07,7.05,7.06,110600,7.06
2014-06-03,7.06,7.07,7.06,7.07,219800,7.07
2014-06-02,7.06,7.08,7.04,7.07,430300,7.07
2014-05-30,7.04,7.07,7.04,7.06,189000,7.06
2014-05-29,7.05,7.05,7.04,7.05,96300,7.05
2014-05-28,7.04,7.05,7.04,7.04,222600,7.04
2014-05-27,7.04,7.05,7.04,7.05,506100,7.05
2014-05-23,7.03,7.04,7.03,7.04,116900,7.04
2014-05-22,7.04,7.04,7.03,7.04,213200,7.04
2014-05-21,7.02,7.04,7.02,7.04,204000,7.04
2014-05-20,7.03,7.03,7.02,7.03,354200,7.03
2014-05-19,7.03,7.03,7.01,7.03,557100,7.03
2014-05-16,7.01,7.03,7.01,7.02,285300,7.02
2014-05-15,7.02,7.03,7.01,7.02,330100,7.02
2014-05-14,7.01,7.04,7.01,7.02,333100,7.02
2014-05-13,7.02,7.02,7.01,7.02,477500,7.02
2014-05-12,7.01,7.04,7.00,7.02,861700,7.02
2014-05-09,7.01,7.02,7.01,7.01,160400,7.01
2014-05-08,7.01,7.02,7.01,7.02,703100,7.02
2014-05-07,7.01,7.03,7.01,7.03,296300,7.03
2014-05-06,7.01,7.02,7.00,7.02,358500,7.02
2014-05-05,7.00,7.01,6.99,7.01,224100,7.01
2014-05-02,6.99,7.01,6.99,7.01,362900,7.01
2014-05-01,6.99,7.00,6.98,7.00,274900,7.00
2014-04-30,6.99,6.99,6.98,6.99,298500,6.99
2014-04-29,6.98,6.99,6.97,6.99,475600,6.99
2014-04-28,6.97,6.98,6.96,6.98,492900,6.98
2014-04-25,6.97,6.98,6.96,6.97,198700,6.97
2014-04-24,6.96,6.98,6.96,6.98,393300,6.98
2014-04-23,6.97,6.98,6.96,6.97,376800,6.97
2014-04-22,6.96,6.97,6.95,6.97,420400,6.97
2014-04-21,6.94,6.98,6.94,6.96,1008900,6.96
2014-04-17,6.95,6.97,6.95,6.97,422500,6.97
2014-04-16,6.95,6.97,6.95,6.96,217300,6.96
2014-04-15,6.96,6.98,6.95,6.96,365900,6.96
2014-04-14,6.99,6.99,6.95,6.96,389300,6.96
2014-04-11,6.95,7.01,6.95,7.00,1848300,7.00
2014-04-10,6.97,6.97,6.95,6.97,4581000,6.97
2014-04-09,6.96,6.99,6.95,6.96,3410100,6.96
2014-04-08,6.82,6.83,6.80,6.81,777400,6.81
2014-04-07,6.83,6.83,6.81,6.83,417000,6.83
2014-04-04,6.82,6.83,6.81,6.82,556000,6.82
2014-04-03,6.82,6.84,6.81,6.83,425800,6.83
2014-04-02,6.82,6.84,6.81,6.81,565500,6.81
2014-04-01,6.82,6.83,6.80,6.81,414400,6.81
2014-03-31,6.80,6.83,6.79,6.81,1799000,6.81
2014-03-28,6.79,6.85,6.79,6.80,1135800,6.80
2014-03-27,6.75,6.82,6.75,6.81,2648700,6.81
2014-03-26,6.76,6.86,6.72,6.80,6716200,6.80
2014-03-25,6.00,6.01,5.98,6.00,419500,6.00
2014-03-24,6.04,6.05,5.95,6.00,617900,6.00
2014-03-21,6.03,6.05,6.00,6.02,650300,6.02
2014-03-20,6.00,6.09,5.96,6.05,938300,6.05
2014-03-19,5.73,6.03,5.73,5.97,1475400,5.97
2014-03-18,5.78,6.04,5.70,5.75,2543400,5.75
2014-03-17,6.12,6.13,5.62,5.74,1965100,5.74
2014-03-14,5.50,5.72,5.50,5.64,1213800,5.64
2014-03-13,5.33,5.51,5.32,5.47,883300,5.47
2014-03-12,5.45,5.46,5.30,5.35,790700,5.35
2014-03-11,5.55,5.65,5.37,5.47,535300,5.47
2014-03-10,5.30,5.61,5.25,5.56,1452500,5.56
2014-03-07,5.70,5.70,5.17,5.31,5739500,5.31
2014-03-06,5.98,5.98,5.62,5.62,1400700,5.62
