,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,33.72,34.08,33.65,33.75,1306000,33.75,2103954.0,30.8516666667,32.325,30.1796,30.3839333333,35.4100121556,32.325,29.2399878444,1.13555749286,1.10987274663,0.0256847462296,74.6488020804,71.8722888609,77.7326756756
1,2014-11-17,33.15,33.71,33.13,33.68,1164300,33.68,2105662.0,30.6513333333,32.0955,30.106,30.3563333333,35.3976112943,32.0955,28.7933887057,1.15764823725,1.10345156007,0.0541966771777,74.2072011076,75.7202736277,83.3441927695
2,2014-11-14,33.19,33.5,33.11,33.37,1234800,33.37,2128828.0,30.469,31.8515,30.0346,30.3256666667,35.3637259324,31.8515,28.3392740676,1.176132813,1.08990239078,0.0862304222253,72.2170361264,78.1327916652,88.5095981135
3,2014-11-13,33.56,33.9,33.15,33.21,1548900,33.21,2145008.0,30.303,31.615,29.9756,30.2962,35.3181851155,31.615,27.9118148845,1.21418210332,1.06834478522,0.145837318099,71.1501762603,85.2053485485,92.7880123296
4,2014-11-12,33.52,33.69,33.4,33.57,1275200,33.57,2172216.0,30.1336666667,31.3695,29.9172,30.2662666667,35.2632820946,31.3695,27.4757179054,1.26137691237,1.0318854557,0.229491456672,77.3563294717,94.3183572365,94.8253274961
5,2014-11-11,33.67,33.77,33.43,33.64,1405100,33.64,2159838.0,29.9606666667,31.0575,29.857,30.2350666667,35.1887510212,31.0575,26.9262489788,1.26661280447,0.974512591529,0.292100212936,78.5941207787,96.381895004,94.338317267
6,2014-11-10,33.55,33.7,33.42,33.6,1237400,33.6,2148598.0,29.789,30.7295,29.7988,30.2078666667,35.026840922,30.7295,26.432159078,1.24774497504,0.901487538295,0.346257436744,78.4108197109,95.2464485296,92.563929657
7,2014-11-07,33.66,33.72,33.38,33.52,1590600,33.52,2141398.0,29.6383333333,30.377,29.7404,30.1775333333,34.8284945805,30.377,25.9255054195,1.20958647312,0.814923179109,0.394663294007,78.0619402101,93.3546092143,91.3949265341
8,2014-11-06,32.9,33.68,32.9,33.66,2708300,33.66,2120628.0,29.5023333333,30.073,29.6764,30.1492,34.4542833736,30.073,25.6917166264,1.15143381833,0.716257355607,0.435176462719,80.1671187769,92.37031632,90.9513986191
9,2014-11-05,33.14,33.28,32.71,32.86,2314200,32.71,2079928.0,29.353,29.7665,29.6112,30.1248,33.9545700806,29.7665,25.5784299194,1.04620721067,0.607463239928,0.438743970745,76.8551944715,89.2843445639,91.0705486742
