,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,16.47,16.69,16.12,16.24,815100,16.24,806252.0,15.449,16.02,15.0246,14.7642666667,17.378072163,16.02,14.661927837,0.507913497382,0.544167739906,-0.0362542425235,55.8219043246,45.6943872736,68.6003948078
1,2014-11-17,16.94,17.34,16.19,16.38,870500,16.38,806724.0,15.389,15.948,14.9832,14.7886,17.401142801,15.948,14.494857199,0.557178003033,0.553231300536,0.00394670249696,57.736944898,65.7938965429,80.0537302221
2,2014-11-14,16.5,16.94,16.39,16.86,1186800,16.86,825634.0,15.339,15.8475,14.9468,14.8059333333,17.4386992333,15.8475,14.2563007667,0.597698473839,0.552244624912,0.0454538489266,64.8161607187,79.787584153,85.2328895158
3,2014-11-13,16.83,17.04,16.37,16.53,460100,16.53,948234.0,15.2863333333,15.7075,14.8938,14.8127333333,17.4067689605,15.7075,14.0082310395,0.591850806047,0.540881162681,0.0509696433668,61.8282960794,83.1257112618,86.2465044651
4,2014-11-12,16.39,16.88,16.27,16.82,830700,16.82,977350.0,15.2196666667,15.5885,14.8348,14.8218,17.3719604005,15.5885,13.8050395995,0.609378316524,0.528138751839,0.0812395646849,66.4318520222,91.5077289307,86.4208263371
5,2014-11-11,16.71,16.74,16.38,16.49,483600,16.49,992228.0,15.1426666667,15.471,14.7732,14.8289333333,17.2238251482,15.471,13.7181748518,0.593358836201,0.507828860668,0.0855299755329,63.5653517539,86.5105337175,84.8656258354
6,2014-11-10,16.54,16.76,16.32,16.68,274300,16.68,1010356.0,15.0846666667,15.3515,14.7186,14.8511333333,17.1357452186,15.3515,13.5672547814,0.597881480061,0.486446366784,0.111435113277,66.6061962831,83.8420439504,85.507027142
7,2014-11-07,16.27,16.57,16.15,16.56,634900,16.56,1028702.0,15.0296666667,15.1995,14.654,14.8666,17.0226782688,15.1995,13.3763217312,0.575612105788,0.458587588465,0.117024517323,65.6422760202,83.8229987498,88.0353035723
8,2014-11-06,16.04,16.53,16.03,16.26,474900,16.26,1026732.0,14.974,15.065,14.5766,14.8817333333,16.8635938952,15.065,13.2664061048,0.551033928359,0.429331459134,0.121702469225,63.1746616495,85.2869269239,90.1150726612
9,2014-11-05,16.7,16.7,16.03,16.1,602700,16.1,1027504.0,14.9146666667,14.985,14.5058,14.9015333333,16.7044592173,14.985,13.2655407827,0.542193652029,0.398905841828,0.1432878102,61.8165284687,89.0761389438,91.7892921257
