,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,104.68,107.03,104.28,106.78,3254400,106.78,5274186.0,100.172666667,105.25,97.4424,112.5018,111.435825733,105.25,99.0641742669,2.8014345568,3.259460684,-0.458026127204,61.1355827434,46.6710526316,57.5962613413
1,2014-11-17,103.27,105.64,103.26,104.36,3243500,104.36,5281000.0,99.695,104.6595,97.1654,112.735666667,112.244826559,104.6595,97.0741734414,2.90753231908,3.3739672158,-0.466434896721,55.7919027351,50.2273020712,64.1304125295
2,2014-11-14,107.65,107.65,102.13,104.05,7860800,104.05,5281304.0,99.3663333333,104.0415,96.9588,112.9722,113.424683415,104.0415,94.658316585,3.24706026558,3.49057593998,-0.243515674409,55.0568587094,60.6161073685,69.6947469592
3,2014-11-13,108.28,109.17,106.54,107.43,3268100,107.43,5206420.0,99.0716666667,103.245,96.7536,113.198933333,114.915702635,103.245,91.5742973648,3.66475505887,3.55145485859,0.113300200285,66.2009935871,72.8705832941,72.4576308402
4,2014-11-12,108.01,108.5,106.73,108.25,3440800,108.25,5207494.0,98.5843333333,102.1925,96.4836,113.3954,115.799743475,102.1925,88.5852565246,3.80043452146,3.52312980852,0.277304712943,69.3638584978,72.8076573843,72.2210384977
5,2014-11-11,108.0,108.78,107.4,107.85,3361300,107.85,5190994.0,98.0903333333,101.1075,96.2174,113.606933333,116.008744076,101.1075,86.2062559244,3.83484089703,3.45380363028,0.38103726675,68.6861960514,72.4846397899,73.6932410863
6,2014-11-10,106.78,108.25,106.0,108.01,3502100,108.01,5193474.0,97.6546666667,100.039,95.9622,113.870066667,115.887684362,100.039,84.1903156382,3.86370371244,3.35854431359,0.505159398846,69.2551891254,71.6676428926,75.9068894473
7,2014-11-07,107.44,107.5,105.31,106.45,4714300,106.45,5179100.0,97.2423333333,99.0125,95.7024,114.071466667,115.316006218,99.0125,82.708993782,3.82805292465,3.23225446388,0.595798460772,66.7623903026,71.924213924,80.0754080955
8,2014-11-06,105.7,107.22,105.23,107.14,4077800,107.14,5139442.0,96.8426666667,98.2365,95.4674,114.289533333,114.527530999,98.2365,81.9454690013,3.88570514934,3.08330484869,0.80240030065,69.062220389,78.6964677387,85.2775396569
9,2014-11-05,107.2,107.74,104.5,105.15,4487500,105.15,5170868.0,96.3766666667,97.4985,95.2194,114.491133333,113.442915041,97.4985,81.554084959,3.8325164594,2.88270477353,0.949811685875,65.9180377361,81.3392332338,89.4030741757
10,2014-11-04,106.65,107.0,105.04,105.75,5134700,105.75,5194732.0,96.0786666667,96.9855,95.0296,114.747466667,112.568293684,96.9855,81.4027063159,3.91150083756,2.64525185206,1.2662489855,67.8485505597,88.3417174854,93.2767460592
11,2014-11-03,106.53,107.57,106.05,107.41,5246900,107.41,5163824.0,95.6576666667,96.3205,94.7826,115.025266667,111.479834385,96.3205,81.1611656149,3.89432815896,2.32868960568,1.56563855328,73.3687077436,92.7327401697,95.5047530355
12,2014-10-31,108.74,109.25,106.67,107.09,5797700,107.09,5111514.0,95.1503333333,95.675,94.4668,115.286533333,109.965072778,95.675,81.384927222,3.64674662141,1.93727996736,1.70946665405,72.9751289343,95.1986058139,96.775364011
13,2014-10-30,104.7,107.35,104.18,106.94,5766300,106.94,5059060.0,94.709,95.081,94.1582,115.503266667,108.376775118,95.081,81.7852248816,3.31028078081,1.50991330385,1.80036747696,72.8001594052,96.8339207681,96.5762834073
14,2014-10-29,105.32,106.28,104.02,105.14,5588200,105.14,5033924.0,94.2533333333,94.3745,93.8594,115.718933333,106.527087338,94.3745,82.2219126623,2.84795120564,1.05982143461,1.78812977103,70.685303631,97.2537453904,95.7561097802
15,2014-10-28,104.11,106.07,104.06,105.7,6596500,105.7,5003226.0,93.824,93.789,93.5838,115.966133333,104.8936547,93.789,82.6843453003,2.39969853033,0.612788991851,1.78690953848,72.3095078746,97.8151840719,93.176367653
16,2014-10-27,102.9,103.91,101.99,103.1,6121400,103.1,4977590.0,93.3863333333,93.243,93.296,116.2122,102.935415798,93.243,83.5505842021,1.73564222795,0.166061607231,1.56958062072,69.2647800509,94.4022833988,86.8287117206
17,2014-10-24,99.55,103.31,99.21,103.24,9130100,103.24,4942432.0,92.9316666667,92.87,93.0262,116.4882,101.536224091,92.87,84.2037759087,1.12754647869,-0.22633354795,1.35388002664,69.6476881135,93.5532262597,77.6243389846
18,2014-10-23,95.98,100.91,95.6,100.4,9673600,100.4,4842630.0,92.541,92.431,92.7306,116.743133333,99.733793712,92.431,85.128206288,0.320739955403,-0.564803554611,0.885543510014,66.1196292113,86.9347768817,64.5080924711
19,2014-10-22,94.93,96.85,93.82,94.76,8707400,94.76,4724690.0,92.2596666667,92.069,92.4908,117.036466667,98.4102866202,92.069,85.7277133798,-0.424540224585,-0.786189432114,0.36164920753,56.8760906837,72.4245603422,48.9981982502
20,2014-10-21,93.49,95.9,93.22,94.97,9981000,94.97,4609444.0,92.2373333333,92.1415,92.3246,117.4048,98.6355103942,92.1415,85.6474896058,-0.795359069229,-0.876601733997,0.0812426647675,57.4177066401,57.5847924547,35.288069129
21,2014-10-20,88.84,92.55,88.57,92.0,7972800,92.0,4462894.0,92.1693333333,92.049,92.1628,117.777266667,98.4309554997,92.049,85.6670445003,-1.2784717172,-0.896912400188,-0.381559317016,51.3312525094,41.0882402058,23.7750869898
22,2014-10-17,87.66,89.53,87.12,88.12,6405500,88.12,4363118.0,92.237,92.0585,92.053,118.188533333,98.4407011093,92.0585,85.6762988907,-1.5741031811,-0.801522570934,-0.772580610164,41.1224265037,24.8951999982,15.9388433856
23,2014-10-16,84.54,87.57,84.01,86.38,5615600,86.38,4311602.0,92.426,92.345,91.995,118.6026,98.5048457773,92.345,86.1851542227,-1.53348583965,-0.608377418393,-0.925108421258,35.4872997145,17.5840438572,15.8629443885
