,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,1.35,1.38,1.29,1.35,71300,1.35,87720.0,1.28366666667,1.292,1.3022,1.40846666667,1.4299275172,1.292,1.1540724828,0.0210090441838,0.0116735018114,0.00933554237232,54.9733909363,59.478021978,61.040521978
1,2014-11-17,1.34,1.38,1.32,1.37,59600,1.37,100766.0,1.28133333333,1.2885,1.3048,1.41053333333,1.4238920234,1.2885,1.1531079766,0.0208253204195,0.00933961621836,0.0114857042011,57.6511716508,63.0494505495,62.4656593407
2,2014-11-14,1.32,1.39,1.32,1.35,75300,1.35,101296.0,1.279,1.2805,1.305,1.4126,1.41458579343,1.2805,1.14641420657,0.0182515446997,0.00646819016809,0.0117833545316,55.6449405179,62.706043956,64.0726750102
3,2014-11-13,1.32,1.37,1.3,1.33,64000,1.33,100930.0,1.27766666667,1.276,1.3058,1.41526666667,1.40644539087,1.276,1.14555460913,0.0167373575853,0.00352235153519,0.0132150060501,53.6039750529,58.9285714286,66.3321632072
4,2014-11-12,1.38,1.39,1.31,1.35,106900,1.35,100536.0,1.27666666667,1.2725,1.306,1.41786666667,1.40069906396,1.2725,1.14430093604,0.0165976153763,0.000218600022662,0.0163790153536,55.9965702946,65.1785714286,70.4803876679
5,2014-11-11,1.35,1.39,1.31,1.36,51900,1.36,99376.0,1.275,1.2675,1.306,1.42073333333,1.39093014219,1.2675,1.14406985781,0.0141414700058,-0.00387615381574,0.0180176238216,57.1815571614,69.4775132275,69.8552604803
6,2014-11-10,1.39,1.39,1.3,1.3,42400,1.3,99476.0,1.27433333333,1.2615,1.3058,1.42386666667,1.37782282665,1.2615,1.14517717335,0.00978265944204,-0.00838055977114,0.0181632192132,51.4584434542,71.743996744,65.4666514042
7,2014-11-07,1.36,1.45,1.29,1.4,108200,1.4,99798.0,1.27533333333,1.259,1.3064,1.42686666667,1.37404781615,1.259,1.14395218385,0.0101860298214,-0.0129213645744,0.0231073943959,64.8789685388,75.5214692715,56.2719109594
8,2014-11-06,1.41,1.44,1.33,1.39,178300,1.39,98508.0,1.27266666667,1.2535,1.306,1.42906666667,1.35009710141,1.2535,1.15690289859,0.000370898490097,-0.0186982131734,0.0190691116635,64.0073180289,62.6780626781,45.6957394457
9,2014-11-05,1.25,1.43,1.25,1.37,806200,1.37,95072.0,1.27,1.2485,1.3062,1.43226666667,1.32446709814,1.2485,1.17253290186,-0.0111439912963,-0.0234654910893,0.012321499793,62.2682045961,51.9230769231,39.5323426573
