,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,25.5,25.5,25.41,25.45,11800,25.45,9670.0,25.4763333333,25.5185,25.3896,25.442,25.7498676728,25.5185,25.2871323272,0.00619802160476,0.0166036873572,-0.0104056657525,48.4900805803,31.0344827586,39.5971598805
1,2014-11-17,25.44,25.5,25.38,25.49,9900,25.49,9602.0,25.4723333333,25.5285,25.3864,25.4408666667,25.7644046417,25.5285,25.2925953583,0.00947551797087,0.0192051037953,-0.00972958582448,51.3068481462,38.240495137,43.8841870565
2,2014-11-14,25.37,25.45,25.37,25.45,7800,25.45,9484.0,25.4686666667,25.5305,25.384,25.4387333333,25.7657424281,25.5305,25.2952575719,0.00944824216221,0.0216375002515,-0.0121892580893,48.5305713088,43.5933419694,45.2337759945
3,2014-11-13,25.46,25.49,25.45,25.45,4600,25.45,9804.0,25.463,25.5355,25.3816,25.4351333333,25.7679198787,25.5355,25.3030801213,0.0133487266077,0.0246848147738,-0.0113360881661,48.5305713088,45.5203196571,43.8023522669
4,2014-11-12,25.47,25.49,25.46,25.49,4100,25.49,9984.0,25.4556666667,25.529,25.384,25.4310666667,25.7773465321,25.529,25.2806534679,0.018132999822,0.0275188368153,-0.00938583699327,51.0397649718,48.1825914623,42.1649194114
5,2014-11-11,25.5,25.5,25.47,25.5,2500,25.5,10142.0,25.4453333333,25.5195,25.388,25.4266,25.7868929692,25.5195,25.2521070308,0.0199029921818,0.0298652960636,-0.00996230388181,51.6598153156,43.6388508892,39.6780950752
6,2014-11-10,25.44,25.5,25.44,25.47,7000,25.47,10666.0,25.437,25.511,25.3918,25.4218666667,25.7908499598,25.511,25.2311500402,0.0208544661802,0.0323558720341,-0.0115014058539,49.9665891602,37.8676470588,37.8676470588
7,2014-11-07,25.4,25.66,25.38,25.49,19500,25.49,10834.0,25.428,25.5015,25.3946,25.4172,25.7986380151,25.5015,25.2043619849,0.0248201007573,0.0352312234975,-0.0104111227402,51.0740568804,38.9705882353,36.8566176471
8,2014-11-06,25.56,25.57,25.47,25.49,5400,25.49,10610.0,25.419,25.4895,25.4038,25.4112666667,25.8062633186,25.4895,25.1727366814,0.0274843092429,0.0378340041826,-0.0103496949396,51.0740568804,38.2352941176,33.5477941176
9,2014-11-05,25.51,25.64,25.41,25.5,9600,25.5,10600.0,25.4086666667,25.4785,25.4132,25.4058,25.8093942429,25.4785,25.1476057571,0.0304850363029,0.0404214279175,-0.00993639161463,51.566801859,36.3970588235,32.745897272
10,2014-11-04,25.4,25.54,25.4,25.5,8400,25.5,10548.0,25.399,25.4755,25.4212,25.4012666667,25.8066480032,25.4755,25.1443519968,0.0328534546768,0.0429055258212,-0.0100520711444,51.566801859,33.8235294118,36.4001363289
11,2014-11-03,25.44,25.5,25.4,25.47,16800,25.47,10474.0,25.3906666667,25.467,25.4298,25.3974,25.8038738636,25.467,25.1301261364,0.0353985493332,0.0454185436072,-0.010019994274,50.3271702523,25.7352941176,43.9241776171
12,2014-10-31,25.44,25.44,25.37,25.44,2900,25.44,10182.0,25.382,25.4625,25.4382,25.3970666667,25.8014911503,25.4625,25.1235088497,0.0411866730681,0.0479235421758,-0.00673686910764,49.1178815522,35.0277067349,58.3534608407
13,2014-10-30,25.33,25.45,25.27,25.43,3500,25.43,10352.0,25.3763333333,25.4545,25.446,25.3954666667,25.8026651907,25.4545,25.1063348093,0.0510298902996,0.0496077594527,0.00142213084697,48.7315543347,51.0140150513,70.0973220695
