,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,200.49,202.04,200.29,201.21,221100,201.21,357888.0,194.84,199.3165,189.5374,186.2008,206.238780766,199.3165,192.394219234,3.22132857947,3.74062970185,-0.519301122381,63.2933610309,30.9531294026,44.0483674979
1,2014-11-17,199.56,201.2,198.8,200.52,261600,200.52,357848.0,194.024333333,198.85,189.4014,185.9816,206.425666307,198.85,191.274333693,3.36824223161,3.87045498245,-0.502212750842,61.8548866318,35.186760355,53.1805817011
2,2014-11-14,200.89,201.96,198.49,199.07,256600,199.07,358308.0,193.349666667,198.3065,189.2968,185.758733333,206.825852734,198.3065,189.787147266,3.57701940605,3.99600817016,-0.418988764108,58.6963952125,46.2061055931,62.0421920436
3,2014-11-13,201.25,202.59,200.02,200.52,467700,200.52,361854.0,192.712333333,197.6885,189.2256,185.538466667,207.579447932,197.6885,187.797552068,3.93910199007,4.10075536119,-0.161653371112,63.5853152843,63.8474746407,68.5331777659
4,2014-11-12,201.91,203.53,199.87,200.44,254000,200.44,361254.0,191.982666667,197.039,189.0934,185.300466667,207.771147781,197.039,186.306852219,4.1963186411,4.14116870396,0.0551499371329,63.4292621373,67.4819862155,71.806366538
5,2014-11-11,202.7,203.02,200.79,202.33,226200,202.33,361100.0,191.276333333,196.3895,188.9644,185.0786,207.772294868,196.3895,185.006705132,4.47172871362,4.12738121968,0.344347493943,70.0111473804,70.6332017251,76.6609109459
6,2014-11-10,200.51,203.21,200.1,202.88,423100,202.88,363520.0,190.490333333,195.6215,188.7792,184.856533333,207.36442174,195.6215,183.87857826,4.56577242491,4.0412943462,0.52447807871,72.0308880843,72.1700484824,82.6016779561
7,2014-11-07,201.35,201.77,199.93,200.54,481100,200.54,361990.0,189.721666667,194.665,188.5906,184.634733333,206.989203017,194.665,182.340796983,4.56339516294,3.91017482652,0.653220336424,68.4331629924,76.940229729,89.3435138424
8,2014-11-06,202.92,204.13,201.06,201.36,276200,201.36,357066.0,189.055,193.7445,188.4252,184.421533333,206.89816181,193.7445,180.59083819,4.73223880076,3.74686974241,0.985369058345,71.4226636465,86.900163847,94.5049088016
9,2014-11-05,204.88,205.21,201.42,202.68,412700,202.68,359190.0,188.337333333,192.754,188.2572,184.213266667,206.437437287,192.754,179.070562713,4.79542120683,3.50052747783,1.294893729,76.412322266,94.396269766,97.2466437194
10,2014-11-04,203.66,204.79,202.0,204.56,300100,204.56,354218.0,187.594666667,191.6825,188.0424,183.987666667,205.445033015,191.6825,177.919966985,4.67191335121,3.17680404558,1.49510930563,84.1908798943,99.1373920277,98.0732337363
11,2014-11-03,201.38,203.74,200.62,203.58,511500,203.58,351352.0,186.805333333,190.2915,187.785,183.7726,204.18960962,190.2915,176.39339038,4.25489913038,2.80302671917,1.45187241121,83.3715258184,97.5858095658,97.4721230355
12,2014-10-31,199.1,201.76,196.76,201.76,557900,201.76,344954.0,186.066333333,189.1265,187.5496,183.5754,202.258816285,189.1265,175.994183715,3.76052971935,2.44005861636,1.32047110299,81.7394579544,97.867103518,97.6645534108
13,2014-10-30,194.76,196.76,194.01,196.76,261200,196.76,339142.0,185.43,188.036,187.3838,183.364,200.390008904,188.036,175.681991096,3.260145057,2.10994084062,1.15020421638,75.6402662647,97.7026298338,97.5018759204
14,2014-10-29,195.42,196.83,194.39,195.8,332000,195.8,339404.0,184.910333333,187.1295,187.3152,183.170266667,199.450518586,187.1295,174.808481414,3.08314288713,1.82238978652,1.26075310061,74.0978145726,96.7329492246,97.3595949027
15,2014-10-28,195.14,195.84,194.3,195.84,221100,195.84,337558.0,184.495,186.302,187.244,182.982333333,198.403663687,186.302,174.200336313,2.91012349377,1.50720151137,1.4029219824,74.279790432,98.3555310667,97.649431885
16,2014-10-27,194.35,195.2,193.81,195.12,259500,195.12,339192.0,184.073666667,185.4475,187.1602,182.7788,197.141149345,185.4475,173.753850655,2.64288603543,1.15647101577,1.48641501966,73.1788241589,97.2163935565,96.5611551126
17,2014-10-24,194.06,194.68,192.37,194.11,251200,194.11,342514.0,183.647666667,184.6825,187.056,182.6076,195.728894661,184.6825,173.636105339,2.33666097354,0.784867260855,1.55179371268,71.5950326875,97.1335057632,95.4050092844
18,2014-10-23,193.2,194.47,192.28,194.29,357300,194.29,342834.0,183.282666667,184.004,186.9686,182.421533333,194.291754663,184.004,173.716245337,2.01465500766,0.396918832684,1.61773617498,72.3015687849,97.8922971534,93.6525285932
19,2014-10-22,192.0,193.52,191.44,192.96,275800,192.96,343480.0,183.118333333,183.281,186.9008,182.234133333,192.558449865,183.281,174.003550135,1.55602695655,-0.00751521105996,1.56354216761,70.2899320338,94.0024239773,91.2109963302
20,2014-10-21,190.14,192.03,189.52,191.88,254800,191.88,344120.0,183.018,182.653,186.8002,182.048133333,190.863783397,182.653,174.442216603,1.08343585195,-0.398400752963,1.48183660491,68.5686801091,92.5918102437,90.0143658874
21,2014-10-20,186.74,189.84,186.28,189.65,289900,189.65,344426.0,183.102333333,182.103,186.7282,181.8566,189.160489922,182.103,175.045510078,0.574442320597,-0.768859904191,1.34330222479,64.6409889864,90.1235829983,88.3243294981
22,2014-10-17,187.87,188.6,185.21,186.71,322400,186.71,346628.0,183.290333333,181.691,186.6862,181.696933333,187.841918305,181.691,175.540081695,0.143480506823,-1.10468546039,1.24816596721,58.2548473581,88.1261681013,85.9376206963
23,2014-10-16,185.7,187.87,183.84,187.53,393900,187.53,347442.0,183.583666667,181.489,186.7074,181.552666667,187.218240438,181.489,175.759759562,-0.109325015584,-1.41672695219,1.30740193661,61.1134726885,89.2159022065,83.8798571151
