,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,15.7,15.75,15.25,15.5,43647800,15.5,36529414.0,14.1916666667,14.327,14.8422,16.1626,15.3752385225,14.327,13.2787614775,0.15050247182,-0.0803371296337,0.230839601454,67.6640732846,88.9283457386,87.5819608232
1,2014-11-17,15.35,15.6,15.2,15.54,46517300,15.54,36189590.0,14.145,14.265,14.8648,16.1664,15.1645220953,14.265,13.3654779047,0.0846074151293,-0.138047029997,0.222654445126,68.6552912288,90.93702435,85.6014354947
2,2014-11-14,15.01,15.27,14.99,15.14,37092900,15.14,36210550.0,14.111,14.1965,14.89,16.1684,14.8799112964,14.1965,13.5130887036,-0.00480201963033,-0.193710641279,0.188908621648,63.7202521767,89.7990933156,81.4698397805
3,2014-11-13,14.71,15.17,14.7,14.93,50284000,14.93,36064726.0,14.0926666667,14.1405,14.93,16.1721333333,14.6721944611,14.1405,13.6088055389,-0.0781238506199,-0.240937796691,0.162813946071,60.704137875,80.6633798885,74.0304649201
4,2014-11-12,14.32,14.63,14.26,14.58,36221100,14.58,35473720.0,14.0803333333,14.093,14.9768,16.1768,14.4856372372,14.093,13.7003627628,-0.149191004347,-0.281641283209,0.132450278862,54.9017417906,81.0062444246,67.7173307652
5,2014-11-11,14.05,14.43,14.0,14.37,35345600,14.37,35263776.0,14.0806666667,14.045,15.0346,16.1838,14.4221737,14.045,13.6678263,-0.202092120495,-0.314753852924,0.11266173243,50.8590496698,74.4106414932,58.657564415
6,2014-11-10,14.19,14.2,13.95,14.0,36413300,14.0,34927630.0,14.0946666667,14.0155,15.0992,16.1936,14.3784035685,14.0155,13.6525964315,-0.245291841534,-0.342919286031,0.0976274444971,42.4134679028,60.0415938742,50.2483564226
7,2014-11-07,14.22,14.27,14.13,14.17,30254700,14.17,34506832.0,14.1316666667,13.9925,15.1674,16.2076,14.4105370797,13.9925,13.5744629203,-0.259189785967,-0.367326147156,0.108136361189,45.7694882939,55.4108432689,45.5058150969
8,2014-11-06,13.92,14.22,13.92,14.19,36431700,14.19,34238838.0,14.2036666667,13.9735,15.2324,16.2194,14.3920821305,13.9735,13.5549178695,-0.290467674519,-0.394360237453,0.103892562934,46.1685716695,44.7671790235,42.7308539636
9,2014-11-05,14.03,14.05,13.87,13.94,26042800,13.94,33874626.0,14.2706666667,13.956,15.2958,16.2323333333,14.3660926725,13.956,13.5459073275,-0.328201013369,-0.420333378187,0.0921323648181,40.1069420399,40.7738095238,44.6602177186
