,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,10.52,10.56,10.41,10.41,493400,10.41,696646.0,10.1793333333,10.5365,9.8962,10.0107333333,11.1383729102,10.5365,9.93462708983,0.18465061092,0.246296376014,-0.0616457650942,52.3362628598,11.1610169492,32.0819889728
1,2014-11-17,10.45,10.56,10.38,10.46,441700,10.46,705318.0,10.139,10.5075,9.8848,10.0016666667,11.1824185136,10.5075,9.8325814864,0.212898532971,0.261707817288,-0.0488092843171,54.1645993163,23.4440473759,46.2083485593
2,2014-11-14,10.64,10.65,10.45,10.45,334900,10.45,704076.0,10.099,10.468,9.8798,9.99053333333,11.2355311069,10.468,9.70046889314,0.240765538454,0.273910138367,-0.0331445999132,53.8652856412,39.0301204819,59.4309518777
3,2014-11-13,10.64,10.74,10.54,10.62,478100,10.62,707238.0,10.063,10.4205,9.878,9.97906666667,11.296524543,10.4205,9.54447545697,0.27385010853,0.282196288345,-0.00834617981588,60.0560858541,54.6927710843,69.6995364258
4,2014-11-12,10.75,10.81,10.59,10.61,631100,10.61,707014.0,10.0183333333,10.366,9.8692,9.96666666667,11.3179327707,10.366,9.41406722927,0.294785685484,0.284282833299,0.0105028521844,59.8037436897,67.6664552949,77.9835698663
5,2014-11-11,10.7,10.83,10.62,10.79,447100,10.79,704010.0,9.96966666667,10.3035,9.8626,9.95593333333,11.3432360242,10.3035,9.26376397581,0.318237484644,0.281657120253,0.0365803643905,66.8639802249,76.3344606496,84.1320385738
6,2014-11-10,10.78,10.94,10.55,10.68,1137300,10.68,708922.0,9.922,10.2265,9.8524,9.946,11.3364418904,10.2265,9.11655810963,0.325214326704,0.272512029156,0.0527022975484,64.4847219083,80.1044586745,88.7167095111
7,2014-11-07,10.83,10.92,10.74,10.78,544700,10.78,696070.0,9.886,10.148,9.8456,9.93586666667,11.3377495535,10.148,8.95825044652,0.340588924,0.259336454769,0.0812524692313,68.6455143338,87.8289048463,92.3588809422
8,2014-11-06,10.9,10.97,10.82,10.88,401400,10.88,700322.0,9.84633333333,10.074,9.834,9.92466666667,11.2812845563,10.074,8.86671544365,0.345076662018,0.239023337461,0.106053324557,73.0205289697,92.2603301248,94.0825416369
9,2014-11-05,10.95,10.95,10.78,10.88,398700,10.88,697524.0,9.796,10.005,9.8264,9.9128,11.1773736606,10.005,8.83262633943,0.335603532549,0.212510006322,0.123093526227,73.0205289697,94.6731443989,94.7960123016
