,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,11.72,11.86,11.67,11.75,33600,11.75,46510.0,11.802,12.276,11.749,12.5382666667,13.0591321728,12.276,11.4928678272,0.0904581899501,0.207325820979,-0.116867631029,46.0962901519,5.97317083561,11.5902140198
1,2014-11-17,11.89,12.0,11.63,11.72,32100,11.72,46354.0,11.7686666667,12.2555,11.7514,12.5686666667,13.1107771481,12.2555,11.4002228519,0.133553518019,0.236542728736,-0.102989210718,45.6303328321,10.5512389444,17.3674267201
2,2014-11-14,11.97,12.18,11.75,11.88,32300,11.88,46496.0,11.7363333333,12.2315,11.7564,12.5902,13.1685650991,12.2315,11.2944349009,0.189670776492,0.262290031416,-0.0726192549241,47.6711159145,10.2441466115,24.2015850259
3,2014-11-13,12.4,12.59,11.88,12.0,44400,12.0,46380.0,11.695,12.195,11.7608,12.6134666667,13.2351826763,12.195,11.1548173237,0.24224704783,0.280444845147,-0.0381977973169,49.2036753753,19.5922996877,34.5412281602
4,2014-11-12,12.2,12.47,12.05,12.44,18600,12.44,45984.0,11.6623333333,12.1455,11.7672,12.6375333333,13.3054219801,12.1455,10.9855780199,0.293611713461,0.289994294476,0.00361741898453,55.2514006453,29.0820216367,45.6716898559
5,2014-11-11,12.55,12.98,12.11,12.15,51400,12.15,46808.0,11.6043333333,12.0495,11.7716,12.6615333333,13.3984473674,12.0495,10.7005526326,0.310100989033,0.28908993973,0.0210110493034,51.6114295079,37.8878721676,56.214819268
6,2014-11-10,12.65,13.2,12.57,12.65,52800,12.65,47214.0,11.5663333333,11.961,11.7848,12.6922,13.4919330488,11.961,10.4300669512,0.356164013651,0.283837177404,0.072326836247,59.3390626917,51.6027191486,66.2220643021
7,2014-11-07,12.74,12.83,12.41,12.46,20000,12.46,46544.0,11.518,11.841,11.7762,12.7156666667,13.5073481029,11.841,10.1746518971,0.358867524874,0.265755468342,0.0931120565314,57.0710262387,64.1141464708,74.1318827931
8,2014-11-06,12.79,13.07,12.57,12.78,30800,12.78,46648.0,11.481,11.755,11.771,12.7365333333,13.4617337226,11.755,10.0482662774,0.376443751563,0.24247745421,0.133966297354,62.5253439011,71.2545392849,78.3544390368
9,2014-11-05,12.82,13.66,12.71,12.75,53000,12.75,46674.0,11.433,11.654,11.7616,12.7610666667,13.345158183,11.654,9.96284181698,0.360820044516,0.208985879871,0.151834164645,62.2109476638,77.9168523039,82.1738741642
10,2014-11-04,12.49,12.87,12.1,12.8,28100,12.8,46248.0,11.3986666667,11.574,11.7498,12.79,13.2003382182,11.574,9.94766178179,0.338684766872,0.17102733871,0.167657428162,63.0293112779,83.2419931129,83.634214994
11,2014-11-03,12.7,12.7,12.29,12.38,21200,12.38,46618.0,11.3573333333,11.4715,11.7348,12.8254666667,13.0329515683,11.4715,9.91004843175,0.300414870435,0.129112981669,0.171301888766,58.8021518262,81.0043714455,84.7925364945
12,2014-10-31,12.56,12.76,12.45,12.62,27100,12.62,46898.0,11.3476666667,11.39,11.7322,12.8632666667,12.9231666576,11.39,9.85683334239,0.289962531776,0.0862875094779,0.203675022298,62.6000473972,86.5322797943,86.8506773553
13,2014-10-30,12.47,12.73,12.13,12.49,28000,12.49,47572.0,11.3483333333,11.291,11.7242,12.8963333333,12.747473824,11.291,9.834526176,0.247967546335,0.0353687539033,0.212598792431,61.3442746491,83.7582156231,86.9722370364
14,2014-10-29,12.71,12.88,12.3,12.48,18900,12.48,47784.0,11.355,11.2175,11.7208,12.9256666667,12.5691193991,11.2175,9.86588060091,0.20399623697,-0.0177809442045,0.221777181174,61.2513419324,87.8752791152,87.8771116108
15,2014-10-28,11.85,12.88,11.85,12.75,57400,12.75,48432.0,11.3706666667,11.1285,11.7236,12.956,12.3654199651,11.1285,9.89158003493,0.145923820479,-0.0732252394981,0.219149059977,65.180038619,89.2369348886,86.1812404271
16,2014-10-27,12.06,12.06,11.49,11.63,24100,11.63,50246.0,11.385,11.0415,11.7246,12.9822666667,12.0297565456,11.0415,10.0532434544,0.0421888624061,-0.128012504492,0.170201366899,53.7546654597,87.0185185185,82.56848659
17,2014-10-24,11.98,12.08,11.79,12.08,16300,12.08,53504.0,11.3786666667,11.02,11.7584,13.0206666667,11.974232676,11.02,10.065767324,0.0232080415578,-0.170562846217,0.193770887775,61.2532846352,87.3777139208,78.1890541657
18,2014-10-23,11.93,12.17,11.81,11.97,36500,11.97,58560.0,11.3776666667,10.9835,11.7992,13.0555333333,11.8215280425,10.9835,10.1454719575,-0.0471741412931,-0.219005568161,0.171831426868,59.9863060669,81.0917943806,71.0258573736
19,2014-10-22,11.49,12.01,11.49,11.74,66000,11.74,64020.0,11.3833333333,10.952,11.8276,13.1035333333,11.6793953533,10.952,10.2246046467,-0.125121230804,-0.261963424878,0.136842194074,57.2737440148,74.7859195402,62.5274749268
20,2014-10-21,11.46,11.46,11.01,11.34,15500,11.34,64508.0,11.3976666667,10.951,11.8208,13.155,11.6741016526,10.951,10.2278983474,-0.199371934423,-0.296173973396,0.0968020389735,52.0212245935,69.5007888213,51.8756971074
21,2014-10-20,11.2,11.48,11.2,11.24,11200,11.24,65792.0,11.4153333333,10.962,11.8044,13.2118,11.7145317269,10.962,10.2094682731,-0.250515604359,-0.320374483139,0.0698588787808,50.6117682406,58.7249267523,39.7597395981
22,2014-10-17,11.22,11.75,10.99,11.15,52400,11.15,66270.0,11.4396666667,11.0045,11.7788,13.2754,11.8978638676,11.0045,10.1111361324,-0.301967843377,-0.337839202835,0.0358713594574,49.3687457561,47.0982645932,29.6234618917
23,2014-10-16,10.16,11.07,10.16,11.01,44400,11.01,65916.0,11.4713333333,11.079,11.7498,13.3302666667,12.2220817993,11.079,9.93591820065,-0.354083714366,-0.346807042699,-0.00727667166753,47.4586388744,32.178808263,24.0328183207
24,2014-10-15,10.22,10.76,10.07,10.52,39000,10.52,66240.0,11.515,11.163,11.7316,13.3862,12.5033447318,11.163,9.82265526822,-0.401197662947,-0.344987874782,-0.0562097881653,40.1163665645,21.0369587839,22.7488561504
25,2014-10-14,10.22,10.48,10.01,10.38,31800,10.38,67024.0,11.5863333333,11.2845,11.7152,13.4417333333,12.7989170496,11.2845,9.77008295044,-0.405605682221,-0.330935427741,-0.0746702544798,37.810724219,18.1798159268,23.6981340082
26,2014-10-13,10.68,10.76,10.17,10.25,54000,10.25,68108.0,11.6673333333,11.4245,11.701,13.5048666667,13.0888374057,11.4245,9.7601625943,-0.391077653261,-0.312267864121,-0.0788097891397,35.6752591337,24.735690309,24.3416347328
27,2014-10-10,10.76,10.98,10.69,10.74,23100,10.74,69632.0,11.733,11.484,11.695,13.5731333333,13.0588066548,11.484,9.9091933452,-0.353609839522,-0.292565416836,-0.0610444226864,40.5485246889,27.0429595821,21.5330966022
28,2014-10-09,11.21,11.21,10.63,10.76,16500,10.76,70872.0,11.7816666667,11.5495,11.6858,13.6411333333,13.1039191841,11.5495,9.99508081587,-0.350534777776,-0.277304311164,-0.0732304666119,40.7595485371,24.8340702149,17.6226269982
