,Date,Open,High,Low,Close,Volume,Adj Close,50DayAvgVol,30DaySMA,4WeekSMA,10WeekSMA,30WeekSMA,20.2UpperBB,20.2MiddleBB,20.2LowerBB,12.26.9MACD,12.26.9MACDSignal,12.26.9MACDHist,RSI14,10.4STOC,10.4.4STOC
0,2014-11-18,37.63,37.8,37.46,37.5,5985300,37.5,12256618.0,35.2933333333,36.0305,35.5554,34.7502,37.6542915507,36.0305,34.4067084493,0.560065021242,0.391496382091,0.16856863915,66.7215545258,81.1254416426,77.584672631
1,2014-11-17,36.72,37.5,36.72,37.41,8397500,37.41,12342812.0,35.2173333333,35.8925,35.5412,34.7168,37.4614853409,35.8925,34.3235146591,0.511848165609,0.349354222303,0.162493943306,66.0876504634,77.6544645023,78.9465928982
2,2014-11-14,36.44,37.06,36.43,36.92,6335800,36.92,12322196.0,35.1993333333,35.713,35.5386,34.6833333333,37.3656717762,35.713,34.0603282238,0.452024496557,0.308730736477,0.14329376008,62.4738570707,75.3556388631,82.0060322953
3,2014-11-13,36.6,36.77,36.22,36.36,7679000,36.36,12420626.0,35.142,35.575,35.5518,34.6565333333,37.2620506809,35.575,33.8879493191,0.418983748108,0.272907296457,0.146076451651,57.6890369736,76.2031455158,85.7283099283
4,2014-11-12,36.66,36.87,36.48,36.51,6297900,36.51,12439738.0,35.0803333333,35.457,35.5778,34.6304666667,37.2355735858,35.457,33.6784264142,0.427735611024,0.236388183544,0.191347427479,59.5785062937,86.5731227117,88.1025647059
5,2014-11-11,36.9,37.05,36.54,36.76,7138800,36.76,12450870.0,35.015,35.2715,35.609,34.6057333333,37.3247537593,35.2715,33.2182462407,0.41741183444,0.188551326674,0.228860507765,62.7597105402,89.8922220906,87.1185954108
6,2014-11-10,36.52,37.05,36.5,36.9,9576100,36.9,12452582.0,34.972,35.0455,35.6348,34.5788,37.3706707464,35.0455,32.7203292536,0.372708951099,0.131336199733,0.241372751366,64.5520290262,90.2447493949,86.0609711859
7,2014-11-07,36.26,36.42,36.02,36.38,8997200,36.38,12385298.0,34.9076666667,34.835,35.6568,34.5491333333,37.2121874137,34.835,32.4578125863,0.2959760498,0.0709930118917,0.224983037908,60.6790130656,85.7001646264,84.3215398341
8,2014-11-06,36.03,36.42,35.99,36.15,6993100,36.15,12344786.0,34.874,34.691,35.689,34.5246,37.0249057393,34.691,32.3570942607,0.246677313237,0.0147472524146,0.231930060822,58.8316102786,82.6372455314,84.4175553737
9,2014-11-05,36.17,36.33,35.86,36.18,7441300,36.18,12399234.0,34.8446666667,34.5995,35.7292,34.5012,36.8390131167,34.5995,32.3599868833,0.203584346739,-0.0432352627909,0.24681960953,59.1683040179,85.6617251908,85.8529659064
